cluster_a	cluster_b	name_a	name_b	type_a	type_b	settlements_a	settlements_b	db_a	db_b	db_name_a	db_name_b	decision_a	decision_b	shared_hosts	jaccard	idf_score	shared_host_headings	pair_review_decision	flag
ORG-C00103	ORG-C00191	ווילנער טרופּע	וויק'ט	Company on Tour	Traveling Company	אַמעריקע | בוקאַרעסט | ביאַליסטאָק | בערלין | בראַנקס | בראַנקס, ניו-יאָרק | וואַרשע | ווילנע | ווין | יאָס' | לאָס אַנדזשעלעס | לעמבערג | לאָדזש | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | ניויאָרק | פּאַריז | פאַריז | קליוולאַנד | קעשענעוו | קראָקע | קראקע | שיקאַגאָ | שיקאַגע | שיקאָגאָ	וואַרשע | ווילנע | יאָס' | לעמבערג	551	433	ווילנער טרופּע	Vikt	ALIGN	ALIGN	17	0.083	5.221	אוריך, פּעפּי (פּערל] | בירנבוים, דוד | בערקאָוויטש, לייזער | הירשפעלד זלמן-לייב | וויינטרויב, וולאַדיסלאָוו | זילבּערבּערג, וואָלף | טארוּ, רות [רייזל טוכמאַכער] | טורקאָוו, זיגמונט		
ORG-C00340_Q01	ORG-C00740	נעשאָנאַל-טעאַטער	פּאָבליק-סקול	Theatre	Education	ניו יאָרק | ניו יאָרקער | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער | ניו-יאָרק	אָמעריקע | אמעריקע | לאָנדאָן | ניו יאָרק | ניו-יאָרק | סינסינעטי | פילאַדעלפיע | פילאדעלפיע | קליוולאַנד | שיקאָגאָ | פֿילאָדעלפיע	118		National Theatre		ALIGN	DESCRIPTIVE	16	0.092	5.154	אייזמאַן, גאָלדע | בלאַנק לעאָן | דזשייקאָבסאָן, אוירווינג | ווייזענפֿריינד מוני [משולם-מאיר] | ווייסמאַן, בעסי | ווילנער מאַקס | ווילנער, מאַקס, ר | זיבּעל, עלאַ		
ORG-C00103	ORG-C00108	ווילנער טרופּע	יידישן אַרטיסטן-פֿאַריין אין פּוילן	Company on Tour	Theatre-related Society/ Union	אַמעריקע | בוקאַרעסט | ביאַליסטאָק | בערלין | בראַנקס | בראַנקס, ניו-יאָרק | וואַרשע | ווילנע | ווין | יאָס' | לאָס אַנדזשעלעס | לעמבערג | לאָדזש | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | ניויאָרק | פּאַריז | פאַריז | קליוולאַנד | קעשענעוו | קראָקע | קראקע | שיקאַגאָ | שיקאַגע | שיקאָגאָ	וואַרשע | ווילנע | כאָרקאָוו | לאָדזש | לעמבערג | פּאַריז | קיעוו	551	442	ווילנער טרופּע	Yiddish artists union	ALIGN	ALIGN	16	0.074	5.036	"בוזגאָן, חבל | גאַריעלאָוו, אַליעזר | גאַריעלאָוו, אַליעזר | גליקמאַן, רעניאַ (רבקה) | ווייכערט, מיכאל, דר. | ווענדאָרף ראובן | טורקאָוו, זיגמונט | טעאַטער-מוזיי א""נ פֿון אסתר-רחל קאַמינסקי ביים ייוו""א."		
ORG-C00633_Q01	ORG-C00682	פּיפּלס-טעאַטער	סעקאָנד עוועניו טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יארק | ניו יאָרק | ניו-יאָרק | ניו-יאָרקער | ניוּ-יאָרק	New York | ניו יאָרק | ניו יארק | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער	120	128	People's Theatre NY	סעקאָנד עוועניו טעאַטער	ALIGN	ALIGN	17	0.112	4.966	אַדלער צילע | בירנבוים, לואיס [יעקב לייב] | בלייך, יהודה | דזשייקאָבסאָן, היימי [חיים-מענדל] | ווייזענפֿריינד מוני [משולם-מאיר] | זינגער, פישל | יאָנג, בערנאַרד [בועז יונגוויץ] | יאָנג, קלאַראַ [חיה-ריסיע שפּיקאָליצער]		
ORG-C00180_Q01	ORG-C00340_Q01	יידישן קונסט-טעאַטער	נעשאָנאַל-טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יארק | ניו יאָָרק | ניו-יאָרק | ניו-יאָָרק	ניו יאָרק | ניו יאָרקער | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער | ניו-יאָרק	1459	118	יידישן קונסט-טעאַטער (ניו יאָרק)	National Theatre	ALIGN	ALIGN	16	0.079	4.585	באָטוויניק, בערל | גאָלדענבורג, סעמיועל [שלום גאָלדשטיין] | גאָלדשטיין, יעקב | דימאָוו, אַסיפּ [יוסף פּערלמאַן] | זאַהאָוואַ, רוט [גאָלדשטיין) | טראָסבערג, משה | טשערטאָוו, אַלעקס | טשערנאַווסקי, יוסף		
ORG-C00157_Q01	ORG-C00340_Q01	ליבערטי-טעאַטער	נעשאָנאַל-טעאַטער	Theatre	Theatre	ניו יאָרק | ניו-יאָרק | ניויאָָרק | פּראָווינץ	ניו יאָרק | ניו יאָרקער | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער | ניו-יאָרק		118		National Theatre	SPLIT	ALIGN	15	0.098	4.48	אָלשאַנעצקי, אַלעקסאַנדער [יהושע] | באַדין, מאַקס [מוני באַדיאַן] | בלאַנק לעאָן | בלום סעם [אַלעקסאַנדער] | ווייסמאַן, בעסי | טאַבאַק, אַננאַ | כאַראַז, לעאָן | לעבעדיעוו, וויעראַ [רבקה שעכטמאַן]		
ORG-C00089	ORG-C00633_Q01	ווינדזאָר-טעאַטער	פּיפּלס-טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יארק | ניו יאָָרק | ניו יאָרק | ניו-יאָרק | ניו-יאָרקער	ניו יאָרק | ניו יארק | ניו יאָרק | ניו-יאָרק | ניו-יאָרקער | ניוּ-יאָרק	134	120	Windsor Theatre	People's Theatre NY	ALIGN	ALIGN	16	0.136	4.463	גאָלדבערג, לואי | וויינטרויב, זיגמונט | ווייסמאַן, ראובן | טאָמאַשעווסקי, בעסי [ברכה באומפעלד-קויפמאַן] | טאָמאַשעווסקי, עני | מאַרקס, דאָלף [ראָדקינסאָן] | מאָגולעסקאָ, זיגמונט [זעלייג מאָגילעווסקי] | עדעלשטיין, יאָזעף (יוסף)		
ORG-C00174_Q01	ORG-C00257_Q01	צוקונפט	פֿאַרווערטס	Journals/ Newspapers	Journals/ Newspapers	נ. י | נ. י. | ניו יאָרק | ניו יארק | ניו יאָרק | ניו-יאָרק	נ. י. | ניו יאָרק | ניו-יאָרק | ניויאָרק	225	692	Di tsukunft- די צוקונפט	פֿאַרווערטס	ALIGN	ALIGN	13	0.116	4.383	אייסען אַברהם, דר. | דזשאַקלין-האַמער, שרה | ווינטשעווסקי, מאָריס [בנציון נאָוואָכאָוויטש] | וולאַדעק, ב. [ברוך-נחמן טשאָרני] | לעווין, ז. | מילך, יעקב | סערדאַצקי, יענטע (רייבּמאַן] | עפּשטיין, אַלטער		
ORG-C00054	ORG-C01140	פישזאָן	סאָבסיי	Traveling Company	Traveling Company	אָדעס | ווילנע | יעקאַטערינאָסלאָוו | יעקאָטעדינאָסלאָוו | פּעטערבורג | קעשעניעוו | ראָוונע	אָדעם | אָדעס | ווילנע | יעקאַטערינאָסלאָוו | קאָלאַראַש | קעלץ | קעשענעוו | ריגע	362	373	"Poale Zion (""Workers of Zion"")"	סאָביים טרופּע	ALIGN	ALIGN	13	0.191	4.336	אַריעל, חיים דוד | אַריעל, רחל | אַריעל, רחל | גוזיק, יעקב | וויינבערג, סאָניע [קאַרל] | יערמאָלינאַ=ווייסמאן, ראָזאַ [רחל יאַרמאָלינצער] | ליכטענשטיין, משה | נאַטאַן, נעמי [לעווענטאַל]		
ORG-C00180_Q01	ORG-C00353	יידישן קונסט-טעאַטער	אוירווינג פלייס טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יארק | ניו יאָָרק | ניו-יאָרק | ניו-יאָָרק	ניו יאָרק | ניו יאָָרק | ניו- יאָרק | ניו-יאָרק	1459	116	יידישן קונסט-טעאַטער (ניו יאָרק)	Irwing Place (Deutsches) Theatre	ALIGN	ALIGN	15	0.099	4.328	אַדלער צילע | אַרנשטיין, מאַרק | בודאַנאָוו, בעסי [בודניק] | בלייך, יהודה | גאָטעספעלד חנאַ | גיבסאָן, מיכל [גזשיבאָוויטש] | ווינאָגראָדאָוו, אַנאַטאָל [נפתלי-הערץ גליקמאַן] | זיידענבערג, לעאָן [דוד-לייב זיידענווערג]		
ORG-C00089	ORG-C00340_Q01	ווינדזאָר-טעאַטער	נעשאָנאַל-טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יארק | ניו יאָָרק | ניו יאָרק | ניו-יאָרק | ניו-יאָרקער	ניו יאָרק | ניו יאָרקער | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער | ניו-יאָרק	134	118	Windsor Theatre	National Theatre	ALIGN	ALIGN	14	0.086	4.098	בלאַנק לעאָן | בעלזער, יודל [ספּיוואַק] | גאָלדבערג, לואי | גאָלדשטיין, יעקב | גילראָד לואי | טאָמאַשעווסקי, בעסי [ברכה באומפעלד-קויפמאַן] | טאָמאַשעווסקי, עני | עדעלשטיין, יאָזעף (יוסף)		
ORG-C00633_Q01	ORG-C00684	פּיפּלס-טעאַטער	גרענד-טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יארק | ניו יאָרק | ניו-יאָרק | ניו-יאָרקער | ניוּ-יאָרק	ניו יאָרק | ניו יארק | ניו-יאָרק | ניוּ-יאָרק	120	115	People's Theatre NY	Grand Theatre	ALIGN	ALIGN	13	0.113	3.919	אַדלער, יעקב פּ. [יעקב בן פּנחס] | טאָמאַשעווסקי, עני | טענענהאָלץ, אליהוּ | טעפּליצקי, מענדעל | לאַוויץ, פּעפּי [פלפּול] | ליבּין, ז. [ישראל-זלמן הוּרוויטש] | מאָריסאָן, מאָריטץ [משה קאָהן] | פאַרנעס, נייטאָן		
ORG-C00157_Q01	ORG-C00682	ליבערטי-טעאַטער	סעקאָנד עוועניו טעאַטער	Theatre	Theatre	ניו יאָרק | ניו-יאָרק | ניויאָָרק | פּראָווינץ	New York | ניו יאָרק | ניו יארק | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער		128		סעקאָנד עוועניו טעאַטער	SPLIT	ALIGN	13	0.106	3.867	גראָפּער איידאַ [בריה] | וואולף, סיימאַן [שמחה] | טאַבאַק, אַננאַ | יאָוועליר, קלמן | יאָנג, קלאַראַ [חיה-ריסיע שפּיקאָליצער] | לעבעדיעוו, וויעראַ [רבקה שעכטמאַן] | מיכאַלעסקאָ, מיכאל [ווייסבּלאַט] | נאַטאַנסאָן, דזשוליוס (יוליוס, חנינא)		
ORG-C00096_Q01	ORG-C00340_Q01	פֿאָלקס-טעאַטער	נעשאָנאַל-טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יאָרק | ניו-יאָרק	ניו יאָרק | ניו יאָרקער | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער | ניו-יאָרק		118		National Theatre	DEFER	ALIGN	13	0.086	3.814	גאָלדשטיין, יעקב | וויינטרויב, רכקה [פוספעלד] | ווילנער, מאַקס, ר | טראָסבערג, משה | יושקעוויטש, סעמיאָן | לובריצקי, גאָלדע | סימקאָף, שיינע-רחל (זאַמקאָוו] | פּאַסטערנאַק, ווילי		
ORG-C00180_Q01	ORG-C00682	יידישן קונסט-טעאַטער	סעקאָנד עוועניו טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יארק | ניו יאָָרק | ניו-יאָרק | ניו-יאָָרק	New York | ניו יאָרק | ניו יארק | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער	1459	128	יידישן קונסט-טעאַטער (ניו יאָרק)	סעקאָנד עוועניו טעאַטער	ALIGN	ALIGN	13	0.075	3.798	"אַדלער צילע | בראַנדט, לואי [„מאָטעלע""] | גאָטעספעלד חנאַ | וואָליער, דזשעני | טראָסבערג, משה | טשערטאָוו, אַלעקס | לאַקס, ליליען [בורשטיין] | קאַליש, בערטאָ"		
ORG-C00184_Q01	ORG-C03400	מאָסקווער יידישן מלוכה-טעאַטער	מאָסקווער יידישע טעאַטראַלע שול	Theatre	Education	באַקו | באַקוו | טאַשקענט | לענינגראָד | מאָסקווע | מאָסקווער | קיעוו	מאָסקווע | מאָסקווער	412	1505	The Russian State Theatre	מאָסקווער יידישע טעאַטראַלע שול	ALIGN	NEW	6	0.109	3.786	מאַרמאָ, גרישאַ | מוראַק יאָסל | מיידעלמאַן, באָריס, | קיגעל, יוסף | ראַטנער, מאַניע | ראָזענבערג, אַברהם		
ORG-C00353	ORG-C00682	אוירווינג פלייס טעאַטער	סעקאָנד עוועניו טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יאָָרק | ניו- יאָרק | ניו-יאָרק	New York | ניו יאָרק | ניו יארק | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער	116	128	Irwing Place (Deutsches) Theatre	סעקאָנד עוועניו טעאַטער	ALIGN	ALIGN	13	0.088	3.738	אַדלער צילע | אָשעראָוויטש, מ. | בולמאַן, גוירטי | בירנבוים, לואיס [יעקב לייב] | בלייך, יהודה | גאָטעספעלד חנאַ | גילראָד לואי | זאַץ, לודווייג [לוי יצחק]		
ORG-C00340_Q01	ORG-C00684	נעשאָנאַל-טעאַטער	גרענד-טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יאָרקער | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער | ניו-יאָרק	ניו יאָרק | ניו יארק | ניו-יאָרק | ניוּ-יאָרק	118	115	National Theatre	Grand Theatre	ALIGN	ALIGN	12	0.075	3.701	באַדין, מאַקס [מוני באַדיאַן] | דזשייקאָבס, בעטי [טרייטלער] | זיידמאַן, בּעני | טאָמאַשעווסקי, עני | טעפּליצקי, מענדעל | לאַוויץ, פּעפּי [פלפּול] | מאָריסאָן, מאָריטץ [משה קאָהן] | פאַרנעס, נייטאָן		
ORG-C00390	ORG-C00595	לענאָקס-טעאַטער	פּראָספּעקט-טעאַטער	Theatre	Theatre	בראַנקס | בראנקס | האַדלעם | האַרלעם | האָבלעם | האָרלעם | ניו יאָרק | ניו-יאָרק | ניויאָרק	בראַנקס | בראָנקס | ניו יאָרק | ניו-יאָרק | ניויאָרק	140	364	Lenox Theater	Prospect Theatre	ALIGN	ALIGN	12	0.176	3.688	גאָלדבערג, נייטאָן | גראָלל, טשאַרלס וו. | דזשייקאָבס, דזשייקאָב [יעקב יאָקובאָוויטש] | וואולף, סיימאַן [שמחה] | מעלצער, איזידאָר | נעסטאָר משה | פּאָלאַנד, טאַניאַ | פּערלמוטער, אַרנאָלד (אַהרל׳ע)		
ORG-C00360_Q01	ORG-C00384	האָפּקינסאָן-טעאַטער	יידישער אַקטיאָרן-יוניע	Theatre	Theatre-related Society/ Union	ברוקליינער | ברוקלין | ברוקלינער	ניו יאָרק | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | פֿילאָדעלפיע	282	442	Hopkinson Theatre	Yiddish artists union	ALIGN	ALIGN	13	0.087	3.621	אַדלער, דזשוליוס [יואל] | אוישער משה | בלייך, יהודה | וואולף, סיימאַן [שמחה] | וויטלער, בן ציון | יחסן, מרדכי | לאָהנפעלד, סעמיוּעל | עפּשטיין, וויליאַם (הלל)		
ORG-C00338_Q01	ORG-C00682	ליריק-טעאַטער	סעקאָנד עוועניו טעאַטער	Theatre	Theatre	ברוקלין	New York | ניו יאָרק | ניו יארק | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער	176	128	ליריק-טעאַטער	סעקאָנד עוועניו טעאַטער	ALIGN	ALIGN	12	0.099	3.591	"בראַנדט, לואי [„מאָטעלע""] | גילראָד לואי | גראָפּער איידאַ [בריה] | וואולף, סיימאַן [שמחה] | טראָסבערג, משה | יאָוועליר, קלמן | ליפשיץ, פֿריידעלע | סאַקס, מיכאַאיל [סאַדייגורסקי]"		
ORG-C00340_Q01	ORG-C00595	נעשאָנאַל-טעאַטער	פּראָספּעקט-טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יאָרקער | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער | ניו-יאָרק	בראַנקס | בראָנקס | ניו יאָרק | ניו-יאָרק | ניויאָרק	118	364	National Theatre	Prospect Theatre	ALIGN	ALIGN	12	0.078	3.54	גאָלדבערג, נייטאָן | דזשייקאָבס, דזשייקאָב [יעקב יאָקובאָוויטש] | טאָמאַשעווסקי, בעסי [ברכה באומפעלד-קויפמאַן] | מייזיל, נחמן | מיכאַלעסקאָ, מיכאל [ווייסבּלאַט] | פּאַסטערנאַק, ווילי | פּערלמוטער, אַרנאָלד (אַהרל׳ע) | פינקעל, לוסי		
ORG-C00340_Q01	ORG-C00634	נעשאָנאַל-טעאַטער	קעסלערס סעקאָנד עוועניו טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יאָרקער | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער | ניו-יאָרק	ניו יאָרק | ניו יאָרקער | ניו-יאָרק	118	128	National Theatre	סעקאָנד עוועניו טעאַטער	ALIGN	ALIGN	12	0.085	3.532	ווייסמאַן, בעסי | ווילנער, מאַקס, ר | טאָמאַשעווסקי, בעסי [ברכה באומפעלד-קויפמאַן] | טאָמאַשעווסקי, עני | לעבעדיעוו, אהרן | לעווין, לוסי (ליבע) | לעש, יצחק [איזידאָר לעשטשינסקי] | מאָריסאָן, מאָריטץ [משה קאָהן]		
ORG-C01140	ORG-C04097	סאָבסיי	קאָמפּאַנעעץ	Traveling Company	Traveling Company	אָדעם | אָדעס | ווילנע | יעקאַטערינאָסלאָוו | קאָלאַראַש | קעלץ | קעשענעוו | ריגע	וואַרשע | לאָדזש | קאַווקאַז | קיעוו | ריגע	373	302	סאָביים טרופּע	קאָמפּאַניעיעצ'ס טרופּע	ALIGN	ALIGN	12	0.158	3.509	אַריעל, רחל | אַריעל, רחל | גלאַזונאָוו, נאָאום [נחמן גלאָזמאַן] | וויינבערג, סאָניע [קאַרל] | וויינבערג, שמואל | זאַסלאַווסקי, רודאָלף [ראובן-לייב] | נאַטאַן, נעמי [לעווענטאַל] | נאַטאַן, נעמי [לעווענטאַל]		
ORG-C00353	ORG-C00633_Q01	אוירווינג פלייס טעאַטער	פּיפּלס-טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יאָָרק | ניו- יאָרק | ניו-יאָרק	ניו יאָרק | ניו יארק | ניו יאָרק | ניו-יאָרק | ניו-יאָרקער | ניוּ-יאָרק	116	120	Irwing Place (Deutsches) Theatre	People's Theatre NY	ALIGN	ALIGN	13	0.096	3.503	אַדלער צילע | בירנבוים, לואיס [יעקב לייב] | בלייך, יהודה | גאָלדקנאָפּ, אַברהם דר. | וויינבלאַט, טשאַרלס [קלמן] | וויינטרויב, זיגמונט | ווילנער, מאַקס, ר | וועקסלער יעקב		
ORG-C00340_Q01	ORG-C00353	נעשאָנאַל-טעאַטער	אוירווינג פלייס טעאַטער	Theatre	Theatre	ניו יאָרק | ניו יאָרקער | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער | ניו-יאָרק	ניו יאָרק | ניו יאָָרק | ניו- יאָרק | ניו-יאָרק	118	116	National Theatre	Irwing Place (Deutsches) Theatre	ALIGN	ALIGN	12	0.067	3.475	אָשעראָוויטש, מ. | גילראָד לואי | ווילנער, מאַקס, ר | זאַץ, לודווייג [לוי יצחק] | זיבּעל, עלאַ | טשערנאַווסקי, יוסף | יושקעוויטש, סעמיאָן | לאַוויץ, פּעפּי [פלפּול]		
