n	play	page	line_id	offset	span	line	url
1376	MS_YoysefInEgipten	0033_30778098.xml	r1l20	0	שרייענדיג%	שרייענדיג%	https://app.transkribus.org/collection/2372172/doc/826832/detail/33
1377	MS_YoysefInEgipten	0034_30778100.xml	r2l2	0	%ער גיט זייא, קונדער אפ%	%ער גיט זייא, קונדער אפ%	https://app.transkribus.org/collection/2372172/doc/826832/detail/34
1378	MS_YoysefInEgipten	0035_30778102.xml	r1l10	37	%ער ווייזט אופין זאך%	זיך פאר שטעלן אז דָאס איז מיין פאנד. %ער ווייזט אופין זאך%	https://app.transkribus.org/collection/2372172/doc/826832/detail/35
1379	MS_YoysefInEgipten	0036_30778104.xml	r2l4	6	%ער נעמט זיך שלאגען מיטין זאך דיא ברידער הערשיינען	נא נא %ער נעמט זיך שלאגען מיטין זאך דיא ברידער הערשיינען	https://app.transkribus.org/collection/2372172/doc/826832/detail/36
1380	MS_YoysefInEgipten	0036_30778104.xml	r2l5	0	בלייבען הערשטינט%	בלייבען הערשטינט%	https://app.transkribus.org/collection/2372172/doc/826832/detail/36
1381	MS_YoysefInEgipten	0036_30778104.xml	r2l6	20	%ער שטעלט אים יאף%	יהודה וואס איז דאס? %ער שטעלט אים יאף%	https://app.transkribus.org/collection/2372172/doc/826832/detail/36
1382	MS_YoysefInEgipten	0036_30778104.xml	r1l9	0	%יעקב העשיינט מיט דא טעכטער אין אייניקליך%	%יעקב העשיינט מיט דא טעכטער אין אייניקליך%	https://app.transkribus.org/collection/2372172/doc/826832/detail/36
1383	MS_YoysefInEgipten	0040_30778111.xml	r1l22	0	ענדע 4 טער אקט	ענדע 4 טער אקט	https://app.transkribus.org/collection/2372172/doc/826832/detail/40
1384	MS_YoysefInEgipten	0041_30778112.xml	r2l2	0	%אין עגיפטען ביי יוסיפין%	%אין עגיפטען ביי יוסיפין%	https://app.transkribus.org/collection/2372172/doc/826832/detail/41
1385	MS_YoysefInEgipten	0041_30778112.xml	r1l13	36	%ברוז%	קאהר עס זאהל גישעהן עס זאהל גישעהן. %ברוז%	https://app.transkribus.org/collection/2372172/doc/826832/detail/41
1386	MS_YoysefInEgipten	0041_30778112.xml	r1l17	0	%עגעשעט%	%עגעשעט% אלע ברידער מוזען צו זאלען צו זאמען	https://app.transkribus.org/collection/2372172/doc/826832/detail/41
1387	MS_YoysefInEgipten	0044_30778118.xml	r2l12	7	%קייעט%	הערשער %קייעט%	https://app.transkribus.org/collection/2372172/doc/826832/detail/44
1388	MS_YoysefInEgipten	0044_30778118.xml	r1l13	6	%מאכט דיא אויגענצען%	בנימן %מאכט דיא אויגענצען% דא זעה איך אים, דאס איצט	https://app.transkribus.org/collection/2372172/doc/826832/detail/44
1389	MS_YoysefInEgipten	0045_30778119.xml	r3l1	34	%אומווארמונג%	איזט דאס מעגליך? יוסף מיין ברודער %אומווארמונג%	https://app.transkribus.org/collection/2372172/doc/826832/detail/45
1390	MS_YoysefInEgipten	0045_30778119.xml	r1l26	44	%זינגען %	יוסף אין דיין וועלען וויס אלע גליקליך לעבען %זינגען %	https://app.transkribus.org/collection/2372172/doc/826832/detail/45
