db_id	canonical_yiddish	org_type	linked_cluster_ids	mentions	n_settlements	extracted_settlements	extracted_addresses	extracted_venues	extracted_countries	is_generic	is_exploded	parent_db_id	confirmed_settlement	confirmed_settlement_yiddish	confirmed_address	confirmed_address_romanized	lat	lon	reviewer_notes	confirmed_locations	reviewer	reviewed_at
361	Plaza Theatre	Theatre		0	0																	
123	Poole's Theatre	Theatre		0	0		Eighth Street and Third Avenue, Manhattan, NY															
364	Prospect Theatre	Theatre		0	0																	
365	Public Theatre (Folks Theatre)	Theatre		0	0																	
124	Ringtheater	Theatre		0	0		Schottenring 7, Vienna															
125	Roumanian Opera House|Central Theatre	Theatre		0	0		104-106 Bowery, Manhattan, NY															
163	Royal Theatre (Harry Bernstein)	Theatre		0	0		12222 Madison Avenue, Lakewood, Cleveland															
371	Rumanian Opera (National Theatre in Bucharest)	Theatre		0	0																	
148	Salon Erfoon Espanol	Theatre		0	0		Piedras 534, Buenos Aires															
126	Salon Garibaldi	Theatre		0	0		Sarmiento 2419, Buenos Aires															
381	Satz Public Theatre	Theatre		0	0																	
127	Schildkraut Theatre	Theatre		0	0																	
128	Second Avenue Theatre	Theatre		0	0		189 Second Avenue, Manhattan, NY															
387	Sincoff's Metropolitan Theatre	Theatre		0	0																	
175	Sommertheater im botanischen Garten	Theatre		0	0		Botanic Garden, Vilnius															
393	Standard Theatre	Theatre		0	0																	
173	Teater Ermitage	Theatre		0	0		Bonifraterska street 14, Muranow, Warsaw															
129	Terrace Garden Theatre	Theatre		0	0		58th Street and Lexington, Manhattan, NY															
130	Thalia Theatre|Bowery Theatre	Theatre		0	0		46-48 Bowery, Manhattan, NY															
402	The Gayety Theatre	Theatre		0	0																	
404	The Hebrew Dramatic Club	Theatre		0	0																	
32	The Hebrew Opera and Dramatic Company	Theatre		0	0																	
406	The Lyceum Theatre	Theatre		0	0																	
407	The Monument-National Theatre	Theatre		0	0																	
408	The Pavilion Theatre	Theatre		0	0																	
409	The Peoples Theatre Detroit	Theatre		0	0																	
410	The Public Theatre	Theatre		0	0																	
33	The Roumanian Opera Company	Theatre		0	0																	
412	The Russian State Theatre	Theatre		0	0																	
31	The Russian-Jewish Opera Company	Theatre		0	0																	
416	The Yiddish Art Theatre (as stable theatre)	Theatre		0	0																	
419	The Yiddish Theatre Society	Theatre		0	0																	
401	Theatre Royal	Theatre		0	0																	
156	Thomashefsky Theatre	Theatre		0	0																	
151	Tsentral Theater	Theatre		0	0		Leshno st. 1, Warsaw															
131	Turn Hall	Theatre		0	0		66-68 Fourth Street, Manhattan, NY															
149	Turner Hall	Theatre		0	0		West 12th street, Chicago															
