ts	kind	result_db	qid	org_type	target_cluster	target_yiddish	n_partners	partners	partner_yiddish
2026-06-20T10:00:38Z	NEW_DB	1105	Q656	Education	ORG-C04613_Q01	גראַנאָווסקיס סטודיע	1	ORG-C01617	יידישער טעאַטער-סטודיע פֿון אַל
2026-06-20T10:01:02Z	NEW_DB	1106	Q656	Theatre	ORG-C01791	טעאַטער פֿון וו. פֿ. קאָמיסאַר-ז	1	ORG-C02263	קאָמיסאַרזשעווסקאַס טעאַטער
2026-06-20T10:01:47Z	INTO_EXISTING		Q656	Theatre	db:117		1	ORG-C00942_Q02	מאַרינסקי טעאַטער
2026-06-20T10:04:54Z	NEW_DB	1107	Q1874	Education	ORG-C00001_Q08	קאָנסערוואַטאָריע	2	ORG-C00091_Q02,ORG-C00094_Q02	קאָנסערוואַטאָריום | אָרטיקער קאָנסערוואַטאָריע
2026-06-20T10:05:20Z	NEW_DB	1108	Q1874	Theatre	ORG-C01937_Q01	טעאַטער נאָווי	1	ORG-C04084	נאָווי-טעאַטער
2026-06-20T10:05:48Z	NEW_DB	1109	Q1874	Theatre	ORG-C00644	מיניאַטור-טעאַטער „קאָמעטא“	1	ORG-C03360_Q01	קאָמעטאַ (אָדעס)
2026-06-20T10:06:19Z	NEW_DB	1110	Q1874	Theatre	ORG-C00180_Q05	יידישן קונסט-טעאַטער	1	ORG-C03191_Q01	יידיש קינסטלעריש טעאַטער
2026-06-20T10:06:49Z	INTO_EXISTING		Q1874	Theatre	db:354		1	ORG-C00422_Q03	שטאָט-טעאַטער
2026-06-20T10:54:58Z	INTO_EXISTING		Q216	Theatre	db:541		1	ORG-C02338_Q01	ערשטער יידישער פֿאָלקס-טעאַטער
2026-06-20T10:57:47Z	INTO_EXISTING		Q216	Theatre	db:541		3	ORG-C00096_Q04,ORG-C00840_Q01,ORG-C02338_Q01	פֿאָלקס-טעאַטער (ווילנע) | יידישן פֿאָלקס-טעאַטער | ערשטער יידישער פֿאָלקס-טעאַטער
2026-06-20T11:14:37Z	NEW_DB	1112	Q216	Theatre	ORG-C00036_Q05	רוסישן טעאַטער	2	ORG-C00422_Q05,ORG-C05869	שטאָט-טעאַטער | ווילנער רוסישן שטאָטטעאַטער
