kind	id	city	miscls_theatre	duplicate	name_latin	QID	historic_address	current_address	comments
cluster	ORG-C00873_Q02	Vienna			Miniatur-Theater				
cluster	ORG-C00894	Vienna		yes	Teater Reklam				
cluster	ORG-C00896	Vienna		yes	Carltheater	Q877699		Praterstraße 31, 1020 Wien	
cluster	ORG-C00899	Vienna							Jiddische Künstler-Spielen/ Yiddish Artists' Plays
cluster	ORG-C01001	Vienna							Der goldene Pfau (poem by Moyshe-Leyb Halpern??)
cluster	ORG-C01224_Q01	Vienna			Jüdische Bühne um Schulim Podzamcze			quite long Hotel Stefanie (Taborstraße 12, 1020 Wien)	
cluster	ORG-C01256	Vienna		yes	Ringtheater	Q441937		Schottenring 7, 1010 Wien	
cluster	ORG-C01279	Vienna		yes	Teater Reklam				
cluster	ORG-C01360	Vienna							Jiddische Künstler-Spielen/ Yiddish Artists' Plays
cluster	ORG-C01387_Q05	Vienna							Yiddish Theatre
cluster	ORG-C01573	Vienna							Maybe Godl Kurazh (actor)???
cluster	ORG-C01929	Vienna			Probaly Moritz Edelhofer (director)??/ Edelhofers Volksorpheum/ Leopoldstädter Orpheum			Rotensterngasse 7a, 1020 Wien	
cluster	ORG-C01946	Vienna			Wiener Kaiserliche Theater/ Burgtheater	Q109377820		Universitätsring 2, 1010 Wien	
cluster	ORG-C01947	Vienna			Wiener Staatsoper	Q209937		Opernring 2, 1010 Wien	
cluster	ORG-C02629	Vienna							Jiddische/ Jüdische Bühne Wien // Yiddish/ Jewish Stage Vienna
cluster	ORG-C02630	Vienna							Deutsche Theater/ German theatres (probably the big “Assimilation stages”)
cluster	ORG-C02692	Vienna							Wiener Jiddische Bühne/ Vienna Yiddish Theatre
cluster	ORG-C02779	Vienna		yes	Teater Reklam				
cluster	ORG-C03006	Vienna		yes	Wiener Freie Jiddische Volksbühne	Q125212717	different addresses from 1919-1930		
cluster	ORG-C03058	Vienna		yes	Teater Reklam				
cluster	ORG-C03060_Q01	Vienna			Astor-Theater Wien			probably Praterstraße 60, 1020 Wien	
cluster	ORG-C03103	Vienna							Jiddisches Künstlerkabarett/ Yiddish artists' cabaret
cluster	ORG-C03719	Vienna		yes	Probably Wiener Bürgertheater	Q1713589		Vordere Zollamtsstraße 13, 1030 Wien	
cluster	ORG-C03999	Vienna		yes	Carltheater	Q877699		Praterstraße 31, 1020 Wien	
cluster	ORG-C04060	Vienna		yes	Wiener Freie Jiddische Volksbühne	Q125212717	different addresses from 1919-1930		
cluster	ORG-C04301	Vienna		yes	Zum goldenen Widder		Taborstraße 36, 1020 Wien		
cluster	ORG-C04830	Vienna		yes	Hotel Stefanie	Q1399214		Taborstraße 12, 1020 Wien	
cluster	ORG-C04850	Vienna		yes	Hotel Stefanie	Q1399214		Taborstraße 12, 1020 Wien	
cluster	ORG-C04853	Vienna			Kammerspiele	Rotenturmstraße 20, 1010 Wien		Rotenturmstraße 20, 1010 Wien	
cluster	ORG-C05107	Vienna			Verein Zion				Zion Association
cluster	ORG-C05204	Vienna			Bayrische Hof			Taborstraße 39, 1020 Wien	
cluster	ORG-C05218	Vienna		yes	Hotel Stefanie	Q1399214		Taborstraße 12, 1020 Wien	
cluster	ORG-C05581	Vienna							Wiener Jiddische Bühne/ Vienna Yiddish Theatre
cluster	ORG-C05636	Vienna		yes	Wiener Freie Jiddische Volksbühne	Q125212717	different addresses from 1919-1930		
cluster	ORG-C05773	Vienna		yes	Carltheater	Q877699		Praterstraße 31, 1020 Wien	
cluster	ORG-C05905	Vienna							Deutsche Café-Concerts/ Singspielhallen// German café-concerts / music halls
cluster	ORG-C05963	Vienna							Jiddisches Kunsttheater auf Deutsch/ Yiddish Art Theatre in German
cluster	ORG-C05964	Vienna							Jahr nach der Bühne/ year after leaving the stage ???
cluster	ORG-C06109	Vienna		yes	Wiener Freie Jiddische Volksbühne	Q125212717	different addresses from 1919-1930		
cluster	ORG-C06365	Vienna							Der goldene Pfau (poem by Moyshe-Leyb Halpern??)
