original_type	auto_canonical	ra_canonical	n_rows	status	tag_total_rows	tag_disagree_rows
home	Not an organization		2	ra_blank	2	0
hotel	Business	Business	8	agree	8	0
house of prayer	Religious institutions/organizations	Religious institutions/organizations	2	agree	2	0
insurance	Business		2	ra_blank	2	0
journal	Journals/ Newspapers	Journals/ Newspapers	17	agree	17	0
labor camp	Not an organization		4	ra_blank	4	0
law_firm	Business		2	ra_blank	2	0
literary collection	OTHER - elaborate!		1	ra_blank	1	0
lodge	OTHER - elaborate!		2	ra_blank	2	0
media	Media (Radio/ Film/TV)	Media (Radio/ Film/TV)	2	agree	2	0
medical institution	Health institutions		2	ra_blank	2	0
military	Military	Military	37	agree	37	0
military organization	Military		1	ra_blank	1	0
movement	Political bodies	Political bodies	34	agree	34	0
museum	Heritage Institution	Heritage Institution	41	agree	41	0
news agency	Media (Radio/ Film/TV)		2	ra_blank	2	0
newspaper	Journals/ Newspapers	Journals/ Newspapers	2124	agree	2124	0
newspaper/journal	Journals/ Newspapers	Journals/ Newspapers	4	agree	4	0
office	Political bodies	Political bodies	6	agree	6	0
orchestra	Musical organization	Musical organization	5	agree	5	0
org	OTHER - elaborate!	OTHER - elaborate!	7	agree	7	0
parliament	Political bodies	Political bodies	5	agree	5	0
party	Political bodies	Political bodies	109	agree	109	0
party branch	Political bodies		2	ra_blank	2	0
periodical	Journals/ Newspapers	Journals/ Newspapers	2	agree	2	0
pharmacy	Business		2	ra_blank	2	0
philanthropic society	OTHER - elaborate!		2	ra_blank	2	0
philharmonic	Musical organization	Musical organization	2	agree	2	0
political movement	Political bodies	Political bodies	6	agree	6	0
political organization	Political bodies	Political bodies	4	agree	4	0
political_circle	Political bodies		2	ra_blank	2	0
political_party	Political bodies	Political bodies	37	agree	37	0
production	Business		2	ra_blank	2	0
publisher	Publisher	Publisher	1000	agree	1000	0
radio	Media (Radio/ Film/TV)	Media (Radio/ Film/TV)	51	agree	51	0
radio program	Media (Radio/ Film/TV)	Media (Radio/ Film/TV)	6	agree	6	0
radio_station	Media (Radio/ Film/TV)	Media (Radio/ Film/TV)	21	agree	21	0
refugee_camp	Not an organization		2	ra_blank	2	0
relief society	OTHER - elaborate!		2	ra_blank	2	0
religious	Religious institutions/organizations		2	ra_blank	2	0
religious court	Religious institutions/organizations		2	ra_blank	2	0
religious_group	Religious institutions/organizations	Religious institutions/organizations	2	agree	2	0
religious_institution	Religious institutions/organizations	Religious institutions/organizations	25	agree	25	0
religious_organization	Religious institutions/organizations	Religious institutions/organizations	6	agree	6	0
research institute	Education		2	ra_blank	2	0
residence	Not an organization		2	ra_blank	2	0
resort	Not an organization		1	ra_blank	1	0
restaurant	Business	Business	6	agree	6	0
revolutionary organization	Political bodies		2	ra_blank	2	0
saloon	Business	Business	4	agree	4	0
shop	Business	Business	2	agree	2	0
shul	Religious institutions/organizations		4	ra_blank	4	0
social organization	OTHER - elaborate!		3	ra_blank	3	0
social_relief_org	OTHER - elaborate!		2	ra_blank	2	0
state_government	Political bodies		2	ra_blank	2	0
state_institution	Political bodies		2	ra_blank	2	0
student_organization	Education		2	ra_blank	2	0
synagogue choir	Religious institutions/organizations		2	ra_blank	2	0
tavern	Business		2	ra_blank	2	0
television	Media (Radio/ Film/TV)	Media (Radio/ Film/TV)	10	agree	10	0
temple	Religious institutions/organizations	Religious institutions/organizations	2	agree	2	0
theatre	Theatre	Theatre	8993	agree	8993	0
theatre organization	Society/ Union	Society/ Union	4	agree	4	0
theatre studio	Theatre education		2	ra_blank	2	0
theatre troupe	Traveling Company		2	ra_blank	2	0
theatre_group	Traveling Company		2	ra_blank	2	0
theatre_society	Society/ Union	Society/ Union	5	agree	5	0
theatre_union	Society/ Union	Society/ Union	4	agree	4	0
troupe	Traveling Company	Traveling Company	4777	agree	4777	0
tv	Media (Radio/ Film/TV)		2	ra_blank	2	0
union branch	Society/ Union		2	ra_blank	2	0
union drama circle	Amateur		2	ra_blank	2	0
union/association	Society/ Union	Society/ Union	1	agree	1	0
university	Education	Education	21	agree	21	0
venue	Theatre		2	ra_blank	2	0
welfare organization	OTHER - elaborate!		3	ra_blank	3	0
workplace	Labour	Labour	10	agree	10	0
אַרמיי	Military		2	ra_blank	2	0
אַרמעע	Military		2	ra_blank	2	0
אָרקעסטער	Musical organization	Musical organization	2	agree	2	0
אינסטיטוט	Education		1	ra_blank	1	0
ארגאניזאציע	OTHER - elaborate!	OTHER - elaborate!	2	agree	2	0
ארמיי	Military	Military	4	agree	4	0
בינע	Theatre		1	ra_blank	1	0
דרוקעריי	Printer	Printer	4	agree	4	0
זשורנאַל	Journals/ Newspapers		1	ra_blank	1	0
טעאַטער	Theatre	Theatre	37	agree	37	0
טעאַטער-קאָלעקטיוו	Traveling Company		1	ra_blank	1	0
טרופּע	Traveling Company	Traveling Company	40	agree	40	0
יוגנט-אָרגאַניזאַצע	Education		2	ra_blank	2	0
יוניע	Society/ Union		1	ra_blank	1	0
כאָר	Musical organization	Musical organization	1	agree	1	0
ליטעראַריש-דראַמאַטישע געזעלשאַפט	Society/ Union		2	ra_blank	2	0
מוזיי	Heritage Institution		2	ra_blank	2	0
פּאַרטיי-אָרגאַניזאַציע	Political bodies	Political bodies	2	agree	2	0
פאַריין	Society/ Union	Society/ Union	3	agree	3	0
פארטיי	Political bodies	Political bodies	2	agree	2	0
קאָמיטעט	Political bodies		4	ra_blank	4	0
קאָמיסאַריאָט	Political bodies		3	ra_blank	3	0
קרוזשאָק	OTHER - elaborate!		2	ra_blank	2	0
שול	Religious institutions/organizations	Religious institutions/organizations	2	agree	2	0
