db_id	name	org_type	address	linked_cluster_ids
299	Keni Lipzin Troupe (star tour)	Company on Tour		
300	Khayim Abramovitsh Troupe	Traveling Company		
301	Kinder Zhurnal (Children's Journal)	Journals/ Newspapers		
302	Kompaneyets Troupe	Traveling Company		
303	Kopilov Troupe	Traveling Company		
304	Krause-Spivakovski Troupe	Traveling Company		
305	Krause Troupe	Traveling Company		
306	Kunst-Ring	Society/ Union		
307	Kunst vinkl	Theatre		
308	Lawndale Theatre	Theatre		
309	Lazar Bernstein Troupe	Traveling Company		
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	Printer/Publisher		
311	Lempkovitsh Troupe	Traveling Company		
312	Leon Berger Troupe	Traveling Company		
313	Leon Golubok Troupe	Traveling Company		
314	Levitan Troupe	Traveling Company		
315	Liberesco Troupe	Traveling Company		
316	Liberty Theatre	Theatre		
317	Lidia Potocka's Tour	Company on Tour		
318	Lieberman Theatre	Theatre		
319	Lira (as drama society)	Society/ Union		
320	Lira (as drama school)	Education		
321	Lit. Dram. Gesellschaft	Theatre		
322	Literarishe Trupe (Literary Troupe)	Traveling Company		ORG-C01922
323	Literarisze Bleter⁩ - ⁨ליטערארישע בלעטער	Journals/ Newspapers		
324	Literary Drama Club	Kleinkunst		
325	Littman Troupe	Traveling Company		
326	Lublin Municipal Theatre	Theatre		
327	M.D. Waxman Troupe	Traveling Company		
328	Max Gabel Theatre	Kleinkunst		
329	Meerson and Sam Adler Troupe	Traveling Company		
330	Meerson Troupe	Traveling Company		
331	Mendl Elkin's Children Theatre Studio	Company on Tour		
332	Brownsville Metropolitan Singer Hall	Theatre		
333	Michalesko guest-starring Troupe	Company on Tour		
334	Mike Thomashefsky Troupe	Traveling Company		
335	Mitelman, Baran and Gizets Troupe	Traveling Company		
336	Mitleman Troupe	Traveling Company		
337	Mogulesco Troupe	Traveling Company		
338	Mordechai Segalesco Troupe	Traveling Company		
340	Morris Akselrad Troupe	Traveling Company		
341	Moscow State Jewish Theatre	Company on Tour		ORG-C00998 | ORG-C05038
342	Moshe Schorr Troupe	Traveling Company		
343	Moshkovich troupe	Traveling Company		
344	Mount Morris Theatre	Theatre		
345	Naftali Goldfaden Troupe	Traveling Company		
346	National Opera Warsaw	Theatre		
347	Neue Lodzer Zeitung	Journals/ Newspapers		
348	New York's Public Theatre	Theatre		
349	Nordisk Film	Media (Radio/ Film)		
350	Nord Star Theatre	Theatre		
351	Nowa Gazeta	Journals/ Newspapers		
352	Nowy Dziennik	Journals/ Newspapers		
353	Nowy Teatr	Theatre		
354	Odessa Municipal Theatre	Theatre		
355	Oriental Operetta Society	Traveling Company		
356	Pavilion Theatre	Theatre		
357	People's Theater London	Theatre		
358	Peretz Society Drama studio	Education		
359	Peretz Theatre	Theatre		
360	Petrograd Theatre Society	Society/ Union		
361	Plaza Theatre	Theatre		
362	"Poale Zion (""Workers of Zion"")"	Society/ Union		
363	Progresiv dramatik klub (Progressive Drama Club)	Society/ Union		
364	Prospect Theatre	Theatre		
365	Public Theatre (Folks Theatre)	Theatre		
366	Rabinovitsh Troupe	Traveling Company		
367	Rappel Troupe	Traveling Company		
368	Rappo Circus	Circus		
369	Remeslengi Club	Kleinkunst		
370	Rosenberg and Spivakovski Troupe	Traveling Company		
371	Rumanian Opera (National Theatre in Bucharest)	Theatre		
372	Rumenish-yidish teater under the direction of Izak Libresko and Leon Berger	Traveling Company		
373	Sabsey Troupe	Traveling Company		
374	Sam Adler and Kaminski Troupe	Traveling Company		
375	Sam Adler and Spivakovski Troupe	Traveling Company		
376	Sam Adler Troupe	Traveling Company		
377	Sam Dayen Troupe	Traveling Company		
378	Samolesko Troupe	Traveling Company		
379	Sam Wallerstein Troupe	Traveling Company		
380	Sarah Adler Troupe	Traveling Company		
381	Satz Public Theatre	Theatre		
382	Serotsky and Weissman Troupe	Traveling Company		
383	Shaari tsion choral school	Education		
384	Shlifershteyn Troupe	Amateur		
385	Shomer Troupe	Traveling Company		
386	Sidney M. Goldin Productions	Media (Radio/ Film)		
387	Sincoff's Metropolitan Theatre	Theatre		
388	Sniegoff Troupe	Traveling Company		
390	Spivakovski and Weinstock Troupe	Traveling Company		
391	Spivakovski Troupe	Traveling Company		
392	Spivakovsky and Sh. Krause Troupe	Traveling Company		
393	Standard Theatre	Theatre		
394	Stein Quartet	Musical organization		
395	Stramer Troupe	Traveling Company		
396	Synagogue chorus	Musical organization		
397	teater gesselshaft	Theatre		
398	Teater un kunst	Journals/ Newspapers		
399	Teatr i Iskusstvo	Journals/ Newspapers		
400	theater Solovtsov	Theatre		
401	Theatre Royal	Theatre		
402	The Gayety Theatre	Theatre		
403	The Hebrew Actors' Union (HAU)	Society/ Union		
404	The Hebrew Dramatic Club	Theatre		
405	The Jewish National Workers' Alliance (Farband-Labor Zionist Order)	Society/ Union		
406	The Lyceum Theatre	Theatre		
407	The Monument-National Theatre	Theatre		
408	The Pavilion Theatre	Theatre		
409	The Peoples Theatre Detroit	Theatre		
410	The Public Theatre	Theatre		
411	The Royal Danish Theatre school	Education		
412	The Russian State Theatre	Theatre		
413	The St.Petersburg State Conservatory	Education		
414	The Vilna Troupe	Company on Tour		
415	The Vilna Troupe (Azro/Alomis branch)	Company on Tour		
416	The Yiddish Art Theatre (as stable theatre)	Theatre		
417	The Yiddish Art Theatre (as company on tour)	Company on Tour		
418	The Yiddish Dramatic Amateur Circle	Amateur		
419	The Yiddish Theatre Society	Theatre		
420	Tornberg Dramatic Union	Amateur		
421	Treitler Troupe	Traveling Company		
423	Tshistogorski troupe	Traveling Company		
424	Tsimerman Theatre	Traveling Company		
425	Unzer Leben⁩ - ⁨אונזער לעבען	Journals/ Newspapers		
426	Unzer teater	Company on Tour		ORG-C00837
427	Unzer vinkl (Our Corner)	Company on Tour		ORG-C00794
428	Vaksman-Spivakovski Troupe	Traveling Company		
429	Vaksman Troupe	Traveling Company		
430	Varshaver tageblat	Journals/ Newspapers		
431	Vaynshtoks, Vaynshtayns, and Goldschmidt Troupe	Traveling Company		
432	Victoria Theatre	Theatre		
433	Vikt	Company on Tour		
434	Vilna Yiddish State Theatre	Company on Tour		
435	Vilner Operetta	Traveling Company		
436	Vine Court	Kleinkunst		
437	Voskhod	Journals/ Newspapers		
438	Weinstock-Schorr Troupe	Traveling Company		
439	Wolf Litvak’s yard	Kleinkunst		
440	Wolgeschaffen Troupe	Traveling Company		
441	Wonderland Theatre	Theatre		
442	Yiddish artists union	Society/ Union		
443	Yiddish Art Theatre	Theatre		
444	Yiddish Dramatic Circle	Amateur		
445	Yiddish dramatic school	Education		
446	Yiddish Dramatic Society - דער יידיש דראמגעזעלשאפט	Amateur		
447	Yiddish Theatre Society	Society/ Union		
448	Yidishe Natsionale Radikale Shul	Education		
449	Yidishes ṭogblaṭ⁩ - ⁨יידישעס טאגעבלאט⁩⁩	Journals/ Newspapers		
450	Yidishn folks teater (Vilnius)	Theatre		
451	Yosef Goldshmidt Troupe	Traveling Company		
452	Yosef Vaynshtok Troupe	Traveling Company		
453	Yosef Veynshtok and Leon Berger Troupe	Traveling Company		
454	Yung-yidish	Society/ Union		
455	Zandberg Troupe	Traveling Company		
456	Zaslavsky Troupe	Traveling Company		
457	Zayderman Troupe	Traveling Company		
458	Zhitomirski Troupe	Traveling Company		
459	Ziegler Troupe	Traveling Company		
460	Zuntog-blat	Journals/ Newspapers		
461	דער יודישער העראלד - The Jewish herald	Journals/ Newspapers		
462	⁨⁨Der Fraynd⁩ - ⁨דער פֿרײַנד⁩⁩	Journals/ Newspapers		
463	⁨⁨Di ṿahrhayṭ⁩ - ⁨דיא ווארהייט	Journals/ Newspapers		
464	Judisches Theater	newspaper		ORG-C04844
465	בלאָך פּאָבלישינג קאָמפּאַני	publisher		ORG-C07944
466	יידישער שפּיגל	theatre		ORG-C00002
467	בלויען פויגל	troupe		ORG-C00005
468	קינדער-קאָלעקטיוו א'ר פֿון מאַרק מייערסאָן	troupe		ORG-C00008
469	ראַפּעלס טרופּע	troupe	קאַראָוואַ גאַס	ORG-C00009
470	שוואַרצבאַרדס טרופּע	troupe		ORG-C00010
471	יידישן מלוכה-טעאַטער אין באָקו	theatre		ORG-C00011
472	אָדעסער יידישן מלוכה-טעאַטער	theatre		ORG-C00012
473	קיעווער יידישן מלוכה-טעאַטער א'נ פון שלום-עליכם	theatre		ORG-C00013
474	פֿאַרייניקטע דראַמאַטישע קאָמפּאָניע	theatre		ORG-C00020
475	גאָרטן-טעאַטער „אַלהאַמבראַ“	theatre		ORG-C00025
476	בוף	theatre		ORG-C00007
477	יידישן באַוועגלעכן טעאַטערקאָלעקטיוו אויפן נאָמען פון אסתר-רחל קאמינסקאַ	troupe		ORG-C00014
478	כאַרקאָווער יידישן מלוכה-טעאַטער	Theatre		ORG-C00018_S01
