qid	lat	lon	source	fetched_at
Q201348	48.923333	2.445000	wikidata-P625	2026-05-20T09:31:14Z
Q1025883	53.450000	25.400000	wikidata-P625	2026-05-20T09:31:14Z
Q1026069	35.756944	52.773889	wikidata-P625	2026-05-20T09:31:14Z
Q3075	49.478333	10.990278	wikidata-P625	2026-05-20T09:31:14Z
Q303015	47.462500	26.300000	wikidata-P625	2026-05-20T09:31:14Z
Q170996	45.423333	28.042500	wikidata-P625	2026-05-20T09:31:14Z
Q1792	54.348291	18.654023	wikidata-P625	2026-05-20T09:31:14Z
Q41621	32.819167	34.999167	wikidata-P625	2026-05-20T09:31:14Z
Q42956	45.750000	126.633333	wikidata-P625	2026-05-20T09:31:14Z
Q181376	53.666667	23.816667	wikidata-P625	2026-05-20T09:31:14Z
Q46852	47.162222	27.588889	wikidata-P625	2026-05-20T09:31:14Z
Q406	41.010000	28.960278	wikidata-P625	2026-05-20T09:31:14Z
Q156726	48.922778	24.710556	wikidata-P625	2026-05-20T09:31:14Z
Q180294	32.052222	34.753056	wikidata-P625	2026-05-20T09:31:14Z
Q1218	31.776679	35.234156	wikidata-P625	2026-05-20T09:31:14Z
Q34647	-26.204361	28.041639	wikidata-P625	2026-05-20T09:31:14Z
Q193965	48.680556	26.580556	wikidata-P625	2026-05-20T09:31:14Z
Q4115712	54.900000	23.933333	wikidata-P625	2026-05-20T09:31:14Z
Q900	55.790833	49.114444	wikidata-P625	2026-05-20T09:31:14Z
Q42308	49.992500	36.231111	wikidata-P625	2026-05-20T09:31:14Z
Q156732	46.642500	32.625000	wikidata-P625	2026-05-20T09:31:14Z
Q156717	49.420000	27.000000	wikidata-P625	2026-05-20T09:31:14Z
Q102317	50.872500	20.631944	wikidata-P625	2026-05-20T09:31:14Z
Q152406	31.606111	34.771667	wikidata-P625	2026-05-20T09:31:14Z
Q52193	48.516667	25.033333	wikidata-P625	2026-05-20T09:31:14Z
Q31487	50.061389	19.937222	wikidata-P625	2026-05-20T09:31:14Z
Q156724	49.063056	33.403889	wikidata-P625	2026-05-20T09:31:14Z
Q849116	50.108056	25.727500	wikidata-P625	2026-05-20T09:31:14Z
Q158292	48.510278	32.266667	wikidata-P625	2026-05-20T09:31:14Z
Q1899	50.450000	30.523611	wikidata-P625	2026-05-20T09:31:14Z
Q4120832	54.711472	20.509306	wikidata-P625	2026-05-20T09:31:14Z
Q3829397	-31.936000	115.834000	wikidata-P625	2026-05-20T09:31:14Z
Q2079	51.340632	12.374733	wikidata-P625	2026-05-20T09:31:14Z
Q311867	48.523611	27.490278	wikidata-P625	2026-05-20T09:31:14Z
Q84	51.507222	-0.127500	wikidata-P625	2026-05-20T09:31:14Z
Q65	34.052230	-118.243680	wikidata-P625	2026-05-20T09:31:14Z
Q37333	51.250000	22.566667	wikidata-P625	2026-05-20T09:31:14Z
Q36036	49.842500	24.032222	wikidata-P625	2026-05-20T09:31:14Z
Q18125	53.466667	-2.233333	wikidata-P625	2026-05-20T09:31:14Z
Q386487	52.050000	29.233333	wikidata-P625	2026-05-20T09:31:14Z
Q3141	-37.814167	144.963056	wikidata-P625	2026-05-20T09:31:14Z
Q1489	19.353773	-99.135890	wikidata-P625	2026-05-20T09:31:14Z
Q8652	25.783333	-80.216667	wikidata-P625	2026-05-20T09:31:14Z
Q201516	25.813889	-80.132500	wikidata-P625	2026-05-20T09:31:14Z
Q37836	43.050000	-87.950000	wikidata-P625	2026-05-20T09:31:14Z
Q2280	53.902246	27.561837	wikidata-P625	2026-05-20T09:31:14Z
Q922668	53.454722	26.466667	wikidata-P625	2026-05-20T09:31:14Z
Q154835	53.908940	30.342960	wikidata-P625	2026-05-20T09:31:14Z
Q997469	48.450000	27.783333	wikidata-P625	2026-05-20T09:31:14Z
Q1335	-34.905917	-56.191311	wikidata-P625	2026-05-20T09:31:14Z
Q340	45.503343	-73.586841	wikidata-P625	2026-05-20T09:31:14Z
Q649	55.750556	37.617500	wikidata-P625	2026-05-20T09:31:14Z
Q1579038	52.589722	20.804167	wikidata-P625	2026-05-20T09:31:14Z
Q60	40.712778	-74.006111	wikidata-P625	2026-05-20T09:31:14Z
Q25395	40.735556	-74.172222	wikidata-P625	2026-05-20T09:31:14Z
Q201230	53.218778	26.681982	wikidata-P625	2026-05-20T09:31:14Z
Q149030	48.216667	26.266667	wikidata-P625	2026-05-20T09:31:14Z
Q1874	46.477470	30.732620	wikidata-P625	2026-05-20T09:31:14Z
Q1023022	38.301100	-83.174200	wikidata-P625	2026-05-20T09:31:14Z
Q628460	51.966667	19.283333	wikidata-P625	2026-05-20T09:31:14Z
Q90	48.856667	2.352222	wikidata-P625	2026-05-20T09:31:14Z
Q1345	39.952778	-75.163611	wikidata-P625	2026-05-20T09:31:14Z
Q204150	52.115278	26.103056	wikidata-P625	2026-05-20T09:31:14Z
Q158004	51.400000	19.683333	wikidata-P625	2026-05-20T09:31:14Z
Q1342	40.441667	-80.000000	wikidata-P625	2026-05-20T09:31:14Z
Q200797	55.483333	28.800000	wikidata-P625	2026-05-20T09:31:14Z
Q268	52.408333	16.933611	wikidata-P625	2026-05-20T09:31:14Z
Q1085	50.087500	14.421389	wikidata-P625	2026-05-20T09:31:14Z
Q208473	49.783450	22.784240	wikidata-P625	2026-05-20T09:31:14Z
Q104725	52.550000	19.700000	wikidata-P625	2026-05-20T09:31:14Z
Q104740	51.416667	21.150000	wikidata-P625	2026-05-20T09:31:14Z
Q2500789	53.967222	27.056667	wikidata-P625	2026-05-20T09:31:14Z
Q658562	55.366667	23.116667	wikidata-P625	2026-05-20T09:31:14Z
Q43421	37.540833	-77.436667	wikidata-P625	2026-05-20T09:31:14Z
Q1773	56.947500	24.106944	wikidata-P625	2026-05-20T09:31:14Z
Q8678	-22.911111	-43.205556	wikidata-P625	2026-05-20T09:31:14Z
Q156739	50.619722	26.251389	wikidata-P625	2026-05-20T09:31:14Z
Q598	50.041111	21.998889	wikidata-P625	2026-05-20T09:31:14Z
Q180379	56.506667	27.330833	wikidata-P625	2026-05-20T09:31:14Z
Q656	59.950000	30.316667	wikidata-P625	2026-05-20T09:31:14Z
Q5753	39.654722	66.975833	wikidata-P625	2026-05-20T09:31:14Z
Q62	37.777500	-122.416389	wikidata-P625	2026-05-20T09:31:14Z
Q193177	50.683333	21.750000	wikidata-P625	2026-05-20T09:31:14Z
Q2887	-33.437500	-70.650000	wikidata-P625	2026-05-20T09:31:14Z
Q8686	31.232500	121.469167	wikidata-P625	2026-05-20T09:31:14Z
Q334874	47.930944	23.894694	wikidata-P625	2026-05-20T09:31:14Z
Q863576	53.083333	25.316667	wikidata-P625	2026-05-20T09:31:14Z
Q105060	50.300000	19.166667	wikidata-P625	2026-05-20T09:31:14Z
Q38022	38.626389	-90.199444	wikidata-P625	2026-05-20T09:31:14Z
Q60498333	23.129280	88.443250	wikidata-P625	2026-05-20T09:31:14Z
Q236083	54.100000	22.933333	wikidata-P625	2026-05-20T09:31:14Z
Q174	-23.550394	-46.633947	wikidata-P625	2026-05-20T09:31:14Z
Q106281	50.012500	20.988333	wikidata-P625	2026-05-20T09:31:14Z
Q269	41.311111	69.279722	wikidata-P625	2026-05-20T09:31:14Z
Q33935	32.080000	34.780000	wikidata-P625	2026-05-20T09:31:14Z
Q156743	49.566667	25.600000	wikidata-P625	2026-05-20T09:31:14Z
Q911009	50.450000	23.416667	wikidata-P625	2026-05-20T09:31:14Z
Q172	43.670278	-79.386667	wikidata-P625	2026-05-20T09:31:14Z
Q213127	55.250000	24.766667	wikidata-P625	2026-05-20T09:31:14Z
Q208499	48.750000	30.216667	wikidata-P625	2026-05-20T09:31:14Z
Q1741	48.208333	16.372500	wikidata-P625	2026-05-20T09:31:14Z
Q7052783	54.916667	23.883333	wikidata-P625	2026-05-20T09:31:14Z
Q216	54.687222	25.280000	wikidata-P625	2026-05-20T09:31:14Z
Q157144	49.237222	28.467222	wikidata-P625	2026-05-20T09:31:14Z
Q102217	55.183333	30.166667	wikidata-P625	2026-05-20T09:31:14Z
Q596609	47.711111	24.426389	wikidata-P625	2026-05-20T09:31:14Z
Q270	52.230000	21.011111	wikidata-P625	2026-05-20T09:31:14Z
Q1799	51.110000	17.032500	wikidata-P625	2026-05-20T09:31:14Z
Q4178401	48.550000	26.487500	wikidata-P625	2026-05-20T09:31:14Z
Q156713	50.254444	28.657778	wikidata-P625	2026-05-20T09:31:14Z
Q889579	49.386944	36.214167	wikidata-P625	2026-05-20T09:31:14Z
Q580	51.750000	19.466667	wikidata-P625	2026-05-20T09:31:14Z
Q137863	55.133333	26.155556	wikidata-P625	2026-05-20T09:31:14Z
