db_id	name	name_yiddish	address	linked_cluster_ids	aligned_cluster_canonicals	suggested_type	suggested_confidence	matched_signals	pi_decision	pi_type	reviewer	reviewed_at
286	Israelita				Izraelita							
287	Itzik Mendl Bergman Troupe	איציק מענדל בערמאָןס טרופּע			איציק מענדל בערמאָןס טרופּע	Traveling Company	high	Traveling Company(strong)|Traveling Company(strong)				
296	Kamer-teater	קאַמער-טעאַטער			קאַמער-טעאַטער	Theatre	high	Theatre(strong)				
301	Kinder Zhurnal (Children's Journal)					Journals/ Newspapers	high	Journals/ Newspapers(strong)				
302	Kompaneyets Troupe	קאָמפּאַניעיעצ'ס טרופּע			קאָמפּאַניעיעצ'ס טרופּע	Traveling Company	high	Traveling Company(strong)|Traveling Company(strong)|Traveling Company(medium)				
306	Kunst-Ring	קונסט-רינג			קונסט-רינג | קונסטדינג							
313	Leon Golubok Troupe	לעאָן גאָלובאָקס טרופּע			לעאָן גאָלובאָקס טרופּע	Traveling Company	high	Traveling Company(strong)|Traveling Company(strong)				
315	Liberesco Troupe					Traveling Company	high	Traveling Company(strong)				
319	Lira (as drama society)					Theatre-related Society/ Union	medium	Theatre-related Society/ Union(medium)				
322	Literarishe Trupe (Literary Troupe)	ליטעראַרישע טרופּע		ORG-C01922	ליטעראַרישע טרופּע	Traveling Company	high	Traveling Company(strong)|Traveling Company(strong)				
323	Literarisze Bleter⁩ - ⁨ליטערארישע בלעטער	ליטעראַרישע בלעטער			ליטעראַרישע בלעטער							
325	Littman Troupe	ליטמאַנס טרופּע			ליטמאַנס טרופּע	Traveling Company	high	Traveling Company(strong)|Traveling Company(strong)				
330	Meerson Troupe	מעערסאָנס טרופּע			מעערסאָנס טרופּע	Traveling Company	high	Traveling Company(strong)|Traveling Company(strong)				
337	Mogulesco Troupe	מאָגולעסקאָס טרופּע			מאָגולעסקאָס טרופּע | טרופּעס פֿון מאָגולעסקאָ	Traveling Company	high	Traveling Company(strong)|Traveling Company(strong)				
345	Naftali Goldfaden Troupe	נפתלי גאָלדפֿאַדעןם טרופּע			נפתלי גאָלדפֿאַדעןם טרופּע	Traveling Company	high	Traveling Company(strong)|Traveling Company(strong)				
347	Neue Lodzer Zeitung	נויע לאָדזשער צייטונג			נויע לאָדזשער צייטונג | Neue Lodzer Zeitung	Journals/ Newspapers	high	Journals/ Newspapers(strong)|Journals/ Newspapers(strong)				
351	Nowa Gazeta											
352	Nowy Dziennik											
360	Petrograd Theatre Society					Theatre	medium	Theatre(strong)|Theatre-related Society/ Union(medium)				
362	"Poale Zion (""Workers of Zion"")"											
363	Progresiv dramatik klub (Progressive Drama Club)					Theatre-related Society/ Union	medium	Theatre-related Society/ Union(medium)				
369	Remeslengi Club	רעמעסלעני קלוב			רעמעסלעני קלוב | דעמעסלענני קלוב	Theatre-related Society/ Union	medium	Theatre-related Society/ Union(medium)|Theatre-related Society/ Union(medium)				
373	Sabsey Troupe	סאָביים טרופּע			סאָביים טרופּע	Traveling Company	high	Traveling Company(strong)|Traveling Company(strong)				
376	Sam Adler Troupe	סעם אַדלערס טרופּע			סעם אַדלערס טרופּע	Traveling Company	high	Traveling Company(strong)|Traveling Company(strong)				
395	Stramer Troupe	שטראַמער-טרופּע			שטראַמער-טרופּע | שטראַמערס טרופּע	Traveling Company	high	Traveling Company(strong)|Traveling Company(strong)				
398	Teater un kunst	טעאַטער און קונסט			טעאַטער און קונסט	Theatre	high	Theatre(strong)				
399	Teatr i Iskusstvo											
403	The Hebrew Actors' Union (HAU)					Theatre-related Society/ Union	medium	Theatre-related Society/ Union(medium)				
405	The Jewish National Workers' Alliance (Farband-Labor Zionist Order)											
421	Treitler Troupe	טרייטלערס טרופּע			טרייטלערס טרופּע	Traveling Company	high	Traveling Company(strong)|Traveling Company(strong)				
425	Unzer Leben⁩ - ⁨אונזער לעבען	אונדער לעבען			אונדער לעבען | אונזער לעבן							
426	Unzer teater	אונזער טעאַטער		ORG-C00837	אונזער טעאַטער	Theatre	high	Theatre(strong)				
430	Varshaver tageblat											
437	Voskhod											
442	Yiddish artists union					Theatre-related Society/ Union	medium	Theatre-related Society/ Union(medium)				
446	Yiddish Dramatic Society - דער יידיש דראמגעזעלשאפט	יידיש. דראַמגעזעלשאַפֿט			יידיש. דראַמגעזעלשאַפֿט	Theatre-related Society/ Union	medium	Theatre-related Society/ Union(medium)				
447	Yiddish Theatre Society					Theatre	medium	Theatre(strong)|Theatre-related Society/ Union(medium)				
454	Yung-yidish											
455	Zandberg Troupe	זאַנדבערגס טרופּע			זאַנדבערגס טרופּע	Traveling Company	high	Traveling Company(strong)|Traveling Company(strong)				
459	Ziegler Troupe	זייגלערס טרופּע			זייגלערס טרופּע	Traveling Company	high	Traveling Company(strong)|Traveling Company(strong)				
460	Zuntog-blat											
461	דער יודישער העראלד - The Jewish herald	יידישער העראָלד			יידישער העראָלד | דער טעגלישער העראָלד							
462	⁨⁨Der Fraynd⁩ - ⁨דער פֿרײַנד⁩⁩											
463	⁨⁨Di ṿahrhayṭ⁩ - ⁨דיא ווארהייט											
464	Judisches Theater			ORG-C04844	Judisches Theater	Theatre	high	Theatre(strong)				
496	אַקטיאָרן-פאַריין (בוענאָס איירעס)	אַקטיאָרן-פאַריין		ORG-C00071	אַקטיאָרן-פאַריין	Theatre-related Society/ Union	medium	Theatre-related Society/ Union(medium)				
522	גאָלדענע פונקען			ORG-C00915								
564	דער יודישער פּאָק			ORG-C00941								
572	דער יודישער טעלעגראף			ORG-C06043								
580	"טעאַטער „מיידים"""			ORG-C03441		Theatre	high	Theatre(strong)				
584	וויניצער זשיטאָמירער יידישן מלוכה-טעאַטער			ORG-C03693		Theatre	high	Theatre(strong)				
602	השומר הצעיר			ORG-C00831								
603	דער טעגלייכער העראָלד			ORG-C04447								
