db_id_a	db_id_b	name_a	name_b	name_yi_a	name_yi_b	org_type_a	org_type_b	matched_fields	score	signal	type_match	linked_a	linked_b	suggested_action	suggested_keep	suggested_drop	reviewer_decision	reviewer_notes
1344	1409	יעקב וואַקסמאַן	טרופּע בלומענטאָל-וואַקסמאַן	יעקב וואַקסמאַן	טרופּע בלומענטאָל-וואַקסמאַן	traveling company	traveling company	<surname>וואקסמאן ~ <surname>וואקסמאן	1.000	surname_trigram	Y	ORG-C04589	ORG-C03020	REVIEW	1344	1409		
1371	1372			„די מוזע“	„די מוזע“	Theatre	Theatre	„די מוזע“ ~ „די מוזע“	1.000	trigram_full	Y	ORG-C01620	ORG-C01620	MERGE	1371	1372		
144	176	Kessler's Lyric Theatre	Lyric Theatre		ליריק-טעאַטער			<surname>lyric ~ <surname>lyric	1.000	surname_trigram	Y			REVIEW	144	176		
144	873	Kessler's Lyric Theatre	ליריק-טעאַטער		ליריק-טעאַטער		theatre	<surname>ליריק ~ <surname>ליריק	1.000	surname_trigram	N		ORG-C00338_Q06	REVIEW	873	144		
144	874	Kessler's Lyric Theatre	ליריק-טעאַטער		ליריק-טעאַטער		theatre	<surname>ליריק ~ <surname>ליריק	1.000	surname_trigram	N		ORG-C00338_Q07	REVIEW	874	144		
144	875	Kessler's Lyric Theatre	ליריק-טעאַטער		ליריק-טעאַטער		theatre	<surname>ליריק ~ <surname>ליריק	1.000	surname_trigram	N		ORG-C00338_Q02	REVIEW	875	144		
144	876	Kessler's Lyric Theatre	ליריק-טעאַטער  (בראַנזוויל)		ליריק-טעאַטער		theatre	<surname>ליריק ~ <surname>ליריק	1.000	surname_trigram	N		ORG-C00338_Q04	REVIEW	876	144		
144	877	Kessler's Lyric Theatre	ליריק-טעאַטער		ליריק-טעאַטער		theatre	<surname>ליריק ~ <surname>ליריק	1.000	surname_trigram	N		ORG-C00338_Q05	REVIEW	877	144		
146	1373	Metropolitan Theatre	מעטראָפּאָליטאָן-טעאַטער		מעטראָפּאָליטאָן-טעאַטער	Theatre	theatre	<surname>מעטראפאליטאן ~ <surname>מעטראפאליטאן	1.000	surname_trigram	Y	ORG-C01546	ORG-C01438_Q03	REVIEW	146	1373		
146	236	Metropolitan Theatre	Elvings Metropolitan Theatre			Theatre	Theatre	<surname>metropolitan ~ <surname>metropolitan	1.000	surname_trigram	Y	ORG-C01546	ORG-C00770_Q01	REVIEW	146	236		
146	387	Metropolitan Theatre	Sincoff's Metropolitan Theatre			Theatre	Theatre	<surname>metropolitan ~ <surname>metropolitan	1.000	surname_trigram	Y	ORG-C01546		REVIEW	146	387		
146	967	Metropolitan Theatre	שיקאַגער מעטראָפּאָליטאָן טעאַטער		שיקאַגער מעטראָפּאָליטאָן טעאַטער	Theatre	theatre	<surname>מעטראפאליטאן ~ <surname>מעטראפאליטאן	1.000	surname_trigram	Y	ORG-C01546	ORG-C02050	REVIEW	146	967		
151	748	Tsentral Theater	צענטראַל-טעאַטער	צענטראַל-טעאַטער	צענטראַל-טעאַטער			צענטראַל-טעאַטער ~ צענטראַל-טעאַטער	1.000	trigram_full	Y		ORG-C00631_Q02	MERGE	748	151		
156	334	Thomashefsky Theatre	Mike Thomashefsky Troupe				Traveling Company	<surname>thomashefsky ~ <surname>thomashefsky	1.000	surname_trigram	N			REVIEW	156	334		
162	171	Olimpic Theatre (St. Louis, MO)	Olimpic Theatre			Theatre	Theatre	Olimpic Theatre (St. Louis, MO) ~ Olimpic Theatre	1.000	trigram_full	Y			REVIEW	162	171		
163	401	Royal Theatre (Harry Bernstein)	Theatre Royal			Theatre	Theatre	<surname>royal ~ <surname>royal	1.000	surname_trigram	Y			REVIEW	163	401		
164	570	Feynman's Folks Theatre	ווייסרוסישן פֿאָלקס-טעאַטער			Theatre	Theatre	<surname>פאלק ~ <surname>פאלק	1.000	surname_trigram	Y		ORG-C01858	REVIEW	570	164		
164	608	Feynman's Folks Theatre	פּוילישן פאָלקס-טעאַטער			Theatre	Theatre	<surname>פאלק ~ <surname>פאלק	1.000	surname_trigram	Y		ORG-C02897	REVIEW	608	164		
167	350	New Star Theatre	Nord Star Theatre			Theatre	Theatre	<surname>star ~ <surname>star	1.000	surname_trigram	Y			REVIEW	167	350		
170	190	Madison Street Theater	Arch Street Theatre			Theatre	Theatre	<surname>street ~ <surname>street	1.000	surname_trigram	Y			REVIEW	170	190		
170	670	Madison Street Theater	14טע סטריט-טעאַטער		14טע סטריט-טעאַטער	Theatre	theatre	<surname>סטריט ~ <surname>סטריט	1.000	surname_trigram	Y		ORG-C06693	REVIEW	670	170		
176	873	Lyric Theatre	ליריק-טעאַטער	ליריק-טעאַטער	ליריק-טעאַטער		theatre	ליריק-טעאַטער ~ ליריק-טעאַטער	1.000	trigram_full	N		ORG-C00338_Q06	REVIEW	873	176		
