db_id	name	original_type	canonical_type	changed
239	Ester Rukhl Kaminska Troupe	Company on Tour	Company on Tour	
240	Esther Vaksman Troupe	Traveling Company	Traveling Company	
241	Fanny Vaksman Troupe	Traveling Company	Traveling Company	
242	Feldman Troupe	Traveling Company	Traveling Company	
243	Filipesko Troupe	Traveling Company	Traveling Company	
244	Finkel, Feinman and Mogulesko's Troupe	Traveling Company	Traveling Company	
245	Fishzon-Spivakovski Troupe	Traveling Company	Traveling Company	
247	Folk Singer Troupe	Kleinkunst	Kleinkunst	
248	Folks un Jungt Theatre	Theatre	Theatre	
249	Forward			
250	Fraye Yidishe Folks-Bine			
251	Free Dramatic Studio	Education	Education	
252	Garden Theatre	Theatre	Theatre	
253	Gardetski Quartet	Musical organization	Musical organization	
254	Genfer Troupe			
255	George Beker Troupe	Traveling Company	Traveling Company	
256	German Choral School	Education	Education	
257	Gimpel Theatre	Theatre	Theatre	
258	Gleichman Troupe	Traveling Company	Traveling Company	
259	Glickman and Michalesko Troupe	Company on Tour	Company on Tour	
260	Globe Theatre	Theatre	Theatre	
261	Goldene pave			
262	Golubok Troupe	Traveling Company	Traveling Company	
263	Groyse Teater	Theatre	Theatre	
264	Guzik Troupe			
265	Ha-Asif			
266	Habima	Company on Tour	Company on Tour	
267	ha-Dor⁩ - ⁨הדור			
268	ha-Karmel⁩ - ⁨הכרמל			
269	Hart Troupe			
270	HaTsfira			
271	ha-Tsofeh ⁩ - ⁨הצפה			
272	Haynṭ⁩ - ⁨היינט⁩⁩			
273	Hazamir	Musical organization	Musical organization	
274	Hazman			
275	Hazomir (The Nightingale)			
276	Hebrew Actors' Union (HAU)			
277	Hebrew Actors Protective Union			
278	Hengens Theatre	Theatre	Theatre	
279	Hirshbein Troupe	Traveling Company	Traveling Company	
281	Hope Theatre	Theatre	Theatre	
282	Hopkinson Theatre	Theatre	Theatre	
283	Hurwitz Troupe	Traveling Company	Traveling Company	
284	Illustrirte Vokh			
285	Isidor Hollander Troupe	Traveling Company	Traveling Company	
286	Israelita			
287	Itzik Mendl Bergman Troupe			
288	Jacob Gertner Troupe	Traveling Company	Traveling Company	
289	Jacob P. Adler troupe	Traveling Company	Traveling Company	
290	Jacob Silbert Troupe	Traveling Company	Traveling Company	
291	Jacob Spivakovski Troupe	Traveling Company	Traveling Company	
292	Joseph Kessler Troupe (star tour)	Company on Tour	Company on Tour	
293	Julius Adler and H. Serotsky Troupe	Traveling Company	Traveling Company	
294	Julius Nathanson Troupe	Traveling Company	Traveling Company	
295	Kalmen Juvelier's Theatre Troupe	Traveling Company	Traveling Company	
296	Kamer-teater			
297	Kaminska Troupe	Traveling Company	Traveling Company	
298	Karl Zilberman, Max Kurtz, Harry Feinberg, Gazovski and Aba Rosenzweig Toupe	Traveling Company	Traveling Company	
299	Keni Lipzin Troupe (star tour)	Company on Tour	Company on Tour	
300	Khayim Abramovitsh Troupe	Traveling Company	Traveling Company	
301	Kinder Zhurnal (Children's Journal)			
302	Kompaneyets Troupe			
303	Kopilov Troupe	Traveling Company	Traveling Company	
304	Krause-Spivakovski Troupe	Traveling Company	Traveling Company	
305	Krause Troupe	Traveling Company	Traveling Company	
306	Kunst-Ring			
307	Kunst vinkl	Theatre	Theatre	
308	Lawndale Theatre	Theatre	Theatre	
309	Lazar Bernstein Troupe	Traveling Company	Traveling Company	
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	Printer/Publisher	Printer/Publisher	
311	Lempkovitsh Troupe	Traveling Company	Traveling Company	
312	Leon Berger Troupe	Traveling Company	Traveling Company	
313	Leon Golubok Troupe			
