cluster_id	original_variant	collapsed_to	qid	english	source
ORG-C00174_Q01	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00178_Q01	ריגע	ריגע	Q1773	Riga	kimatch
ORG-C00178_Q01	ריגער	ריגע	Q1773	Riga	kimatch
ORG-C00179	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00179	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00180_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00180_Q01	ניו יארק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00180_Q01	ניו יאָָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00180_Q01	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00180_Q01	ניו-יאָָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00180_Q02	אַמעריקע	אַמעריקע	Q30	America	punchlist
ORG-C00180_Q02	אמעריקע	אַמעריקע	Q30	America	punchlist
ORG-C00181	שיקאַגאַ	שיקאַגאַ	Q1297	Chicago	kimatch
ORG-C00181	שיקאַגאָ	שיקאַגאַ	Q1297	Chicago	kimatch
ORG-C00181	שיקאַגע	שיקאַגאַ	Q1297	Chicago	kimatch
ORG-C00181	שיקאַגער	שיקאַגאַ	Q1297	Chicago	kimatch
ORG-C00182	נ. י.	ניו יאָרק	Q60	New York City	kimatch
ORG-C00182	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00182	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00184_Q01	מאָסקווע	מאָסקווע	Q649	Moscow	kimatch
ORG-C00184_Q01	מאָסקווער	מאָסקווע	Q649	Moscow	kimatch
ORG-C00190_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00190_Q01	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00195_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00195_Q01	ניו יארק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00195_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00195_Q01	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00197_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00197_Q01	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00198_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00198_Q01	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00198_Q04	ל. א.	לאָס אַנדזשעלעס	Q65	Los Angeles	kimatch
ORG-C00198_Q04	לאָס אַנדזשעלעס	לאָס אַנדזשעלעס	Q65	Los Angeles	kimatch
ORG-C00199_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00199_Q01	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00203	אָדעם	אָדעם	Q1874	Odesa	kimatch
ORG-C00203	אָדעס	אָדעם	Q1874	Odesa	kimatch
ORG-C00235_Q01	לאָדזש	לאָדזש	Q580	Łódź	kimatch
ORG-C00235_Q01	לאָדזש	לאָדזש	Q580	Łódź	kimatch
ORG-C00246_Q01	קייעוו	קיעוו	Q1899	Kyiv	kimatch
ORG-C00246_Q01	קיעוו	קיעוו	Q1899	Kyiv	kimatch
ORG-C00246_Q01	קיעווער	קיעוו	Q1899	Kyiv	kimatch
ORG-C00246_Q03	פּאַריז	פּאַריז	Q90	Paris	kimatch
ORG-C00246_Q03	פאַריז	פּאַריז	Q90	Paris	kimatch
ORG-C00247	קיעוו	קיעוו	Q1899	Kyiv	kimatch
ORG-C00247	קיעווער	קיעוו	Q1899	Kyiv	kimatch
ORG-C00248	אָדעם	אָדעם	Q1874	Odesa	kimatch
ORG-C00248	אָדעס	אָדעם	Q1874	Odesa	kimatch
ORG-C00257_Q01	נ. י.	ניו יאָרק	Q60	New York City	kimatch
ORG-C00257_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00257_Q01	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00257_Q01	ניויאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00265_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00265_Q01	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00266_Q01	בראַנקס	בראַנקס	Q18426	Bronx	punchlist
ORG-C00266_Q01	בראַנקסער	בראַנקס	Q18426	Bronx	punchlist
ORG-C00266_Q01	בראָנסקער	בראַנקס	Q18426	Bronx	punchlist
ORG-C00266_Q01	בראָנקס	בראַנקס	Q18426	Bronx	punchlist
ORG-C00266_Q02	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00266_Q02	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00270	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00270	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00271_Q01	אָדעם	אָדעם	Q1874	Odesa	kimatch
ORG-C00271_Q01	אָדעס	אָדעם	Q1874	Odesa	kimatch
ORG-C00273_Q01	נ. י.	ניו יאָרק	Q60	New York City	kimatch
ORG-C00273_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00273_Q01	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00274	נ. י.	ניו יאָרק	Q60	New York City	kimatch
ORG-C00274	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00274	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00285	בוקאַרעסט	בוקאַרעסט	Q19660	Bucharest	kimatch
ORG-C00285	בוקאַרעשט	בוקאַרעסט	Q19660	Bucharest	kimatch
ORG-C00293	פֿילאַדעלפֿיע	פֿילאַדעלפֿיע	Q1345	Philadelphia	kimatch
ORG-C00293	פילאָדעלפיע	פֿילאַדעלפֿיע	Q1345	Philadelphia	kimatch
ORG-C00293	פֿילאַדעלפֿיע	פֿילאַדעלפֿיע	Q1345	Philadelphia	kimatch
ORG-C00293	פֿילאָדעלפֿיע	פֿילאַדעלפֿיע	Q1345	Philadelphia	kimatch
ORG-C00293	פֿילאָדעלפֿיער	פֿילאַדעלפֿיע	Q1345	Philadelphia	kimatch
ORG-C00293	פֿילאדעלפֿיע	פֿילאַדעלפֿיע	Q1345	Philadelphia	kimatch
ORG-C00293	פֿילאדעלפֿיער	פֿילאַדעלפֿיע	Q1345	Philadelphia	kimatch
ORG-C00294	ברוקלין	ברוקלין	Q18419	Brooklyn	kimatch
ORG-C00294	ברוקלינער	ברוקלין	Q18419	Brooklyn	kimatch
ORG-C00325	בוקאַרעסט	בוקאַרעסט	Q19660	Bucharest	kimatch
ORG-C00325	בוקאַרעשט	בוקאַרעסט	Q19660	Bucharest	kimatch
ORG-C00325	בוקאָרעסט	בוקאַרעסט	Q19660	Bucharest	kimatch
ORG-C00336	וואַרשע	וואַרשע	Q270	Warsaw	kimatch
ORG-C00336	וואַרשעווער	וואַרשע	Q270	Warsaw	kimatch
ORG-C00338_Q02	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00338_Q02	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00338_Q04	בּראָנז וויל	בּראָנז וויל	Q991279	Brownsville	kimatch
ORG-C00338_Q04	בראַנזוויל	בּראָנז וויל	Q991279	Brownsville	kimatch
ORG-C00338_Q05	טאָראַנטאָ	טאָראַנטאָ	Q172	Toronto	kimatch
ORG-C00338_Q05	טאָראָנטאָ	טאָראַנטאָ	Q172	Toronto	kimatch
ORG-C00340_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00340_Q01	ניו יאָרקער	ניו יאָרק	Q60	New York City	kimatch
ORG-C00340_Q01	ניו יאָָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00340_Q01	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00340_Q01	ניו-יאָרקער	ניו יאָרק	Q60	New York City	kimatch
ORG-C00340_Q01	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00340_Q02	פֿילאַדעלפיע	פֿילאַדעלפיע	Q1345	Philadelphia	kimatch
ORG-C00340_Q02	פֿילאָדעלפיע	פֿילאַדעלפיע	Q1345	Philadelphia	kimatch
ORG-C00346	כאַרקאָוו	כאַרקאָוו	Q42308	Kharkiv	kimatch
ORG-C00346	כארקאָווער	כאַרקאָוו	Q42308	Kharkiv	kimatch
ORG-C00347	כאַרקאָוו	כאַרקאָוו	Q42308	Kharkiv	kimatch
ORG-C00347	כאָרקאָוו	כאַרקאָוו	Q42308	Kharkiv	kimatch
ORG-C00351	בוענאָס איירעס	בוענאָס-אַיירעס	Q1486	Buenos Aires	kimatch
ORG-C00351	בוענאָס-אַיירעס	בוענאָס-אַיירעס	Q1486	Buenos Aires	kimatch
ORG-C00353	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00353	ניו יאָָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00353	ניו- יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00353	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00358	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00358	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00360_Q01	ברוקלין	ברוקלין	Q18419	Brooklyn	kimatch
ORG-C00360_Q01	ברוקלינער	ברוקלין	Q18419	Brooklyn	kimatch
ORG-C00360_Q02	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00360_Q02	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00360_Q03	בראַנזווייל	בראַנזוויל	Q991279	Brownsville	kimatch
ORG-C00360_Q03	בראַנזוויל	בראַנזוויל	Q991279	Brownsville	kimatch
ORG-C00360_Q03	בראָנזוויל	בראַנזוויל	Q991279	Brownsville	kimatch
ORG-C00360_Q03	כראַנזוויל	בראַנזוויל	Q991279	Brownsville	kimatch
ORG-C00361	שיקאַגאָ	שיקאַגאָ	Q1297	Chicago	kimatch
ORG-C00361	שיקאַגע	שיקאַגאָ	Q1297	Chicago	kimatch
ORG-C00363	בראַנקסער	בראַנקסער	Q18426	Bronx	punchlist
ORG-C00363	בראָנסקער	בראַנקסער	Q18426	Bronx	punchlist
ORG-C00378	פֿילאַדעלפיע	פֿילאַדעלפיע	Q1345	Philadelphia	kimatch
ORG-C00378	פילאַדעלפיע	פֿילאַדעלפיע	Q1345	Philadelphia	kimatch
ORG-C00378	פילאָדעלפיע	פֿילאַדעלפיע	Q1345	Philadelphia	kimatch
ORG-C00378	פֿילאַדעלפיע	פֿילאַדעלפיע	Q1345	Philadelphia	kimatch
ORG-C00378	פֿילאַדעלפֿיע	פֿילאַדעלפיע	Q1345	Philadelphia	kimatch
ORG-C00378	פֿילאַדעלפֿיער	פֿילאַדעלפיע	Q1345	Philadelphia	kimatch
ORG-C00378	פֿילאָדעלפיע	פֿילאַדעלפיע	Q1345	Philadelphia	kimatch
ORG-C00378	פֿילאָדעלפֿיע	פֿילאַדעלפיע	Q1345	Philadelphia	kimatch
ORG-C00378	פֿילאָדעלפֿיער	פֿילאַדעלפיע	Q1345	Philadelphia	kimatch
ORG-C00378	פֿילאדעלפיע	פֿילאַדעלפיע	Q1345	Philadelphia	kimatch
ORG-C00378	פֿילאדעלפֿייע	פֿילאַדעלפיע	Q1345	Philadelphia	kimatch
ORG-C00378	פֿילאדעלפֿיע	פֿילאַדעלפיע	Q1345	Philadelphia	kimatch
ORG-C00378	פֿילאדעלפֿיער	פֿילאַדעלפיע	Q1345	Philadelphia	kimatch
ORG-C00380_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00380_Q01	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00384	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00384	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00384	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00384	ניו-יאָָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00390	בראַנקס	בראַנקס	Q18426	Bronx	punchlist
ORG-C00390	בראנקס	בראַנקס	Q18426	Bronx	punchlist
ORG-C00390	האַרלעם	האַרלעם	Q41183	Harlem	punchlist
ORG-C00390	האָרלעם	האַרלעם	Q41183	Harlem	punchlist
ORG-C00390	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00390	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00390	ניויאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00409_Q01	לאָדזש	לאָדזש	Q580	Łódź	kimatch
ORG-C00409_Q01	לאדזש	לאָדזש	Q580	Łódź	kimatch
ORG-C00467	בּוקאַרעסט	בּוקאַרעסט	Q19660	Bucharest	kimatch
ORG-C00467	בוקאַרעסט	בּוקאַרעסט	Q19660	Bucharest	kimatch
ORG-C00467	בוקאַרעשט	בּוקאַרעסט	Q19660	Bucharest	kimatch
ORG-C00477_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00477_Q01	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00478	ניו-יאָרק	ניו-יאָרק	Q60	New York City	kimatch
ORG-C00478	ניו-יאָרק	ניו-יאָרק	Q60	New York City	kimatch
ORG-C00481_Q01	ווין	ווין	Q1741	Vienna	kimatch
ORG-C00481_Q01	ווינער	ווין	Q1741	Vienna	kimatch
ORG-C00481_Q02	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00481_Q02	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00506	וואַרשע	וואַרשע	Q270	Warsaw	kimatch
ORG-C00506	וואַרשעווער	וואַרשע	Q270	Warsaw	kimatch
ORG-C00515_Q01	ניו יאָרק	ניוּ-יאָרק	Q60	New York City	kimatch
ORG-C00515_Q01	ניו-יאָרק	ניוּ-יאָרק	Q60	New York City	kimatch
ORG-C00515_Q01	ניוּ-יאָרק	ניוּ-יאָרק	Q60	New York City	kimatch
ORG-C00515_Q01	ניו־יאָרק	ניוּ-יאָרק	Q60	New York City	kimatch
ORG-C00515_Q02	פֿילאָדעלפיע	פֿילאָדעלפיע	Q1345	Philadelphia	kimatch
ORG-C00515_Q02	פֿילאדעלפיע	פֿילאָדעלפיע	Q1345	Philadelphia	kimatch
ORG-C00515_Q02	פֿילאדעלפֿיע	פֿילאָדעלפיע	Q1345	Philadelphia	kimatch
ORG-C00525	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00525	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00531	קראָקע	קראָקע	Q31487	Kraków	kimatch
ORG-C00531	קראָקעוו	קראָקע	Q31487	Kraków	kimatch
ORG-C00539	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00539	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00556	לאָנדאָן	לאָנדאָן	Q84	London	kimatch
ORG-C00556	לאָנדאָנער	לאָנדאָן	Q84	London	kimatch
ORG-C00557	וואַרשע	וואַרשע	Q270	Warsaw	kimatch
ORG-C00557	וואַרשעווער	וואַרשע	Q270	Warsaw	kimatch
ORG-C00579	לאָדזש	לאָדזש	Q580	Łódź	kimatch
ORG-C00579	לאדזש	לאָדזש	Q580	Łódź	kimatch
ORG-C00579	לאָדזש	לאָדזש	Q580	Łódź	kimatch
ORG-C00591	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00591	ניו יארק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00592	בּרוּקלינער	ברוקלין	Q18419	Brooklyn	kimatch
ORG-C00592	ברוקלין	ברוקלין	Q18419	Brooklyn	kimatch
ORG-C00592	ברוקלינער	ברוקלין	Q18419	Brooklyn	kimatch
ORG-C00593_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00593_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00595	בראַנקס	בראַנקס	Q18426	Bronx	punchlist
ORG-C00595	בראָנקס	בראַנקס	Q18426	Bronx	punchlist
ORG-C00595	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00595	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00595	ניויאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00597	לאָדזש	לאָדזש	Q580	Łódź	kimatch
ORG-C00597	לאדזש	לאָדזש	Q580	Łódź	kimatch
ORG-C00597	לאָדזש	לאָדזש	Q580	Łódź	kimatch
ORG-C00604_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00604_Q01	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00604_Q01	ניו־יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00609	זשיטאָמיר	זשיטאָמיר	Q156713	Zhytomyr	kimatch
ORG-C00609	זשיטאָמירער	זשיטאָמיר	Q156713	Zhytomyr	kimatch
ORG-C00610	וואַרשע	וואַרשע	Q270	Warsaw	kimatch
ORG-C00610	וואָרשע	וואַרשע	Q270	Warsaw	kimatch
ORG-C00628	לאָדזש	לאָדזש	Q580	Łódź	kimatch
ORG-C00628	לאָדזש	לאָדזש	Q580	Łódź	kimatch
ORG-C00629	לאָדזש	לאָדזש	Q580	Łódź	kimatch
ORG-C00629	לאדזש	לאָדזש	Q580	Łódź	kimatch
ORG-C00629	פּאַריז	פּאַריז	Q90	Paris	kimatch
ORG-C00629	פּאָריז	פּאַריז	Q90	Paris	kimatch
ORG-C00629	פֿאַריז	פּאַריז	Q90	Paris	kimatch
ORG-C00629	פאַריז	פּאַריז	Q90	Paris	kimatch
ORG-C00631_Q01	וואַרשע	וואַרשע	Q270	Warsaw	kimatch
ORG-C00631_Q01	וואַרשעווער	וואַרשע	Q270	Warsaw	kimatch
ORG-C00633_Q01	ניו יאָרק	ניוּ-יאָרק	Q60	New York City	kimatch
ORG-C00633_Q01	ניו יארק	ניוּ-יאָרק	Q60	New York City	kimatch
ORG-C00633_Q01	ניו יאָרק	ניוּ-יאָרק	Q60	New York City	kimatch
ORG-C00633_Q01	ניו-יאָרק	ניוּ-יאָרק	Q60	New York City	kimatch
ORG-C00633_Q01	ניו-יאָרקער	ניוּ-יאָרק	Q60	New York City	kimatch
ORG-C00633_Q01	ניוּ-יאָרק	ניוּ-יאָרק	Q60	New York City	kimatch
ORG-C00634	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00634	ניו יאָרקער	ניו יאָרק	Q60	New York City	kimatch
ORG-C00634	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00635_Q01	ניו יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00635_Q01	ניו יאָָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00635_Q01	ניו-יאָרק	ניו יאָרק	Q60	New York City	kimatch
ORG-C00635_Q01	ניו-יאָרקער	ניו יאָרק	Q60	New York City	kimatch
ORG-C00639_Q01	טאָראַנטאָ	טאָראַנטאָ	Q172	Toronto	kimatch
ORG-C00639_Q01	טאָראָנטאָ	טאָראַנטאָ	Q172	Toronto	kimatch
ORG-C00643_Q01	אָדעם	אָדעם	Q1874	Odesa	kimatch
ORG-C00643_Q01	אָדעס	אָדעם	Q1874	Odesa	kimatch
ORG-C00650	כאַרקאָוו	כאַרקאָוו	Q42308	Kharkiv	kimatch
ORG-C00650	כאַרקאָווער	כאַרקאָוו	Q42308	Kharkiv	kimatch
ORG-C00655	מאָנטרעאַל	מאָנטרעאַל	Q340	Montreal	kimatch
ORG-C00655	מאָנטרעאָל	מאָנטרעאַל	Q340	Montreal	kimatch
ORG-C00655	מאנטרעאָל	מאָנטרעאַל	Q340	Montreal	kimatch
ORG-C00661_Q01	יאָהאַניסבורג	יאָהאַניסבורג	Q34647	Johannesburg	kimatch
