db_id	name	name_yiddish	intra_token_sim	cross_row_collisions	aligned_cluster_count	blank_reviewer_aligns	suspect_reasons
745		מינסקער מעלוכעשער יידישער טעאַטער		db489.name == this.name_yiddish (טער) | db500.name == this.name_yiddish (טער) | db509.name == this.name_yiddish (טער) | db520.name == this.name_yiddish (טער) | db526.name == this.name_yiddish (טער) | db535.name == this.name_yiddish (טער) | db541.name == this.name_yiddish (טער) | db548.name == this.name_yiddish (טער) | db555.name == this.name_yiddish (טער) | db562.name == this.name_yiddish (טער) | db570.name == this.name_yiddish (טער) | db571.name == this.name_yiddish (טער) | db573.name == this.name_yiddish (טער) | db575.name == this.name_yiddish (טער) | db591.name == this.name_yiddish (טער) | db592.name == this.name_yiddish (טער) | db593.name == this.name_yiddish (טער) | db615.name == this.name_yiddish (טער) | db623.name == this.name_yiddish (טער) | db638.name == this.name_yiddish (טער) | db655.name == this.name_yiddish (טער) | db658.name == this.name_yiddish (טער) | db664.name == this.name_yiddish (טער) | db665.name == this.name_yiddish (טער) | db671.name == this.name_yiddish (טער)	1	ORG-C01160	cross_row_collision | backfilled_from_blank_reviewer_aligns=1
757	טרופּע פֿון יאָנג	טרופּע פֿון יאָנג	1.000	db483.name == this.name_yiddish (טרופּע) | db486.name == this.name_yiddish (טרופּע) | db523.name == this.name_yiddish (טרופּע) | db531.name == this.name_yiddish (טרופּע) | db563.name == this.name_yiddish (טרופּע) | db596.name == this.name_yiddish (טרופּע) | db626.name == this.name_yiddish (טרופּע) | db678.name == this.name_yiddish (טרופּע) | db767.name == this.name_yiddish (טרופּע) | db769.name == this.name_yiddish (טרופּע) | db775.name == this.name_yiddish (טרופּע) | db789.name == this.name_yiddish (טרופּע) | db809.name == this.name_yiddish (טרופּע) | db814.name == this.name_yiddish (טרופּע) | db818.name == this.name_yiddish (טרופּע) | db819.name == this.name_yiddish (טרופּע) | db820.name == this.name_yiddish (טרופּע) | db821.name == this.name_yiddish (טרופּע) | db828.name == this.name_yiddish (טרופּע) | db830.name == this.name_yiddish (טרופּע) | db831.name == this.name_yiddish (טרופּע) | db834.name == this.name_yiddish (טרופּע) | db836.name == this.name_yiddish (טרופּע) | db841.name == this.name_yiddish (טרופּע) | db847.name == this.name_yiddish (טרופּע)	1		cross_row_collision
762	קלאַראַ יאָנגס טרופּע	קלאַראַ יאָנגס טרופּע	1.000	db763.name == this.name_yiddish (קלאַראַ יאָנגס טרופּע)	1		cross_row_collision
763	קלאַראַ יאָנגס טרופּע	קלאַראַ יאָנגס טרופּע	1.000	db762.name == this.name_yiddish (קלאַראַ יאָנגס טרופּע)	1		cross_row_collision
765	טאַנענצאַפּס טרופּע	טאַנענצאַפּס טרופּע	1.000	db766.name == this.name_yiddish (טאַנענצאַפּס טרופּע)	0		cross_row_collision
766	טאַנענצאַפּס טרופּע	טאַנענצאַפּס טרופּע	1.000	db765.name == this.name_yiddish (טאַנענצאַפּס טרופּע)	1		cross_row_collision
767	טרופּע פֿון ראָטשטיין	טרופּע פֿון ראָטשטיין	1.000	db483.name == this.name_yiddish (טרופּע) | db486.name == this.name_yiddish (טרופּע) | db523.name == this.name_yiddish (טרופּע) | db531.name == this.name_yiddish (טרופּע) | db563.name == this.name_yiddish (טרופּע) | db596.name == this.name_yiddish (טרופּע) | db626.name == this.name_yiddish (טרופּע) | db678.name == this.name_yiddish (טרופּע) | db757.name == this.name_yiddish (טרופּע) | db769.name == this.name_yiddish (טרופּע) | db775.name == this.name_yiddish (טרופּע) | db789.name == this.name_yiddish (טרופּע) | db809.name == this.name_yiddish (טרופּע) | db814.name == this.name_yiddish (טרופּע) | db818.name == this.name_yiddish (טרופּע) | db819.name == this.name_yiddish (טרופּע) | db820.name == this.name_yiddish (טרופּע) | db821.name == this.name_yiddish (טרופּע) | db828.name == this.name_yiddish (טרופּע) | db830.name == this.name_yiddish (טרופּע) | db831.name == this.name_yiddish (טרופּע) | db834.name == this.name_yiddish (טרופּע) | db836.name == this.name_yiddish (טרופּע) | db841.name == this.name_yiddish (טרופּע) | db847.name == this.name_yiddish (טרופּע)	1		cross_row_collision
769	טרופּע פֿון קופּערמאַן	טרופּע פֿון קופּערמאַן	1.000	db483.name == this.name_yiddish (טרופּע) | db486.name == this.name_yiddish (טרופּע) | db523.name == this.name_yiddish (טרופּע) | db531.name == this.name_yiddish (טרופּע) | db563.name == this.name_yiddish (טרופּע) | db596.name == this.name_yiddish (טרופּע) | db626.name == this.name_yiddish (טרופּע) | db678.name == this.name_yiddish (טרופּע) | db757.name == this.name_yiddish (טרופּע) | db767.name == this.name_yiddish (טרופּע) | db775.name == this.name_yiddish (טרופּע) | db789.name == this.name_yiddish (טרופּע) | db809.name == this.name_yiddish (טרופּע) | db814.name == this.name_yiddish (טרופּע) | db818.name == this.name_yiddish (טרופּע) | db819.name == this.name_yiddish (טרופּע) | db820.name == this.name_yiddish (טרופּע) | db821.name == this.name_yiddish (טרופּע) | db828.name == this.name_yiddish (טרופּע) | db830.name == this.name_yiddish (טרופּע) | db831.name == this.name_yiddish (טרופּע) | db834.name == this.name_yiddish (טרופּע) | db836.name == this.name_yiddish (טרופּע) | db841.name == this.name_yiddish (טרופּע) | db847.name == this.name_yiddish (טרופּע)	1		cross_row_collision
775	טרופּע פֿון פישזאָן און ספּיוואַקאָווסקי	טרופּע פֿון פישזאָן און ספּיוואַקאָווסקי	1.000	db483.name == this.name_yiddish (טרופּע) | db486.name == this.name_yiddish (טרופּע) | db523.name == this.name_yiddish (טרופּע) | db531.name == this.name_yiddish (טרופּע) | db563.name == this.name_yiddish (טרופּע) | db596.name == this.name_yiddish (טרופּע) | db626.name == this.name_yiddish (טרופּע) | db678.name == this.name_yiddish (טרופּע) | db757.name == this.name_yiddish (טרופּע) | db767.name == this.name_yiddish (טרופּע) | db769.name == this.name_yiddish (טרופּע) | db789.name == this.name_yiddish (טרופּע) | db809.name == this.name_yiddish (טרופּע) | db814.name == this.name_yiddish (טרופּע) | db818.name == this.name_yiddish (טרופּע) | db819.name == this.name_yiddish (טרופּע) | db820.name == this.name_yiddish (טרופּע) | db821.name == this.name_yiddish (טרופּע) | db828.name == this.name_yiddish (טרופּע) | db830.name == this.name_yiddish (טרופּע) | db831.name == this.name_yiddish (טרופּע) | db834.name == this.name_yiddish (טרופּע) | db836.name == this.name_yiddish (טרופּע) | db841.name == this.name_yiddish (טרופּע) | db847.name == this.name_yiddish (טרופּע)	1		cross_row_collision
783	מכבי (מילוואַקיי)	מכבי (מילוואַקיי)	1.000	db648.name == this.name_yiddish (מכבי) | db784.name == this.name_yiddish (מכבי)	1		cross_row_collision
784	מכבי (קאָוונע)	מכבי (קאָוונע)	1.000	db648.name == this.name_yiddish (מכבי) | db783.name == this.name_yiddish (מכבי)	1		cross_row_collision
785	יידנראָט	יידנראָט	1.000	db786.name == this.name_yiddish (יידנראָט)	1		cross_row_collision
786	יידנראָט	יידנראָט	1.000	db785.name == this.name_yiddish (יידנראָט)	1		cross_row_collision
789	טרופּע פֿון בערמאַן	טרופּע פֿון בערמאַן	1.000	db483.name == this.name_yiddish (טרופּע) | db486.name == this.name_yiddish (טרופּע) | db523.name == this.name_yiddish (טרופּע) | db531.name == this.name_yiddish (טרופּע) | db563.name == this.name_yiddish (טרופּע) | db596.name == this.name_yiddish (טרופּע) | db626.name == this.name_yiddish (טרופּע) | db678.name == this.name_yiddish (טרופּע) | db757.name == this.name_yiddish (טרופּע) | db767.name == this.name_yiddish (טרופּע) | db769.name == this.name_yiddish (טרופּע) | db775.name == this.name_yiddish (טרופּע) | db809.name == this.name_yiddish (טרופּע) | db814.name == this.name_yiddish (טרופּע) | db818.name == this.name_yiddish (טרופּע) | db819.name == this.name_yiddish (טרופּע) | db820.name == this.name_yiddish (טרופּע) | db821.name == this.name_yiddish (טרופּע) | db828.name == this.name_yiddish (טרופּע) | db830.name == this.name_yiddish (טרופּע) | db831.name == this.name_yiddish (טרופּע) | db834.name == this.name_yiddish (טרופּע) | db836.name == this.name_yiddish (טרופּע) | db841.name == this.name_yiddish (טרופּע) | db847.name == this.name_yiddish (טרופּע)	1		cross_row_collision
797	יידישע טעאַטער-סטודיע ביים לאָדזשער „הזמיר“	יידישע טעאַטער-סטודיע ביים לאָדזשער „הזמיר“	1.000	db800.name == this.name_yiddish (הזמיר)	2		cross_row_collision
800	דוד הערמאָןס יידישער דראָמאָטישער סטודיע ביים „הזמיר“	דוד הערמאָןס יידישער דראָמאָטישער סטודיע ביים „הזמיר“	1.000	db797.name == this.name_yiddish (הזמיר)	1		cross_row_collision
809	טרופּע פֿון א. י. קאַמינסקי	טרופּע פֿון א. י. קאַמינסקי	1.000	db483.name == this.name_yiddish (טרופּע) | db486.name == this.name_yiddish (טרופּע) | db523.name == this.name_yiddish (טרופּע) | db531.name == this.name_yiddish (טרופּע) | db563.name == this.name_yiddish (טרופּע) | db596.name == this.name_yiddish (טרופּע) | db626.name == this.name_yiddish (טרופּע) | db678.name == this.name_yiddish (טרופּע) | db757.name == this.name_yiddish (טרופּע) | db767.name == this.name_yiddish (טרופּע) | db769.name == this.name_yiddish (טרופּע) | db775.name == this.name_yiddish (טרופּע) | db789.name == this.name_yiddish (טרופּע) | db814.name == this.name_yiddish (טרופּע) | db818.name == this.name_yiddish (טרופּע) | db819.name == this.name_yiddish (טרופּע) | db820.name == this.name_yiddish (טרופּע) | db821.name == this.name_yiddish (טרופּע) | db828.name == this.name_yiddish (טרופּע) | db830.name == this.name_yiddish (טרופּע) | db831.name == this.name_yiddish (טרופּע) | db834.name == this.name_yiddish (טרופּע) | db836.name == this.name_yiddish (טרופּע) | db841.name == this.name_yiddish (טרופּע) | db847.name == this.name_yiddish (טרופּע)	2		cross_row_collision
814	טרופּע פֿון סאַנדלער	טרופּע פֿון סאַנדלער	1.000	db483.name == this.name_yiddish (טרופּע) | db486.name == this.name_yiddish (טרופּע) | db523.name == this.name_yiddish (טרופּע) | db531.name == this.name_yiddish (טרופּע) | db563.name == this.name_yiddish (טרופּע) | db596.name == this.name_yiddish (טרופּע) | db626.name == this.name_yiddish (טרופּע) | db678.name == this.name_yiddish (טרופּע) | db757.name == this.name_yiddish (טרופּע) | db767.name == this.name_yiddish (טרופּע) | db769.name == this.name_yiddish (טרופּע) | db775.name == this.name_yiddish (טרופּע) | db789.name == this.name_yiddish (טרופּע) | db809.name == this.name_yiddish (טרופּע) | db818.name == this.name_yiddish (טרופּע) | db819.name == this.name_yiddish (טרופּע) | db820.name == this.name_yiddish (טרופּע) | db821.name == this.name_yiddish (טרופּע) | db828.name == this.name_yiddish (טרופּע) | db830.name == this.name_yiddish (טרופּע) | db831.name == this.name_yiddish (טרופּע) | db834.name == this.name_yiddish (טרופּע) | db836.name == this.name_yiddish (טרופּע) | db841.name == this.name_yiddish (טרופּע) | db847.name == this.name_yiddish (טרופּע)	1		cross_row_collision
818	טרופּע פֿון שטאָקפֿעדער	טרופּע פֿון שטאָקפֿעדער	1.000	db483.name == this.name_yiddish (טרופּע) | db486.name == this.name_yiddish (טרופּע) | db523.name == this.name_yiddish (טרופּע) | db531.name == this.name_yiddish (טרופּע) | db563.name == this.name_yiddish (טרופּע) | db596.name == this.name_yiddish (טרופּע) | db626.name == this.name_yiddish (טרופּע) | db678.name == this.name_yiddish (טרופּע) | db757.name == this.name_yiddish (טרופּע) | db767.name == this.name_yiddish (טרופּע) | db769.name == this.name_yiddish (טרופּע) | db775.name == this.name_yiddish (טרופּע) | db789.name == this.name_yiddish (טרופּע) | db809.name == this.name_yiddish (טרופּע) | db814.name == this.name_yiddish (טרופּע) | db819.name == this.name_yiddish (טרופּע) | db820.name == this.name_yiddish (טרופּע) | db821.name == this.name_yiddish (טרופּע) | db828.name == this.name_yiddish (טרופּע) | db830.name == this.name_yiddish (טרופּע) | db831.name == this.name_yiddish (טרופּע) | db834.name == this.name_yiddish (טרופּע) | db836.name == this.name_yiddish (טרופּע) | db841.name == this.name_yiddish (טרופּע) | db847.name == this.name_yiddish (טרופּע)	1		cross_row_collision
