db_id	db_hebrew	db_english	name_in_volume	additional_appearance	notes	where_to_fix	correct_form	gender	external_source_id	external_source	name_variants
1155	וואָלף אַמזעל	Wolf Amzel	אַמזעל, וואָלף					Male	moyt/lex/A/amzel-wolf-V5.htm	Zylbercweig Leksikon fun Yidishn Teater	
1160	איסאַק אַנטשאַראָוו	Isak Antsharov	אַנטשאַראָוו, איסאק					Male	yt/lex/A/antsharov-isak.htm	Zylbercweig Leksikon fun Yidishn Teater	
1169	פריצי אַרקאָ	Fritzi Arco	אַרקאָ פריצי					Male	yt/lex/A/arco-fritzi.htm	Zylbercweig Leksikon fun Yidishn Teater	
1173	חיים-דוד אריעל	Khayim David Ariel	אַריעל, חיים-דוד					Male	moyt/lex/A/ariel-khayim-david-V5.htm	Zylbercweig Leksikon fun Yidishn Teater	
1174	רחל אַריעל	Rukhl Ariel	אַריעל, רחל					Female	moyt/lex/A/ariel-rukhl-V5.htm	Zylbercweig Leksikon fun Yidishn Teater	
1175	סאָניאַ אַריעל (בעזמאַן)	Sonia Ariel	אַריעל, סאָניאַ [בעזמאַן]					Female	moyt/lex/A/ariel-sonia-V5.htm	Zylbercweig Leksikon fun Yidishn Teater	
1187	פאָליאַ אש-אווערבוך (פעסיע זלבערשטיין)	Pola Ash-Averbuch	אַש-אַווערבוך פּאָליאַ [פּעסיע זילבערשטיין]		לבדוק איות בטרנסקריבוס		אַש-אַווערבוך פּאָליאַ [פּעסיע זילבערשטיין]	Female	yt/lex/A/ash-averbuch-pola.htm	Zylbercweig Leksikon fun Yidishn Teater	
1201	עוואַ אוואכער (ליטווין חוה)	Eva Avakher	אוואכער עוואַ [חוה ליטווין]					Female	yt/lex/A/avakher-eva.htm	Zylbercweig Leksikon fun Yidishn Teater	
1202	מאַקס אַווראַמאָאוויטש (מרדכי אַבּראַמאָוויטש)	Max Avramovitsh	אַווראַמאָוויטש, מאַקס [מרדכי אָבראָמאָוויטש]					Male	yt/lex/A/avramovitsh-max.htm	Zylbercweig Leksikon fun Yidishn Teater	
1217	דוד בדחן פון באבער, מאָהילעווער גוב. (דוד בדחן פון באבער, מאָהילעווער גוב.)	Badkhan of Bober	דוד בדחן פֿון באָבער, מאָהילעווער גוב.					Male	yt/lex/B/badkhan-of-bober.htm	Zylbercweig Leksikon fun Yidishn Teater	
