a_xml_id	b_xml_id	decision	reviewer	reviewed_at	notes	a_heading	b_heading	composite	batch
facs_78_tr_1740521049	facs_119_tr_1744279140	different	Sinai	2026-05-18T11:47:03Z		באָקשיצקי,לואיס [לייב]	ליאָוו, לעאָ (משה-לייב)	0.575	Pseudonym candidates (208)
facs_322_tr_1754998436	facs_423_tr_1747930553	different	Sinai	2026-05-18T11:47:04Z		שנייער, רע[כיענע רייזל פּעימאַן]	שאַפּיראָ, אַננאַ (עני)	0.557	Pseudonym candidates (208)
facs_309_r_13	facs_358_tr_1739221614	different	Sinai	2026-05-18T11:47:05Z		האַרט, אייב [אַברהם העכט]	שטיין, אַדאָלף (אַברהם)	0.55	Pseudonym candidates (208)
facs_130_tr_1740521104	facs_214_tr_1744280705	different	Sinai	2026-05-18T11:47:07Z		דובינסקי, יאַקאַווקע [יעקבקע ?]	מאָזער בנציון [יעקב הערצאָג]	0.55	Pseudonym candidates (208)
facs_205_tr_1741260267	facs_389_tr_1739715087	different	Sinai	2026-05-18T11:47:09Z		גאָלדשטיין, דזשאָן ס. [יעקב]	זאַנגער יעקב	0.55	Pseudonym candidates (208)
facs_291_tr_1741260447	facs_185_tr_1736588927	different	Sinai	2026-05-18T11:47:11Z		דזשייקאָבס, דזשייקאָב [יעקב יאָקובאָוויטש]	שעפנער, יעקב	0.55	Pseudonym candidates (208)
facs_372_tr_1744366832	facs_10_r_5	different	Sinai	2026-05-18T11:47:18Z		ספּיוואַקאָווסקי, יעקב	קאָפלער-לעמקאָוו [יעקב?]	0.55	Pseudonym candidates (208)
facs_446_tr_1755029998	facs_189_tr_1736589041	different	Sinai	2026-05-18T11:47:21Z		ירדני, מרדכי [מאָטל שערמאַן]	שאַדאָווסקי, מאַקס (מרדכי)	0.55	Pseudonym candidates (208)
facs_127_tr_1744279075	facs_41_tr_1747746159	different	Sinai	2026-05-18T11:47:22Z		ליבּליך, מאָריץ (יצחק-משה)	קאַסוואַן, איזאַק [יצחק]	0.55	Pseudonym candidates (208)
facs_268_tr_1741260225	facs_303_tr_1744365806	different	Sinai	2026-05-18T11:47:23Z		גערשאָי, מ. [משה גערשויג]	נאַדיר, משה [יצחק רייז]	0.55	Pseudonym candidates (208)
facs_127_tr_1744279075	facs_258_tr_1744280735	different	Sinai	2026-05-18T11:47:24Z		ליבּליך, מאָריץ (יצחק-משה)	מייער מאָרריס (משה)	0.55	Pseudonym candidates (208)
facs_71_tr_1733059392	facs_414_tr_1739222253	different	Sinai	2026-05-18T11:47:25Z		כאַש, יוסף	קרעמער יוסף	0.55	Pseudonym candidates (208)
facs_362_TextRegion_1710853974551_399	facs_362_TextRegion_1710853958237_371	different	Sinai	2026-05-18T11:47:27Z		וויינשטיין, [?]	וויינשטיין, בערנאַרד	0.55	Pseudonym candidates (208)
facs_317_tr_1744365780	facs_564_r_27	different	Sinai	2026-05-18T11:47:42Z		ניגער שמואל [טשאַרני]	אָגורסקי, סעם (שמואל)	0.55	Pseudonym candidates (208)
facs_119_tr_1744279140	facs_152_tr_1735651774	different	Sinai	2026-05-18T11:47:43Z		ליאָוו, לעאָ (משה-לייב)	ראָזענטאַל, לייב	0.55	Pseudonym candidates (208)
facs_266_tr_1741260236	facs_65_tr_1753681954	different	Sinai	2026-05-18T11:47:44Z		גערטלער סעם [ישראל]	ראָזענבערג ישראל	0.55	Pseudonym candidates (208)
facs_116_tr_1744279129	facs_230_tr_1739221425	different	Sinai	2026-05-18T11:47:45Z		לובריצקי, דעיוו (דוד)	בירנבוים, דוד	0.55	Pseudonym candidates (208)
facs_407_r_10	facs_452_tr_1739221802	different	Sinai	2026-05-18T11:47:46Z		ערדבערג, שמשון	שערמאַן, דוד	0.55	Pseudonym candidates (208)
facs_277_tr_1744280830	facs_399_tr_1744366854	different	Sinai	2026-05-18T11:47:47Z		מנחם (מנחם גאָלדבערג]	עפּעלבוים ב. (מנחם-בעריש)	0.55	Pseudonym candidates (208)
facs_238_tr_1739221128	facs_46_tr_1756359802	different	Sinai	2026-05-18T11:47:49Z		פֿרידמאַן, הענעך	פֿרידמאַן, יצחק	0.55	Pseudonym candidates (208)
facs_443_r_3	facs_81_r_1	different	Sinai	2026-05-18T11:47:50Z		בערגאָלסקי, יעקב (יאַשאַ)	קרייצבערג יאַשאַ [סאַקסאַנסקי]	0.55	Pseudonym candidates (208)
facs_361_tr_1744366818	facs_364_tr_1744366859	different	Sinai	2026-05-18T11:47:52Z		סעגאַל, באָריס	סעגאַלעסקאָ, מרדכי (סעגאַל)	0.55	Pseudonym candidates (208)
facs_42_tr_1740520982	facs_607_tr_1747930558	different	Sinai	2026-05-18T11:47:53Z		אייזענבערג אהרן	וויינבערג, הערי [אהרן]	0.7	Pseudonym candidates (208)
facs_363_TextRegion_1710854126127_478	facs_277_tr_1754998404	different	Sinai	2026-05-18T11:47:59Z		ווייס דזשאָן [יוסף-לייב]	קאַנער לעאָפּאָלד [לייב]	0.7	Pseudonym candidates (208)
facs_72_tr_1744131378	facs_145_tr_1733832655	different	Sinai	2026-05-18T11:48:00Z		יאָקובאָוויטש, היימאַן (חיים-נתן)	ריבאַ, הענריק [חיים]	0.65	Pseudonym candidates (208)
facs_108_r_4	facs_173_tr_1747825113	different	Sinai	2026-05-18T11:48:02Z		אַבראַמאָוו, באָריס [פּיינלאַנד]	אַבראַמאָוו, א. [אַברהם קאַגאָן]	0.623	Pseudonym candidates (208)
facs_80_tr_1733059427	facs_173_tr_1747825113	different	Sinai	2026-05-18T11:48:03Z		אַש. אַברהם [אַברהם אווערבוך]	אַבראַמאָוו, א. [אַברהם קאַגאָן]	0.618	Pseudonym candidates (208)
facs_108_tr_1744279182	facs_184_tr_1736588987	different	Sinai	2026-05-18T11:48:05Z		לאַנדוי-קלעקוי, משה	זיידערמאַן, משה	0.6	Pseudonym candidates (208)
facs_60_tr_1740521087	facs_61_tr_1740521159	different	Sinai	2026-05-18T11:48:09Z		אַקסעלראָד, מיני [בלייכמאַן]	אַקסעלראָד רחל [קאָהוט]	0.6	Pseudonym candidates (208)
facs_280_TextRegion_1711971594244_435	facs_567_r_6	different	Sinai	2026-05-18T11:48:11Z		גראָפּער איידאַ [בריה]	שילינג, ראָזאַ	0.6	Pseudonym candidates (208)
facs_333_tr_1739220896	facs_418_tr_1747930192	different	Sinai	2026-05-18T11:48:13Z		לייבאָוויטש, ציליע	ראַפֿאַלאָוויטש, חנה [לייבאָוויטש, קלאַפּ]	0.6	Pseudonym candidates (208)
facs_137_tr_1744279152	facs_418_tr_1747930192	different	Sinai	2026-05-18T11:48:15Z		לייבּאָוויטש, רייטשעל	ראַפֿאַלאָוויטש, חנה [לייבאָוויטש, קלאַפּ]	0.584	Pseudonym candidates (208)
facs_117_tr_1740520951	facs_282_tr_1741260219	different	Sinai	2026-05-18T11:48:16Z		בערגרין, יעקב [גרינבערג]	גרינבערג, יוסף	0.577	Pseudonym candidates (208)
