mention_surface	source_sheet	occurrences	as_heading	alternative_heading	notes	match_method	matched_person_ids	n_matched	db_id	db_status
נ. אייזיקאָוויטש	initials	1.0	אייזיקאָוויטש, נייטען [נטע]			exact	P-6-facs_19_tr_1747746110	1	1208	ok
נ. ב. לינדער	initials	3.0	לינדער, נ. בּ. [נתן בּלינדער]			exact	P-2-facs_154_r	1	2308	ok
נ. בוכוואָלד	initials	17.0	בוכוואַלד נפתלי			exact	P-1-facs_92_tr_1740521083	1	1415	ok
נ. בלומענטאַל	initials	13.0	בלומענטאַל, נייטאַן			exact	P-1-facs_105_tr_1740521100	1	1345	ok
נ. בראַקער [סטוטשקאָוו]	initials	1.0	סטוטשקאָוו, נחום [סטוטשקאָ]			exact	P-2-facs_340_tr_1744365809	1	3037	ok
נ. גלימער	initials	1.0	גלימער נאַרבערט			exact	P-1-facs_259_tr_1741260207	1	1797	ok
נ. זאַסלאַווסקי	initials	1.0	נאַאומאָוו, שלמה [זאַסלאַווסקי]			exact	P-2-facs_300_tr_1744280756	1	2549	ok
נ. ח. לעוונער	initials	1.0	לעוונער, גרשון-חיים			exact	P-2-facs_185_r_8	1	2270	ok
נ. ליפּאָווסקי	initials	4.0	ליפּאָווסקי, נחוּם			exact	P-2-facs_157_tr_1744279097	1	2319	ok
נ. מייזיל	initials	3.0	מייזיל, נחמן			exact	P-2-facs_255_tr_1744280702	1	2423	ok
נ. סווערדלין	initials	1.0	סווערדלין, נתן, דר			exact	P-3-facs_328_tr_1756057972	1		no_db_alignment
נ. סווערלין	initials	1.0	סווערדלין, נתן, דר			exact	P-3-facs_328_tr_1756057972	1		no_db_alignment
נ. עדעלמאַן	initials	1.0	עדעלמאַן-קלעבאַנאָוואַ, ניוניאַ (חנה)	עדעלמאַן-קלעבאַנאָוואַ, ניוניע (חנה)		exact	P-5-facs_547_tr_1739222039	1	1541	ok
נ. ראַקאָוו	initials	7.0	ראַקאָוו, נ.			exact	P-4-facs_47_r_2	1		no_db_alignment
נ. שולמאַן	initials	1.0	שולמאַן, נייטאָן			exact	P-4-facs_381_r	1	2858	ok
נ. שקלאַר	initials	1.0	שקליאַר,			exact	P-5-facs_347_r_5	1		no_db_alignment
נתן פ. ראָזען	initials	1.0	נתן פּ. ראָזען			exact	P-6-facs_663_r_2	1		no_db_alignment
ס. אַלטבוים	initials	1.0	אַלטבוים, סאָניאַ [סטאַראָדוב)			exact	P-5-facs_190_tr_1736588983	1	1143	ok
ס. אַלמאַן	initials	1.0	אַלמאַן, שמואל			exact	P-1-facs_48_tr_1740521130	1	1138	ok
ס. אויערבאַך	initials	1.0	אויערבאך ס.			exact	P-1-facs_37_tr_1740520983	1	1196	ok
ס. ב. גראָסמאַן	initials	2.0	גראָסמאַן, סעמועל ב.			exact	P-1-facs_278_tr_1741260263	1	1924	ok
ס. גאָלדענבורג	initials	2.0	גאָלדענבורג, סעמיועל [שלום גאָלדשטיין]			exact	P-1-facs_152_tr_1740521014	1	1829	ok
ס. דינגאָל	initials	2.0	דינגאָל,ס.			exact	P-1-facs_297_tr_1741260514	1	3462	ok
ס. דיקשטיין	initials	2.0	דיקשטיין, סאול			exact	P-1-facs_299_tr_1741260438	1	3463	ok
ס. ה. קאָהען	initials	1.0	קאָהן, ס. ה. [נודעלמאַן]			exact	P-4-facs_375_tr_1755029880	1	1460	ok
ס. ה. קאָן	initials	12.0	קאָהן, ס. ה. [נודעלמאַן]			exact	P-4-facs_375_tr_1755029880	1	1460	ok
ס. ה. קאָנס	initials	1.0	קאָהן, ס. ה. [נודעלמאַן]			exact	P-4-facs_375_tr_1755029880	1	1460	ok
ס. וואולף	initials	1.0	וואולף, סיימאַן [שמחה]			exact	P-1-facs_338_tr_1741260418	1	3276	ok
ס. טאָביאַס	initials	2.0	טאָביאַס, סעמועל [שמואל טאַבאַטשניקאָוו]			exact	P-2-facs_9_tr_1743943368	1	3079	ok
ס. טאָרנבערג	initials	2.0	טאָרבערג, סעמיועל (שמואל)			exact	P-2-facs_37_tr_1744131389	1	3082	ok
ס. יושקעוויטש	initials	2.0	יושקעוויטש, סעמיאָן			exact	P-2-facs_77_tr_1744131362	1	3326	ok
ס. מ. מיכאָלס	initials	1.0	מיכאָעלס, ס. מ. [שלמה וואַפּסי]			exact	P-2-facs_264_r	1	2470	ok
ס. מ. מיכאָעלס	initials	2.0	מיכאָעלס, ס. מ. [שלמה וואַפּסי]			exact	P-2-facs_264_r	1	2470	ok
ס. עדעלמאַן	initials	1.0	עדעלמאַן, סאָניע			exact	P-2-facs_382_tr_1744366863	1	1540	ok
ס. קופּערמאַן	initials	5.0	סעמועל קופּערמאַן			exact	P-5-facs_608_r	1	2171	ok
ס. קרויזע	initials	4.0	קרויזע, שלמה			exact	P-4-facs_351_tr_1754998561	1	2151	ok
ס. ראָזענשטיין	initials	3.0	ראָזענשטיין, סעמועל [שמואל]			exact	P-4-facs_39_tr_1752612112	1	2781	ok
סידני מ. גאָלדין	initials	2.0	גאָלדין, סידני [סאַמועל גאָלדשטיין]			exact	P-1-facs_151_tr_1740521138	1	1836	ok
ספינקס [מ. קיפּניס]	initials	1.0	קיפּניס, מנחם			exact	P-5-facs_264_tr_1739221906	1	3554	ok
ע. מ ווערבעל	initials	1.0	ווערבעל, מישעל-אַדאָלף [משה-אַברהם]			exact	P-1-facs_382_r_5	1	3255	ok
ע. רעלקין	initials	1.0	רעלקין, ערווין, א. נאַרנאָלד אַברהם]			exact	P-4-facs_394_tr_1755030217	1	2750	ok
עד. רעלקין	initials	1.0	רעלקין, ערווין, א. נאַרנאָלד אַברהם]			exact	P-4-facs_394_tr_1755030217	1	2750	ok
על. נליקמאַן	initials	1.0	גליקמאַן, עליאַס			exact	P-1-facs_261_tr_1741260196	1	1789	ok
עלישאַ [ב. באָטוויניק]	initials	1.0	באָטוויניק, בערל			exact	P-1-facs_76_tr_1740520957	1	1366	ok
פ. אַראָנעס	initials	2.0	אַראָנעס, פֿייוול			exact	P-1-facs_62_tr_1740520977	1	1180	ok
פ. בימקאָ	initials	2.0	בימקאַ פֿישל			exact	P-1-facs_97_tr_1740520957	1	1307	ok
פ. לאַסקאָווסקי	initials	4.0	לאַסקאָווסקי, פיליפּ			exact	P-2-facs_110_tr_1744279156	1	2207	ok
פ. מאַרקיש	initials	2.0	מאַרקיש, פּערעץ			exact	P-2-facs_242_tr_1744280797	1	2405	ok
פ. קערמאַן	initials	1.0	קערמאַן, פּסח [פתחיה אַקערמאַן]			exact	P-5-facs_238_tr_1739221129	1	3556	ok
פּ. הירשביין	initials	2.0	הירשביין, פרץ			exact	P-1-facs_323_tr_1741260490	1	2006	ok
פּראָפ. האָרוויץ	initials	3.0	הורוויץ, [האָרוויץ - הורוויטש] משה איש הלוי פּראָפעסאָר			exact	P-1-facs_312_TextRegion_1708860417410_829	1		no_db_alignment
פּראָפ. הורוויץ	initials	13.0	הורוויץ, [האָרוויץ - הורוויטש] משה איש הלוי פּראָפעסאָר			exact	P-1-facs_312_TextRegion_1708860417410_829	1		no_db_alignment
פּראָפ. וויינבערג	initials	1.0	וויינבערג, דר			exact	P-1-facs_356_tr_1741260418	1	3149	ok
פּראָפ. מ. הורוויטש	initials	1.0	הורוויץ, [האָרוויץ - הורוויטש] משה איש הלוי פּראָפעסאָר			exact	P-1-facs_312_TextRegion_1708860417410_829	1		no_db_alignment
פּראָפ. מיפעלעוו	initials	1.0	מיפעלעוו, נחמן			exact	P-2-facs_273_r	1	2466	ok
פּראָפ. ראָזענבוים	initials	1.0	ראָזענבוים אַברהם	ראָזענבוים, יעקב-חיים		exact	P-6-facs_60_tr_1747746188	1		no_db_alignment
פּראָפּ. סאָקאָלאָוו	initials	1.0	סאָקאָלאָוו, ליפּמאַן (סאָקאָלאָווסקי]			exact	P-2-facs_336_tr_1744365764	1	3006	ok
פּראָפּ. רובין	initials	1.0	דאָקטאָר רובין [ראובן]			exact	P-1-facs_287_tr_1741260236	1	1506	ok
פֿרל. בערטאָ בערלין	initials	1.0	טאַנצמאַן, בערטאַ [בערלין]			exact	P-2-facs_35_tr_1744131361	1	3675	ok
פֿרל. סאָפיע אָבערלענדער	initials	1.0	אָבערלענדער, סאָׁפיע			exact	P-1-facs_17_r_3	1	2587	ok
פר. כאַנוקאָוו	initials	1.0	כאַנוקאָוו, לייוויק			exact	P-6-facs_50_tr_1747746182	1	1439	ok
פר. פּאָליפּאַדע	initials	1.0	פּאָליפּאַדע, בן-ציון			exact	P-3-facs_30_tr_1752652991	1		no_db_alignment
פרל. סאוער	initials	1.0	סאוער, בערנאַרד [בערל זאַבלאָצקי]			exact	P-6-facs_56_r_17	1	2838	ok
צ. ה. רובינשטיין	initials	4.0	רובינשטיין, צבי-הירש			exact	P-6-facs_265_tr_1747928990	1	2811	ok
ק. טעפּער	initials	1.0	טעפּער, קלמן (קאָליאַ)			exact	P-2-facs_52_tr_1744131414	1	3066	ok
ר. בירנבוים	initials	1.0	בירנבוים ראָזאַ			exact	P-1-facs_101_tr_1740521155	1	1315	ok
ר. בן-אַרי	initials	1.0	בן-אָרי ר [חיים-זאָב רייקין]			exact	P-4-facs_635_tr_1755030182	1	3484	ok
ר. גוסקין	initials	1.0	גוסקין, ראובן			exact	P-1-facs_252_tr_1741260228	1	1944	ok
ר. ווענדאָרף	initials	1.0	ווענדאָרף ראובן			exact	P-1-facs_381_tr_1739715266	1	3253	ok
ר. זאַסלאַווסקי	initials	2.0	זאַסלאַווסקי, רודאָלף [ראובן-לייב]			exact	P-1-facs_392_tr_1739715078	1	3356	ok
ר. זילבערבערג	initials	1.0	בערג, רודאָלף [זילבערבערג]			exact	P-1-facs_115_tr_1740520964	1	1262	ok
ר. שושנה	initials	6.0	שושנה, ר			exact	P-3-facs_334_tr_1756105641	1		no_db_alignment
רזש. קעסלער	initials	1.0	קעסלער יאָזעף	קעסלער, דוד		exact	P-4-facs_261_tr_1754998424	1	761	ok
ש. אַלמאַן	initials	1.0	אַלמאַן, שמואל			exact	P-1-facs_48_tr_1740521130	1	1138	ok
ש. אַנ-סקי	initials	20.0	אַנ-סקי ש. [שלמה-זאַנוול ראַפּאָפּאָרט]			exact	P-1-facs_52_tr_1740521031	1	1159	ok
ש. אַשקענאזי	initials	1.0	אַנ-סקי ש. [שלמה-זאַנוול ראַפּאָפּאָרט]			exact	P-1-facs_52_tr_1740521031	1	1159	ok
ש. איריס	initials	2.0	איריס, שמואל			exact	P-1-facs_46_tr_1740521016	1	2038	ok
ש. בי [ביבער]	initials	1.0	ביבער סענדער			exact	P-6-facs_108_r_85	1	1297	ok
ש. בליאַכער	initials	13.0	בליאַכער, שבתי			exact	P-5-facs_108_tr_1733832724	1	1332	ok
ש. בליכער	initials	7.0	בליאַכער, שבתי			exact	P-5-facs_108_tr_1733832724	1	1332	ok
ש. ברין	initials	1.0	ברין, שלום			exact	P-1-facs_139_tr_1740521042	1	1394	ok
ש. גאָלדפאַדען	initials	1.0	גאָלדפֿאַדען, שמעיה [גאָלדענפֿאָדים]			exact	P-1-facs_203_tr_1741260185	1	1832	ok
ש. גאָלדשטיין	initials	2.0	גאָלדשטיין, שמואליק	גאָלדשטיין, שכר		exact	P-6-facs_406_tr_1747930314	1	1854	ok
ש. גילבערט	initials	1.0	גילבערט, שלמה			exact	P-1-facs_254_tr_1741260244|P-5-facs_548_tr_1739220547	2	1762	ok
ש. גינזבארג	initials	1.0	גינזבורג, שאול			exact	P-1-facs_257_tr_1741260316	1	1776	ok
ש. גלאַזערמאַן	initials	1.0	גלאַזערמאַן, שמואל			exact	P-1-facs_258_tr_1741260281	1	1783	ok
ש. דיאַמאַנט	initials	1.0	דיאַמאַנט, שלמה			exact	P-7-facs_78_r_1	1	1494	ok
ש. דייקסעל	initials	1.0	דייקסעל, שמואל			exact	P-1-facs_294_tr_1741260448	1	1482	ok
ש. האָכבערג	initials	1.0	האָכבערג, שאָול			exact	P-1-facs_304_tr_1741260497	1	2011	ok
ש. הערשקאָוויטש	initials	6.0	הערשקאָוויטש, שלמה			exact	P-1-facs_335_tr_1741260410|P-5-facs_196_tr_1736589006	2	1991	ok
ש. וויינבערג	initials	1.0	וויינבערג, שמואל			exact	P-5-facs_590_tr_1739222448	1	3152	ok
ש. וויינטרויב	initials	2.0	וויינטרויבּ, שמחה			exact	P-1-facs_360_TextRegion_1710852670035_228	1	3237	ok
ש. י. גאָלדשטיין	initials	1.0	גאָלדשטיין, שמואליק	גאָלדשטיין, שכר		exact	P-6-facs_406_tr_1747930314	1	1854	ok
ש. י. דאָרפזאָן	initials	3.0	דאָרפזאָן, ש.י. [שמואל-יעקב האַרענדאָרף]			exact	P-1-facs_289_tr_1739714910	1	1515	ok
ש. י. האַרענדאָרף	initials	12.0	דאָרפזאָן, ש.י. [שמואל-יעקב האַרענדאָרף]			exact	P-1-facs_289_tr_1739714910	1	1515	ok
ש. יאַנאָווסקי	initials	9.0	יאַנאָווסקי, שאוּל-יוסף			exact	P-2-facs_64_tr_1744131361	1	3301	ok
ש. יודסאָן	initials	1.0	יודסאָן, שלמה			exact	P-2-facs_75_tr_1744131430	1	3322	ok
ש. לאַנדאו	initials	1.0	לאַנדאָ, שרה			exact	P-2-facs_106_tr_1744279088	1	2194	ok
ש. לאַנדוי	initials	3.0	לאַנדוי- [לאַנדאָ] קלעקוי שמואל			exact	P-5-facs_136_tr_1733832804	1	2189	ok
ש. מיכאַעלס	initials	1.0	מיכאָעלס, ס. מ. [שלמה וואַפּסי]			exact	P-2-facs_264_r	1	2470	ok
ש. מיכאָעלס	initials	2.0	מיכאָעלס, ס. מ. [שלמה וואַפּסי]			exact	P-2-facs_264_r	1	2470	ok
ש. ניגער	initials	19.0	ניגער שמואל [טשאַרני]			exact	P-2-facs_317_tr_1744365780	1	2567	ok
ש. סעקונדא	initials	1.0	סעקונדאַ, שלום			exact	P-2-facs_366_tr_1744366819	1	2870	ok
ש. פריזאַמענט	initials	3.0	פריזאַמענט, שלמה			exact	P-3-facs_148_tr_1754213822	1		no_db_alignment
ש. קוטנער	initials	6.0	קוטנער, שלמה			exact	P-5-facs_281_tr_1739220612	1	3551	ok
ש. קרויזע	initials	2.0	קרויזע, שלמה			exact	P-4-facs_351_tr_1754998561	1	2151	ok
ש. קרויזען	initials	2.0	קרויזע, שלמה			exact	P-4-facs_351_tr_1754998561	1	2151	ok
ש. ראַסקין	initials	1.0	ראַסקין, שאַול			exact	P-4-facs_614_tr_1755030236	1	2737	ok
ש. שטיינבערג	initials	2.0	שטיינבערג, שלמה			exact	P-4-facs_641_tr_1755030027	1	3026	ok
ש. שמולעוויטש	initials	1.0	שמולעוויטש, שלמה			exact	P-6-facs_454_tr_1747930319	1	3611	ok
פֿרל. דאיען	initials	1.0	דאיען, שרה	דאיען, סעם		exact	P-1-facs_286_TextRegion_1711970335588_157	1	1480	ok
אַבעלמאַן	surnames	2.0	אַבּעלמאַן, בעני [ברוך-משה]	אַבּעלמאַן, מרדכי		exact	P-6-facs_11_tr_1747745181	1		no_db_alignment
אַבראַמאָוו	surnames	5.0	אַבראַמאָוו	אַבראַמאָוו, א. [אַברהם קאַגאָן]	יש עוד אפשרויות	exact	P-1-facs_18_TextRegion_1711991809768_2571	1	1106	ok
אַבראַמאָוויטש	surnames	3.0	אַבראַמאָוויטש, איזאַק	אַבראַמאָוויטש, בינע [פוקס]	יש עוד אפשרויות	exact	P-1-facs_18_TextRegion_1711991763648_2536	1	1109	ok
אַבראַמען	surnames	1.0	אַבּערמאן, יצחק [האַבער]			exact	P-1-facs_17_tr_1713546853	1	1100	ok
אַבראָמאָוון	surnames	1.0	אַבראַמאָוו, א. [אַברהם קאַגאָן]	אַבראַמאָוו, אַדאָלף [אַברהם פּערקאָף]	יש עודי אפשרויות	exact	P-6-facs_173_tr_1747825113	1	1102	ok
אַברהם	surnames	19.0	אַברהם עדעלמאַן	אייזענבערג, אַברהם	יש יותר מדי אפשרויות	exact	P-4-facs_664_tr_1755030050	1		no_db_alignment
אַזאַרך	surnames	2.0	אַזאַרך, יצחק			exact	P-5-facs_165_tr_1735652613	1	3495	ok
אַזראַ	surnames	16.0	אַזאַרך, יצחק			exact	P-5-facs_165_tr_1735652613	1	3495	ok
אַטלאַס	surnames	1.0	אַטלאַס, דזשעני			exact	P-1-facs_40_tr_1740521035	1	1192	ok
אַלבּערט	surnames	4.0	שעהנגאָלד אבא [אַלבערט]	פרידמאַן, אַלבערט [וועלוול-אַלטער]		exact	P-4-facs_270_tr_1754998435	1	710	ok
אַלטמאַן	surnames	1.0	אַלטמאַן, בּאָריס	אַלטמאַן, מאָריס		exact	P-1-facs_47_r_2	1		no_db_alignment
אַלטער	surnames	1.0	אייזענשלאָס אַלטער	לעווין, אַלטער,	יש עוד אפשרויות	exact	P-1-facs_43_tr_1740520992	1	1556	ok
אַלעקס	surnames	1.0	אַלעקס שניידמאַן	טשערטאָוו, אַלעקס		exact	P-4-facs_651_tr_1755030222	1		no_db_alignment
אַלעקסאַנדראָוו	surnames	3.0	אַלעקסאַנדראָוו, אהרן	אַלעקסאַנדראָוו, ח. [וויליאָם מילער]		exact	P-1-facs_48_tr_1740521136	1	1135	ok
אַלפּערן	surnames	1.0	קאָמינסקי, אַסתר-רחל [האַלפערן]			exact	P-6-facs_300_tr_1747928891	1	3610	ok
אַלקאַן	surnames	2.0	אַלקאָן, י [יהושע עלקין]	אַלקאַן,יהושע		exact	P-4-facs_406_tr_1755029923	1	1137	ok
אַלשאַנעצקי	surnames	3.0	אָלשאַנעצקי, אַלעקסאַנדער [יהושע]			exact	P-1-facs_49_tr_1740521087	1	881	ok
אַמאַלייע	surnames	1.0	מאָגולעסקאָ, אַמאַליע [פינקעלשטיין]	נאַטאַנסאָן, אַמאַליע (נאַטאַליאָ?)		exact	P-2-facs_198_r	1	759	ok
אַמאַליע	surnames	1.0	מאָגולעסקאָ, אַמאַליע [פינקעלשטיין]	נאַטאַנסאָן, אַמאַליע (נאַטאַליאָ?)		exact	P-2-facs_198_r	1	759	ok
אַמאליע	surnames	2.0	סעגאַלעסקאָ, אַמאַליע (מלכה)	נאַטאַנסאָן, אַמאַליע (נאַטאַליאָ?)		exact	P-2-facs_363_tr_1744366847	1	2876	ok
אַמזעל	surnames	1.0	אַמזעל, גאָלדע [געניאַ שניידער]	אַמזעל, וואָלף		exact	P-1-facs_51_tr_1740521070	1	1154	ok
אַנ-סקי	surnames	48.0	אַנ-סקי ש. [שלמה-זאַנוול ראַפּאָפּאָרט]			exact	P-1-facs_52_tr_1740521031	1	1159	ok
אַנדזשאַ	surnames	1.0	פֿאָדערמאַן, אַנדזשאַ	אַרנשטיין, מאַרק [אַנדזשעי מאַרעק]		exact	P-3-facs_315_tr_1756044900	1		no_db_alignment
אַנטשאַראָוו	surnames	1.0	אַנטשאַראָוו, איסאק			exact	P-7-facs_28_r_1	1	1160	ok
אַניאַ	surnames	2.0	וועלטמאַן, אַנעטאָ [אננאַ]	בוים אַננאַ [חנה פּאָלאַקאָווסקאַ]		exact	P-1-facs_381_r_9	1		no_db_alignment
אַניסמאַן	surnames	1.0	אַניסמאַן, הערי			exact	P-4-facs_27_r_14	1	1157	ok
אַניע	surnames	2.0	קאַפּוסטין, אַניע			exact	P-6-facs_19_tr_1747746117	1	2082	ok
אַניעל	surnames	1.0	אַניעלאַ [חנה קאמפּאנעיעץ-פּאָליאַקאָוו]			exact	P-1-facs_51_tr_1740521072	1	1156	ok
אַניעלאַ	surnames	1.0	אַניעלאַ [חנה קאמפּאנעיעץ-פּאָליאַקאָוו]			exact	P-1-facs_51_tr_1740521072	1	1156	ok
אַנעטאַ	surnames	2.0	אַקסעלראָד, אַנעטאַ [ברענער]	גראָדנער אַנעטאָ	יש עוד אפשרויות	exact	P-1-facs_60_tr_1740521080	1	1203	ok
אַנקאָ	surnames	1.0	ליפּינסקי, (ווייצמאַן) אַנקאַ			exact	P-5-facs_300_tr_1739221668	1	2313	ok
אַסטראָווסקי	surnames	12.0	אַסטראָווסקי, חיים	אַסטראָווסקי, כ.		exact	P-4-facs_380_tr_1755030217	1	2602	ok
אַסטראָווסקיס	surnames	3.0	מאיר אַסטראָווסקי	אַסטראָווסקי, חיים		exact	P-4-facs_654_tr_1755029982	1		no_db_alignment
אַקסעלראָד	surnames	48.0	אַקסעלראָד מאָריס [מאיר]		יש יותר מדי אפשרויות - 8 אפשרויות	exact	P-1-facs_60_tr_1740521090	1	1206	ok
אַקסעלראָדן	surnames	8.0	אַקסעלראָד מאָריס [מאיר]	אַקסעלראָד ראָזאַ	יש יותר מדי אפשרויות	exact	P-1-facs_60_tr_1740521090	1	1206	ok
אַקסענפעלד	surnames	7.0	אַקסענפעלד, ישראל			exact	P-6-facs_271_r_1	1	3810	ok
אַקסענפעלדן	surnames	1.0	אַקסענפעלד, ישראל			exact	P-6-facs_271_r_1	1	3810	ok
אַראָנסאָן	surnames	1.0	אַראָנסאָן, כרוך			exact	P-1-facs_61_tr_1740521167	1	1182	ok
אַרטור	surnames	1.0	טרייסי, אַרטוּר			exact	P-2-facs_55_r_2	1	3085	ok
אַרנשטיין	surnames	14.0	אַרנשטיין, מאַרק	אַרנשטיין, מאַרק [אַנדזשעי מאַרעק]		exact	P-1-facs_65_tr_1740520947	1	995	ok
אַרנשטיינס	surnames	1.0	אַרנשטיין, מאַרק	אַרנשטיין, מאַרק [אַנדזשעי מאַרעק]		exact	P-1-facs_65_tr_1740520947	1	995	ok
אַרציבאַשעוו	surnames	2.0	אַרצישעווסקאַ, טאָטשיא [ליפּסקי, קראטקאָ]			exact	P-6-facs_24_r_2	1		no_db_alignment
אַרצישעווסקי	surnames	1.0	אַרצישעווסקאַ, טאָטשיא [ליפּסקי, קראטקאָ]			exact	P-6-facs_24_r_2	1		no_db_alignment
אַרקאָ	surnames	3.0	אַרקאָ פריצי	אַרקאָ, איסאַק		exact	P-1-facs_69_tr_1740521059	1	1169	ok
אַש	surnames	62.0	אַש, חיהלע	אַש, שלום		exact	P-6-facs_565_tr_1752129114	1	1186	ok
אַשכנזי	surnames	24.0	אַשכנדי צילע [פעפער]	אַשכנזי איזידאָר [אייזיק]		exact	P-1-facs_72_tr_1740521060	1	1189	ok
אַפֿרים	surnames	2.0	פֿאָדלובני פרויקע (אפרים)			exact	P-3-facs_15_tr_1752653017	1		no_db_alignment
אָלגין	surnames	1.0	אָלגין, מ. י., דר. [משה יוסף נאָוואָמיסקי]			exact	P-1-facs_47_tr_1740521070	1	2592	ok
אָלשאַנעצקין	surnames	1.0	אָלשאַנעצקי, אַלעקסאַנדער [יהושע]			exact	P-1-facs_49_tr_1740521087	1	881	ok
אָסקאַר	surnames	3.0	קאַרטאָזשינסקי, אָסקאַר [אשר]	אַסטראָף, אָסקאַר [יהושע אָסטריצקי]	יש עוד אפשרויות	exact	P-7-facs_64_r_4	1	3641	ok
אָפּאַטאָוו	surnames	1.0	אָפּאַטאשו, יוסף [יוסף אָפּאַטאָווסקי]			exact	P-1-facs_57_tr_1740521100	1	2594	ok
אָפּאַטאָשו	surnames	7.0	אָפּאַטאשו, יוסף [יוסף אָפּאַטאָווסקי]			exact	P-1-facs_57_tr_1740521100	1	2594	ok
אָפּאַטאָשוס	surnames	3.0	אָפּאַטאשו, יוסף [יוסף אָפּאַטאָווסקי]			exact	P-1-facs_57_tr_1740521100	1	2594	ok
אָפּעלבוים	surnames	3.0	אָפּעלבוים מישאַ			exact	P-1-facs_58_tr_1740521154	1	1166	ok
אָרזשעשקאָוואָ	surnames	1.0	אָרזשעווסקאַיאָ, אַסתר [סניעגאָוו]			exact	P-1-facs_62_tr_1740520958	1	1312	ok
אָרלייווק	surnames	1.0	אָרליוק, שמעון	אַַזראַ, אַלעקסאַנדער [אָרליוק]		exact	P-1-facs_65_tr_1740520954	1	2597	ok
אָרלעסקאָ	surnames	1.0	אָרלעסקא, מרים			exact	P-1-facs_65_tr_1740520951	1	2596	ok
אבאַ	surnames	1.0	שעהנגאָלד אבא [אַלבערט]			exact	P-4-facs_270_tr_1754998435	1	710	ok
אויגענבליק	surnames	1.0	אויגענבליק, פֿיליפּ	אויגענבליק, עני [חנה סויבער]		exact	P-1-facs_36_tr_1740520951	1		no_db_alignment
אויסלענדער	surnames	5.0	אויסלענדער נחום			exact	P-6-facs_20_tr_1747746136	1	1200	ok
אויערבאַך	surnames	1.0	אויערבאַך, יצחק	אויערבאַך, בּאָריס [בן-ציון]	יש עוד אפשרויות	exact	P-1-facs_37_tr_1740520980	1	1195	ok
אוירווין	surnames	1.0	גראָסמאַן, אוירווינג [יצחק לייב]	דזשייקאָבסאָן, אוירווינג		exact	P-1-facs_276_tr_1741260302	1	1919	ok
איגנאַץ	surnames	2.0	שיפּער יצחק (איגנאַץ) דר.			exact	P-5-facs_570_tr_1739221417	1	3567	ok
אידאַ	surnames	6.0	ערוועסט אידאַ [אייערווייס]	אידינא [אידאַ שעוואָכאָוויץ]	יש עוד אפשרויות	exact	P-5-facs_206_tr_1739220644	1	3532	ok
אידינאַ	surnames	1.0	אידינא [איוואַ שעוואָכאָוויטש]	אידינא [אידאַ שעוואָכאָוויץ]		exact	P-5-facs_26_r_861	1	2036	ok
איווא	surnames	1.0	זימאַנד איווא [חוה-אסתר שטייסל]	ווין, איוואַ [סיוועלע באַקשטיין]	יש עוד אפשרויות	exact	P-1-facs_411_r_2	1	3406	ok
איזי	surnames	1.0	מינעוויין, איזי,	סאַפּאָזשניקאָוו, איזי (איסאַק)		exact	P-5-facs_593_r_24	1		no_db_alignment
איזמאַאילאָנאַ	surnames	1.0	איזמאַליאָננאַ			exact	P-1-facs_41_r_2	1		no_db_alignment
אייב	surnames	1.0	האַרט, אייב [אַברהם העכט]	סינקאָף, אייב		exact	P-1-facs_309_r_13	1	1974	ok
אייגענגאָלד	surnames	1.0	אייגענפעלד [ערבער]			exact	P-1-facs_41_tr_1740521076	1	1599	ok
אייגענפעלד	surnames	1.0	אייגענפעלד [ערבער]			exact	P-1-facs_41_tr_1740521076	1	1599	ok
אייזיקאָוויטש	surnames	5.0	אייזיקאָוויטש, נייטען [נטע]			exact	P-6-facs_19_tr_1747746110	1	1208	ok
אייזענשטאַט	surnames	1.0	אייזענשטאַרק, שלמה	אייזענשטאָט, נחמה		exact	P-1-facs_42_tr_1740520978	1	1607	ok
איינעס	surnames	1.0	איינעס, אַברהם			exact	P-1-facs_45_tr_1740521093	1	1549	ok
איינעסן	surnames	1.0	איינעס, אַברהם			exact	P-1-facs_45_tr_1740521093	1	1549	ok
אייק	surnames	1.0	מיטניק, אייק			exact	P-2-facs_254_r_4	1	2493	ok
איליא	surnames	2.0	קאָריק, איליאַ	גאָלדפֿאַדען יידל [איליאַ גאָלדענפֿאָדים]		exact	P-7-facs_60_tr_1756359809	1	3645	ok
איציק	surnames	1.0	הערשקאָוויטש, איציק	העלער איציק [הערשקאָוויטש]		exact	P-1-facs_335_tr_1741260411	1	1989	ok
איציקל	surnames	1.0	האָראָוויץ, איציקל	גאָלדענבערג איציקל		exact	P-1-facs_309_tr_1741260471	1	2031	ok
איצקאָוויטש	surnames	7.0	איצקאָוויטש, סאָניאַ	איצקאָוויטש, שבתי		exact	P-7-facs_34_tr_1756359795	1	2042	ok
איצקאָוויץ	surnames	1.0	איצקאָוויטש, סאָניאַ	איצקאָוויטש, שבתי		exact	P-7-facs_34_tr_1756359795	1	2042	ok
איריס	surnames	4.0	איריס, סאָניאַ [פעלדמאַן]	איריס, שמואל		exact	P-1-facs_46_tr_1740521011	1	2039	ok
אלחנן	surnames	1.0	צייטלין, אַלחנן			exact	P-5-facs_453_tr_1739221401	1	3541	ok
אפרים	surnames	1.0	פֿאָדלובני פרויקע (אפרים)			exact	P-3-facs_15_tr_1752653017	1		no_db_alignment
