mention_surface	source_sheet	occurrences	as_heading	alternative_heading	notes	match_method	matched_person_ids	n_matched	db_id	db_status
הערש ווייסמאַן	full	1.0	ווייסמאַן, הערש			exact	P-6-facs_35_tr_1747746200	1	3582	ok
הערש יוסף	full	1.0	האַרט, סידני [יוסף הערש]			exact	P-1-facs_310_tr_1741260422	1	1977	ok
הערש יעדוואָב	full	1.0	יעדוואַבּ, הערש			exact	P-2-facs_83_tr_1744131381	1	3305	ok
הערשל (הערי)	full	1.0	דזשאַרדען, הערי [הערשל דזשאַרדאַנאָווסקי]			exact	P-1-facs_291_tr_1741260453	1	2057	ok
הערשל ווייסמאַן	full	4.0	ווייסמאַן, הערש		לבדוק	exact	P-6-facs_35_tr_1747746200	1	3582	ok
הערשל יעדוואָב	full	7.0	יעדוואַבּ, הערש			exact	P-2-facs_83_tr_1744131381	1	3305	ok
הערשל לעווין	full	1.0	לעווין, הערי (הערשל)			exact	P-2-facs_180_tr_1744279176	1	904	ok
הערשל צוּקערבּערג	full	10.0	צוקערבערג, הערשל			exact	P-4-facs_129_r_2	1	3427	ok
הערשל קויפמאַן	full	2.0	קויפמאַן, הערשל			exact	P-4-facs_60_r_1	1	2100	ok
הערשעלע אַסטראָפּאָליער	full	4.0	הערשעלע אַסטראָפאָלער		כתיב	exact	P-6-facs_392_r	1		no_db_alignment
הרב ר' יצחק אייזיק פֿרידמאַן	full	1.0	פֿרידמאַן, יצחק			exact	P-4-facs_352_tr_1754998404|P-7-facs_46_tr_1756359802	2		conflicting_db_ids
וואָלאדיא ליפּצין	full	1.0	ליפּצין, וואָלאָדיאַ			exact	P-2-facs_162_r_2	1	2324	ok
וואָלף אייזענבערג	full	1.0	באַרזעל, וואָלף [אייזענבערג]			exact	P-3-facs_373_tr_1755856139	1		no_db_alignment
וואָלף באַרזעל	full	3.0	באַרזעל, וואָלף [אייזענבערג]			exact	P-3-facs_373_tr_1755856139	1		no_db_alignment
וואָלף גאָלדפאַדען	full	3.0	גאָלדפאַדען, וואָלף			exact	P-1-facs_200_tr_1714741439	1	1833	ok
וואָלף גאָלדפֿאַדען	full	1.0	גאָלדפאַדען, וואָלף			exact	P-1-facs_200_tr_1714741439	1	1833	ok
וואָלף זילבערבערג	full	9.0	זילבּערבּערג, וואָלף			exact	P-1-facs_405_TextRegion_1710157124987_295	1	3397	ok
וואָלף מערקור	full	9.0	מערקור וואָלף			exact	P-2-facs_298_tr_1744280755	1	2448	ok
וואָלף נייהויז	full	2.0	נייהויז, וואָלף			exact	P-2-facs_317_r_3	1	2558	ok
וואָלף עדעלמאָן	full	1.0	עדעלמאַן, וואָלף			exact	P-2-facs_381_tr_1744366860	1	819	ok
וואָלף קאָמראש	full	1.0	קאַמראַש, וואָלף			exact	P-4-facs_51_r	1	3487	ok
וואָלף שומסקי	full	4.0	שומסקי, וואָלף (מאַרמאָר]			exact	P-3-facs_275_tr_1755674154	1		no_db_alignment
ווידע משה	full	1.0	וויידע, משה			exact	P-5-facs_177_tr_1736589074	1	3213	ok
ווילי פּאסטערנאַק	full	3.0	פּאַסטערנאַק, ווילי			exact	P-3-facs_33_tr_1752653026	1		no_db_alignment
וויליאַם זיגענלויב	full	1.0	זיגענלויב, וויליאם [וואָלף]			exact	P-1-facs_401_r_1	1	3393	ok
וויליאַם סיגעל	full	18.0	סיגעל וויליאָם (וועלוול-יצחק הערצאָג]			exact	P-2-facs_343_tr_1744365797	1	910	ok
וויליאַם פרידמאַן	full	1.0	וויליאַם פֿרידמאַן			exact	P-4-facs_667_tr_1755030055	1	3603	ok
