source_sheet	volume	xml_id	heading	index_unmatched	extras
Noa Volume 1 Align		facs_378_tr_1739715267	ווינאָוויטש, בעטי		ווינאָוויטש, בּעטי 327:1
Noa Volume 1 Align		facs_378_tr_1739715272	ווינטשעווסקי, מאָריס [בנציון נאָוואָכאָוויטש]		)בנציון נאָוואַכאָוויטש( 327:1
Noa Volume 1 Align		facs_84_tr_1740520964	וויניווער		
Noa Volume 1 Align		facs_379_tr_1739715269	וויניק, גערטרוד		וויניק, גערטרוד 527:1
Noa Volume 1 Align		facs_379_tr_1739715276	ווינער-ליכטיגער רעגינע		ווינער, ליכטיגער, רעגינע 527:1
Noa Volume 1 Align		facs_379_r_152	וויסאָצקי, אידאָ		וויסאָצקי, אידאַ 627:1
Noa Volume 1 Align		facs_379_r_2	וויעסיאָלאָיאָ, ליובאַ [שאָסקין]		וויעסיאָלאַיאַ, ליובּאַ )שאָסקין( 627:1
Noa Volume 1 Align		facs_380_tr_1739715267	וויערניק, בתיה		וויערניק, בּתיה 727:1
Noa Volume 1 Align		facs_380_r_2	וויערניק, יצחק		וויערניק, יצחק 727:1
Noa Volume 1 Align		facs_380_r	וולאַדעק, ב. [ברוך-נחמן טשאָרני]		וולאַדעק, בּ. )ברוך-נחמן טשאַרני( 827:1
Noa Volume 1 Align		facs_380_tr_1739715264	וועטשטיין, דוד		וועטשטיין, דוד 827:1
Noa Volume 1 Align		facs_381_r_6	וועטשטיין, קלאַראַ [נעכעלעס-בוקסענבוים]		וועלמאַן, אַנעטאַ )אַננאַ( 927:1
Noa Volume 1 Align		facs_381_r_9	וועלטמאַן, אַנעטאָ [אננאַ]		
Noa Volume 1 Align		facs_381_tr_1739715266	ווענדאָרף ראובן		ווענדאָרף, ראובן 037:1
Noa Volume 1 Align		facs_381_r_2	וועקסלער יעקב		וועקסלער, יעקב 037:1
Noa Volume 1 Align		facs_382_tr_1739715279	וועקשטיין, בנציון		וועקשטיין, בּנציון 137:1
Noa Volume 1 Align		facs_382_tr_1739715278	ווערבליינסקיא יאָזעף		
Noa Volume 1 Align		facs_382_r_5	ווערבעל, מישעל-אַדאָלף [משה-אַברהם]		)משה-אברהם( 137:1
Noa Volume 1 Align		facs_382_tr_1739715265	זאָבאָלינסקי, זעליג		זאַבּאָלינסקי, זעליג 237:1
Noa Volume 1 Align		facs_382_tr_1739715275	זאַבאָלינסקי, יוסף		זאַבּאָלינסקי, יוסף 237:1
Noa Volume 1 Align		facs_382_tr_1739715272	זאַבלאָצקי, משה		זאַבּלאָצקי, משה 237:1
Noa Volume 1 Align		facs_383_tr_1739715269	זאַבלודאָווסקי, נח		זאַבּלודאָווסקי, נח 337:1
Noa Volume 1 Align		facs_383_r_6	זאָגאָר פֿרידאָ [ניעמאָווא]		זאַגאַר, פרידאַ 337:1
Noa Volume 1 Align		facs_383_tr_1739715262	זאָגאָר, מאָריץ		זאגאר, מאָריץ 337:1
Noa Volume 1 Align		facs_383_tr_1739715273	זאַהיק, דוד		זאַהיק, דוד 437:1
Noa Volume 1 Align		facs_384_tr_1739715246	זאָלאָטאראָוו, הלל דר.		זאָלאָטאַראָוו, הלל, דר. 537:1
Noa Volume 1 Align		facs_384_r	זאָלאַטאַרעפסקי, איזידאָר [יצחק]		זאָלאָטאַרעפסקי, איזידאָר )יצחק( 537:1
Noa Volume 1 Align		facs_388_tr_1739715081	זאָלאָטקאָף, לעאָן		זאָלאָטקאָף, לעאָן 447:1
Noa Volume 1 Align		facs_389_tr_1739715091	זאָלודקאָווסקי, אליהו		זאַלודקאָווסקי, אליהו 547:1
Noa Volume 1 Align		facs_389_tr_1739715084	זאַלצמאַן, נעכאָמע		זאַלצמאַן, נעכאָמע 547:1
Noa Volume 1 Align		facs_389_tr_1739715078	זאָמאָשטשין, פלטיאָל		זאַמאָשטשין, פּלטיאל 647:1
Noa Volume 1 Align		facs_389_tr_1739715087	זאַנגער יעקב		זאַנגער, יעקב 647:1
Noa Volume 1 Align		facs_390_tr_1739715054	זאַנדבערג, יוליאַ [טויבע-איטע ספּעקטאָר]		)טויבע-איטע ספּעקטאָר( 747:1
Noa Volume 1 Align		facs_390_tr_1739715034	זאַנדבערג, יצחק		זאַנדבּערג, יצחק 847:1
Noa Volume 1 Align		facs_391_tr_1739715052	זאַסלאָווסקאַ, בערטאָ [באַסיע לעווין]		זאַסלאַווסקאַ, בּערטאַ )בּאַסיע לעווין( 947:1
Noa Volume 1 Align		facs_391_tr_1739715056	זאָסלאָווסקאַיאָ, וויעראָ		זאַסלאַווסקאַיאַ, ווויעראַ 057:1
Noa Volume 1 Align		facs_392_tr_1739715078	זאַסלאַווסקי, רודאָלף [ראובן-לייב]		זאַסלאַווסקי, רודאָלף )ראובן-לייב( 157:1
Noa Volume 1 Align		facs_393_tr_1741260467	זאַץ, לודווייג [לוי יצחק]		זאַץ, לודוויג )לוי יצחק( 357:1
Noa Volume 1 Align		facs_394_tr_1739715058	זאָק, אַברהם		זאַק, אברהם 657:1
Noa Volume 1 Align		facs_395_tr_1739715052	זאַק, שעפטל		
Noa Volume 1 Align		facs_395_tr_1739715051	זאַקאָזשאַנסקי, מאיר		זאַקאָזשאַנסקי, מאיר 757:1
Noa Volume 1 Align		facs_395_r_8	זאַקס ראָיע (?]		זאַקס, ראָיע 757:1
Noa Volume 1 Align		facs_395_r_10	זאָריצקאַ, גיטל [ליפשיץ-זעליגער]		זאַריצקא, גיטל )ליפשיץ-זעליגער( 757:1
Noa Volume 1 Align		facs_395_r_6	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]		)בנימין וואָלף עהרענקראַנץ( 857:1
Noa Volume 1 Align		facs_399_tr_1739715061	זוסמאַן, יוסף-אַבא		זוסמאַן, יוסף-אבּא 567:1
Noa Volume 1 Align		facs_399_tr_1739715070	זוסקין, בנימין		זוסקין, בּנימין 667:1
Noa Volume 1 Align		facs_399_tr_1739715063	זיבעל, נחמן		זיבּעל, נחמן 667:1
Noa Volume 1 Align		facs_400_TextRegion_1710065342920_478	זיבּעל, עלאַ		זיבּעל, עלאַ 767:1
Noa Volume 1 Align		facs_400_r_12	זיבּעל, פרידא [זשאַרטאָווסקי]		זיבּעל, פרידאַ )זשאַרטאָווסקי( 767:1
Noa Volume 1 Align		facs_401_TextRegion_1710065459895_541	זיגלער ערנא		זיגלער, מאָריץ )משה בעלזער( 867:1
Noa Volume 1 Align		facs_400_r_2	זיגלער, מאָריץ [משה בעלזער]		זיגלער, ערנאַ 967:1
Noa Volume 1 Align		facs_401_r_14	זיגלער, ראָזאַ [ראָזענשטיין]		זיגלער, ראָזאַ )ראָזענשטיין( 967:1
Noa Volume 1 Align		facs_401_r_1	זיגענלויב, וויליאם [וואָלף]		זיגענלויבּ, וויליאַם )וואָלף( 077:1
Noa Volume 1 Align		facs_84_tr_1740520941	זיזמאָר יעקב		
Noa Volume 1 Align		facs_401_r_5_1	זיידמאַן, בּעני		זיידמאַן, בּעני 077:1
Noa Volume 1 Align		facs_402_tr_1739715097	זיידעמאַן, דוד		זיידעמאַן, דוד 177:1
Noa Volume 1 Align		facs_402_r_3	זיידענבערג, לעאָן [דוד-לייב זיידענווערג]		)דוד-לייב זיידענווערג( 177:1
Noa Volume 1 Align		facs_402_tr_1739715086	זיידערמאַן, [?]		זיידערמאַן, ? 277:1
Noa Volume 1 Align		facs_402_tr_1739715076	זייפערט, משה		זייפערט, משה 277:1
Noa Volume 1 Align		facs_403_tr_1739715072	זייקין, גרשון		זייקין, גרשון 477:1
Noa Volume 1 Align		facs_404_tr_1739715086	זילבורג, משה		
Noa Volume 1 Align		facs_404_r_8	זילבער קאַרל [חיים]		זילבּער, קאַרל )חיים( 577:1
Noa Volume 1 Align		facs_404_tr_1739715089	זילבערבלאַט, זלמן		זילבּערבּלאַט, זלמן 677:1
Noa Volume 1 Align		facs_405_TextRegion_1710157124987_295	זילבּערבּערג, וואָלף		זילבּערבּערג, וואָלף 777:1
Noa Volume 1 Align		facs_405_TextRegion_1710157093565_274	זילבּערבּערג, סעמואל		זילבּערבּערג, סעמועל 877:1
Noa Volume 1 Align		facs_407_tr_1739715069	זילבערט ראָזאַ		זילבּערט, ראָזאַ 187:1
Noa Volume 1 Align		facs_405_TextRegion_1710157077617_269	זילבּערט, טעאָדאַר-הערצל		זילבּערט, טעאָדאָר-הערצל 877:1
Noa Volume 1 Align		facs_405_r_4	זילבּערט, יעקב [קוליש]		זילבּערט, יעקב )קוליש( 877:1
Noa Volume 1 Align		facs_406_tr_1739715063	זילבערט, ליזאַ		זילבּערט, ליזאַ 087:1
Noa Volume 1 Align		facs_407_tr_1739715072	זילבערמאַן, אַסתר		זילבּערמאַן, אסתר 187:1
Noa Volume 1 Align		facs_407_tr_1739715081	זילבערמאַן, מאָריס, דר		זילבּערמאַן, מאָריס, דר. 287:1
Noa Volume 1 Align		facs_407_r_2	זילבערמאַן, משה		זילבּערמאַן, משה 287:1
Noa Volume 1 Align		facs_408_r_7	זילבּערמאַן, עלאַ [זיגלער]		זילבּערמאַן, עלאַ )זיגלער( 387:1
Noa Volume 1 Align		facs_408_TextRegion_1710064957426_326	זילבּערמאַן, קאַרל		זילבּערמאַן, קאַרל 387:1
Noa Volume 1 Align		facs_408_TextRegion_1710064929131_307	זילבּערצווייג, זלמן		זילבּערצווייג, זלמן 487:1
Noa Volume 1 Align		facs_409_TextRegion_1710065090972_381	זילבּערצווייג, נתן		זילבּערצווייג, נתן 687:1
Noa Volume 1 Align		facs_410_tr_1739715091	זילבערקאָסטען, משה		זילבּערקאַסטען, משה 787:1
Noa Volume 1 Align		facs_410_tr_1739715086	זילבערשטייין, שמעון		זילבּערשטיין, שמעון 887:1
Noa Volume 1 Align		facs_410_tr_1739715084	זילבערשטיין, משה		זילבּערשטיין, משה 787:1
Noa Volume 1 Align		facs_410_tr_1739715090	זימאַן, עני		זימאן, עני 887:1
Noa Volume 1 Align		facs_411_r_2	זימאַנד איווא [חוה-אסתר שטייסל]		זימאָנד, איווא )חוה-אסתר שטייסל( 987:1
Noa Volume 1 Align		facs_411_tr_1739715053	זינגמאַן, קלמן		זינגמאַן, קלמן 987:1
Noa Volume 1 Align		facs_411_tr_1739715050	זינגער אַדעלאַ		זינגער, אַדעלאַ 987:1
Noa Volume 1 Align		facs_411_r	זינגער איידא [גלאַדשטיין]		זינגער, איידא )גלאַדשטיין( 097:1
Noa Volume 1 Align		facs_411_tr_1739715062	זינגער גוטשא		זינגער, דוטשא 097:1
Noa Volume 1 Align		facs_412_TextRegion_1710153731052_73	זינגער, יוסף		זינגער, יוסף 197:1
Noa Volume 1 Align		facs_412_TextRegion_1710153717390_60	זינגער, ישראל-יהושע		זינגער, ישראל-יהושע 197:1
Noa Volume 1 Align		facs_412_TextRegion_1710153704955_46	זינגער, פישל		זינגער, פישל 297:1
Noa Volume 1 Align		facs_412_TextRegion_1710153689691_21	זינגערמאַן, בּערטאַ		זינגערמאַן, בּערטאַ 297:1
Noa Volume 1 Align		facs_413_r_4	זלאַטאָגאַראָוו, יעפיס [חיים גאָלדענבערג]		)חיים גאָלדענבערג( 397:1
Noa Volume 1 Align		facs_413_tr_1739715088	זלאָטשעווסקי, [?]		זלאָטשעווסקי, ? 397:1
Noa Volume 1 Align		facs_404_tr_1739715084	זלבער לאָניאַ [לאה מירנאַ-זילבערשטיין]		)לאה מירנא-זילבערשטיין( 577:1
Noa Volume 1 Align		facs_413_r_8	זעווקינאַ, אַסתר [זעווקאַ]		
Noa Volume 1 Align		facs_413_tr_1739715083	זעלדין, אַלעקסאַנדער		
Noa Volume 1 Align		facs_413_tr_1739715085	זעלינסקאַיאָ, העלען		
Noa Volume 1 Align		facs_414_tr_1739715068	זעלמאַן, לעאָן		
Noa Volume 1 Align		facs_414_r_304	זעלצער, דזשעני		
Noa Volume 1 Align		facs_414_tr_1739715075	זעצער, אַברהם		
Noa Volume 1 Align		facs_414_r_3	זשאָרזש מ. [מאָטל אביון]		זשאָרזש, מ. )מאָטל אביון( 697:1
Noa Volume 1 Align		facs_414_tr_1739715077	זשופּניק, [?]		זשופּניק, ? 697:1
Noa Volume 1 Align		facs_415_TextRegion_1710155983674_155	זשיטקאָווסקי, וולאַדעק		זשיטקאָווסקי, וולאַדעק 797:1
Noa Volume 1 Align		facs_415_r_9	זשעלאַזא, לייזער [זשעלאַזני]		זשעלאַזא, לייזער )זשעלאַזני( 797:1
Noa Volume 1 Align		facs_415_TextRegion_1710155882799_118	חאַלאַ-חאַלאַנאָוו, [?]		חאַלאַן-חאַלאַנאָוו, ? 897:1
Noa Volume 1 Align		facs_415_TextRegion_1710155871558_109	חאַש, יוסף		חאַש, יוסף 897:1
Noa Volume 1 Align		facs_416_tr_1739715064	חד-גדיאַ		חד-גדיא 008:1
Noa Volume 1 Align		facs_416_tr_1739715065	חזן, חיים-אריה		חזן, חיים-אריה 008:1
Noa Volume 1 Align		facs_171_tr_1714741712	טער-בלאַט פון דער וואַרשעווער אויסגאַבע		
Noa Volume 1 Align		facs_131_tr_1740521178	יאַנקעלע מיט דער האַרמאָניע [הירשענביין]		
Noa Volume 1 Align		facs_131_tr_1740521171	יאָסעלע דער בלינדער		
Noa Volume 1 Align		facs_133_tr_1740521125	יעקב יונה צימבלער [דימאַנט]		
Noa Volume 1 Align		facs_79_tr_1740520948	כאַראַטאָוו, בן-צכי [פּאָוועל ברענער]		
Noa Volume 1 Align		facs_88_tr_1740521168	כנף רננים אָדער זעקס פאָלקסלידער		
Noa Volume 1 Align		facs_404_r	לבערבוש, סעם [איתמר]		
Noa Volume 1 Align		facs_132_tr_1740520961	לוקאַטשער חיים-שמואל		
Noa Volume 1 Align		facs_87_r_6	לידער צום צייט פערטרייכונג		
Noa Volume 1 Align		facs_132_r_13	לינעצקי, הענעך		
Noa Volume 1 Align		facs_132_tr_1740520968	מאָשקאָוויטש, יאָסעלע		
Noa Volume 1 Align		facs_132_tr_1740520960	משה דער בלינדער [זינגער]		
Noa Volume 1 Align		facs_85_r_6	משה מאַרעכאָווסקי דער באָסלעווער מאַרשעליק		
Noa Volume 1 Align		facs_132_tr_1740520957	משה מרדכי		
Noa Volume 1 Align		facs_86_tr_1740521078	סאָניע בדחן [ישראל זאדרונסקי]		
Noa Volume 1 Align		facs_87_tr_1740520981	סיגעטער הערש-לייב [גאָטליב]		
Noa Volume 1 Align		facs_87_tr_1740520982	סענדער בדחן [אליהו-אַלכסנדר פידעלמאַן]		
Noa Volume 1 Align		facs_88_r	עוזר מאַרשעליק [ראָהאַטינער ?]		
Noa Volume 1 Align		facs_132_tr_1740520959	פֿייערשטיין, אַשר [זעליג גאַבעל ?]		
Noa Volume 1 Align		facs_132_tr_1740520964	פיליפּעסקאַ און זיין פרוי דזשאַנעט		
Noa Volume 1 Align		facs_88_tr_1740521161	פּסח אלי' בדחן [פּסעוודאָנים „פודעלע']		
Noa Volume 1 Align		facs_88_r_10	צונזער, אליקום		
Noa Volume 1 Align		facs_133_r_9	קאָפּ, משה		
Noa Volume 1 Align		facs_133_tr_1740521131	קאָפקע, אַברהם		
Noa Volume 1 Align		facs_88_r_5	קלעבאַנאָוו, הלל		
Noa Volume 1 Align		facs_133_tr_1740521134	שאַפֿיר, בירך (בענעדיקט)		
Noa Volume 1 Align		facs_133_tr_1740521135	שטעפּלער (פּאַרקע), דוד		
Noa Volume 1 Align		facs_134_tr_1740520966	שטרודלער, חנאַ		
Noa Volume 1 Align		facs_87_r_11	שירי אַסף		
Noa Volume 1 Align		facs_134_tr_1740520965	שמאַילע דער הייזעריקער		
Noa Volume 1 Align		facs_134_r_12	שמוליאק		
Noa Volume 1 Align		facs_134_tr_1740520951	שפּאַצער לעאָן		
volume 6 align	6.0	facs_71_r_6	"„אונזער ווינקל"""		אונזער ווינקל 5794:6
volume 6 align	6.0	facs_313_tr_1747930158	„אוריאל אַקאָסטאָ“		
volume 6 align	6.0	facs_330_tr_1747930415	"""אָן אַ היים"""		
volume 6 align	6.0	facs_475_r	"""ארטעף"""		
volume 6 align	6.0	facs_287_r	״אַרטעף״-מיטגלידער אין ראָלן פון		
volume 6 align	6.0	facs_80_tr_1747746174	"""באַוועגלעכער יידישער דראַמאַטישער טעאַטער"""		בּאַוועגלעכער ייִדישער דראַמאַטישער טעאַטער 3994:6
volume 6 align	6.0	facs_308_tr_1747930355	"״געבראָכענע הערצער"""		
volume 6 align	6.0	facs_135_tr_1747825122	„די גענאַרטע וועלט“		גענאַרטע וועלט, די 3015:6
volume 6 align	6.0	facs_286_r_18	"„די גענאַרטע וועלט""."		
volume 6 align	6.0	facs_329_tr_1747930505	"„די וואַרהייט""."		
volume 6 align	6.0	facs_81_tr_1747746168	"„די ליטעראַרישע טרופּע"" [""פאַראייניקטע טרופּע""]"		ליטעראַרישע טרופּע, די 6994:6
volume 6 align	6.0	facs_311_r	„די מוטער״		
volume 6 align	6.0	facs_319_r	"„די שחיטה"""		
volume 6 align	6.0	facs_491_tr_1747930191	"„דער דריטער פאַראַד"""		
volume 6 align	6.0	facs_312_tr_1747930581	"„ווילנער באַלעבעסעל"""		
volume 6 align	6.0	facs_308_tr_1747930356	„חנהלע די נייטאָרין״		
volume 6 align	6.0	facs_321_r_2	"„יאַנקל דער שמיד""."		
volume 6 align	6.0	facs_566_r_2	"""יידישע מוזיקאַלישע טעאַטער גרופּע"" (פילאָדעלפּיע)"		יידישע מוזיקאַלישע טעאַטער גרופּע 5695:6
volume 6 align	6.0	facs_327_tr_1747930566	"„ליטעראַרישע טרופּע""."		
volume 6 align	6.0	facs_288_tr_1747928977	"״מאַן און ווייב""."		
volume 6 align	6.0	facs_67_tr_1747746115	"„מאַסקע"""		מאַסקע 8694:6
volume 6 align	6.0	facs_321_r_3	"„מירעלע אפרת"""		
volume 6 align	6.0	facs_326_tr_1747930519	"""מעדעאַ""."		
volume 6 align	6.0	facs_313_tr_1747930160	"״נאַ דניע""."		
volume 6 align	6.0	facs_326_tr_1747930516	"„סאַפאַ"""		
volume 6 align	6.0	facs_284_tr_1747929000	"״ערשטער יידישער רעקרוט""."		
volume 6 align	6.0	facs_425_r_5	"""פערהיפט"""		
volume 6 align	6.0	facs_289_tr_1747928937	״קבצן עושר-שפּיל״		
volume 6 align	6.0	facs_287_tr_1747928960	״רעקרוטן״ פֿון ישראל אַקסענפעלד — ליפּע רעזניק		
volume 6 align	6.0	facs_353_tr_1747930149	"""שבת אויבס"""		
volume 6 align	6.0	facs_274_tr_1747928899	א'ס שטעלונג צו יידיש		
volume 6 align	6.0	facs_11_tr_1747745181	אַבּעלמאַן, בעני [ברוך-משה]		אבּעלמאַן, בּעני )בּרוך-משה( 5584:6
volume 6 align	6.0	facs_22_tr_1747746208	אָבערלענדער, יאָזעף		אבּערלענדער, יאָזעף 7784:6
volume 6 align	6.0	facs_173_tr_1747825113	אַבראַמאָוו, א. [אַברהם קאַגאָן]		אַבּראַמאָוו, א. )אברהם קאַגאַן( 0815:6
volume 6 align	6.0	facs_108_r_4	אַבראַמאָוו, באָריס [פּיינלאַנד]		אַבּראַמאָוו, בּאָריס )פיינלאַנד( 0505:6
volume 6 align	6.0	facs_109_tr_1747825072	אַבראַמאָוו, מערי [מרים איינהאָרן]		אַבּראַמאָוו, מערי )מרים איינהאָרן( 2505:6
volume 6 align	6.0	facs_46_tr_1747746179	אַבראַמאָוויץ, ח. ע.		אַבּראַמאָוויץ, ח. ע. 5294:6
volume 6 align	6.0	facs_564_r_27	אָגורסקי, סעם (שמואל)		אַגורסקי, סעם )שמואל( 2695:6
volume 6 align	6.0	facs_21_r_2	אַדלער, היימאַן [באַרטפּעלד]		אַדלער, היימאַן )בּאַרטפעלד( 6784:6
volume 6 align	6.0	facs_661_r	אדעלאַ מאָנדרי		בּראַנדעסקאָ, יוסף )סמאָלניק( 1094:6
volume 6 align	6.0	facs_653_r	אהרן שאַרף		בּרוין, דוד 4984:6
volume 6 align	6.0	facs_20_tr_1747746136	אויסלענדער נחום		אויסלענדער, נחום 3784:6
volume 6 align	6.0	facs_650_tr_1747931534	אונדזערע בויער		
volume 6 align	6.0	facs_177_tr_1747825182	איגנאַטאָוו, דוד [איגנאַטאָווסקי]		איגנאַטאָוו, דוד )איגנאַטאָווסקי( 7815:6
volume 6 align	6.0	facs_663_r_1	אייזיק און פּאָליאַ פינקעלשטיין		
volume 6 align	6.0	facs_19_tr_1747746110	אייזיקאָוויטש, נייטען [נטע]		אייזיקאָוויטש, נייטען )נטע( 2784:6
volume 6 align	6.0	facs_55_tr_1747746152	אייזלאנד, ראובן		אייזלאַנד, ראובן 4494:6
volume 6 align	6.0	facs_124_tr_1747825116	אייזענבערג, ליובאַ		אייזענבּערג, ליובא 2805:6
volume 6 align	6.0	facs_21_tr_1747746221	אייזענשטאַט, מרדכי		אייזענשטאַט, מרדכי 6784:6
volume 6 align	6.0	facs_185_tr_1747825159	אייסען אַברהם, דר.		אייסען, אַברהם, דר. 4025:6
volume 6 align	6.0	facs_302_tr_1747930382	אין דער אָפּערעטע און מעלאָדראַמע		
volume 6 align	6.0	facs_22_tr_1747746198	אַכראָן, יוסף		אכראן, יוסף 8784:6
volume 6 align	6.0	facs_171_tr_1747825164	אַלבערטסאָן, לעא (אַליעזר סערהייסקי)		)אליעזר סערהייסקי( 5715:6
volume 6 align	6.0	facs_96_tr_1747746116	אַלטשולער, לייב		אַלטשולער, לייבּ 6205:6
volume 6 align	6.0	facs_219_tr_1747928990	אַלס אַקטיאָר		
volume 6 align	6.0	facs_219_tr_1747928987	אַלס דראַמאַטורג		
volume 6 align	6.0	facs_660_tr_1747931529	אַננאַ לייקין		
volume 6 align	6.0	facs_24_tr_1747746131	אַנציפּאָוויטש, ריוואַ		אַנציפּאָוויטש, ריוואַ 1884:6
volume 6 align	6.0	facs_611_r_33	אָסטראָווסקי, סעם (שמואל)		אָסטראָווסקי, סעם )שמואל( 6506:6
volume 6 align	6.0	facs_221_tr_1747928911	אַפּשאַצונגען		
volume 6 align	6.0	facs_209_tr_1747928947	אָפּשאַצונגען		
volume 6 align	6.0	facs_227_r_85	אָפּשאַצונגען:		
volume 6 align	6.0	facs_259_tr_1747928894	אָפּשאַצונגען:		
volume 6 align	6.0	facs_271_r_1	אַקסענפעלד, ישראל		אַקסענפעלד, ישראל 5735:6
volume 6 align	6.0	facs_24_r_2	אַרצישעווסקאַ, טאָטשיא [ליפּסקי, קראטקאָ]		
volume 6 align	6.0	facs_69_r_13	אַש-אַווערבוך פּאָליאַ [פּעסיע זילבערשטיין]		
volume 6 align	6.0	facs_565_tr_1752129114	אַש, חיהלע		אַש, חיהלע 3695:6
volume 6 align	6.0	facs_62_tr_1747746121	באַגאַטעלאַ טעאַטער		בּאַגאַטעלאַ טעאַטער 8594:6
volume 6 align	6.0	facs_176_tr_1747825145	באַדאַנעס איידא, דר.		בּאַדאַנעס, איידא, דר. 5815:6
volume 6 align	6.0	facs_110_tr_1747825093	באָזשיק, אַברהמלע		בּאָזשיק, אַברהמלע 3505:6
volume 6 align	6.0	facs_260_tr_1747928893	באָיאַרסקאַ, רבקה		בּאָיאַרסקא, רבקה 4535:6
volume 6 align	6.0	facs_147_tr_1747825115	באַרדיטשעווער זעליק		בּאַרדיטשעווער, זעליק 7215:6
volume 6 align	6.0	facs_108_r_85	ביבער סענדער		בּיבּער, סענדער 9405:6
volume 6 align	6.0	facs_28_r_73	ביעלי ל. ס. [אליהו, לואיס]		בּיעלי, ל. ס. 9884:6
volume 6 align	6.0	facs_466_tr_1747930136	בלאָק[ך] יעטע		
volume 6 align	6.0	facs_196_tr_1747825052	בלומענטאָל, פֿרידאַ		בּלומענטאַל, פרידאַ 6225:6
volume 6 align	6.0	facs_162_tr_1747825124	בלומשטיין, סעם		בּלומשטיין, סעם 7515:6
volume 6 align	6.0	facs_656_tr_1747931530	בעלאַ און יעקב פישמאַן		פרענק, בעלאַ 8794:6
volume 6 align	6.0	facs_28_r_2	בעלזער, יודל [ספּיוואַק]		בּעלזער, יודל )ספּיוואַק( 9884:6
volume 6 align	6.0	facs_430_tr_1747930469	בעלצער יאָשע [יעקב בעלפער]		בּעלצער, יאַשאַ )יעקב בּעלפער( 4965:6
volume 6 align	6.0	facs_660_tr_1747931528	בענדזשאמין לייקין		
volume 6 align	6.0	facs_31_r_1	בערגער גוסטאוו [גרשון לעמבערגער]		בּערגער, גוסטאַוו )גרשון לענבּערגער( 5984:6
volume 6 align	6.0	facs_152_tr_1747825185	בערלעווי הענריק		בּערלעווי, הענריק 8315:6
volume 6 align	6.0	facs_641_tr_1747930520	בערקאָוויטש, יוסף (יוזשבו)		בּערקאָוויטש, יוסף )יוזשבו( 6116:6
volume 6 align	6.0	facs_611_tr_1747930592	בראַנדט, דזשאַנעט		בּראַנדט, דזשאַנעט 5506:6
volume 6 align	6.0	facs_609_tr_1747930163	"בראַנדט, לואי [„מאָטעלע""]"		"בּראַנדט, לואי )""מאָטעלע""( 2506:6"
volume 6 align	6.0	facs_34_r_1	בראַנדעסקאָ, יוסף [סמאָלניק]		
volume 6 align	6.0	facs_142_tr_1747825180	בראָנעצקי, סעם [יאָקובאָוויטש]		בּראנעסקי, סעם )יאַקובאָוויטש( 8115:6
volume 6 align	6.0	facs_30_tr_1747746174	ברוין, דוד		
volume 6 align	6.0	facs_33_tr_1747746219	ברונאָוו, פּלאַטאָן		בּרונאָוו, פּלאַטאָן 9984:6
volume 6 align	6.0	facs_182_tr_1747825093	גאָלדבערג אייזיק		גאָלדבערג, אייזיק 7915:6
volume 6 align	6.0	facs_406_tr_1747930314	גאָלדשטיין, שמואליק		גאָלדשטיין, שמואליקל 5465:6
volume 6 align	6.0	facs_246_r	גאָרעלאָוואָ-קאַגאָן, אַסתר		גאָרעלאָוואַ-קאַגאַן, אסתר 6235:6
volume 6 align	6.0	facs_606_tr_1747930132	גלאַנץ, יעקב		גלאַנץ, יעקב 5406:6
volume 6 align	6.0	facs_605_tr_1747930533	געלבער, געניאַ		געלבער, געניאַ 3406:6
volume 6 align	6.0	facs_604_tr_1747930212	געלבער, מאָריס		געלבער, מאָריס 1406:6
volume 6 align	6.0	facs_60_tr_1747746187	גראָדנער יידישע טעאַטער געזעלשאַפט		געזעלשאַפט 3594:6
volume 6 align	6.0	facs_605_tr_1747930539	גריידיקער אפֿרים		גריידיקער, אפּרים 4406:6
volume 6 align	6.0	facs_119_r_50	גרינבערג, הענריק		גרינבּערג, הענריק 1705:6
volume 6 align	6.0	facs_95_tr_1747746124	דאָגים, יצחק		דאגים, יצחק 4205:6
volume 6 align	6.0	facs_453_tr_1747930493	דאָווידזאָהן, אפֿרים		דאַווידזאָהן, אפרים 0475:6
volume 6 align	6.0	facs_264_tr_1747928896	דאַווידזאָן, מיכל		דאַווידזאָן, מיכל 1635:6
volume 6 align	6.0	facs_659_tr_1747931536	דזשאָרדזש מ. זעלצער		
volume 6 align	6.0	facs_656_r	דזשעני וויינבערג		
volume 6 align	6.0	facs_46_r_5	די אידען		
volume 6 align	6.0	facs_364_r	די באַציאונג פֿון און צו אַקטיאָרן		
volume 6 align	6.0	facs_89_tr_1747746222	די צעפאַלונג		
volume 6 align	6.0	facs_367_tr_1747930209	די קאַמינסקי-דינאַסטיע		
volume 6 align	6.0	facs_662_tr_1747931526	דען און רעבעקאַ פֿראָהמאַן		
volume 6 align	6.0	facs_310_tr_1747930579	דער איבערברוך		
volume 6 align	6.0	facs_519_tr_1747930387	דער שפּילער אַנסאַמבל		
volume 6 align	6.0	facs_275_tr_1747928878	דראַמאַטישער איינפלוס		
volume 6 align	6.0	facs_403_tr_1747930160	האָבערמאַן, קלאַראַ [פּריימאַן]		האַבּערמאַן, קלאַראַ )פריימאַן( 0465:6
volume 6 align	6.0	facs_608_tr_1747930290	האַר, משה		האַר, משה 0506:6
