source_sheet	volume	xml_id	heading	index_unmatched	extras
volume 3 align	3.0		פּאָטאָצקאַ, לידיאַ		פּאָטאָצקאַ, לידיאַ 5161:3
volume 3 align	3.0		פאָטאַש-פוקס, ריקודה		פּאָטאַש-פוקס, ריקודה 7161:3
volume 3 align	3.0		פּאַטאַשינסקי, משה		פּאָטאַשינסקי, משה 7161:3
volume 3 align	3.0		פּאָטאַשניק, מיכאַאיל		פּאָטאַשניק, מיכאַאיל 8161:3
volume 3 align	3.0		פּאַטראָן, (עליאַס) אליהו		פּאַטראָן, אליהו )עליאַס( 8161:3
volume 3 align	3.0		פּאַטראָני, לאָלאַ		פּאַטריאָטן 0261:3
volume 3 align	3.0		פאַטראָני, פּאָלאַ [פאַולינאַ פּאַטראָן]		פּאַטראָני, פּאָלאַ )פּאַולינאַ פּאַטראָן( 9161:3
volume 3 align	3.0		פאיאץ, דער		
volume 3 align	3.0		פּאַך, אַברהם יצחק		פּאָך, אברהם יצחק 3361:3
volume 3 align	3.0		פאַך, טויבע [פישעל]		פּאָך, טויבע )פישעל( 3361:3
volume 3 align	3.0		פֿאַכלער ראָזאַ		פאַכלער, ראָזאַ 4022:3
volume 3 align	3.0		פֿאַכלער, דוד		פאַכלער, דוד 3022:3
volume 3 align	3.0		פּאָלאַנד, טאַניאַ		פּאָלאַנד, טאַניאַ 4361:3
volume 3 align	3.0		פאָלאנסקי, חיים		
volume 3 align	3.0		פּאָלאַקעוויטש, משה		
volume 3 align	3.0		פּאָליאַק, מ.		פּאָליאַק, מ. 5361:3
volume 3 align	3.0		פאָליאַקאָוו, אַהרן [פּאָליאַטשעק]		פּאָליאַקאָוו, אהרן )פּאָליאַטשעק( 6361:3
volume 3 align	3.0		פאַליי יאָהאַן (יונה)		פּאליי, יאָהאַן )יונה( 6361:3
volume 3 align	3.0		פאָליעוויק, [?]		פּאָליעוויק, ? 7361:3
volume 3 align	3.0		פּאָליפּאַדע, בן-ציון		פּאָליפּאַדע, בן-ציון 7361:3
volume 3 align	3.0		פֿאַללער יעקב [יעקב פעלנהענדלער]		פאַללער, יעקב 5022:3
volume 3 align	3.0		פאַלמע, ס.		פּאַלמע, ס. 9361:3
volume 3 align	3.0		פּאַלעי, דזשייקאָב		
volume 3 align	3.0		פֿאָלק, ראָבערט		
volume 3 align	3.0		פֿאָלקאָוויטש, יואַל-בעריש		
volume 3 align	3.0		פֿאָלקס-טעאַטער		
volume 3 align	3.0		פאָמעראַנץ, נ.		
volume 3 align	3.0		פּאָנטש, ח.		
volume 3 align	3.0		פּאַסטאָר, משה		
volume 3 align	3.0		פאָסטערנאַק, הנינא		
volume 3 align	3.0		פּאַסטערנאַק, ווילי		
volume 3 align	3.0		פאָסיאַס, שימען		
volume 3 align	3.0		פאַסקאַל, עדוואַרד		
volume 3 align	3.0		פּאַסקאַל, שמעון		
volume 3 align	3.0		פּאַסקעוויטש, דזשאַנעט		
volume 3 align	3.0		פּאַסקעוויטש, מאַלווינאַ		
volume 3 align	3.0		פּאַפאַק, ה.		
volume 3 align	3.0		פאַפּירנאַ, אַברהם-יעקב		
volume 3 align	3.0		פֿאָפּער, דוד		
volume 3 align	3.0		פּאָקאָי, מאַקס		
volume 3 align	3.0		פאַרנעס, נייטאָן		
volume 3 align	3.0		פּאַשקאָווסקי, מישאַ		
volume 3 align	3.0		פּויזנער, סאול		
volume 3 align	3.0		פולווער לעוו		
volume 3 align	3.0		"פֿון די „אַריינפֿיר-לידער"" זיינען געווען פּאָפּולער:"		
volume 3 align	3.0		פּורים-רב		
volume 3 align	3.0		פּורים-שפּילן		
volume 3 align	3.0		פּורים-שפּילער		
volume 3 align	3.0		פזשיגאָדאַ, [?]		
volume 3 align	3.0		פידלער הערמאַן [אַברהם הערש]		פידלער, הערמאַן 4312:3
volume 3 align	3.0		פּיוואַר ראָזע		פּיוואַר, ראָזע 9571:3
volume 3 align	3.0		פּיורניק, רוזשאַ		פּיורניק, רוזשאַ 9571:3
volume 3 align	3.0		פֿייווישאָוו, לייבע		פייווישאָוו, לייבע 7312:3
volume 3 align	3.0		פּיין, מאַקס		פּיין, מאַקס 9571:3
volume 3 align	3.0		פֿיליפּעסקאָ, פֿרידריך [בלייכער]		פיליפּעסקאָ, פרידריך 2412:3
volume 3 align	3.0		פּינטשיק, פּ. [פּנחס סגל]		פּינטשיק, פּ. 0671:3
volume 3 align	3.0		פּינטשעווסקי, מוישע		פּינטשעווסקי, מוישע 1671:3
volume 3 align	3.0		פּינסקי, דוד		פּינסקי, דוד 2671:3
volume 3 align	3.0		"פּינעס, מאיר ד""ר"		פּינעס, מאיר ,דר. 7081:3
volume 3 align	3.0		פינקוס, שאָלעם [וויטענבערג]		פּינקוס, שאָלעם 7081:3
volume 3 align	3.0		פינקעל, אַליעזר-דוד		
volume 3 align	3.0		פיעלד אסתר [קאָרנבליט]		פיעלד, אסתר 3422:3
volume 3 align	3.0		פּיעקאַרניק, יעקב		פּיעקאַרניק, יעקב 8081:3
volume 3 align	3.0		פּיעקאַרניק, רוזשאַ		פּיעקארניק, רוזשאַ )טאַרקעוויטש( 8081:3
volume 3 align	3.0		פּיקאָן, מאַלי		פּיקאָן, מאלי 9081:3
volume 3 align	3.0		פּיקוס, מאַלי		
volume 3 align	3.0		פּיקעלטשיק, יעטע		פּיקעלטשיק, יעטע 5281:3
volume 3 align	3.0		פּיראָזשניקאָוו, יצחק		פּיראזשניקאָוו, יצחק 5281:3
volume 3 align	3.0		פּירסאָן, צילע		פּירסאָן, צילע 7281:3
volume 3 align	3.0		פישביין, כנימין		פישביין, בנימין 3732:3
volume 3 align	3.0		פישמאַן, יעקב ש. ע		פישמאַן, יעקב 5212:3
volume 3 align	3.0		פישמאַן, סילוויאַ		פישמאַן, סילוויאַ 4722:3
volume 3 align	3.0		פישעלזאָהן, אפֿרים-פֿישל		פישעלזאָהן, אפרים-פישל 9212:3
volume 3 align	3.0		פישעלעוויטש, יצחק		פישעלעוויטש, יצחק 7122:3
volume 3 align	3.0		פּלאַווינאַ, קאַטיאַ		פּלאַווינאַ, קאַטיאַ 8281:3
volume 3 align	3.0		פּלאַוונער, מענדל		פּלאַוונער, מענדל 9281:3
volume 3 align	3.0		פּלאַוונער, רבקה׳לע [רעגינע בערגער]		פּלאַוונער, רבקהלע 9281:3
volume 3 align	3.0		פלאַטקין, דניאל		פּלאַטקין, דניאל 0122:3
volume 3 align	3.0		פּסאַכיס, אהרן		פּסאַכיס, אהרן 0381:3
volume 3 align	3.0		פעלד הערי		פעלד, הערי 0832:3
volume 3 align	3.0		פּעלץ, מרדכי		פּעלץ, מרדכי 0381:3
volume 3 align	3.0		פעקער וויקטאָר (אביגדור)		פּעקער, וויקטאָר 1381:3
volume 3 align	3.0		פּעקער, קלאַראַ [מילער]		פּעקער, קלאַראַ 3381:3
volume 3 align	3.0		פּעקעראָוו, יעקב		פּעקעראָוו, יעקב 3381:3
volume 3 align	3.0		פּערלאָוו, בעטי [ראָזענבערג]		פּערלאָוו, בעטי )ראָזענבּערג( 4381:3
volume 3 align	3.0		פּערלאָוו, יצחק		
volume 3 align	3.0		פּערלמאַן, אסתּר		
volume 3 align	3.0		פּערלמאַן, יעקב		פּערלמאַן, יעקב 6381:3
volume 3 align	3.0		פּערלמאַן, מאַקס		פּערלמאַן, מאַקס 7381:3
volume 3 align	3.0		פּערלמוטער ראובן		פּערלמוטער, ראובן 2481:3
volume 3 align	3.0		פּערלמוטער, אַפֿרים		פּערלמוטער, אפרים 8381:3
volume 3 align	3.0		פּערלמוטער, אַרנאָלד (אַהרל׳ע)		פּערלמוטער, אַרנאָלד 8381:3
volume 3 align	3.0		פערלמוטער, מרדכי		פּערלמוטער, מרדכי 1481:3
volume 3 align	3.0		פּערלמוטער, שלום		פּערלמוטער, שלום 3481:3
volume 3 align	3.0		פּערענסאָן, משה		פּערענסאָן, משה 7481:3
volume 3 align	3.0		פּערקאָף, יצחק		פּערקאָף, יצחק 8481:3
volume 3 align	3.0		פּערקאָף, רובין		פּערקאָף, רובין 9481:3
volume 3 align	3.0		פערקויף, איגנאין [יצחק]		פערקויף, איגנאַץ 4412:3
volume 3 align	3.0		פּראַגער רעגינע		פּראַגער, רעגינע 0581:3
volume 3 align	3.0		פּראָוואַטיינער אַברהם		פּראוואטינער, אברהם 7681:3
volume 3 align	3.0		פראיעקט-טעאַטער		
volume 3 align	3.0		פּראַנד אַדעלאַ		
volume 3 align	3.0		פּראַנד יוליוס		פּראָנד, יוליוס 0781:3
volume 3 align	3.0		פּריבולסקי, יצחק		פּריבולסקי, יצחק 1781:3
volume 3 align	3.0		פּריבעאַגו, יאָן		פּריבעאַגו, יאַן )איזיק לאַזאַראָוויטש( 1781:3
volume 3 align	3.0		פריד, לאַזאַר		פריד, לאַזאַר 3912:3
volume 3 align	3.0		פֿרידזעל, לואיס		פרידזעל, לואיס 6412:3
volume 3 align	3.0		פֿרידלענדער, מאַקס		
volume 3 align	3.0		פֿרידמאַן, רובין (מאיר רובין]		פרידמאַן, רובין 8732:3
volume 3 align	3.0		פריזאַמענט, יעקב		פּריזאַמענט, יעקב 2781:3
volume 3 align	3.0		פריזאַמענט, משה		פּריזאַמענט, משה 3781:3
volume 3 align	3.0		פריזאַמענט, שלמה		פּריזאַמענט, שלמה 3781:3
volume 3 align	3.0		פריזאַנט, היימי		פּריזאַנט, היימי 6781:3
volume 3 align	3.0		פֿריינטליך-שעף, אָניטאָ [חנה]		פריינטלעך-שעף, אַניטאַ 8522:3
volume 3 align	3.0		פּרייס, מיכאל		פּרייס, מיכאל 8781:3
volume 3 align	3.0		פרילוצקי, נח		פּרילוצקי, נח 9781:3
volume 3 align	3.0		פרילוצקי, פאַולאַ		פּרילוצקאַ, פּאַולא 4881:3
volume 3 align	3.0		פּרינץ, א.		פּרינץ, א. 6881:3
volume 3 align	3.0		פרנס, יעקב		פּרנס, יעקב 7881:3
volume 3 align	3.0		פרעגער, יעקב		פּרעגער, יעקב 8881:3
volume 3 align	3.0		פּרענאָוויץ, יוסף-שלמה		פּרענאָוויץ, יוסף-שלמה 4981:3
volume 3 align	3.0		פרץ, יצחק לייבוש		פּרץ, יצחק-לייבוש 8981:3
volume 3 align	3.0		צווערלינג, יעטאַ		צווערלינג, יעטאַ 6722:3
volume 3 align	3.0		צוקערבערג-זילבערצווייג, צילע [טשיפּע באָיאָרסקי, צילע סילווער]		צוקערבערג-זילבערצווייג, צילע 9322:3
volume 3 align	3.0		צוקערבערג, לעאָן (לייבל)		צוקערבערג, לעאָן 7322:3
volume 3 align	3.0		קאַהאַן, לאַזאַר		קאַהאַן, לאַזאַר 9422:3
volume 3 align	3.0		קאָהן, דזשייקעלע [יעקב]		קאָהן, דזשייקעלע 1522:3
volume 3 align	3.0		קאָהען, טשאַרלי [שבתי)		קאָהען, טשאַרלי 6312:3
volume 3 align	3.0		קוסטין, סאַלאָמאַן [שלמה]		קוסטין, סאָלאָמאָן 0322:3
volume 3 align	3.0		קוסטין, סאָניאַ [קאָמפּאַנעעין]		קוסטין, סאָניאַ 2422:3
volume 3 align	3.0		קירשענבוים, יעקב		קירשענבוים, יעקב 5222:3
volume 3 align	3.0		קעשיר איזידאָר [זישע קאַסירער]		קעשיר, איזידאָר 6512:3
volume 3 align	3.0		קראָהן, הערי [צבי-הערש]		קראָהן, הערי 5512:3
volume 3 align	3.0		קרייצבערג, בערטאָ [לעסער]		קרייצנערג, בערטאַ 5722:3
volume 3 align	3.0		קרעמער איידאַ		
volume 3 align	3.0		קרעסין, מרים		קרעסין, מרים 1732:3
volume 3 align	3.0		ר' שימכע פּלאַכטע		
volume 3 align	3.0		ראָבינס, לעאַ [אַליעזר ראַבינאָוויטש]		ראָבינס, לעה )לעאַ( 2322:3
volume 3 align	3.0		ראָגאָף, הלל		ראָגאָף, הלל 9312:3
volume 3 align	3.0		ראָזען, מאַקס [מאַנעס ראָזענצווייג]		ראָזען, מאַקס 3232:3
volume 3 align	3.0		ראָזענטאַל, נייטן (נחום]		ראָזענטאַל, נייטאן 4122:3
volume 3 align	3.0		ראָזענטאָל, קלאַראַ		ראָזענטאַל, קלאַראַ 4622:3
volume 3 align	3.0		ראָזענצווייג, ראוז-לי		ראָזענצווייג, ראָוז-לי 9722:3
volume 3 align	3.0		ראַטבלום [רויטבלום], יצחק		רויטבּלום, יצחק 4522:3
volume 3 align	3.0		ראַטבלום, ישראל		
volume 3 align	3.0		ראַטמאַן, כנימין		ראָטמאַן, בּנימין 5412:3
volume 3 align	3.0		רובין, יעקב		רובין, יעקב 7732:3
