hub_id	canonical_heading	n_entries	n_db_rows	n_surfaces	entry_person_ids	db_ids	volumes	birth_date	death_date	evidence	pending_drafts	multi_db	non_person	top_surfaces
HUB-D3631	בערנאַס, י.	1	1	0	P-7-facs_12_tr_1756389600	3631	7			ra_align	0	0	0	
HUB-D3632	ברוינער [בראונער], יצחק, איטשל	1	1	3	P-5-facs_225_tr_1739222150	3632	5	1887-09-02	1944	ra_align	0	0	0	יצחק ברוינער|יצחק בראונער|י. ברוינער
HUB-D3633	פינקעלקרויט, דניאל	1	1	0	P-7-facs_82_tr_1757228891	3633	7	1895-07-12	1971-07	ra_align	0	0	0	
HUB-D3634	פישזאָן, אַברהם	1	1	3	P-7-facs_87_r	3634	7	1843	1922-01	ra_align	0	0	0	פישזאָן|אַברהם פישזאָן|אַברהם סישזאָן
HUB-D3635	ווינטער פֿראַניאַ [פריידל ראָזענראַט]	1	1	2	P-5-facs_89_tr_1733059487	3635	5	1896	1941-10	ra_align	0	0	0	פראַניאַ ווינטער|פֿריידעלע
HUB-D3636	פֿרייליך, ש. [ליטמאן-געלטמאַן]	1	1	0	P-7-facs_68_r_4	3636	7	1898	1946-07-26	ra_align	0	0	0	
HUB-D3637	גליקמאַן, רעניאַ (רבקה)	1	1	0	P-7-facs_29_tr_1756359803	3637	7	1912-08-10	1961-09-28	ra_align	0	0	0	
HUB-D3638	גוטמאַן, ישעיה	2	1	0	P-1-facs_251_tr_1741260212|P-7-facs_38_r_4	3638	1|7			human_align|ra_align	0	0	0	
HUB-D3639	גוזיק, יעקב	1	1	2	P-7-facs_18_tr_1756799204	3639	7	1877	1952	ra_align	0	0	0	גוּזיק|גוזיקן
HUB-D3640	קאָלמאַנאָוויטש, לייזער	1	1	0	P-7-facs_50_tr_1756359800	3640	7	1883	1946	ra_align	0	0	0	
HUB-D3641	קאַרטאָזשינסקי, אָסקאַר [אשר]	1	1	3	P-7-facs_64_r_4	3641	7	1882-02-26	1933-07-28	ra_align	0	0	0	א. קאַרטאָזשינסקי|אָסקאַר|אָסקאַר קאַרטאָזשינסקי
HUB-D3642	קאָוואַ, שלמה-לייב	1	1	0	P-5-facs_369_r	3642	5	1889		ra_align	0	0	0	
HUB-D3643	כץ, חבל	1	1	0	P-7-facs_21_tr_1756831761	3643	7	1902-05-10	1940-03-08	ra_align	0	0	0	
HUB-D3644	כענקין, וויקטאָר (וולאַדימיר)	1	1	0	P-7-facs_8_r_3	3644	7	1883-12-20	1953-04-17	ra_align	0	0	0	
HUB-D3645	קאָריק, איליאַ	1	1	3	P-7-facs_60_tr_1756359809	3645	7	1881		ra_align	0	0	0	קאָריק|איליא|איליא קאָריק
HUB-D3646	מעדוועדיעוו, יעקב	1	1	1	P-7-facs_25_tr_1756895087	3646	7			ra_align	0	0	0	יעקב מעדוועדיעוו
HUB-D3647	אַרסקאַ, מאַריאַ [מרים-רחל]	1	1	1	P-7-facs_16_r_2	3647	7	1886	1930-05	ra_align	0	0	0	מאַריע
HUB-D3648	ראָטמאַן, אייזיק	1	1	2	P-7-facs_56_r	3648	7	1901	1964-07-17	ra_align	0	0	0	ראָטמאַן|אייזיק ראָטמאַן
HUB-D3649	סטריזשעווסקי, ד.	1	1	1	P-7-facs_103_tr_1757321271	3649	7			ra_align	0	0	0	ד.
HUB-D3650	ציפקוס יעקב [יעקב זיידל ציפּעס]	1	1	3	P-7-facs_14_r_5	3650	7	1852	1935	ra_align	0	0	0	ציפקוס|יעקב ציפקוס|ציפּקוסעס
HUB-D3651	זאַסלאַווסקי, פֿאי	1	1	1	P-7-facs_105_r_2	3651	7	1901		ra_align	0	0	0	זאַסלאווסקי
HUB-D3652	זשיטניצקי, ל. [פּנחס-אַליעזר]	1	1	2	P-7-facs_19_r_7	3652	7	1894-10-30	1967-01-24	ra_align	0	0	0	"ד""ר ל. זשיטניצקי|ט. ביילין [דר. ל. זשיטניצקי]"
HUB-D3654	רייזען, אַברהם	1	1	3	P-6-facs_408_tr_1747930566	3654	6	1876-04-01	1953-03-31	ra_align	0	0	0	אַברהם רייזען|רייזענס|א. רייזען
HUB-D3675	טאַנצמאַן, בערטאַ [בערלין]	1	1	4	P-2-facs_35_tr_1744131361	3675	2	1856	1926	ra_align	0	0	0	בערטאַ טאַנצמאַן|בערטאַ בערלין|מרס. טאַנצמאַן|פֿרל. בערטאָ בערלין
HUB-D3756	זיגמונד שוואַרץ	1	1	0	P-4-facs_670_tr_1755030253	3756	4	1870	1936-11-12	ra_align	0	0	0	
HUB-D3781	שטיין, מ. ב. [משה-בער באַרנשטיין]	1	1	0	P-6-facs_53_r_13	3781	6	1892	1961	ra_align	0	0	0	
HUB-D3782	ראָזען, לאה	1	1	1	P-6-facs_144_tr_1747825163	3782	6			ra_align	0	0	0	לאה ראָזען
HUB-D3783	ראָזענבערג, בערטא	1	1	1	P-6-facs_186_tr_1747825065	3783	6	1899-10-25	1931-09-19	human_align	0	0	0	בערטאַ ראָזענבערג
HUB-D3784	ראָזענבערג, יאָזעף (יוסף-יונה)	1	1	1	P-6-facs_106_tr_1747825134	3784	6	1864	1932-04-28	human_align	0	0	0	יוסף-יונה ריכטער
HUB-D3785	ראַפּעל, לייזער	1	1	4	P-6-facs_241_tr_1747928957	3785	6	1868-12-12	1921-07-26	ra_align	0	0	0	לייזער ראַפּעל|ל. ראַפּעל|אַליעזר ראַפּעל|י. ל. ראַפּעל
HUB-D3786	ריבאַלסקי, מרדכי	1	1	3	P-6-facs_73_tr_1747746199	3786	6	1870	1939	ra_align	0	0	0	ריבאַלסקי|מרדכי ריבאַלסקי|ריבאָלסקי
HUB-D3787	רייזמאַן, יונה	1	1	2	P-6-facs_126_tr_1747825032	3787	6	1862-01-01		ra_align	0	0	0	יונה רייזמאַן|רייזמאַן
HUB-D3788	רייטמאַן, הירש	1	1	1	P-6-facs_268_tr_1747928948	3788	6	1808-03-03	1866-01-10	ra_align	0	0	0	הירש רייטמאַן
HUB-D3790	איגנאַטאָוו, דוד [איגנאַטאָווסקי]	1	1	0	P-6-facs_177_tr_1747825182	3790	6	1885-10-14	1954-02-26	ra_align	0	0	0	
HUB-D3791	רענעי, רות [רייזעלע טאַבאַקסבלאַט]	1	1	1	P-6-facs_174_tr_1747825098	3791	6	1899	1967-05-10	ra_align	0	0	0	רייזעלע
HUB-D3792	שאַפֿיר, בערל	1	1	0	P-6-facs_153_tr_1747825076	3792	6	1876	1922-09-24	ra_align	0	0	0	
HUB-D3793	שוואַרץ, וויליאָם	1	1	1	P-6-facs_78_tr_1747746119	3793	6	1894-10-31		ra_align	0	0	0	וויליאַם שוואַרץ
HUB-D3794	מעיסאָן, מאָריס	1	1	1	P-6-facs_99_tr_1747746187	3794	6	1893	1965-08-01	ra_align	0	0	0	מאָריס מייסאָן
HUB-D3795	שוואַרצער בנימין	1	1	1	P-6-facs_432_tr_1747930458	3795	6	1892-06-06		ra_align	0	0	0	בנימין שוואַרצער
HUB-D3796	גערשענזאָן, משה	1	1	3	P-5-facs_551_tr_1739221725	3796	5	1903	1943-04-16	ra_align	0	0	0	גערשענסאָן|מ. גערשענסאָן|גערשענזאָן
HUB-D3797	שטיינבאַרג אַליעזר	1	1	2	P-6-facs_413_tr_1747930424	3797	6	1880	1932-03-28	ra_align	0	0	0	אַליעזר שטיינבאַרג|שטיינבאַרג
HUB-D3798	שטיפט, הערמאַן (הירש-פּרץ)	1	1	0	P-6-facs_131_r	3798	6	1880		human_align	0	0	0	
HUB-D3799	קריסטיאַן, רודאָלף	1	1	0	P-6-facs_424_tr_1747930495	3799	6			ra_align	0	0	0	
HUB-D3800	גאָלדבערג אייזיק	1	1	3	P-6-facs_182_tr_1747825093	3800	6	1887-11-01		ra_align	0	0	0	אייזיק גאָלדבערג|Isaac Goldberg|יצחק גאָלדענבערג
HUB-D3801	ראַבאָי, א[ייזיק]	2	1	0	P-6-facs_199_tr_1747825102|P-6-facs_259_tr_1747928894	3801	6	1882-11	1944-01-08	human_align|ra_align	0	0	0	
HUB-D3802	בענדזשאמין לייקין	1	1	1	P-6-facs_660_tr_1747931528	3802	6	1896-01		ra_align	0	0	0	בענדזשאמין לייקין
HUB-D3803	ראַבינאָוויטש, ישראל	1	1	2	P-6-facs_190_tr_1747825169	3803	6	1894-09-15	1964-03-18	human_align	0	0	0	ישראל ראַבינאָוויטש|י. ראַבינאָוויטש
HUB-D3804	וויינער, לייב	1	1	1	P-5-facs_191_tr_1736588985	3804	5	1913	1941	ra_align	0	0	0	לייב וויינער
HUB-D3805	ראוז, דזשעין [צוקערמאַן]	1	1	2	P-6-facs_178_tr_1747825078	3805	6	1880~	1927-07-14	human_align	0	0	0	דזשעין ראָוז|ראָוז
HUB-D3806	עלזא	1	1	0	P-2-facs_392_r_4	3806	2			ra_align	0	0	0	
HUB-D3807	צוקערמאַן, לייזער	1	1	1	P-4-facs_55_tr_1753681940	3807	4	1850	1922-06-17	ra_align	0	0	0	לייזער צוקערמאַן
HUB-D3808	קאָדיסאָן, לייב [שוסטער]	1	1	4	P-4-facs_360_tr_1754998576	3808	4	1881-01-09	1947-09-25	ra_align	0	0	0	ל. קאַדיסאָן|לייב קאַדיסאָן|קאַדיסאָן|ל. שוסטער [קאַדיסאָן]
HUB-D3809	ניימאַן, אברהם [בּאַראַקאַן]	1	1	2	P-2-facs_318_tr_1744365808	3809	2	1865-03-28		ra_align	0	0	0	אַברהם ניימאַן|ניימאַן
HUB-D3810	אַקסענפעלד, ישראל	1	1	3	P-6-facs_271_r_1	3810	6	1787	1866	ra_align	0	0	0	אַקסענפעלד|ישראל אַקסענפעלד|אַקסענפעלדן
HUB-D3811	מאַקסימאָוו, מ. [מלך פּאָקאָי]	2	1	1	P-2-facs_228_r_9|P-5-facs_77_tr_1733059398	3811	2|5	1893	1941-07	ra_align	0	0	0	מאַקסימאָוו-פּאָקאָי
HUB-D3812	אַפיש פון דער בענעפיס-פאָרשטעלונג	1	1	0	P-1-facs_179_tr_1714741737	3812	1	1840-07		ra_align	0	0	0	
HUB-D3814	מייערסאָן, מ. ל.	2	1	4	P-2-facs_259_tr_1744280724|P-2-facs_297_r_8	3814	2	1860	1928-05-15	ra_align	0	0	0	מעערסאָן|מאַרק מייערסאָן|מ. ל. מייערסאָן|מייערסאָנען
HUB-D3816	שילדקרויט, רודאָלף [חיים-מרדכי]	1	1	4	P-4-facs_207_tr_1754998369	3816	4	1862	1930-07-15	ra_align	0	0	0	רודאָלף שילדקרויט|שילדקרויט|שילדקרויטן|שילדקרויטס
HUB-D3817	ראַטבלום [רויטבלום], יצחק	1	1	3	P-3-facs_338_tr_1756106568	3817	3			human_align	0	0	0	יצחק רויטבלום|יצחק ראַטבלום|יצחק רייטבלום
HUB-D3818	קאַהאַן ישראל [אַברהם]	1	1	0	P-5-facs_372_tr_1739222357	3818	5	1888-09-19	1939	ra_align	0	0	0	
HUB-D3820	דאָווידאָוו, דוד [ראַציק]	1	1	0	P-1-facs_285_TextRegion_1711970098202_35	3820	1	1890-05-10		ra_align	0	0	0	
HUB-D383	שלום-עליכם [שלום ראַבינאָוויטש]	1	1	3	P-4-facs_453_tr_1755030106	383	4	1859-03-02	1916	human_align	0	0	0	שלום-עליכם|ראַבינאָוויטש|שלום-עליכמן
HUB-D569	גבריאל ראָזענטאָל	1	1	1	P-5-facs_596_r	569	5	1893-09-10		ra_align	0	0	0	גבריאל
HUB-D683	לאַטיינער יאָזעף	1	1	5	P-2-facs_90_tr_1744131428	683	2	1853-12-25		ra_align	0	0	0	לאַטיינער|יאָזעף לאַטיינער|יאָזער לאַטיינער|י. לאַטיינער|לאַטיינערן
