db_id	hebname	english	alternative_name	gender	date_born	date_died	born_in	died_in	external_source_id	external_source	author_of	editor_of	mentioned_in	professional_role_org	professional_role_perf	character_perf	created_expressions	name_variants	probably_not_zylbercweig	source	raw
3214	הערי ווינבערג (אהרון)	Harry Weinberg		Male					yt/lex/W/weinberg-harry-V6.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Harry Weinberg|3214|הערי ווינבערג (אהרון)
3215	הערמאַן ויינבּערג	Herman Weinberg		Male					yt/lex/W/weinberg-herman.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Herman Weinberg|3215|הערמאַן ויינבּערג
3216	קאַַרל וויינבערג (חיים הערבסט)	Karl Weinberg		Male					yt/lex/W/weinberg-karl.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Karl Weinberg|3216|קאַַרל וויינבערג (חיים הערבסט)
3217	משה ויינבּערג	Moshe Weinberg		Male					moyt/lex/W/weinberg-moshe-V5.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Moshe Weinberg|3217|משה ויינבּערג
3218	ישעיהו-דניאל וויינבּערג (ס.ד.)	Yeshayahu Daniel Weinberg		Male					yt/lex/W/weinberg-sd.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Yeshayahu Daniel Weinberg|3218|ישעיהו-דניאל וויינבּערג (ס.ד.)
3219	טשאַרלס וויינבּלאַט (קלמן)	Charles Weinblatt		Male					yt/lex/W/weinblatt-charles.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Charles Weinblatt|3219|טשאַרלס וויינבּלאַט (קלמן)
3220	בּאָריס וויינער	Boris Weiner		Male					yt/lex/W/weiner-boris.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Boris Weiner|3220|בּאָריס וויינער
3221	ברכה וויינער	Bracha Weiner		Female					yt/lex/W/weiner-bracha.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Bracha Weiner|3221|ברכה וויינער
3222	וויינער העלענאַ	Helena Weiner		Female					yt/lex/W/weiner-helena.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Helena Weiner|3222|וויינער העלענאַ
3223	שלמה וויינגאָלד (ספירידיאן, וואָיקא)	Shlomo Weingold		Male					yt/lex/W/weingold-shlomo.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Shlomo Weingold|3223|שלמה וויינגאָלד (ספירידיאן
3224	מאַקס וויינרייך (מאיר)	Max Weinreich		Male					yt/lex/W/weinreich-max-dr.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Max Weinreich|3224|מאַקס וויינרייך (מאיר)
3225	י.י. וויינראָט (יצחק יוסף)	I.J. Weinrot		Male					yt/lex/W/weinrot-i-j.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	I.J. Weinrot|3225|י.י. וויינראָט (יצחק יוסף)
3226	יוסף וויינשעלבוים	Joseph Weinshelbaum		Male					yt/lex/W/weinshelbaum-joseph.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Joseph Weinshelbaum|3226|יוסף וויינשעלבוים
3227	בּערנאַרד וויינשטיין	Bernard Weinstein		Male					yt/lex/W/weinstein-bernard.htm	Zylbercweig Leksikon fun Yidishn Teater										DBKey+Report	Bernard Weinstein|3227|בּערנאַרד וויינשטיין
