host_person_id	mention_name	gender	relation_category	relation_sentence
P-1-facs_100_tr_1740521004	ליפּצין	female	Professional_Collaboration	דאָן אין סעקאָנד עוועניו מיט קעסלער, מאָשקאָוויטש, ליפּצין, קאָליש
P-1-facs_100_tr_1740521004	מאָקס ראָזענטאָל	male	Professional_Collaboration	2 סעזאָנען אין פּיפלס-טעאַטער מיט מאָקס ראָזענטאָל און בעסי טאָמאָשעווסקי
P-1-facs_100_tr_1740521004	מאָשקאָוויטש	male	Professional_Collaboration	דאָן אין סעקאָנד עוועניו מיט קעסלער, מאָשקאָוויטש, ליפּצין, קאָליש
P-1-facs_100_tr_1740521004	מוטער*	female	Family	עלטערן — פֿרומע סוחרים.
P-1-facs_100_tr_1740521004	מוני ווייזנפֿריינד	male	Professional_Collaboration	געשפּילט דאָרט מיט זאַץ, גאָלדענבורג און מוני ווייזנפֿריינד
P-1-facs_100_tr_1740521004	מיני פילפּעל	female	Family	נאָך דער חתונה מיט מיני פילפּעל געוואָרן מענעדזשער פֿון וואָדעוויל-פֿאָרשטעלונגען
P-1-facs_100_tr_1740521004	קאָליש	female	Professional_Collaboration	דאָן אין סעקאָנד עוועניו מיט קעסלער, מאָשקאָוויטש, ליפּצין, קאָליש
P-1-facs_100_tr_1740521004	קאמינסקי	male	Professional_Hierarchy	דערנאָך אַריינגעטראָטן אין כאָר ביי קאמינסקי-ראָפּעל
P-1-facs_100_tr_1740521004	קאמינסקי	male	Professional_Collaboration	שפּעטער פֿון קאָמינסקיס גאָסטראָלן.
P-1-facs_100_tr_1740521004	קעסלער	male	Professional_Hierarchy	אייניקע פּרובן צו שפּילן ביי קעסלערן
P-1-facs_100_tr_1740521004	ראָפּעל	male	Professional_Hierarchy	דערנאָך אַריינגעטראָטן אין כאָר ביי קאמינסקי-ראָפּעל
P-1-facs_100_tr_1740521004	שטיין	male	Other	"אין עלטער פֿון 12 יאָר געזען שליפעראַ שטיינען אויפֿפֿירן „בר כוכבא"""
P-1-facs_100_tr_1740521004	שילדקרויט	male	Professional_Collaboration	1910-2 שפּילט ב. צוזאַמען מיט שילדקרויטן
P-1-facs_100_tr_1740521004	שליפער	male	Other	"אין עלטער פֿון 12 יאָר געזען שליפעראַ שטיינען אויפֿפֿירן „בר כוכבא"""
P-1-facs_100_tr_1740521004	פֿאָטער*	male	Family	אָבער דער פֿאָטער דערלאָזט דאָס ניט.
P-1-facs_100_tr_1740521007	אָדוואָקאָט *	male	Professional_Hierarchy	געאַרבעט 4 יאָר ביי אָן אָדוואָקאָט
P-1-facs_100_tr_1740521007	דר. ראובן כירער	male	Professional_Collaboration	"1883 צוזאַמען מיט דר. ראובן כירער און משה שניידער געגרינדעט דעם יידישן סטודענטן-פֿאַריין „קדימה"""
P-1-facs_100_tr_1740521007	הערצל	male	Professional_Collaboration	נאָך פֿאָר הערצלן געקומען צום ציוניסטישן נאַציאָנאָליזם.
P-1-facs_100_tr_1740521007	משה שניידער	male	Professional_Collaboration	"1883 צוזאַמען מיט דר. ראובן כירער און משה שניידער געגרינדעט דעם יידישן סטודענטן-פֿאַריין „קדימה"""
P-1-facs_100_tr_1740521007	רבנים *	male	Family	שטאָמט אָפּ פון רבנים.
P-1-facs_101_r_4	געביל	male	Professional_Hierarchy	אין וואָדעוויל-פּעריאָד שפּילט זי אין געבילס וואָדעוויל-טרופּע.
P-1-facs_101_r_4	דוד מייעראָוויטש	male	Family	שוועסטער פֿון דוד מייעראָוויטש.
P-1-facs_101_r_4	ס. טאָרנבערג	male	Professional_Collaboration	זייער יונג אָנגעהויבן איר בינע-קאַריערע אַלס פּרימאָדאָנע צוזאַמען מיט ס. טאָרנבערג.
P-1-facs_101_tr_1740521152	אבאַ שיינא גאָלד	male	Professional_Collaboration	1887-9 געשפּילט אין אָדעם צוזאָמען מיט מאָגולעסקאָ, אבאַ שיינא גאָלד און סאָפיע גאָלדשטיין
P-1-facs_101_tr_1740521152	בערטאָ גוטענטאָג	female	Professional_Collaboration	1902 — אין טעאַטער ליבערטאָך צוזאָמען מיט בערטאָ און קאָרל גוטענטאָג
P-1-facs_101_tr_1740521152	גאָלדפֿאָדען	male	Professional_Hierarchy	"1879 אַלס סופֿלער אין בוקאָרעסטער „זשיגניצאָטעאַטער א""ל פֿון גאָלדפֿאָדען."
P-1-facs_101_tr_1740521152	הורוויץ	male	Creative_Intellectual	קאָמישע ראָלן פֿון לאָטיינערס, הורוויץס און שייקעוויטשעס פּיעסן
P-1-facs_101_tr_1740521152	לאָטיינער	male	Creative_Intellectual	קאָמישע ראָלן פֿון לאָטיינערס, הורוויץס און שייקעוויטשעס פּיעסן
P-1-facs_101_tr_1740521152	מאָגולעסקאָ	male	Professional_Collaboration	1887-9 געשפּילט אין אָדעם צוזאָמען מיט מאָגולעסקאָ, אבאַ שיינא גאָלד און סאָפיע גאָלדשטיין
P-1-facs_101_tr_1740521152	ניומאָן	male	Professional_Hierarchy	אין בוענאָסאיירעס אין טעאַטער מאַרקאָני אין דער טרופּע פֿון ניומאָן-פינקל.
P-1-facs_101_tr_1740521152	סאָפיע גאָלדשטיין	female	Professional_Collaboration	1887-9 געשפּילט אין אָדעם צוזאָמען מיט מאָגולעסקאָ, אבאַ שיינא גאָלד און סאָפיע גאָלדשטיין
P-1-facs_101_tr_1740521152	פינקל	male	Professional_Hierarchy	אין בוענאָסאיירעס אין טעאַטער מאַרקאָני אין דער טרופּע פֿון ניומאָן-פינקל.
P-1-facs_101_tr_1740521152	קאָרל גוטענטאָג	male	Professional_Collaboration	1902 — אין טעאַטער ליבערטאָך צוזאָמען מיט בערטאָ און קאָרל גוטענטאָג
P-1-facs_101_tr_1740521152	שייקעוויטש	male	Creative_Intellectual	קאָמישע ראָלן פֿון לאָטיינערס, הורוויץס און שייקעוויטשעס פּיעסן
P-1-facs_101_tr_1740521155	גענפערן	male	Professional_Hierarchy	דעם צווייטן סעזאָן — ביי גענפערן אין ווילנע
P-1-facs_101_tr_1740521155	לייזער זשעלאָזאַ	male	Family	דאָ האָט זי חתונה מיט זשעלאַזאַן
P-1-facs_101_tr_1740521155	ליפּאָווסקין	male	Professional_Hierarchy	ווערט ב. אָנגאַזשירט פון ליפּאָווסקין פֿאַר זיין צירק-טעאַטער
P-1-facs_101_tr_1740521155	מעערסאָנען	male	Professional_Hierarchy	און פֿאָרט צוזאַמען מיט אים קיין אָדעם צו מעערסאָנען
P-1-facs_101_tr_1740521155	עלטערן*	unknown	Family	אין 1908 ווען אירע עלטערן טראָגן זיך אָריבער קיין וואַרשע
P-1-facs_101_tr_1740521155	פּרץ	male	Professional_Hierarchy	וואָס פֿירט אויף אונטער פּרץס לייטונג זיין איינאַקטער „סברענט
P-1-facs_101_tr_1740521155	ראָפּעלן	male	Professional_Hierarchy	שפּעטער ביי ראָפּעלן
P-1-facs_101_tr_1740521155	פֿישזאָן	male	Professional_Hierarchy	איז ב. אָנגאַזשירט געוואָרן אין פֿישזאָןס טרופּע
P-1-facs_101_tr_1740521158	בילי וואָטסאָן	male	Professional_Collaboration	דערנאָך 2 יאָר ענגלישן בורלעסס מיט בילי וואָטסאָן
P-1-facs_101_tr_1740521158	גרינפעלד	male	Professional_Collaboration	אין פֿלאָיעשט נייט ער איבער אין אַ לעגיטימער טרופּע, וואו עס שפּילן הי און פ'פֿיליפּעסקאָ, ה' ניימאַן, סאַלאָמאָנעסקאָ, גרינפעלד (סופלער) און ח' און פ' ווייסמאָן
P-1-facs_101_tr_1740521158	ה' לאָנדאָן	male	Professional_Collaboration	אין 1896 טרעט ב. אַריין אין אַ וואַריעטע טרופּע (ה' און פי קלוג, הי קונעשקאָוויטש, ה' און פ' לאָנדאָן)
P-1-facs_101_tr_1740521158	ה' ניימאַן	male	Professional_Collaboration	אין פֿלאָיעשט נייט ער איבער אין אַ לעגיטימער טרופּע, וואו עס שפּילן הי און פ'פֿיליפּעסקאָ, ה' ניימאַן, סאַלאָמאָנעסקאָ, גרינפעלד (סופלער) און ח' און פ' ווייסמאָן
P-1-facs_101_tr_1740521158	ה' קלוג	male	Professional_Collaboration	אין 1896 טרעט ב. אַריין אין אַ וואַריעטע טרופּע (ה' און פי קלוג, הי קונעשקאָוויטש, ה' און פ' לאָנדאָן)
P-1-facs_101_tr_1740521158	הי קונעשקאָוויטש	male	Professional_Collaboration	אין 1896 טרעט ב. אַריין אין אַ וואַריעטע טרופּע (ה' און פי קלוג, הי קונעשקאָוויטש, ה' און פ' לאָנדאָן)
P-1-facs_101_tr_1740521158	הי פֿיליפּעסקאָ	male	Professional_Collaboration	אין פֿלאָיעשט נייט ער איבער אין אַ לעגיטימער טרופּע, וואו עס שפּילן הי און פ'פֿיליפּעסקאָ, ה' ניימאַן, סאַלאָמאָנעסקאָ, גרינפעלד (סופלער) און ח' און פ' ווייסמאָן
P-1-facs_101_tr_1740521158	ח' ווייסמאָן	male	Professional_Collaboration	אין פֿלאָיעשט נייט ער איבער אין אַ לעגיטימער טרופּע, וואו עס שפּילן הי און פ'פֿיליפּעסקאָ, ה' ניימאַן, סאַלאָמאָנעסקאָ, גרינפעלד (סופלער) און ח' און פ' ווייסמאָן
P-1-facs_101_tr_1740521158	טרייטלער	male	Professional_Hierarchy	אין 1895 טרעט ער אַריין אין דער טרופּע, וואָס טרייטלער שטעלט צונויף פֿון לאָקאַלע כחות
P-1-facs_101_tr_1740521158	סאַלאָמאָנעסקאָ	male	Professional_Collaboration	אין פֿלאָיעשט נייט ער איבער אין אַ לעגיטימער טרופּע, וואו עס שפּילן הי און פ'פֿיליפּעסקאָ, ה' ניימאַן, סאַלאָמאָנעסקאָ, גרינפעלד (סופלער) און ח' און פ' ווייסמאָן
P-1-facs_101_tr_1740521158	פ' ווייסמאָן	female	Professional_Collaboration	אין פֿלאָיעשט נייט ער איבער אין אַ לעגיטימער טרופּע, וואו עס שפּילן הי און פ'פֿיליפּעסקאָ, ה' ניימאַן, סאַלאָמאָנעסקאָ, גרינפעלד (סופלער) און ח' און פ' ווייסמאָן
P-1-facs_101_tr_1740521158	פ' לאָנדאָן	female	Professional_Collaboration	אין 1896 טרעט ב. אַריין אין אַ וואַריעטע טרופּע (ה' און פי קלוג, הי קונעשקאָוויטש, ה' און פ' לאָנדאָן)
P-1-facs_101_tr_1740521158	פ'פֿיליפּעסקאָ	female	Professional_Collaboration	אין פֿלאָיעשט נייט ער איבער אין אַ לעגיטימער טרופּע, וואו עס שפּילן הי און פ'פֿיליפּעסקאָ, ה' ניימאַן, סאַלאָמאָנעסקאָ, גרינפעלד (סופלער) און ח' און פ' ווייסמאָן
P-1-facs_101_tr_1740521158	פי קלוג	female	Professional_Collaboration	אין 1896 טרעט ב. אַריין אין אַ וואַריעטע טרופּע (ה' און פי קלוג, הי קונעשקאָוויטש, ה' און פ' לאָנדאָן)
P-1-facs_101_tr_1740521158	פֿאָטער*	male	Family	פֿאָטער — אַ קאָרסעט-פֿאָבריקאָנט
P-1-facs_102_r_9	ב'ס ברודער	male	Family	דערנאָך אויך צוזאַמען מיטן ברודער (איצט אַ חזן-שוחט), געזונגען ביי חזנים אין רומעניע.
P-1-facs_102_r_9	בנימין	male	Family	ב.'ס זון, בנימין, שרייבט קאָמפּאָזיציעס צו יידישע אָפּערעטן
P-1-facs_102_r_9	בעטי פֿרענק	female	Family	און איז פֿאָרהייראָט מיט דער אַקטריסע בעטי פֿרענק
P-1-facs_102_r_9	גאָרדין	male	Creative_Intellectual	ב. איז געווען דער ערשטער צו קרעאירן פֿאָלננדיקע גאָרדיןס טיפן
P-1-facs_102_r_9	ז. ליבין	male	Creative_Intellectual	"וואו ער פֿירט אויף אייניקע מעלאָדראָמען און ז. ליביןם דראָמע „קינדער פֿאַרגעסן נישט""."
P-1-facs_102_r_9	טאָמאָשעווסקי	male	Professional_Collaboration	פֿאָרטרעט אַמאָל ב. דעם קראַנק-געוואָרענעם טאָמאָשעווסקי אין דער געזאָנגראָל „קרוינפּרינץ אָלעקסאַנדער“
P-1-facs_102_r_9	יעקב פרענק	male	Family	די טאָכטער פֿון אַקטיאָר יעקב פרענק.
P-1-facs_102_r_9	לאַטיינער	male	Creative_Intellectual	ווען ער שפּילט „ר' טוביה ניו“ אין לאַטיינערס „דודס פידעלע“
P-1-facs_102_r_9	מ. אָשעראָוויטש	male	Creative_Intellectual	אין דער באַאַרבעטונג פֿון מ. אָשעראָוויטש
P-1-facs_102_r_9	מאָגולעסקאָ	male	Professional_Hierarchy	ווען מאָגולעסקאָ קומט פֿון אַמעריקע מיטצונעמען די יידישע טרופּע פֿון רומעניע, שלעפּט זיך ב. מיט אָן דעם וויסן פֿון די פֿאָרוואָלטערס
P-1-facs_102_r_9	קעסלער	male	Social_Personal	דאָ באָקענט ער זיך מיט קעסלערן, וועלכער איז נאָך אין קעשענועוו געווען אַ חבר פון ב'ס ברודער.
P-1-facs_102_r_9	פֿרומע עלטערן *	unknown	Family	נעבוירן 1867 אין קעשעניעוו, בעסאַראָביע, ביז פֿרומע עלטערן
P-1-facs_102_tr_1740521060	אַברהם ניימאַן	male	Professional_Collaboration	אין סוף פֿון די ניינציקער יאָרן טרעפן מיר אים אין אָרגענטינע, וואו ער און אַברהם ניימאַן נעמען צוזאָמען „ליבהאָבער“ און שפּילן מיט זיי אין זאָלן.
P-1-facs_102_tr_1740521060	בלאַנק אַברהם	male	Other	[גאַנץ מענלעך אַז בלאַנק אַברהם און יחיאָל זיינען איין פּערזאָן].
P-1-facs_102_tr_1740521060	יחיאָל	male	Other	[גאַנץ מענלעך אַז בלאַנק אַברהם און יחיאָל זיינען איין פּערזאָן].
P-1-facs_102_tr_1740521060	לאטיינער	male	Professional_Hierarchy	געקומען מיט לאטיינערס און מאָגולעסקאָס טרופּע קיין אָדעם אין 1889, און געשפּילט אין מאָרינסקי-טעאַטער.
P-1-facs_102_tr_1740521060	מאָגולעסקאָ	male	Professional_Hierarchy	געקומען מיט לאטיינערס און מאָגולעסקאָס טרופּע קיין אָדעם אין 1889, און געשפּילט אין מאָרינסקי-טעאַטער.
P-1-facs_102_tr_1740521064	א. זאַלאַטאָרעווסקי	male	Creative_Intellectual	„די פֿריילעכע מויד“ (טעקסט פֿון א. זאַלאַטאָרעווסקי)
P-1-facs_102_tr_1740521064	א. ליטמאָן	male	Professional_Hierarchy	אין דעטראָיט ביי א. ליטמאָן ווערט ב. שוין אָנגאַזשירט אַלס דיריגענט און קאָמפּאָזיטאָר
P-1-facs_102_tr_1740521064	א. ליליען	male	Creative_Intellectual	אין 1928-9 אין ליריק-טעאַטער זיינע אָפּערעטן „אַ מלכה אָן אַ מלך“ (טעקסט פון א. ליליען)
P-1-facs_102_tr_1740521064	אל. גליקמאַן	male	Professional_Hierarchy	ווערט ב. אָנגאַזשירט אַלס דיריגענט צו אל. גליקמאַן אין שיקאגאַ
P-1-facs_102_tr_1740521064	ב. ראָזעו	male	Creative_Intellectual	שרייבט ב. מוזיק צו ב. ראָזעוס אָפּערעטע „גיטעל“
P-1-facs_102_tr_1740521064	בעטי פֿרענק	female	Family	ב. אין פֿאָרהייראָט מיט דער אַקטריסע בעטי פֿרענק.
P-1-facs_102_tr_1740521064	דזש. נאַטַאנסאָן	male	Professional_Hierarchy	(אויפֿגעפֿירט דורך דזש. נאַטַאנסאָן)
P-1-facs_102_tr_1740521064	לעאָן בלאַנק	male	Family	פֿאָטער — דער אַקטיאָר לעאָן בלאַנק.
P-1-facs_102_tr_1740521064	מיכל גאָלדבערן	male	Creative_Intellectual	מיכל גאָלדבערנס „משה דער גרונער“
P-1-facs_102_tr_1740521064	ס. ה. קאַהן	male	Creative_Intellectual	"אָנגעשריבן מוזיק צו ס. ה. קאַהןס אָפּערעטע „רייזל פֿון ראַקסבערי"""
P-1-facs_102_tr_1740521064	סיגל	male	Creative_Intellectual	„רייזעלע פֿון טשייניטאן“ (טעקסט פֿון סיגל)
P-1-facs_102_tr_1740521064	סיגעל	male	Creative_Intellectual	"זיינע קאָמפּאָזיצועס צו סיגעלס „אַמעריקאַנער רביצין"""
P-1-facs_102_tr_1740521064	סינעל	male	Creative_Intellectual	"סינעלס „העלאַ שמענדריק"" און „רייזעל מעקאָרטי“"
P-1-facs_102_tr_1740521064	פרץ סאַנדלער	male	Professional_Hierarchy	אין 1919 געווען געהילף-דיריגענט בין פרץ סאַנדלער אין באָסטאָן
P-1-facs_102_tr_1740521064	שטיינבערג	male	Creative_Intellectual	"שטיינבערגס ""בענקענדע הערצער“"
P-1-facs_102_tr_1740521064	פֿריימאָן	male	Creative_Intellectual	"צו פֿריימאָןס אָפּערעטע „סערקעלע קאַזאָק"""
P-1-facs_103_r_2	פֿאָטער*	male	Family	פֿאָטער — אַ וואָטע-מאָכער, זייער ליב נעהאָט נגינה, און צוליב דעם אַ שטיקל צייט געווען פֿאַרבונדן מיט די בראָדערזינגער, און שפּעטער געווען אַ בעל-תפלה.
P-1-facs_103_tr_1740521102	*	male	Family	געבוירן 1 יאָנואַר 1895 אין קיידאָן, קאָוונער נעננט, ליטע, ביו אַן אַרימען שניידער.
P-1-facs_103_tr_1740521102	*	female	Family	צו 12 יאָר געבליבן אַ יתום און נעמוזט מפרנס זיין די מוטער דורכן לערנען מיט חדר-יונגלעך און צוריקגעשטאנענע ישיבה-בחורים.
P-1-facs_103_tr_1740521102	*	male	Professional_Hierarchy	נעמוזט מפרנס זיין די מוטער דורכן לערנען מיט חדר-יונגלעך
P-1-facs_103_tr_1740521102	*	male	Professional_Hierarchy	און צוריקגעשטאנענע ישיבה-בחורים.
P-1-facs_103_tr_1740521102	לודווייג פולדאַ	male	Creative_Intellectual	"אין 1917-8 איבערזעצט פֿאָרן כאָרקאָווער „אונזער ווינקל"" קאָמעדיעס פֿון לודווייג פולדאַ"
P-1-facs_103_tr_1740521102	עדמאַנד ראָסטאָן	male	Creative_Intellectual	"„דער ראָמאַנטיקער"" פֿון עדמאַנד ראָסטאָן א. א."
P-1-facs_103_tr_1740521107	אַהרן סאָפיע	male	Family	פֿאָטער — דער אַקטיאָר אַהרן סאָפיע.
P-1-facs_103_tr_1740521107	ליליען	female	Professional_Hierarchy	און שפּעטער פֿון ליליען איבער דער פּראָווינץ.
P-1-facs_103_tr_1740521107	ליפּצין	female	Professional_Hierarchy	אָנגעהויבן שפּילן דערוואַקסענע ראָלן ביי די גאַסטראָלן פֿון ליפּצין
P-1-facs_103_tr_1740521107	נאַטאָן גאָלדבערג	male	Professional_Hierarchy	1928-9 אין פּראָספּעקט-טעאַטער ביי נאַטאָן גאָלדבערג
P-1-facs_103_tr_1740521114	א. אַזרא	male	Creative_Intellectual	"ב. האָט איבערזעצט „סם"" פֿון לונאָטשאָרסקי און „די משוגענע"" (פֿון פֿראַנצויזיש) פֿאָרן אַקטיאָר א. אַזרא."
P-1-facs_103_tr_1740521114	א. אַלשאַנעצקי	male	Professional_Collaboration	"ב.'ס אָפּערעטע „די איינציקע נאַכט"" (מוזיק פֿון א. אַלשאַנעצקי)"
P-1-facs_103_tr_1740521114	גוסטאָוו שאַכטן	male	Professional_Hierarchy	דעם 11טן סעפּטעמבער 1922 אויפֿגעפֿירט דורך גוסטאָוו שאַכטן אין אַמפיאָן טעאַטער.
P-1-facs_103_tr_1740521114	גליקמאָן	male	Professional_Hierarchy	"דעם 4טן יאָנואַר 1929 איז אין שיקאָגאַ ביי גליקמאָנען אויפֿגעפֿירט געוואָרן זיין פּיעסע „שטיר-ברידער"""
P-1-facs_103_tr_1740521114	געביל	male	Professional_Hierarchy	ב. איז די לעצטע 3 יאָר געווען פובליסיטי-אָגענט ביי געביל
P-1-facs_103_tr_1740521114	האָלענדער	male	Professional_Hierarchy	"דעם 1 נאוועמבער 1929 איז אין כאָסטאָן אויפֿגעפֿירט געוואָרן דורך האָלענדער ב.'ס קאָמעריע-דראָמע „דזשייקאָבס קינדער""."
P-1-facs_103_tr_1740521114	וויעראַ זאָסלאָווסקאַ	female	Professional_Hierarchy	"דעם 21טן אָקט. 1926 האָט וויעראַ זאָסלאָווסקאַ אויפֿגעפירט אין באָלטימאָר זיין קאָמעריע „די מומע פֿון לעמבערג""."
P-1-facs_103_tr_1740521114	זיידע*	male	Family	דער זיידע שיקט אים אָבער אין דער קעשעניעווער ישיבה פֿון רי שלום פּערלמוטער
P-1-facs_103_tr_1740521114	טורגעניעוו	male	Creative_Intellectual	זעצט איבער פֿאָר פֿאַרשיידענע זשורנאָלן איינאַקטערס פֿון טורגעניעוו
P-1-facs_103_tr_1740521114	טשעכאָוו	male	Creative_Intellectual	זעצט איבער פֿאָר פֿאַרשיידענע זשורנאָלן איינאַקטערס פֿון... טשעכאָוו.
P-1-facs_103_tr_1740521114	יאָזעף רומשינסקי	male	Professional_Collaboration	"אויף דער איניציאָטיוו פֿון יאָזעף רומשינסקי זעצט ער איבער „שולמית"" אויף ענגליש"
P-1-facs_103_tr_1740521114	יאָזער שיינגאָלד	male	Professional_Hierarchy	"דעם 26טן פעב. 1926 פֿירט יאָזער שיינגאָלד אויף אין ליריעטעאַטער, ברוקלין, זיין דראָמע „דער חלום פֿון גליק""."
P-1-facs_103_tr_1740521114	יושקעוויטש	male	Creative_Intellectual	"זעצט ער איבער אויף יידיש יושקעוויטשעס פּיעסע „טייוול-געלט"""
P-1-facs_103_tr_1740521114	לונאָטשאָרסקי	male	Creative_Intellectual	"ב. האָט איבערזעצט „סם"" פֿון לונאָטשאָרסקי"
P-1-facs_103_tr_1740521114	מוטער*	female	Family	ב. ווערט דערצויגן ביי זיין מוטערס עלטערן.
P-1-facs_103_tr_1740521114	סעם העריס	male	Professional_Hierarchy	"דעם 31טן אַקטאָבער 1926 ווערט אויפֿגעפֿירט זיין ביבלישע דראַמע „רות"" אין ענגליש אין סעם העריסעס טעאַטער אין ניו יאָרק."
P-1-facs_103_tr_1740521114	סעמיועל גאָלדענבודג	male	Professional_Hierarchy	"דעם 1 אַקטאָבער 1928 האָט סעמיועל גאָלדענבודג אויפֿגעפֿירט אין ניישאָנאַל-טעאָטער זיין קאָמעדיע-דראָמע „די ליבע פֿון אַ נאָר"""
P-1-facs_103_tr_1740521114	פעטער*	male	Family	דאָן ווערט ער אַ שרייבער פֿון ביטעס ביי אַ פעטער, אַן אָדוואָקאַט.
P-1-facs_103_tr_1740521114	פעטער*	male	Family	ענדלעך פֿאָרט ער אָפּ צו זיין פעטער קיין ניו יאָרק.
P-1-facs_103_tr_1740521114	צעזאָר גרינבערג	male	Professional_Collaboration	דעם 17 יאָנואַר 1915 אין ניו יאָרק דורך צווייטקלאַסיקע אַקטיאָרן מיטן אַלטן אַקטיאָר צעזאָר גרינבערג אין דער הויפּט ראָל.
P-1-facs_103_tr_1740521114	שלום פּערלמוטער	male	Professional_Hierarchy	אין דער קעשעניעווער ישיבה פֿון רי שלום פּערלמוטער, וואו ער לערנט דריי יאָר.
P-1-facs_103_tr_1740521114	פֿאָטער*	male	Family	דער פֿאָטער שטאָרבט אַ וואָך פֿאַר ב.'ס ועבורט
P-1-facs_104_tr_1740521041	אָדלער	male	Professional_Hierarchy	פֿאָרט אַרום איבער דער פּראָווינץ מיט די טרופּעס פֿון אָדלער, קעסלער, טאָמאָשעווסקי, בלאַנק, מאָקס ראָזענטאָל און געביל
P-1-facs_104_tr_1740521041	בלאַנק	male	Professional_Hierarchy	פֿאָרט אַרום איבער דער פּראָווינץ מיט די טרופּעס פֿון אָדלער, קעסלער, טאָמאָשעווסקי, בלאַנק, מאָקס ראָזענטאָל און געביל
P-1-facs_104_tr_1740521041	גאָרדיוס	male	Creative_Intellectual	און דאַן אייניקע גאָרדיוס פּיעסן.
P-1-facs_104_tr_1740521041	געביל	male	Professional_Hierarchy	פֿאָרט אַרום איבער דער פּראָווינץ מיט די טרופּעס פֿון אָדלער, קעסלער, טאָמאָשעווסקי, בלאַנק, מאָקס ראָזענטאָל און געביל
P-1-facs_104_tr_1740521041	טאָמאָשעווסקי	male	Professional_Hierarchy	פֿאָרט אַרום איבער דער פּראָווינץ מיט די טרופּעס פֿון אָדלער, קעסלער, טאָמאָשעווסקי, בלאַנק, מאָקס ראָזענטאָל און געביל
P-1-facs_104_tr_1740521041	מאָקס ראָזענטאָל	male	Professional_Hierarchy	פֿאָרט אַרום איבער דער פּראָווינץ מיט די טרופּעס פֿון אָדלער, קעסלער, טאָמאָשעווסקי, בלאַנק, מאָקס ראָזענטאָל און געביל
P-1-facs_104_tr_1740521041	קעסלער	male	Professional_Hierarchy	פֿאָרט אַרום איבער דער פּראָווינץ מיט די טרופּעס פֿון אָדלער, קעסלער, טאָמאָשעווסקי, בלאַנק, מאָקס ראָזענטאָל און געביל
P-1-facs_104_tr_1740521041	קרעטשמאָרעס	unknown	Family	עלטערן — קרעטשמאָרעס.
