decision	composite_score	band	name_score	a_heading	b_heading	a_xml_id	b_xml_id	a_volume	b_volume	same_volume	a_gender	b_gender	a_db_id	b_db_id	db_agreement	source
	1.0	high	1.0	וויינגאָלד שלמה [ספּירידיאָן וואָיקאַ]	וויינטרויב-גראַף, לאה	facs_358_tr_1741260405	facs_359_TextRegion_1710852502307_117	1	1	1					0	heading
	1.0	high	1.0	וויינגאָלד שלמה [ספּירידיאָן וואָיקאַ]	וויינגאָלד שלמה [ספירידיאָן וואיק (צ) אַ]	facs_358_tr_1741260405	facs_58_tr_1733050538	1	5	0					0	heading
	1.0	high	1.0	וויינטרויב-גראַף, לאה	וויינטרויב-גראַף, לאה	facs_359_TextRegion_1710852502307_117	facs_178_tr_1736588957	1	5	0		Male		1050	0	heading
	1.0	high	1.0	וויינטרויב-גראַף, לאה	וויינגאָלד שלמה [ספירידיאָן וואיק (צ) אַ]	facs_359_TextRegion_1710852502307_117	facs_58_tr_1733050538	1	5	0					0	heading
	1.0	high	1.0	אוגער, ישעיה	אוגער ישעיה	facs_35_tr_1740520969	facs_19_tr_1729944965	1	5	0	Male	Male	3128	3128	1	heading
	1.0	high	1.0	אַדלער, קאָטיאָ [גוראַלניק]	אַדלער קאָטיאַ [גוראָלניק]	facs_35_tr_1740520972	facs_556_tr_1739222579	1	5	0	Female	Female	1125	1125	1	heading
	1.0	high	1.0	וויינפּער, ז. [זישע וויינפּערליך]	וויינפּער, ז. [זישע וויינפּערליך]	facs_360_TextRegion_1710852639568_206	facs_591_tr_1755030161	1	4	0	Male	Male	3155	3155	1	heading
	1.0	high	1.0	סעגאַלאָוויטש, קלאַראַ [באָראָדינאָ]	סעגאָלאָוויטש, קלאַראַ [באַראַדינאַ]	facs_362_tr_1744366871	facs_307_r	2	5	0	Female	Female	2880	2880	1	heading
	1.0	high	1.0	סעגאַלעסקאָ, אַלבערט	סעגאַלעסקאָ, אַלבערט	facs_363_tr_1744366851	facs_356_tr_1739222186	2	5	0	Male	Male	2875	2875	1	heading
	1.0	high	1.0	ווייסבערג רחל	ווייסבערג, רחל	facs_365_tr_1741260404	facs_89_tr_1733059485	1	5	0	Female	Female	3250	3250	1	heading
	1.0	high	1.0	וועטשטיין, קלאַראַ [נעכעלעס-בוקסענבוים]	וועטשטיין, קלאַראַ [נעכעלעס-בוקסענבוים]	facs_381_r_6	facs_210_tr_1739220936	1	5	0	Female	Female	3177	3177	1	heading
	1.0	high	1.0	עדעלמאַן-קלעבאַנאָוואַ, ניוניע (חנה)	עדעלמאַן-קלעבאַנאָוואַ, ניוניאַ (חנה)	facs_382_tr_1744366861	facs_547_tr_1739222039	2	5	0	Female	Female	1541	1541	1	heading
	1.0	high	1.0	אוריך סאמי [שמאי, גדליהו]	אוריך, סאמי [שמאי, גדליהו]	facs_38_tr_1740521011	facs_24_r_159	1	5	0		Male		985	0	heading
	1.0	high	1.0	אוריך, צילע [חיה צילע פערער]	אוריך, צילע [חיה צילע פעדער]	facs_39_tr_1740520985	facs_24_tr_1729945242	1	5	0	Female		986		0	heading
	1.0	high	1.0	עפּשטיין, בנימין	עפּשטיין, בנימין	facs_402_tr_1744366872	facs_264_tr_1739221900	2	5	0	Male	Male	1578	1578	1	heading
	1.0	high	1.0	זילבורג, משה	זילבורג, משה	facs_404_tr_1739715086	facs_414_tr_1739222237	1	5	0	Male	Male	3403	3403	1	heading
	1.0	high	1.0	זעלמאַן, לעאָן	זעלמאַן, לעאָן	facs_414_tr_1739715068	facs_558_tr_1739222068	1	5	0					0	heading
	1.0	high	1.0	אייזענבערג אהרן	אייזענבערג, אהרן	facs_42_tr_1740520982	facs_333_tr_1739220904	1	5	0	Male	Male	1603	1603	1	heading
	1.0	high	1.0	אייזענבערג אַווראָם	אייזענבערג, אַווראָם	facs_42_tr_1740520988	facs_400_tr_1739220489	1	5	0		Male		1605	0	heading
	1.0	high	1.0	איינהאָרן, אהרן	איינהארן, אהרן	facs_45_tr_1740521094	facs_26_tr_1729945346	1	5	0	Male	Male	1550	1550	1	heading
	1.0	high	1.0	טורקאָוו, רחל	טורקאָוו, רחל	facs_45_tr_1744131387	facs_69_tr_1733059503	2	5	0	Female	Female	3124	3124	1	heading
	1.0	high	1.0	טיקמאַן, יעקב	טיקמאַן, יעקב	facs_49_tr_1744131387	facs_41_tr_1756359817	2	7	0	Male	Male	3075	3075	1	heading
	1.0	high	1.0	אַמזעל,וואָלף	אַמזעל, וואָלף	facs_51_tr_1740521069	facs_175_tr_1736588934	1	5	0	Male	Male	1155	1155	1	heading
	1.0	high	1.0	טרוימאַן, לייבּ [גאָרדאָן]	טרוימאַן, לייב [גאָרדאָן)	facs_54_tr_1744131418	facs_248_tr_1739220761	2	5	0	Male	Male	3097	3097	1	heading
	1.0	high	1.0	יעקב ניומאַן — וואָרט-קינסטלער און קולטור-עסקן	ניומאַן יעקב	facs_600_r_77	facs_651_r	5	6	0	Male		2559		0	heading
	1.0	high	1.0	חיהלע אָש (פֿורמאַן)	אַש, חיהלע	facs_604_tr_1739220749	facs_565_tr_1752129114	5	6	0		Female		1186	0	heading
	1.0	high	1.0	ארי פֿורמאַן	פֿורמאַן, אַרי	facs_605_r_101	facs_565_tr_1752129112	5	6	0		Male		1711	0	heading
	1.0	high	1.0	אַריעל, חיים דוד	אַריעל, חיים-דוד	facs_64_tr_1740520942	facs_126_tr_1733832830	1	5	0	Male	Male	1173	1173	1	heading
	1.0	high	1.0	אַריעל, סאָניאַ [בעזמאַן]	אַריעל, סאָניאַ [בעזמאַן]	facs_64_tr_1740520956	facs_80_tr_1733059422	1	5	0	Female	Female	1175	1175	1	heading
	1.0	high	1.0	אַריעל, רחל	אַריעל, רחל	facs_64_tr_1740520959	facs_560_tr_1739220843	1	5	0	Female	Female	1174	1174	1	heading
	1.0	high	1.0	יאָלעס-גימפּעל, מאַלווינאַ	יאָלעס-גימפּעל, מאַלווינאַ	facs_64_tr_1744131363	facs_68_tr_1733059493	2	5	0	Female	Female	3314	3314	1	heading
	1.0	high	1.0	אַרנשטיין, מאַרק	אַרנשטיין, מאַרק [אַנדזשעי מאַרעק]	facs_65_tr_1740520947	facs_373_r	1	5	0	Male	Male	995	995	1	heading
	1.0	high	1.0	באַלבירסקי, הערש	באלבירסקי, הערש	facs_77_tr_1740520974	facs_40_r_105	1	5	0	Male	Male	1220	1220	1	heading
	1.0	high	1.0	יונגווירט, ערנעסטינע [קערנער]	יונגווירט, ערנעסטינע [קערנער]	facs_77_tr_1744131366	facs_169_tr_1735652587	2	5	0	Female	Female	3324	3324	1	heading
	1.0	high	1.0	יונגווירט, לעאָפּאָלד (פרץ)	יונגווירט, לעאָפּאָלד (פרץ)	facs_77_tr_1744131367	facs_334_tr_1739221285	2	5	0	Male	Male	3325	3325	1	heading
	1.0	high	1.0	באַרסקאַ-פֿישער ליזאַ	באַרסקאַ-פֿישער, ליזאַ	facs_81_tr_1740521184	facs_272_tr_1739221128	1	5	0	Female	Female	1229	1229	1	heading
	1.0	high	1.0	בייגעלמאַן, דוד	בייגעלמאַן, דוד	facs_97_r	facs_29_r_427	1	5	0	Male	Male	1239	1239	1	heading
	0.95	high	1.0	ליבּערמאַן, אברהם	ליבערמאַן אַברהם	facs_129_r_4	facs_463_tr_1747930281	2	6	0	Male	Male	2289	2289	1	heading
	0.95	high	1.0	וויסקינד, מאַקס	יחזקאָל קרייסטאָל	facs_223_tr_1739220900	facs_617_r_8	5	5	1			3515		0	heading
	0.95	high	1.0	דרייקורס, לעאָן	דרייקורס, לעאָן	facs_302_tr_1741260420	facs_200_tr_1736589086	1	5	0	Male	Male	1522	1522	1	heading
	0.95	high	1.0	ניסענבוים, יעקב	ניסענבוים, יעקב	facs_320_tr_1744365794	facs_91_tr_1733059445	2	5	0	Male	Male	2570	2570	1	heading
	0.95	high	1.0	וואָלפשטאָט, אַברהם	וואָלפשטאַט, אַברהם	facs_344_tr_1741260464	facs_438_tr_1739221803	1	5	0	Male	Male	3279	3279	1	heading
	0.95	high	1.0	וויגאָדסקי, יעקב דר.	ווייגאָדסקי, יעקב, דר.	facs_350_r_7	facs_61_tr_1733059383	1	5	0	Male	Male	3261	3261	1	heading
	0.95	high	1.0	ווילנער, מאַקס, ר	ווייסמאַן, מאָריס	facs_375_tr_1741260389	facs_156_tr_1747825094	1	6	0		Male		3173	0	heading
	0.925	high	1.0	הערשקאָוויטש, שלמה	הערשקאָוויטש, שלמה	facs_335_tr_1741260410	facs_196_tr_1736589006	1	5	0	Male	Male	1991	1991	1	heading
	0.9	high	1.0	בעקער, ראָזאַ [זילבערט]	בעקער, ראָזאַ [זילבערט]	facs_114_tr_1740520993	facs_41_r	1	7	0	Female	Female	1236	1236	1	heading
	0.9	high	1.0	ליבּגאָלד, זלמן	ליבגאָלד, באַסיע	facs_121_r	facs_271_tr_1739221089	2	5	0	Male		2292		0	heading
	0.9	high	1.0	ליבּגאָלד בּאַסיע	ליבגאָלד, באַסיע	facs_121_tr_1744279182	facs_271_tr_1739221089	2	5	0	Female		2290		0	heading
	0.9	high	1.0	שטרודלער, חנאַ	שטרודלער, חנאַ	facs_134_tr_1740520966	facs_94_tr_1747746225	1	6	0	Male	Male	2951	2951	1	heading
	0.9	high	1.0	אַבראַמאָוו, אַדאָלף [אַברהם פּערקאָף]	אַבראַמאָוו, מערי [מרים איינהאָרן]	facs_18_r	facs_109_tr_1747825072	1	6	0		Female		1105	0	heading
	0.9	high	1.0	גוטמאַן, יוליוס [יידל] [יהודה יוסף]	גוטמאַן, יוליוס [יידל] [יהודה-יוסף]	facs_251_tr_1741260226	facs_45_tr_1733050574	1	5	0	Male	Male	1953	1953	1	heading
	0.9	high	1.0	שעהנגאָלד, יוסף	אָפּשאַצונגען:	facs_255_tr_1747928944	facs_259_tr_1747928894	6	6	1				3801	0	heading
	0.9	high	1.0	וואָלפֿינע, פּעסיע	וועליטשאַנסקי, ישראל	facs_342_tr_1741260505	facs_387_tr_1755030250	1	4	0	Female		3192		0	heading
	0.9	high	1.0	וואָלפֿינע, פּעסיע	וועליטשאַנסקי, ישראל	facs_342_tr_1741260505	facs_648_tr_1747930316	1	6	0	Female		3192		0	heading
	0.9	high	1.0	וואַסערמאַן, יעקב	וואַסערמאַן, יעקב	facs_344_tr_1741260465	facs_401_tr_1739221667	1	5	0	Male	Male	3210	3210	1	heading
	0.9	high	1.0	"„פּערהיפט"" [פרץ הירשביין פֿאָלקס טעאַטער]"	"""פערהיפט"""	facs_364_tr_1755030303	facs_425_r_5	4	6	0		Female		1697	0	heading
	0.9	high	1.0	ווייסליץ, אַברהם-יעקב	ווייספעלד, משה	facs_365_tr_1741260397	facs_368_TextRegion_1710163052802_374	1	1	1	Male		3244		0	heading
	0.9	high	1.0	ווייספעלד, משה	ווינדער, מאיר	facs_368_TextRegion_1710163052802_374	facs_435_tr_1739222512	1	5	0				3514	0	heading
	0.85	high	1.0	גאָלד, ניוסיאָ [גיסי גאָלדבערג]	גאָלדבערג, דיינע	facs_147_tr_1740521027	facs_57_tr_1756359815	1	7	0	Female		1805		0	heading
	0.85	high	1.0	ווייסמאַן, דאָראַ	מ. נ. וואָלפּערט	facs_165_tr_1747825091	facs_654_r_1	6	6	1	Female		825		0	heading
	0.85	high	1.0	לעאָנעסקאָ, וואַמפּיראַ	לעאָנעסקאָ, וואַמפּיראָ	facs_174_r_20	facs_405_tr_1747930577	2	6	0	Female	Female	2233	2233	1	heading
	0.85	high	1.0	לעוואנדאָ פֿייגע [לעווין]	לעווין, חנה	facs_177_r_2	facs_181_r_8	2	2	1	Female		2247		0	heading
	0.85	high	1.0	אַפיש פון דער בענעפיס-פאָרשטעלונג	אַפיש פון דער קבלת-פּנים-פאָרשטעלונג	facs_179_tr_1714741737	facs_180_region_1715801037095_458	1	1	1			3812		0	heading
	0.85	high	1.0	וואַלדבערג, יצחק	וויינגאָלד שלמה [ספירידיאָן וואיק (צ) אַ]	facs_187_tr_1736589011	facs_58_tr_1733050538	5	5	1	Male		3140		0	heading
	0.85	high	1.0	שאצקי, יעקב, דר.	דזשעק קאַהאַן	facs_28_r	facs_669_tr_1755030279	4	4	1			3586		0	heading
	0.85	high	1.0	מרגליות, אליהו רבי	מרגליות, בער	facs_298_tr_1744280754	facs_72_tr_1757228897	2	7	0		Male		2396	0	heading
	0.85	high	1.0	האַרט, סידני [יוסף הערש]	האַרט, בערנאַרד (בער)	facs_310_tr_1741260422	facs_83_tr_1733059382	1	5	0	Male		1977		0	heading
	0.85	high	1.0	וואַגנער בן-ציון	וויינגאָלד שלמה [ספּירידיאָן וואָיקאַ]	facs_335_tr_1741260385	facs_358_tr_1741260405	1	1	1	Male		3199		0	heading
	0.85	high	1.0	וואַגנער בן-ציון	וויינטרויב-גראַף, לאה	facs_335_tr_1741260385	facs_359_TextRegion_1710852502307_117	1	1	1	Male		3199		0	heading
	0.85	high	1.0	וואַגנער בן-ציון	ווייספעלד, משה	facs_335_tr_1741260385	facs_368_TextRegion_1710163052802_374	1	1	1	Male		3199		0	heading
	0.85	high	1.0	וואַגנער בן-ציון	וויינגאָלד שלמה [ספירידיאָן וואיק (צ) אַ]	facs_335_tr_1741260385	facs_58_tr_1733050538	1	5	0	Male		3199		0	heading
	0.85	high	1.0	וואַהלמאַן, יהודה-לייב	ווייספעלד, משה	facs_337_tr_1741260519	facs_368_TextRegion_1710163052802_374	1	1	1	Male		3274		0	heading
	0.85	high	1.0	וואולמאַן, שמואל	ווייספעלד, משה	facs_338_tr_1741260416	facs_368_TextRegion_1710163052802_374	1	1	1	Male		3196		0	heading
	0.85	high	1.0	וואָלדבערג, יצחק	וויינגאָלד שלמה [ספּירידיאָן וואָיקאַ]	facs_339_tr_1741260401	facs_358_tr_1741260405	1	1	1	Male		3140		0	heading
	0.85	high	1.0	וואָלדבערג, יצחק	וויינטרויב-גראַף, לאה	facs_339_tr_1741260401	facs_359_TextRegion_1710852502307_117	1	1	1	Male		3140		0	heading
	0.85	high	1.0	וואָלדבערג, יצחק	וויינגאָלד שלמה [ספירידיאָן וואיק (צ) אַ]	facs_339_tr_1741260401	facs_58_tr_1733050538	1	5	0	Male		3140		0	heading
	0.85	high	1.0	וואָלפשטאָט, אַברהם	ווייספעלד, משה	facs_344_tr_1741260464	facs_368_TextRegion_1710163052802_374	1	1	1	Male		3279		0	heading
	0.85	high	1.0	וואַסערמאַן, יעקב	חיים-ברוך ווישאָגראָד	facs_344_tr_1741260465	facs_617_tr_1739221426	1	5	0	Male		3210		0	heading
	0.85	high	1.0	וואַקסמאַן, יעקב	ווייספעלד, משה	facs_345_r_10	facs_368_TextRegion_1710163052802_374	1	1	1	Male		3139		0	heading
	0.85	high	1.0	וואַקסמאַן, מאָריס [משה דוד]	ווייספעלד, משה	facs_346_TextRegion_1710166806332_464	facs_368_TextRegion_1710163052802_374	1	1	1	Male		3137		0	heading
	0.85	high	1.0	וואַקסמאַן, פעני	ווייספעלד, משה	facs_347_TextRegion_1710167012304_556	facs_368_TextRegion_1710163052802_374	1	1	1	Female		3136		0	heading
	0.85	high	1.0	וואַרשאָווסקי, פֿייוול [איסעראָווסקי]	ווייספעלד, משה	facs_350_tr_1741260473	facs_368_TextRegion_1710163052802_374	1	1	1	Male		3208		0	heading
