mention	occurrences	as_heading	alternative_heading	notes
ליפּאָווסקי	48.0	ליפּאָווסקאַ, אסתּר [גלאַזער, וואָלסקאַ]	ליפּאָווסקי, נחוּם	
הוּרוויץ	47.0	הורוויץ שאַרלאָטא [שיפרע]	הורוויץ, [האָרוויץ - הורוויטש] משה איש הלוי פּראָפעסאָר	
פֿיינמאַן	44.0	פיינמאַן, זיגמונד		
גאָלדפֿאַדן	42.0			למזג עם גאָלדפֿאַדען
ראַפּעל	42.0	ראַפּעל, ליזע [שולמית שאַפּראַן]	ראַפּעל, לייזער	
קאָמפּאַנעעץ	39.0			קאָמפּאַנעיעץ
בן-עמי	38.0	בן-עמי יעקב [שטשירין]		
בערנשטיין	38.0	בערנשטיין, בערל [בורשטין]		
זאַסלאַווסקי	38.0	זאַסלאָווסקאַ, בערטאָ [באַסיע לעווין]	זאַסלאַווסקי, פֿאי	
סעגאָלעסקאָ	38.0	סעגאַלעסקאָ, אַלבערט		
גוּזיק	33.0	גוזיק, יעקב		
גראָדנער	33.0	גראָדנער אַנעטאָ	גראָדנער ישראל [ראָזענפעלד?]	
קאָברין	33.0	קאָברין [סעגאַל], פאַלינאַ	קאָברין, לעאָן	
זשיטאָמירסקי	32.0	זשיטאָמירסקי, [?]	זשיטאָמירסקי, יוסף	
טרייטלער	31.0	טרייטלער, חיים-בּנימין (טשאַרלז)		
ליבערט	31.0	בערטעל-ליבערט	ליבערט, מענוּכאַ	
שעקספּיר	31.0			ויקידאטה
דימאָוו	30.0	דימאָוו, אַסיפּ [יוסף פּערלמאַן]		
ליבין	30.0	ליבּין, ז. [ישראל-זלמן הוּרוויטש]		
בלומענטאָל	28.0	בלומענטאָל, דוד	בלומענטאַל, נייטאַן	
לייוויק	28.0	כאַנוקאָוו, לייוויק	לייוויק, ה. [לייוויק האַלפּער]	
פינסקי	28.0			
סיעראָצקי	27.0	סיעראָצקי, הערמאַן	סיעראָצקאַ, מאלווינאַ [קאָמפּאַניעעץ]	
זאַץ	26.0	זאַץ, לילי	זאַץ, לודווייג [לוי יצחק]	
טיטעלמאַן	25.0	טיטעלמאַן, מרדכי-חיים		
קרויזע	25.0	וואָלהענדלער-קרויזע איטע	קרויזע מילער, לאה [לויפלאַנד]	
שאַראַוונער	25.0	שאַראַוונער, דוד	שאַראַוונער, סאָניאַ	
אַשכנזי	24.0	אַשכנדי צילע [פעפער]	אַשכנזי איזידאָר [אייזיק]	
באַראַטאָוו	24.0			
מישוראָט	24.0	מישוראַט, מאיר [ראַטוּשניק]	מישוּראַט, מאַקס (מאָטל)	
רייזען	24.0			
שילדקרויט	24.0	שילדקרויט, רודאָלף [חיים-מרדכי]		
גאָלדענבּוּרג	23.0	גאָלדענבורג, סעמיועל [שלום גאָלדשטיין]		
זאָלאָטאַרעווסקי	23.0	זאָלאַטאַרעפסקי, איזידאָר [יצחק]		
מייערסאָן	23.0	מייערסאָן, ליאָסע	מייערסאָן, מ. ל.	
מענדעלע	23.0	מענדעלע מוכר ספרים [שלום-יעקב אַבראָמאָוויטש]		
שליפערשטיין	23.0	שליפערשטיין, אַדאָלף		
ליפּצין	22.0	ליפּצין, וואָלאָדיאַ	ליפּצין, סיליע [פּעקער]	
עדעלשטיין	22.0	עדעלשטיין, יאָזעף (יוסף)	עדעלשטיין, פאולינאַ [פינקעלשטיין]	
וואַקסמאַן	21.0	וואַקסמאַן, בערל	וואַקסמאַן, מאָריס [משה דוד]	
זשעלאַזאָ	21.0	זשעלאַזא, לייזער [זשעלאַזני]	ליפּאָווסקי, סאַשאַ [שמחה זשעלאַזאָ]	
ליטמאַן	21.0	ליטמאַן, אַברהם	ליטמאַן, יעטאַ [זילבּערמאַן]	
מאָליער	21.0			
שניצער	21.0	שניצער לואיס [ישראל-לייב]		
בלאַנק	20.0	בלאַנק לעאָן	בלאַנק, אַברהם	
טאַנענצאָפּ	20.0	טאַנענצאפּ, דוד		
מאָרעווסקי	20.0	מאָרעווסקי, אַברהם (מנקר]		
קאַליש	20.0	קאַליש, בערטאָ	קאַליש, לעאָן [לייב]	
אַברהם	19.0	אַברהם עדעלמאַן	אייזענבערג, אַברהם	יש יותר מדי אפשרויות
עבעל	19.0			
בערגעלסאָן	18.0	בערגעלסאַן, דוד		
גימפּעלן	18.0	גימפּעל, אַדאָלף	יאָלעס-גימפּעל, מאַלווינאַ	
יאָוועליר	18.0	יאָוועליר דזשין (בּעלאַ)	יאָוועליר, קלמן	
לאָבעל	18.0	לאָבּעל, סאָלאָמאָן [לייבעל]	לאָבּעל, מאַלווינאַ [טרייטלער]	
גאָגאָל	17.0			
האָלענדער	17.0	האָלענדער לייב	האָלענדער, איזידאָר	
הויפּטמאַן	17.0			
זיגלער	17.0	זיגלער ערנא	זיגלער, מאָריץ [משה בעלזער]	
מעערסאָן	17.0	מעערסאָן, מ. ל.	מעערסאָן, ליאָסע	
סאַמבערג	17.0	סאַמבערג, אַ. [יצחק-אייזיק סאַמבאָרעק]	סאַמבערג, א. [יצחק-אייזיק סאָמבאָרק]	
רומשינסקי	17.0	רומשינסקי, יוסף [רומשיסקי]		
אַזראַ	16.0	אַזאַרך, יצחק		
איבסען	16.0			
בערטאָנאָוו	16.0	בערטאַנאָוו, יהושע [בירטון]		
גערמאַן	16.0	גערמאַן, א. מ.	גערמאַן, ישראל	
מיכאַלעסקאָ	16.0	אין אָנדענק פֿון מיכאל און אַננאַ מיכאַלעסקאָ	מיכאַלעסקאָ, מיכאל [ווייסבּלאַט]	
עלווינג	16.0	עלווינג, בערנאָרד	עלווינג, ראָזאַ [דזשוליבער]	
קאָמפּאַניעעץ	16.0			
בראַנדעסקאָ	15.0	בראַנדעסקאָ, יוסף [סמאָלניק]		
זילבערט	15.0	זילבערט, ליזאַ	זילבערט ראָזאַ	
סעקלער	15.0	סעקלער הער (ביידערש)		
קעסלערן	15.0	קעסלער, דוד	קעסלער יאָזעף	
ריכטער	15.0	ריכטער נייטאַן	ריכטער, מאַניאַ מלכה באַראַנאָוויטש]	
אַרנשטיין	14.0	אַרנשטיין, מאַרק	אַרנשטיין, מאַרק [אַנדזשעי מאַרעק]	
גראַנאָווסקי	14.0	גראַנאָווסקי, אַלעקסאַנדער [אַברהם אַזאַרך]		
ווייסמאַן	14.0	ווייסמאַן, אהרן	ווייסמאַן, דאָראַ	יש יותר מדי אפשרויות
טשעכאָוו	14.0			
יעקב	14.0			יש יותר מדי אפשרויות
קאַלמאַנאָוויטש	14.0	קאַלמאַנאָוויטש, הערי		
קאמינסקי	14.0	קאַמינסקי, אַברהם יצחק	קאַמינסקאַ רעגינאַ	
גוצקאָוו	13.0			
דזשיגאָן	13.0			
ווייספעלד	13.0	ווייספעלד, משה		
חנה	13.0			יש יותר מדי אפשרויות
סטרינדבערג	13.0			
ציפקוס	13.0	ציפקוס יעקב [יעקב זיידל ציפּעס]	ציפקוס, אַנעטאָ [איטע פּויגעל]	
קאָריק	13.0	קאָריק, איליאַ		
ראָטשטיין	13.0	ראָטשטיין פעליאַ	ראָטשטיין, סאָלאָמאָן [שלמה]	
שאָר	13.0	ליזאַ שאָר	סאַמואילאָוו-שאָר, יעטאָ	יש עוד אפשרויות
שומאַכער	13.0			
אַסטראָווסקי	12.0	אַסטראָווסקי, חיים	אַסטראָווסקי, כ.	
גאָטעספעלד	12.0	גאָטעספעלד חנאַ		
גאָלדפאָדן	12.0			למגז עם גאָלדפאדן
זודערמאַן	12.0			
זילבערמאַן	12.0	זילבערמאַן, אַסתר	האָראָוויץ-זילבערמאַן, עדיט	
טאָלסטאָי	12.0			ויקידאטה
יעוורעאינאָוו	12.0			
ליליען	12.0	ליליען, איזידאָר	לאַקס, ליליען [בורשטיין]	
מיכאָלעסקאָ	12.0	מיכאַלעסקאָ, מיכאל [ווייסבּלאַט]	אין אָנדענק פֿון מיכאל און אַננאַ מיכאַלעסקאָ	
סאַנדלער	12.0	סאַנדלער חיים	סאַנדלער פּרץ	
צוקערמאַן	12.0	צוקערמאַן, איזידאָר	צוקערמאַן, לייזער	
ראָזענבערג	12.0	גאָלדשטיין, בעקי [מלכה רבקה ראָזענבערג]		
ראָפּעלן	12.0	ראַפּעל, ליזע [שולמית שאַפּראַן]	ראַפּעל, לייזער	
שושנה	12.0	שושנה, ר	שושנה ספעקטאָר-גרינבערג	
אסתּר	11.0			יש יותר מדי אפשרויות
בערגער	11.0	בערגער גוסטאוו [גרשון לעמבערגער]	בערגער ראַשעל	
גאָלדבערג	11.0			יש יותר מדי אפשרויות
גלימער	11.0	גלימער סטעפאַניע [שטייף]	גלימער נאַרבערט	
האַרט	11.0	האַרט, אייב [אַברהם העכט]	האַרט, בערטאָ [מאַהלער]	יש עוד אפשרות: הארט סידני
וויינשטאָק	11.0	וואי גאַוואַ [גרוניאַ וויינשטאָק]	וויינשטאָק, אייזיק	יש עוד אפשרות
זייגלער	11.0	זיגלער ערנא	זיגלער, מאָריץ [משה בעלזער]	
חיימאָוויטש	11.0	היינע-חיימאָוויטש, משה	אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]	
יאַקאָב	11.0	יאַקאָבּ, מאָזעס (משה-יעקב)		
סאָקאָלאָוו	11.0	סאָקאָלאָוו, ליפּמאַן (סאָקאָלאָווסקי]		
פּאַטאָצקאַ	11.0			
פּינסקי	11.0			
פּרעס	11.0			
קאַלמאַן	11.0			
קוטנער	11.0	קוטנער, שלמה	גערמאַן, לוס [לאָשאַ קוטנער]	
ראַבינאָוויטש	11.0	שלום-עליכם [שלום ראַבינאָוויטש]	באָריסאָוואָ [בעטי קאָמפּאַנעיעץ-ראַבינאָוויטש]	יש יותר מדי אפשרויות
שוואָרץ	11.0			יש יותר מדי אפשרויות
שמיר	11.0			
בעטי	10.0			יש יותר מדי אפשרויות
געבילן	10.0	געביל, מאַקס [מנחם-מענדעל, נחום]	געביל, הערי	
דוד	10.0			יש יותר מדי אפשרויות
דזשייקאָבס	10.0	שיף דזשייקאָב ר.	פּאַלעי, דזשייקאָב	יש יותר מדי אפשרויות
הערשקאָוויטש	10.0	הערשקאָוויטש, איציק	הערשקאָוויטש, מלך	
טשיריקאָוו	10.0			
לאה	10.0		לערמאַן, העני	יש יותר מדי אפשרויות
לערמאַן	10.0	לערמאַן, אַ[ליהו]	לערמאַן, העני	
עפּעלבערג	10.0	עפּ[פ]עלבערג, העשל		
פֿישזאָן	10.0	אַרקאַ, מאַניע [פישזאָן]	פישזאָן, מישאַ [משה כאָסידמאַן]	
צעלמייסטער	10.0	צעלמייסטער דוד	דוד צעלמייסטער	
קאַדיש	10.0	נחמה (ליפּשיץ-קאַדיש]		
שאַרקאַנסקי	10.0	שאַרקאַנסקי, אַברהם מיכל		
שוואַרצבאַרד	10.0	שוואַרצבאַרד, רעגינאַ	שוואַרצבאַרד, גוסטאָוו	
ב.	9.0			יש יותר מדי אפשרויות
בעל-מחשבות	9.0	בעל-מחשבות [דר. איסידאָר (ישראל) עליאשעוו]		
בערמאַן	9.0	בערמאַן, אַדאָלף	בערמאַן, הענרי [הענעך ביילי]	
בראָנשטיין	9.0	בראַנשטיין, אסתר [סטאָלאַרסקאַיאַ]	בראַנשטיין, דוד	
ברייטמאַן	9.0	נאַטאֲן, ב. [נאַטאן ברייטמאַן]	ברייטמאַן, פאַול	
גאָלדענבערג	9.0	גאָלדענבערג איציקל	גאָלדענבערג, אַסתר	
גוטענטאָג	9.0	גוטענטאָג, קאַרל	גוטענטאָג, בערטאָ [אַקסעלראָד]	
זאָסלאָווסקי	9.0	זאָסלאָווסקאַיאָ, וויעראָ		
כאַש	9.0	קדיש [ק. כאַש]	כאַש, יוסף	
נחמה	9.0	נחמה [ליפּשיץ, קדיש]	אייזענשטאָט, נחמה	
נעמי	9.0	נעמי, לאה [קיגעל-אייזענבערג]	נאַטאַן, נעמי [לעווענטאַל]	
סיגעל	9.0	סיגעל, סאַלי	סיגעל וויליאָם (וועלוול-יצחק הערצאָג]	
פֿיינשטיין	9.0			
פּשיבישעווסקי	9.0			
קאָפּעלמאַן	9.0	קאָפּעלמאַן, יאָסעף	קאָפּעלמאַן, לואיס	
קאָצמאַן	9.0	קאַצמאַן, יעקב		
ראַקאָוו	9.0	ראַקאָוו, יוליוס (יחיאל)	ראַקאָוו, נ.	
רחל	9.0			יש יותר מדי אפשרויות
אַקסעלראָדן	8.0	אַקסעלראָד מאָריס [מאיר]	אַקסעלראָד ראָזאַ	יש יותר מדי אפשרויות
בעזמאַן	8.0	בעזמאַן, איסר	אַריעל, סאָניאַ [בעזמאַן]	
גאָרקי	8.0			
געליס	8.0	געליס, לעאָן		
וואָלערשטיין	8.0	וואָלערשטיין, ראָזאַ	וואָלערשטיין, אסתר [גאָלדשטיין]	יש יותר מדי אפשרויות
וואָלף	8.0			יש יותר מדי אפשרויות
וויינטרויב	8.0			יש יותר מדי אפשרויות
טאָרנבערג	8.0	טאָרבערג, סעמיועל (שמואל)		
טרילינג	8.0	טרילינג, איליאַ (סימאָן)	טרילינג, מאַניע (מרים)	
יושקעוויטש	8.0	יושקעוויטש, סעמיאָן		
לאַנצמאַן	8.0	לאַנצמאַן, זקן זרח-פּלטיאל	לאַנצמאַן, פעלאַ	
לייוויקס	8.0	כאַנוקאָוו, לייוויק	לייוויק, ה. [לייוויק האַלפּער]	
לערמאַנקע	8.0			
משה	8.0			יש יותר מדי אפשרויות
סאָבסיין	8.0	סאָבסיי דוד-משה		
פיינמאַן	8.0	טשערניאַק, עני [פיינמאַן]	פיינמאַן, זיגמונד	
פינקל	8.0	פינקעל, אַליעזר-דוד	פינקעל, אַנעטא [שוואַרץ]	יש יותר מדי אפשרויות
פינקעלשטיין	8.0	פינקעלשטיין ישעיה מאיר		
פיקאָן	8.0	פּיקאָן, מאַלי		
פּערלמוטער	8.0	פערלמוטער, מרדכי		
פּרץ	8.0	פרץ, יצחק לייבוש	יונגווירט, לעאָפּאָלד (פרץ)	
קאָליך	8.0	קאָליך, יעקב		
קאָנער	8.0	קאַנער לעאָפּאָלד [לייב]	קאַנער, שרה [פרילינג]	
ראָזענבלום	8.0	ראָזענבלום [?]	ראָזענבלום אַדאָלף [אהרן]	
שילינג	8.0	שילינג, ראָזאַ	שילינג, סעם [שמחה]	
שערמאַן	8.0	ירדני, מרדכי [מאָטל שערמאַן]	שערמאַן, אַננאַ [פּאָפּערנא]	יש עוד אפשרויות
אַדלער-סיעראָצקי	7.0			
איצקאָוויטש	7.0	איצקאָוויטש, סאָניאַ	איצקאָוויטש, שבתי	
אַנדרעעוו	7.0			
אַננאַ	7.0			יש יותר מדי אפשרויות
אָפּאַטאָשו	7.0	אָפּאַטאשו, יוסף [יוסף אָפּאַטאָווסקי]		
אַקסענפעלד	7.0	אַקסענפעלד, ישראל		
באָריסאָוו	7.0	באָריסאָוו, בערל (העקער)	באָריסאָוואָ [בעטי קאָמפּאַנעיעץ-ראַבינאָוויטש]	
בנימין	7.0			יש יותר מדי אפשרויות
בעלאַ	7.0			יש יותר מדי אפשרויות
בערקאָוויטש	7.0	בערקאָוויטש, אַברהם	בערקאָוויטש, יוסף (יוזשבו)	יש עוד אפשרויות
בראָדערזאָן	7.0	בראָדערזאָהן, משה		
דאָברושין	7.0	דאָברושין,יחזקאל		
דזשאַנעט	7.0	רינגלער, דזשאַנעט	בראַנדט, דזשאַנעט	
דימאָווס	7.0	דימאָוו, אַסיפּ [יוסף פּערלמאַן]		
וואָהל	7.0	וואָהל, הערמאַן [צבי]		
ווערטהיימער	7.0			
זינגער	7.0			יש יותר מדי אפשרויות
זשולאַווסקי	7.0			
טאָלער	7.0	טוללער, דזשאָדזש [זלמן טאָלער]		
יהואָש	7.0	יהואש [שלמה בּלוּמגאַרטען]		
יצחק	7.0			יש יותר מדי אפשרויות
ישראל	7.0			יש יותר מדי אפשרויות
ליפּאָווסקין	7.0	ליפּאָווסקי, סאַשאַ [שמחה זשעלאַזאָ]	ליפּאָווסקי, נחוּם	
לעבעדיעוו	7.0	לעבעדיעוו, וויעראַ [רבקה שעכטמאַן]	לעבעדיעוו, אהרן	
מרים	7.0			יש יותר מדי אפשרויות
נאָמבערג	7.0		נאָמבערג, הערש-דוד	
סיימאַן	7.0	סיימאָן	וואולף, סיימאַן [שמחה]	יש עוד אפשרויות
סיראָטאָ	7.0			
עפּשטיין	7.0	עפשטיין, גרישאַ (יואל)		
פעני	7.0			יש יותר מדי אפשרויות
פּראָגער	7.0	פרעגער, יעקב		
פֿרידמאַן	7.0	פרידמאַן, אַלבערט [וועלוול-אַלטער]		
קאַניעווסקאַ	7.0	קאַניעווסקי, אהרן		
קאָפקע-דובינסקי	7.0	קאָפקע, אַברהם		
קאַרפּ	7.0	קאַרפּ, סאָפיע	קאַרפּ, מאַקס	
קדיש	7.0	קדיש [ק. כאַש]	נחמה [ליפּשיץ, קדיש]	
שטיין	7.0	שטיין, אַדאָלף (אַברהם)	שטיין, אַליאָשאַ [אליהו]	
שרה	7.0			יש יותר מדי אפשרויות
אידאַ	6.0	ערוועסט אידאַ [אייערווייס]	אידינא [אידאַ שעוואָכאָוויץ]	יש עוד אפשרויות
באַדער	6.0	באַדער גרשם	באַדער שמחה [ניעדזשעוויעצקי]	
ביאָליק	6.0	משה אַלבין-ביאַליק		
בלייכמאַן	6.0	בלייכמאַן, בעטי [ביילע קאַץ]	אַקסעלראָד, מיני [בלייכמאַן]	
בּעסי	6.0	מאַגולעסקאָ, בעסי	בודאַנאָוו, בעסי [בודניק]	יש עוד 2 אפשרויות
ג.	6.0	קאַרלאָס, ג. א.	אַבראַמסקי, ג.	יש עוד אפשרויות
גראָסמאַן	6.0			יש יותר מדי אפשרויות
ד.	6.0	סטריזשעווסקי, ד.	וויינבערג, ישעיהו-דניאל [ס. ד.]	
דאָסטאָיעווסקי	6.0		אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]	
היינע	6.0	היינע-חיימאָוויטש, משה	אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]	
היינע-חיימאָוויטש	6.0	היינע-חיימאָוויטש, משה	אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]	
הערמאַן	6.0			יש יותר מדי אפשרויות
ווינאָקור	6.0	טאַליני, נינאַ [ווינאָקור]		
טאַבאַטשניקאָוו	6.0	יאָנג, קלאַראַ [חיה-ריסיע שפּיקאָליצער]	יאָנג, בערנאַרד [בועז יונגוויץ]	
יאָנג	6.0			
יאָקובאָוויטש	6.0	יאָקובאָוויטש, היימאַן (חיים-נתן)	יאָקוּבּאָוויטש, אַננאַ [חנה מייעראָוויטש]	יש עוד אפשרויות
יוסף	6.0			יש יותר מדי אפשרויות
ליזאַ	6.0			יש יותר מדי אפשרויות
לילי	6.0	גאָלדבערג, לילי	זאַץ, לילי	
לינעצקי	6.0	לינעצקי	לינעצקי, הענעך	
ליפּמאַן	6.0	ליפּמאַן, משה	ליפּמאַן, נאַטאַליאַ [נייטשע עלבּוים]	
לעסינג	6.0	לעסינג, דזשאָזעף		ויקידאטה
לערמאַנטאָוו	6.0			ויקידאטה
מאַקס	6.0			יש יותר מדי אפשרויות
מייזעל	6.0	מייזעל, בעלאַ	מייזעל, היימאַן (חיים)	
מייעראָוויטש	6.0	בלאָכמאַן, קיידי [קיילע מייעראָוויטש]	יאָקוּבּאָוויטש, אַננאַ [חנה מייעראָוויטש]	
מעלצער	6.0	מעלצער, עני	מעלצער דזשוליוס	
נאָזשיק	6.0	נאָזשיק, יצחק		
נאַטאַנסאָן	6.0	נאַטאַנסאָן, איידאַ	נאַטאַנסאָן, אַמאַליע (נאַטאַליאָ?)	יש עוד אפשרויות
סאָניאַ	6.0			יש יותר מדי אפשרויות
סמיט	6.0	סמיטה, דוד [שמידט]		
סעם	6.0			יש יותר מדי אפשרויות
עדעלמאַן	6.0	אַברהם עדעלמאַן	דאָשקעוויטש, חנה [עדעלמאַן]	יש יותר מדי אפשרויות
עטינגער	6.0	עטינגער שלמה (דר.]	עטינגער שרה [גליקמאַן]	
עלמית	6.0	עלמית, ס. [סאָניאַ לובאָצקי]		
פּאָליאַ	6.0	אייזיק און פּאָליאַ פינקעלשטיין	אַש-אַווערבוך פּאָליאַ [פּעסיע זילבערשטיין]	יש עוד אפשרויות
פינקעל	6.0	פינקעל, אַליעזר-דוד	פינקעל, אַנעטא [שוואַרץ]	יש יותר מדי אפשרויות
קאַמינסקאַ	6.0	קאַמינסקאַ רעגינאַ		
קאַניעווסקי	6.0	קאַניעווסקי, אהרן		
ראָזע	6.0	אַרנשטיין, ראָזע	גזיוואַטש, ראָזע [לינדער]	יש יותר מדי אפשרויות
ראַפֿאַלסקי	6.0			
ראַקייטין	6.0			
שטראַספאָגעל	6.0	שטראַספֿאַגעל, לעאָן		
שטרענג	6.0	שטרענג, מאַקס		
שיינגאָלד	6.0			
שלמה	6.0			יש יותר מדי אפשרויות
שפּאָכנער	6.0			
שראַגע	6.0	שראַגע, ב.	שראַגע, אַדאָלף [נפתלי-יהושע]	
שריפטזעצער	6.0	שריפטזעצער, לייב		
אַבראַמאָוו	5.0	אַבראַמאָוו	אַבראַמאָוו, א. [אַברהם קאַגאָן]	יש עוד אפשרויות
אַדאָלף	5.0			יש יותר מדי אפשרויות
אויסלענדער	5.0	אויסלענדער נחום		
איידאַ	5.0			יש יותר מדי אפשרויות
אייזיקאָוויטש	5.0	אייזיקאָוויטש, נייטען [נטע]		
אָלגינסקאַ	5.0			
באָריס	5.0	אַבראַמאָוו, באָריס [פּיינלאַנד]	דיימאַנדשטיין, באָריס [בערל דוואָרקין]	יש יותר מדי אפשרויות
בוימוואָל	5.0	בוימוואָל, יהודה-לייב		
בורשטיין	5.0	לאַקס, ליליען [בורשטיין]	בורשטיין, ה.	יש יותר מדי אפשרויות
בליפעלד	5.0	בליפעלד יצחק		
בראַנדעסקאָן	5.0	בראַנדעסקאָ, יוסף [סמאָלניק]		
גאָלד	5.0	גאָלד הערמאַן [הלל גורני]	גאָלד זישע [לייזגאָלד]	יש יותר מדי אפשרויות
גוצקאָווס	5.0			
גורעוויטש	5.0	מאָשקאָוויטש, נאַדיאַ [גורעוויטש]	גורסקאַ, סאָניאַ [פריידע-שיינע גורעוויטש]	יש עוד אפשרויות
גענפערן	5.0	גענפֿער סאָלאָמאָן		
גערטנער	5.0	גערטנער בעטי	גערטנער, דזשעני [שיינדל שטערן]	
דאַניעל	5.0	דאַניעל, יצחק		
היטלער	5.0			
הייערמאַנס	5.0			
הירשביינס	5.0	"„פּערהיפט"" [פרץ הירשביין פֿאָלקס טעאַטער]"	הירשביין-טרופּע	
וואַכטאַנגאָוו	5.0			
וויינשטיין	5.0	וויינשטיין, [?]	וויינשטיין, איטע	יש עוד אפשרויות
ווייספעלדן	5.0	ווייספעלד, משה		
זיגמונט	5.0			יש יותר מדי אפשרויות
זילבערטן	5.0	זילבערט ראָזאַ	בעקער, ראָזאַ [זילבערט]	
טורקאָוו	5.0			יש יותר מדי אפשרויות
יונגווירט	5.0	יונגווירט, לעאָפּאָלד (פרץ)	יונגווירט, ערנעסטינע [קערנער]	
כאַראַז	5.0	כאַראַז, לעאָן		
לאָגער	5.0	לאַגער אהרן		
לאַכטיגער	5.0	לאַכטינגער, הענרי	לאַכטיגער הענרי	
לעאָן	5.0			יש יותר מדי אפשרויות
לעבעדעוו	5.0	לעבעדיעוו, אהרן	לעבעדיעוו, וויעראַ [רבקה שעכטמאַן]	
לעוויטאָן	5.0	לעוויטאָס, זשעני		
מאָרגענבעסער	5.0	מאָרגענבעסער מעימי [צווערלינג-קופּערשמידט]		
מאָריענהאָף	5.0	מאַריענהאָף, מאַקס		
מוני	5.0	באַדין, מאַקס [מוני באַדיאַן]	ווייזענפֿריינד מוני [משולם-מאיר]	
מענדעלעוויטש	5.0	מענדעלעוויטש, דוד		
נאָרוויד	5.0	נאָרווייד מאָריץ [טרעפלער]		
סאָבסייס	5.0	סאָבסיי דוד-משה		
סאָמואילאָוו	5.0	סאַמאילאָוו, ס. [שלמה רעזידענט]		
סניעגאָוו	5.0	סניעגאָוו, אסתר	אָרזשעווסקאַיאָ, אַסתר [סניעגאָוו]	
סעגאַל	5.0	סעגאַל, באָריס	סעגאַל, בעטי [גליקמאַן]	
סעידי	5.0			
סעראַ	5.0	אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]		
ספּעקטאָר	5.0	ספעקטאָר לעאָן	שושנה ספעקטאָר-גרינבערג	
סקריב	5.0			
פּאָדזאַמטשע	5.0			
פינסקיס	5.0			
פישקינד	5.0	פישקינד, אַברהם		
צוקער	5.0	צוקער, חיה  [קלאַראַ] [מישניעווסקאַ]	צוקער, רעגינא [שוואַרצשטיין]	
צעדערבוים	5.0	לילית, אָליאַ [לאָליאַ צעדערבוים]		
קאַזשדאַן	5.0			
קאַנאַפּאָוו	5.0			
קולבאַק	5.0			
קייזעראָוויטש	5.0	קייזעראָוויטש, דוד	קייזעראָוויטש, מאַניאַ	
קעסטין	5.0	קעסטין, סוזי [סילווער]	קעסטין, סעם	
