a_xml_id	b_xml_id	verdict	reason	a_db_id	b_db_id	a_heading	b_heading
facs_102_r_9	facs_72_r_192	different	db_contradiction	1000	3577	בלאַנק לעאָן	פרענק בעלאַ
facs_102_r_9	facs_72_tr_1747746141	different	db_contradiction	1000	1676	בלאַנק לעאָן	פרענק, אַברהם
facs_102_r_9	facs_81_r_7	different	db_contradiction	1000	1354	בלאַנק לעאָן	קאָרנפעלד, לעאָן
facs_102_tr_1740521060	facs_102_tr_1740521064	different	db_contradiction	1323	1322	בלאַנק. יחיאָל	בלאַנק, בנימין
facs_102_tr_1740521060	facs_103_tr_1740521114	different	db_contradiction	1323	1339	בלאַנק. יחיאָל	בלום אַברהם
facs_102_tr_1740521060	facs_112_tr_1740521163	different	db_contradiction	1323	1246	בלאַנק. יחיאָל	בעל, אַדאָלף [אַברהם ביעלאָצערקאָווסקי]
facs_102_tr_1740521060	facs_116_tr_1733832781	different	db_contradiction	1323	3028	בלאַנק. יחיאָל	סטאָבער אַברהם
facs_102_tr_1740521060	facs_121_r_7	different	db_contradiction	1323	1272	בלאַנק. יחיאָל	בערקאָוויטש, יחיאָל
facs_102_tr_1740521060	facs_135_r_2	different	db_contradiction	1323	1378	בלאַנק. יחיאָל	בראַלמאַן, אַברהם הערש [?]
facs_102_tr_1740521060	facs_141_tr_1740521090	different	db_contradiction	1323	1384	בלאַנק. יחיאָל	ברען אַברהם
facs_102_tr_1740521060	facs_142_tr_1740521055	different	db_contradiction	1323	1880	בלאַנק. יחיאָל	גאָטלאָבער, אַברהם-בער
facs_102_tr_1740521060	facs_147_tr_1733832799	different	db_contradiction	1323	3552	בלאַנק. יחיאָל	קורץ, אַברהם
facs_102_tr_1740521060	facs_154_tr_1714741532	different	db_contradiction	1323	804	בלאַנק. יחיאָל	גאָלדפֿאַדען, אַברהם [גאָלדענפֿאָדים]
facs_102_tr_1740521060	facs_154_tr_1735652626	different	db_contradiction	1323	3519	בלאַנק. יחיאָל	זיינפעלד, אברהם
facs_102_tr_1740521060	facs_164_tr_1735652626	different	db_contradiction	1323	3564	בלאַנק. יחיאָל	שטאָקפעדער, אַברהם [משה]
facs_102_tr_1740521060	facs_173_tr_1747825113	different	db_contradiction	1323	1102	בלאַנק. יחיאָל	אַבראַמאָוו, א. [אַברהם קאַגאָן]
facs_102_tr_1740521060	facs_185_tr_1747825159	different	db_contradiction	1323	1552	בלאַנק. יחיאָל	אייסען אַברהם, דר.
facs_102_tr_1740521060	facs_189_tr_1736589045	different	db_contradiction	1323	1352	בלאַנק. יחיאָל	באָנטשע [אַברהם ראָזענפעלד]
facs_102_tr_1740521060	facs_199_tr_1736588975	different	db_contradiction	1323	2731	בלאַנק. יחיאָל	ראַקאָוו, יוליוס (יחיאל)
facs_102_tr_1740521060	facs_20_tr_1740515223	different	db_contradiction	1323	1112	בלאַנק. יחיאָל	אַבראַמסקי, ג.
facs_102_tr_1740521060	facs_210_tr_1747928994	different	db_contradiction	1323	3613	בלאַנק. יחיאָל	קאַמינסקי, אַברהם יצחק
facs_102_tr_1740521060	facs_237_tr_1747928923	different	db_contradiction	1323	3593	בלאַנק. יחיאָל	פישקינד, אַברהם
facs_102_tr_1740521060	facs_254_tr_1744280774	different	db_contradiction	1323	2465	בלאַנק. יחיאָל	מידע, אַדאָלף (אַברהם)
facs_102_tr_1740521060	facs_270_TextRegion_1711971070302_285	different	db_contradiction	1323	1907	בלאַנק. יחיאָל	גראָדנער, א. [אַברהם יעקב חאַש-אַבראַמאָוו]
facs_102_tr_1740521060	facs_270_tr_1754998435	different	db_contradiction	1323	710	בלאַנק. יחיאָל	שעהנגאָלד אבא [אַלבערט]
facs_102_tr_1740521060	facs_274_tr_1741260201	different	db_contradiction	1323	1887	בלאַנק. יחיאָל	גראַנאָווסקי, אַלעקסאַנדער [אַברהם אַזאַרך]
facs_102_tr_1740521060	facs_300_tr_1744280754	different	db_contradiction	1323	2548	בלאַנק. יחיאָל	נאַאומאָוו, אַברהם
facs_102_tr_1740521060	facs_309_r_13	different	db_contradiction	1323	1974	בלאַנק. יחיאָל	האַרט, אייב [אַברהם העכט]
facs_102_tr_1740521060	facs_318_r_2	different	db_contradiction	1323	2561	בלאַנק. יחיאָל	ניימאַן, אהרן
facs_102_tr_1740521060	facs_334_tr_1739221282	different	db_contradiction	1323	1717	בלאַנק. יחיאָל	גאַכאַנסקי, אַברהם
facs_102_tr_1740521060	facs_334_tr_1754998419	different	db_contradiction	1323	883	בלאַנק. יחיאָל	קאַהאַן, אב [רהם]
facs_102_tr_1740521060	facs_342_tr_1744365726	different	db_contradiction	1323	3033	בלאַנק. יחיאָל	סטריזאָווער אַברהם
facs_102_tr_1740521060	facs_34_tr_1744131414	different	db_contradiction	1323	729	בלאַנק. יחיאָל	טאַנצמאַן, אַברהם-יצחק
facs_102_tr_1740521060	facs_358_tr_1739221614	different	db_contradiction	1323	3024	בלאַנק. יחיאָל	שטיין, אַדאָלף (אַברהם)
facs_102_tr_1740521060	facs_372_tr_1739222357	different	db_contradiction	1323	3818	בלאַנק. יחיאָל	קאַהאַן ישראל [אַברהם]
