mention	occurrences	as_heading	alternative_heading	notes
ב. טאָמאַשעווסקי	2.0	טאָמאַשעווסקי, בעסי [ברכה באומפעלד-קויפמאַן]	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	
ב. טשובינסקי	2.0			
ב. י. ביאַלאַסטאָצקי	2.0	ביאַליס ראָזעטאָ [ביאַלאַסטאַצקי]		
ב. סלוצקי	2.0			
ד. י. זילבערבוש	2.0			
ד. קרישטאָל	2.0		קרישטאָל, לעאָן [לייב]	
"ד""ר ל. זשיטניצקי"	2.0	זשיטניצקי, ל. [פּנחס-אַליעזר]		
דיר מ. ווייכערט	2.0	ווייכערט, מיכאל, דר.		
דיר. ווילאַנד	2.0			
דר. ברוידע	2.0	ברוידע		
דר. חיים זשיטלאָווסקי	2.0			
דר. חיים ספּיוואק	2.0			
דר. טהעאַדאָר הערצל	2.0	זילבּערט, טעאָדאַר-הערצל		
דר. מ. קאַנפֿער	2.0			
דר. מאוריצי גימפּעל	2.0			
דר. מאַקס וויינרייך	2.0	וויינרייך, מאַקס דר [מאיר]		
דר. נ. סווערלין	2.0	סווערדלין, נתן, דר		
דר. עדמונד שטיין	2.0			
דר. עמנואל רינגעלבלום	2.0			
דר. פריש	2.0			
דר. צפּור	2.0	צפּור, י. ב. ד'ר [יצחק שטערקמאַן]		
דר. שאָצקי	2.0	שאצקי, יעקב, דר.		
דר. שמואָל גוטמאַן	2.0			
ה. א. רוסאָטאָ	2.0	רוסאַטאָ, הענרי		
ה. ב. עפּשטיין	2.0	עפּשטיין, בנימין		
ה. באום	2.0			
ה. וואַהל	2.0			
ה. זלאָטשעווסקי	2.0	זלאָטשעווסקי, [?]		
ה. לאַנג	2.0	לאַנג, ה.		
ה. סלאָוועס	2.0			
ה. פינסקי	2.0			
ה. צוקערבערג	2.0	צוקערבערג, הערשל		
ה. קאַזאַקעוויטש	2.0			
ה. קרוק	2.0		קרוג, [?]	
ז. לעווין	2.0	לעווין, ז.		
ז. סאַלווע	2.0			
ז. שוחט	2.0			
ח. א. פֿרידלאַנד	2.0			
ח. בוזגאַן	2.0	בוזגאָן, חבל		
ח. וואָלפסטהאָל	2.0	וואָלפסטאָל, חנאַ		
ח. מ. סעגאַלעסקאָ	2.0	סעגאַלעסקאָ, חיים-מאיר		
ט. ביילין [דר. ל. זשיטניצקי]	2.0	זשיטניצקי, ל. [פּנחס-אַליעזר]		
י. א. ראָנטש	2.0			
י. אוגער	2.0	אוגער ישעיה	אוגער, ישעיה	
י. ב. ביילין	2.0			
י. באַלטוך	2.0			
י. באַשעוויס	2.0			ויקידאטה
י. בלייך	2.0	בלייך, יהודה		
י. גאָרדין	2.0	גאָרדין, יעקב		
י. האָרן	2.0			
י. וויינשטאָק	2.0	וויינשטאָק, יוסף		
י. זיזמער	2.0	זיזמאָר יעקב		
י. טאַנצמאַן	2.0	טאַנצמאַן, יאָזעף		
י. טוּרקאָוו	2.0	טורקאָוו, יאָנאַס		
י. טורקאָוו-גרודבערג	2.0	גרודבערג, יצחק [יצחק-בער טורקאָוו]		
י. י. ליניעצקי	2.0	ליניעצקי, יצחק-יואל		
י. י. פֿרידמאַן	2.0			
י. יאָנאַסאָוויטש	2.0			
י. ליפּשיץ	2.0	ליפשיץ, יצחק		
י. מ. ווייסנבערג	2.0		ווייסענבּערג, יצחק-מאיר	
י. מ. ווייסענבערג	2.0	ווייסענבּערג, יצחק-מאיר		
י. מלינעק	2.0			
י. נאָזשיק	2.0	נאָזשיק, יצחק		
י. פּאַפּיערניקאָוו	2.0			
י. פּערלע	2.0	פּערלע יהושע		
י. ראַווין	2.0			
י. ראָזענבערג	2.0	ראָזענבערג ישראל		
י. ראַקאָוו	2.0	ראַקאָוו, יוליוס (יחיאל)		
י. ש. פּרענאָוויץ	2.0	פּרענאָוויץ, יוסף-שלמה		
י. שאָצקי	2.0	שאצקי, יעקב, דר.		
י. שטערנבערג	2.0			
י. שלאָסבערג	2.0	שלאָסבערג, יצחק		
יוסף פ. קאַץ	2.0			
ל. אַנדרעיעוו	2.0			
ל. בלומענפעלד	2.0	בלומענפעלד לופּוס [זאב]		
ל. ווינער	2.0	ווינער-ליכטיגער רעגינע		
ל. זאַסלאַווסקי	2.0			
