play	label	occurrences	pages	first_page_url	reason
MS_TissaEssler	פריגור	1	26	https://app.transkribus.org/collection/2372172/doc/905289/detail/26	unmatched
MS_TissaEssler	פראקוראט	1	27	https://app.transkribus.org/collection/2372172/doc/905289/detail/27	unmatched
MS_TissaEssler	פערז	1	29	https://app.transkribus.org/collection/2372172/doc/905289/detail/29	unmatched
MS_TissaEssler	בארשי	1	29	https://app.transkribus.org/collection/2372172/doc/905289/detail/29	unmatched
MS_TissaEssler	אמזעל	1	30	https://app.transkribus.org/collection/2372172/doc/905289/detail/30	unmatched
MS_TissaEssler	פרעזי	1	30	https://app.transkribus.org/collection/2372172/doc/905289/detail/30	unmatched
MS_TissaEssler	דיענער	1	33	https://app.transkribus.org/collection/2372172/doc/905289/detail/33	unmatched
MS_YaakovEsav	169030	1	30	https://app.transkribus.org/collection/2372172/doc/494907/detail/30	unmatched
MS_YaakovEsav	עש	1	39	https://app.transkribus.org/collection/2372172/doc/494907/detail/39	unmatched
MS_YoysefInEgipten	סע	1	19	https://app.transkribus.org/collection/2372172/doc/826832/detail/19	unmatched
MS_YoysefInEgipten	נאר	1	19	https://app.transkribus.org/collection/2372172/doc/826832/detail/19	unmatched
MS_YoysefInEgipten	מעדכען חאהר	1	32	https://app.transkribus.org/collection/2372172/doc/826832/detail/32	unmatched
MS_YoysefInEgipten	יאבסעל	1	34	https://app.transkribus.org/collection/2372172/doc/826832/detail/34	unmatched
MS_YoysefInEgipten	יאחצעג	1	35	https://app.transkribus.org/collection/2372172/doc/826832/detail/35	unmatched
