play	page	line_id	family	mark	line_text
MS_BenHaDor	0006	r2l17	genre	קאהר	קאהר | שיק אונז דיין ברכֿה, און הצלחה וועט זיין שיער און שבחה
MS_BenHaDor	0006	r2l20	genre	קאהר	קאהר | דאס זעלבע ביז משרת מום
MS_BenHaDor	0007	r1l2	genre	קאהר	קאהר | דיינע בינדער ישראל
MS_BenHaDor	0007	r1l4	genre	קאהר	קאהר | צו דיר שירה
MS_BenHaDor	0007	r1l8	genre	קאהר	קאהר | משוב הרוח] ומורד הגשם
MS_BenHaDor	0007	r1l10	genre	Tanz	"""Tanz"" נאך טאנץ"
MS_BenHaDor	0007	r1l12	genre	Returnell	1 Returnell: אמון | דער קעניג קאמט!
MS_BenHaDor	0007	r1l20	genre	קאהר	קאהר |II Return: N=3
MS_BenHaDor	0007	r1l20	genre	Return	קאהר |II Return: N=3
MS_BenHaDor	0011	line_1636738814810_5867	genre	Returnel	בן הדור | אך! שרעקליכֿער טאָג מיינעס לעבענס! 1.Returnel:
MS_BenHaDor	0012	r1l3	number	No 4	מיינעס פֿאטערס שטעה מיר בייא II Returnell: No 4.
MS_BenHaDor	0012	r1l3	genre	Returnell	מיינעס פֿאטערס שטעה מיר בייא II Returnell: No 4.
MS_BenHaDor	0013	line_1636739297036_6079	number	N 5	II Retur: N 5 וויין מוז תּמוד זיין
MS_BenHaDor	0013	line_1636739355546_6144	genre	Refrain	Refrain | אביסעלע וויין זאל איממער זיין
MS_BenHaDor	0015	r1l2	genre	Returnelle	I. Returnelle ?רחומה | אָוואַ! וואָס וועסטו דערצעהלען
MS_BenHaDor	0015	r1l8	genre	Returnelle	II Returnelle .בעססער צו לעבען וויא דיא טייבלעך
MS_BenHaDor	0015	r1l9	genre	Terzett	N=6 Terzett
MS_BenHaDor	0015	r2l10	genre	Tanz	Tanz [אללע אב]
MS_BenHaDor	0015	r2l11	genre	Returnell	II Returnell: פֿערוואנדלונג
MS_BenHaDor	0015	r2l14	number	No 7	No 7  עלמת סאלא אויפֿין וואסער דיא  ש פט
MS_BenHaDor	0017	r1l3	genre	Returnel	I Returnel: .הייליג זיין וויא ראכֿע צו נעהמען אַן דען טיראן
MS_BenHaDor	0017	r1l13	genre	Returnel	בן הדור |איך שווערע עס דיר. II Returnel:    No=9
MS_BenHaDor	0017	r1l14	genre	Duett	"""Duett"""
MS_BenHaDor	0028	r1l15	genre	Return	1 Return: מיר שרייען קוקט אים שארף אָן
MS_BenHaDor	0028	r1l18	genre	קאהר	״אופטריט קאהר סאלדאטען״
MS_BenHaDor	0028	r2l3	number	No 11	II Return: קאהר זינגט מאן שלעפט אים No 11
MS_BenHaDor	0028	r2l3	genre	Return	II Return: קאהר זינגט מאן שלעפט אים No 11
MS_BenHaDor	0028	r2l3	genre	קאהר	II Return: קאהר זינגט מאן שלעפט אים No 11
MS_BenHaDor	0029	r1l7	genre	Return	"1 Return: "" Dromel schläge דארט מיין לפידות"
MS_BenHaDor	0029	r1l14	number	N. 13	II Return: אופטריט עלמת רחומה קאהר. N. 13
MS_BenHaDor	0029	r1l14	genre	Return	II Return: אופטריט עלמת רחומה קאהר. N. 13
MS_BenHaDor	0029	r1l14	genre	קאהר	II Return: אופטריט עלמת רחומה קאהר. N. 13
MS_BenHaDor	0029	r2l8	genre	Return	1 Return: אים ערמארדען
MS_BenHaDor	0029	r2l13	number	No 14	II. Return: No 14 קאמט מיט מיר
MS_BenHaDor	0029	r2l13	genre	Return	II. Return: No 14 קאמט מיט מיר
MS_BenHaDor	0029	r2l14	genre	קאהר	קאהר וויעדערהאלט דאַס פֿאריגע נומער
MS_BenHaDor	0032	r2l2	genre	Return	1 Return: גאטט איבער מיין קינד
MS_BenHaDor	0032	r2l11	genre	Return	2 Return: N= 15 זעה קריכֿען זינגען אללע אליבען
MS_BenHaDor	0032	r2l12	genre	Terzett	Terzett
MS_BenHaDor	0033	r2l6	genre	Tanz	אללע טאנצן Tanz [אב]
MS_BenHaDor	0033	r2l7	genre	קאהר	חנו. עלמות, לפידות מענער קאהר
MS_BenHaDor	0035	r2l5	genre	Returnell	II. Returnell: N= 16.
MS_BenHaDor	0035	r2l6	genre	קאהר	"״קאהר לפידות שלמון"""
MS_BenHaDor	0035	r2l7	genre	קאהר	קאהר אלס בעטלער לפידות פֿיהרט ארום שלמון אין איין האנד
MS_BenHaDor	0036	r2l9	genre	Returnell	קעניג בן הדור! 1 Returnell.
MS_BenHaDor	0036	r2l16	genre	Returnell	2.Returnell קאהר N=17
MS_BenHaDor	0036	r2l16	genre	קאהר	2.Returnell קאהר N=17
MS_DiTsveyTnoim	0005	r1l13	genre	קאהר	קאהר פֿון רויבער, תנאים, סאָלדאַטען, האָפֿ העררען און דאַמען, מתים.
MS_DiTsveyTnoim	0018	r2l2	genre	Chor	Chor
MS_DiTsveyTnoim	0020	r2l7	genre	Quarted	Quarted No.
MS_DiTsveyTnoim	0022	r2l1	genre	chor	hintergrund chor on
MS_DiTsveyTnoim	0032	r2l11	genre	קאהר	בעגריעסונגס קאהר.
MS_DiTsveyTnoim	0039	r1l12	number	N3	Auf: Ansal | N3 בר-נזיר. בן פּדות
MS_Emigration	0005	r1l1	cue_R	RI	RI
MS_Emigration	0005	r1l9	cue_R	RII	RII N קאהר דער שעהנער זאממער
MS_Emigration	0005	r1l9	genre	קאהר	RII N קאהר דער שעהנער זאממער
MS_Emigration	0012	r1l9	number	N2	N2 (מען הערט מאריץ מיט ראשעל זינגען איין דועט)
MS_Emigration	0018	r1l8	number	N 3	N 3 (דועט)
MS_Emigration	0022	r1l1	number	N4	N4
MS_Emigration	0025	line_1653485325706_1703	cue_R	RI	RI סאנו
MS_Emigration	0025	r1l11	cue_R	RII	RII .אננא וועה איז מיר וויא איזט מיין קינד מיין ראשעל
MS_Emigration	0026	r1l2	cue_R	RI	RI
MS_Emigration	0026	line_1653485611216_1761	number	N 5	N 5
MS_Emigration	0026	r1l7	cue_R	RII	RII
MS_Emigration	0030	r1l5	number	N6	שטענדיג מיט מיר. וואלען וויר בייטען פאר דיא N6 (דועט) (אב)
MS_Emigration	0030	line_1653486216865_2179	number	N7	N7 ירוחם לעדיג לעם
MS_Emigration	0042	r1l18	number	N8	N8
MS_Emigration	0043	r1l2	number	N9	זשאנדארמען N9
MS_Emigration	0046	r1l5	cue_R	RII	RII
MS_Emigration	0047	r1l14	cue_R	RII	RII
MS_Emigration	0048	r1l3	number	N 10	"N 10 (דריטטער אקט (קאפפע הויז אין קס""פל"
MS_Emigration	0057	r1l9	cue_R	RI	RI
MS_Emigration	0057	r1l19	cue_R	RII	קעלנער (שטיל צו שפינער) לאסט איהם פאראויס געהן (אב RII
MS_Emigration	0058	r1l4	cue_R	RII	מאריץ (ליעגענד אויף דער ערד) RII
MS_Emigration	0062	r1l12	cue_R	RI	RI
MS_Emigration	0062	r1l21	cue_R	RII	RII אבדול פאליצייא
MS_Emigration	0080	r1l12	number	N12	N12 II Ret. (אזוי פיעל לערם)
MS_Emigration	0094	line_1653499353424_339	cue_R	RII	II Returnel RII
MS_Emigration	0094	line_1653499353424_339	genre	Returnel	II Returnel RII
MS_Emigration	0094	line_1653499362470_349	genre	Marsch	Marsch
MS_Emigration	0094	line_1653499377980_372	genre	Returnell	Returnell
MS_Emigration	0095	line_1653499518585_503	genre	Returnel	II Returnel
MS_Emigration	0097	r1l12	genre	Returnel	סאני איך ווילל ניט איך געה ניט II Returnel
MS_Emigration	0108	line_1653491006393_3349	cue_R	RI	RI
MS_Emigration	0109	line_1653490737258_3270	cue_R	RII	RII X .?מאריץ ערטראנקען
MS_Emigration	0110	line_1653490514251_3206	cue_R	RII	RII4
MS_KhurbnYerusholaim	0009	line_1637614880872_660	genre	Refrein	Refrein }
MS_KhurbnYerusholaim	0021	r1l15	genre	Refrein	} Refrein
MS_KhurbnYerusholaim	0024	r2l13	genre	Duet	2 cm Duet II
MS_KhurbnYerusholaim	0033	r1l17	genre	arya	II arya
MS_TissaEssler	0003	TextRegion_1643559348118_275l21	genre	קאהר	קאהר אידען
MS_TissaEssler	0003	TextRegion_1643559348118_275l22	genre	קאהר	קאהר קריסטען
MS_TissaEssler	0005	line_1643995397577_503	genre	קאהר	קאהר מען האט דיך אבער באווארענט פריהער
MS_TissaEssler	0007	region_1643560356202_457l19	number	N 3	N 3
MS_TissaEssler	0008	r2l9	number	No. 4	No. 4 Returne N=
MS_TissaEssler	0008	r2l9	genre	Returne	No. 4 Returne N=
MS_TissaEssler	0009	r3l13	genre	קאהר	"קאהר. "" איך ערהעבע דעם טאָקאַיער- אונזערע פיינדע זאללען ברענען וויא פֿייער"
MS_TissaEssler	0013	r1l31	number	No 1	No 1
MS_TissaEssler	0013	line_1644016119935_1807	number	N 2	N 2
MS_TissaEssler	0014	r1l4	genre	קאהר	קאהר
MS_TissaEssler	0014	r1l5	genre	Returnal	שטעלט פאר דיא דאָרפס שוהל Returnal
MS_TissaEssler	0018	l_1	genre	קאהר	קאהר קעמונט
MS_TissaEssler	0020	r2l21	genre	קאהר	(אין דער צייט ווען מען פירט זיא דורך קאהר פון קריסטען זינגען)
MS_TissaEssler	0035	r2l9	genre	קאהר	קאהר זינגט גראטולווציאנס ליעדער טאנצען .)
MS_TissaEssler	0037	line_1644015199425_1305	genre	קאהר	קאהר { יודען שיקען שלוח מנות
MS_YaakovEsav	0006	r3l7	number	No 1	.No 1
MS_YoysefInEgipten	0005	line_1636293915043_6921	genre	קאהר	קאהר מיר שעפער פירין ויין שענעס לעבען
MS_YoysefInEgipten	0005	line_1636293946223_6946	genre	קאהר	קאהר מיר שעפער... א.ז.וו.
MS_YoysefInEgipten	0006	r2l5	genre	קאהר	קאהר מיר שעפער..... א. ז.וו.
MS_YoysefInEgipten	0008	line_1636294607784_7276	genre	קאהר	קאהר זעהט נאר זיין העלדיןטאט וויא שעהן
MS_YoysefInEgipten	0009	line_1636294900566_7349	genre	קאהר	קאהר זעהט נאר זיין העלדענטהאט. א. ז. וו.
MS_YoysefInEgipten	0009	line_1636294990321_7432	genre	קאהר	קאהר שארף איזט אונזער שווערד
MS_YoysefInEgipten	0015	line_1636727218075_145	genre	קאהר	קאהר הערט אים ניט צו הערט איהם ניט.
MS_YoysefInEgipten	0018	line_1636727613099_390	genre	קאהר	קאהר זייט איהר עדות הימעל און ערד
MS_YoysefInEgipten	0018	line_1636727630403_404	genre	קאהר	קאהר נישט פעראטען מיט איין וואָרט
MS_YoysefInEgipten	0019	line_1636727941414_553	genre	קאהר	קאהר מיר גאט א. ז.וו.
MS_YoysefInEgipten	0020	r3l17	genre	קאהר	קאהר
MS_YoysefInEgipten	0021	line_1636728189549_721	genre	קאהר	קאהר אָ הער אונז צו פאטער וויין נישט קלאג נישט אזוי
MS_YoysefInEgipten	0021	line_1636728223249_773	genre	קאהר	קאהר טרייסט דיך פאטער א.ז.וו.
MS_YoysefInEgipten	0025	r2l1	number	No. 9	אין קעטען געשלאסען %מען בריינגט יוסיפען אין קייטין No. 9%
MS_YoysefInEgipten	0025	line_1636728816583_1131	genre	קאהר	קאהר נו נעמט שוין קינדער נעמט שוין געשווינדער
MS_YoysefInEgipten	0029	line_1636729526698_1632	genre	קאהר	קאהר געטער שטיצט מיט אייער רעכטער האַנד
MS_YoysefInEgipten	0031	r1l13	genre	קאהר	קליידער דאס קאהר קומט אָן מארשירענדיג דיא בינע%
MS_YoysefInEgipten	0032	line_1636730191756_2044	genre	קאהר	קאהר אוי אוי הונגעריג זענין מיר דאך זעהר! א. ז.וו.
MS_YoysefInEgipten	0040	r2l7	genre	קאהר	קאהר ציגער מיט פאטער צייגער מיט פאטער
MS_YoysefInEgipten	0041	r2l3	genre	קאהר	קאהר זייא געגריסט פון אונז אלע ברידער
MS_YoysefInEgipten	0041	r1l9	genre	קאהר	קאהר אַ אונזער ברודער שמעון אונזער ברודער
MS_YoysefInEgipten	0041	r1l13	genre	קאהר	קאהר עס זאהל גישעהן עס זאהל גישעהן. %ברוז%
MS_YoysefInEgipten	0042	line_1636732887454_3632	genre	קאהר	קאהר עס איז ווינדער באר וואס איז גישעהן %אב%אל אב%
MS_YoysefInEgipten	0055	r1l2	genre	קאהר	קאהר איין קעניג לעבט א. ז.וו.
Lateiner_Meshumed	0004	line_1604851952792_1257	cue_R	R I	R I II 1ter Act
Lateiner_Meshumed	0004	line_1605181385842_108	cue_R	II R	II R
Lateiner_Meshumed	0004	line_1604849993346_1155	cue_R	IR	IR | וועה איז מיר, מיינע קישקיס זוגען שוין ווידע.
Lateiner_Meshumed	0004	line_1604850008673_1160	cue_R	R.I	קאצאפ. | אה זו? .R.I
Lateiner_Meshumed	0005	r2l4	cue_R	R. II	מעכיל. | אוי אז טאנצין זאל איך שוין נאך אייער לויה. R. II
Lateiner_Meshumed	0005	line_1605284818708_517	genre	קאהר	(קאהר דוס זעלבע פֿריהר. מעכיל טאנצט. אלע אב)
Lateiner_Meshumed	0011	line_1605457299965_2411	cue_R	R.I	אלע. | וווהין געהסטו?   .R.I
Lateiner_Meshumed	0011	r2l19	genre	Zingen	.R/II Zingen pintale id
Lateiner_Meshumed	0015	r1l12	cue_R	RI	נאך הויזע קאמען וועל איך עס איהם דערצעהלין. RI
Lateiner_Meshumed	0015	r1l14	cue_S	SI	SI | אה יאסיף יוסיף איז דוס ניט דאס גראב געזאנג מיט ווילכין
Lateiner_Meshumed	0015	r1l21	cue_R	R.II	R.II
Lateiner_Meshumed	0015	line_1606663968417_152	cue_S	S II	S II
Lateiner_Meshumed	0016	line_1606072634391_860	cue_R	IIR	IIR | (איין צימער בא מעכלין. געדעקטע טישען. ברענען דיע לעכט. פֿראטיג צי נאכטס)
Lateiner_Meshumed	0016	line_1606072522903_799	cue_R	R.I	טאקע שרה און ווארט נאך אויס מיטען צימיס (שרה אב) .R.I
Lateiner_Meshumed	0017	line_1606073309966_1331	cue_R	R.II	שרה. | יא יא זינג טאקע R.II
Lateiner_Meshumed	0017	line_1606073330083_1346	genre	קאהר	קאהר. | אויי מנחה...
Lateiner_Meshumed	0017	line_1606073117148_1126	genre	קאהר	יעקב קאהר
Lateiner_Meshumed	0018	r2l5	cue_R	IR	וואס העלפֿט דוס וויינען און קלוגען IR
Lateiner_Meshumed	0019	r2l12	cue_R	IR	IR
Lateiner_Meshumed	0019	r2l19	cue_R	R.I	אבער צו ערשט וויל איך מאכען קידוש. R.I
Lateiner_Meshumed	0019	r2l22	cue_R	IIR	אהוא וברוך שמוי. אמן. IIR
Lateiner_Meshumed	0019	line_1606074229787_1777	cue_R	R.II	(זינגען קידוש) R.II
Lateiner_Meshumed	0021	line_1606075204972_2223	cue_R	IR	יוסיף. | זא נעמען זיא דאס געלד אנקעל. .IR R.I
Lateiner_Meshumed	0021	line_1606075204972_2223	cue_R	R.I	יוסיף. | זא נעמען זיא דאס געלד אנקעל. .IR R.I
Lateiner_Meshumed	0021	line_1606075298943_2279	cue_R	IIR	קינד. | מאמאשא (וויינט) (מוזיק שטורם) IIR מעלאדראמע R.II
Lateiner_Meshumed	0021	line_1606075298943_2279	cue_R	R.II	קינד. | מאמאשא (וויינט) (מוזיק שטורם) IIR מעלאדראמע R.II
Lateiner_Meshumed	0021	line_1606075068946_2123	genre	קאהר	קאהר פֿין הונדערטע שטימען אלטע, קראנקע, פֿרויען, קינדער
Lateiner_Meshumed	0021	line_1606075084151_2138	cue_S	SI	SI | ליובאוו ווירסטו אונטער דיינע פֿענסטיר הערין דיע שטיממע
Lateiner_Meshumed	0021	line_1606075093664_2143	cue_R	R.I	פֿאן דיע יודען וועלכע ווערדען שריין וועה אוי וועה. R.I
Lateiner_Meshumed	0022	line_1607359384930_214	cue_R	R.II	פֿערוואנדלונג R.II SII
Lateiner_Meshumed	0022	line_1607359384930_214	cue_S	SII	פֿערוואנדלונג R.II SII
Lateiner_Meshumed	0023	line_1607701679322_510	cue_S	SI	SI
Lateiner_Meshumed	0023	line_1607702072260_729	cue_R	IR	איוואן. | און דאך זאגע איך דיר קאממע מיט אונדז. IR
Lateiner_Meshumed	0023	line_1607701868849_622	cue_S	SII	SII
Lateiner_Meshumed	0023	line_1607701362791_314	cue_R	IIR	IIR | געריכט הויז. מוזיק שפיעלט. באזשע צאריא חראני ריכטיר איוואן.
Lateiner_Meshumed	0024	line_1607703237609_1429	cue_R	R.I	גרעגואר (מיט א פאפיער) R.I
Lateiner_Meshumed	0024	line_1607703219800_1417	cue_R	IR	לעבען. IR
Lateiner_Meshumed	0024	line_1607702209691_818	cue_R	R.II	קאמט און עמפפֿאנגט אייער נייען ברודער R.II
Lateiner_Meshumed	0024	line_1607702343402_874	cue_R	IIR	IIR
Lateiner_Meshumed	0025	line_1607702898787_1204	cue_R	IIR	IIR דריטער אקט (קערקיר)
Lateiner_Meshumed	0025	line_1607702913666_1210	genre	קאהר	יעקב מעכעל שרה (קאהר זינגט)
Lateiner_Meshumed	0025	line_1607702963913_1228	genre	קאהר	קאהר. | אה גאטט ווען וועט שוין ענדליך איין ענדע זיין
Lateiner_Meshumed	0026	r2l19	cue_R	R.I	R.I
Lateiner_Meshumed	0026	line_1608460389664_72	cue_R	IR	IR
Lateiner_Meshumed	0026	r1l20	cue_R	IIR	IIR R.II
Lateiner_Meshumed	0026	r1l20	cue_R	R.II	IIR R.II
Lateiner_Meshumed	0027	r1l19	cue_S	SII	SII
Lateiner_Meshumed	0029	line_1608658810894_709	cue_R	IIR	IIR
Lateiner_Meshumed	0031	line_1608658332410_530	cue_R	IR	IR
Lateiner_Meshumed	0031	line_1608658341293_536	cue_S	SI	SI
Lateiner_Meshumed	0031	r1l41	cue_R	RI	RI | גליקליכסטע מענשין אויף דער וועלט. יעטצט
Lateiner_Meshumed	0031	r1l8	cue_R	RII	RII
Lateiner_Meshumed	0031	r1l9	cue_S	SII	SII
Lateiner_Meshumed	0031	line_1608658404103_561	cue_R	IIR	IIR
Lateiner_Meshumed	0032	line_1608658086002_445	cue_R	IR	IR
Lateiner_Meshumed	0032	r1l9	cue_R	RI	RI
Lateiner_Meshumed	0032	line_1608658237690_500	cue_R	IR	IR
Lateiner_Meshumed	0032	r1l35	cue_R	IIR	IIR
Lateiner_Meshumed	0032	r1l36	cue_R	RII	RII כהר זינגט.
Lateiner_Meshumed	0033	r2l4	cue_R	IIR	IIR
Lateiner_Meshumed	0036	line_1608637058494_298	cue_R	IR	IR
Lateiner_Meshumed	0037	line_1609680003376_513	cue_R	R II	R II S II
Lateiner_Meshumed	0037	line_1609680003376_513	cue_S	II S	R II S II
