edition,page(s),line_id / count,category,owner,issue/detail,text,suggested_action
Yetsi'as Mitsrayim,29,r1l17,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt Isiss.,fix per schema
Yetsi'as Mitsrayim,30,r1l5,schema violation,NOA,stage span requires a type attribute (no bare stage),%ab mit Schifro/,fix per schema
Yetsi'as Mitsrayim,30,r1l9,schema violation,NOA,stage span requires a type attribute (no bare stage),%entkleidet sich/ ,fix per schema
Yetsi'as Mitsrayim,32,r1l10,schema violation,NOA,stage span requires a type attribute (no bare stage),%ab/,fix per schema
Yetsi'as Mitsrayim,33,r1l9,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt Nachschoin,fix per schema
Yetsi'as Mitsrayim,33,r1l15,schema violation,NOA,stage span requires a type attribute (no bare stage),% will zu er tret ab/,fix per schema
Yetsi'as Mitsrayim,35,r1l12,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt Isiss.,fix per schema
Yetsi'as Mitsrayim,36,r1l11,schema violation,NOA,stage span requires a type attribute (no bare stage),(ab),fix per schema
Yetsi'as Mitsrayim,36,r1l19,schema violation,NOA,stage span requires a type attribute (no bare stage),/ab/,fix per schema
Yetsi'as Mitsrayim,37,r1l6,schema violation,NOA,stage span requires a type attribute (no bare stage),%ab/.,fix per schema
Yetsi'as Mitsrayim,37,r1l7,schema violation,NOA,stage span requires a type attribute (no bare stage),Verwandlung,fix per schema
Yetsi'as Mitsrayim,37,r1l8,schema violation,NOA,stage span requires a type attribute (no bare stage),bein Wasser,fix per schema
Yetsi'as Mitsrayim,37,r1l9,schema violation,NOA,stage span requires a type attribute (no bare stage),Damen Chor,fix per schema
Yetsi'as Mitsrayim,37,r1l16,schema violation,NOA,stage span requires a type attribute (no bare stage),Solo:,fix per schema
Yetsi'as Mitsrayim,38,r2l6,schema violation,NOA,stage span requires a type attribute (no bare stage),%alle tanzen ab/,fix per schema
Yetsi'as Mitsrayim,38,r2l7,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt Menafto.,fix per schema
Yetsi'as Mitsrayim,39,r1l2,schema violation,NOA,stage span requires a type attribute (no bare stage),/singt/,fix per schema
Yetsi'as Mitsrayim,39,r1l18,schema violation,NOA,stage span requires a type attribute (no bare stage),/tanzt ab/,fix per schema
Yetsi'as Mitsrayim,40,r1l2,schema violation,NOA,stage span requires a type attribute (no bare stage)," Ferisiss, Mädchen, Schifro, kimen nach Wasser",fix per schema
