play,full_line,direction,type,line_id,page,page_url
Yudale der Blinder,"יאכנע: (ערשראקען) וֶועה מִיר עפּעס שׁרֶעקט מִיר דאָס הארְץ, זאָג נוּר דִי",(ערשראקען),business,line_1647438074708_664,10,https://app.transkribus.org/collection/2372172/doc/828539/detail/10
Yudale der Blinder,יאכנע: (קוּקט ארויס) וֶועה מִיר אוּנְזֶער קִינְד.,(קוּקט ארויס),business,line_1647438168577_681,10,https://app.transkribus.org/collection/2372172/doc/828539/detail/10
Yudale der Blinder,"(אויפטריט בערמאן, פיהרט דורה'לע).","(אויפטריט בערמאן, פיהרט דורה'לע).",entrance,r1l26,10,https://app.transkribus.org/collection/2372172/doc/828539/detail/10
Yudale der Blinder,"דבורה: לָאזְט מִיך אִיהם ענטגעגֶען געֶהן, לָאזט מיךְ (לויפט אב) — (יְרוּחָם",(לויפט אב),exit,line_1647438715969_893,11,https://app.transkribus.org/collection/2372172/doc/828539/detail/11
Yudale der Blinder,"דבורה: לָאזְט מִיך אִיהם ענטגעגֶען געֶהן, לָאזט מיךְ (לויפט אב) — (יְרוּחָם קוּקְט נָאך מִיט אַ אונְצופרִיעדֶענֶער מִינֶע).",(יְרוּחָם קוּקְט נָאך מִיט אַ אונְצופרִיעדֶענֶער מִינֶע).,business,line_1647438715969_893,11,https://app.transkribus.org/collection/2372172/doc/828539/detail/11
Yudale der Blinder,פישל: אַז יהוּדא'לע אוּן דְבוֹרֶה'לֶע (זיפצט) אוֹי!,(זיפצט),business,r6l2,12,https://app.transkribus.org/collection/2372172/doc/828539/detail/12
Yudale der Blinder,עֶסעֶן. (אב מיט יאכנע).,(אב מיט יאכנע).,business,r1l9,13,https://app.transkribus.org/collection/2372172/doc/828539/detail/13
Yudale der Blinder,ירוחם: עֶס זאָל זַיין שׁטִיל! (קאָמפאניערט) רבּש'ע אַ. זַ. וו.,(קאָמפאניערט),business,r1l10,13,https://app.transkribus.org/collection/2372172/doc/828539/detail/13
Yudale der Blinder,(אויפטריט אַלטעריל מיט פריידאלע).,(אויפטריט אַלטעריל מיט פריידאלע).,entrance,r1l11,13,https://app.transkribus.org/collection/2372172/doc/828539/detail/13
Yudale der Blinder,(זיי זינגען און קישען זיך אין מיטען געזאנג פישל דערזעהט עס).,(זיי זינגען און קישען זיך אין מיטען געזאנג פישל דערזעהט עס).,business,r1l12,13,https://app.transkribus.org/collection/2372172/doc/828539/detail/13
Yudale der Blinder,פישל: (צייגט ירוחט) חַזֶן דָארְט זִינְגְט מֶען אוֹיף נָאטען!,(צייגט ירוחט),business,r1l13,13,https://app.transkribus.org/collection/2372172/doc/828539/detail/13
Yudale der Blinder,ירוחם: (גייט צו) וואָס טהוּט אִיהר דִי בּיידע אַה?,(גייט צו),business,r1l14,13,https://app.transkribus.org/collection/2372172/doc/828539/detail/13
Yudale der Blinder,"לֶעקצִיע, (צוּ פריידעלע) אוּן דִי קבּצנִישֶׁע מוִיד, אִיך וֶועל דִיר אוִיסרֵייסֶען",(צוּ פריידעלע),delivery,line_1647440737283_1436,13,https://app.transkribus.org/collection/2372172/doc/828539/detail/13
Yudale der Blinder,"נוּ, וואָס האבּ אִיך דִיר געזאַגט? (פְרֵיידֶעלֶע לָאזְט אַ ראָפ דִי אוֹיגען אוּן וִויל געֶהן ווִי אַלטעריל).",(פְרֵיידֶעלֶע לָאזְט אַ ראָפ דִי אוֹיגען אוּן וִויל געֶהן ווִי אַלטעריל).,business,r1l28,13,https://app.transkribus.org/collection/2372172/doc/828539/detail/13
Yudale der Blinder,"ירוחם: ווִי אַהין קריכסטוּ? גֶעה! (ווייזט אויף די צווייטע זייט) נוּ, (וֵוייזְט אִיהר",(ווייזט אויף די צווייטע זייט),business,r1l30,13,https://app.transkribus.org/collection/2372172/doc/828539/detail/13
Yudale der Blinder,"ירוחם: ווִי אַהין קריכסטוּ? גֶעה! (ווייזט אויף די צווייטע זייט) נוּ, (וֵוייזְט אִיהר דִי אוֹיגען אראפ צוּ לאזֶען) גֶעדֶענְק׳זשֶׁע (פריידע אַב). — (ירוהם זִינְגְט רבּשׁ'ע",(וֵוייזְט אִיהר דִי אוֹיגען אראפ צוּ לאזֶען),business,r1l30,13,https://app.transkribus.org/collection/2372172/doc/828539/detail/13
Yudale der Blinder,דִי אוֹיגען אראפ צוּ לאזֶען) גֶעדֶענְק׳זשֶׁע (פריידע אַב). — (ירוהם זִינְגְט רבּשׁ'ע,(פריידע אַב).,exit,line_1647441002224_1505,13,https://app.transkribus.org/collection/2372172/doc/828539/detail/13
Yudale der Blinder,דִי אוֹיגען אראפ צוּ לאזֶען) גֶעדֶענְק׳זשֶׁע (פריידע אַב). — (ירוהם זִינְגְט רבּשׁ'ע,(ירוהם זִינְגְט רבּשׁ'ע,delivery,line_1647441002224_1505,13,https://app.transkribus.org/collection/2372172/doc/828539/detail/13
Yudale der Blinder,"פִישׁל הֶעלְפט אוּנְטֶער, אַלֶע אַב).","פִישׁל הֶעלְפט אוּנְטֶער, אַלֶע אַב).",exit,r1l34,13,https://app.transkribus.org/collection/2372172/doc/828539/detail/13
Yudale der Blinder,(אויפטריט דבורה'לע מיט יודאלע).,(אויפטריט דבורה'לע מיט יודאלע).,entrance,r1l35,13,https://app.transkribus.org/collection/2372172/doc/828539/detail/13
Yudale der Blinder, (זינגען צו ערסט אונטער קאליסען דאן טרעטען אויף).,(זינגען צו ערסט אונטער קאליסען דאן טרעטען אויף).,business,r1l36,13,https://app.transkribus.org/collection/2372172/doc/828539/detail/13
Yudale der Blinder,אוּנגליקליך אִיך בּין! (דבורה גיבט איהם א בענקעל).,(דבורה גיבט איהם א בענקעל).,business,line_1647512683988_129,14,https://app.transkribus.org/collection/2372172/doc/828539/detail/14
Yudale der Blinder,טרֵייעם וַוייבּ! (אומארמט איהם). (דועט).,(אומארמט איהם). (דועט).,business,line_1647512798434_174,14,https://app.transkribus.org/collection/2372172/doc/828539/detail/14
Yudale der Blinder,עָזרי מֶעם ד' עושה שׁמִים וָאָרץ. (ביידע אב).,(ביידע אב).,exit,r1l6,15,https://app.transkribus.org/collection/2372172/doc/828539/detail/15
Yudale der Blinder,(ארמעס צימער ביי ירוחם).,(ארמעס צימער ביי ירוחם).,business,line_1647513486968_439,16,https://app.transkribus.org/collection/2372172/doc/828539/detail/16
Yudale der Blinder,"(אויפטריט בערמאן — וואלדמאן, איסר, אלע צוזאמען).","(אויפטריט בערמאן — וואלדמאן, איסר, אלע צוזאמען).",entrance,line_1647513483846_435,16,https://app.transkribus.org/collection/2372172/doc/828539/detail/16
Yudale der Blinder,וואַלדמאן (אַב).,(אַב).,exit,r2l9,16,https://app.transkribus.org/collection/2372172/doc/828539/detail/16
Yudale der Blinder,וואלדמאן: אַזוי! (אפארט) דֶער בּלינדער האַט זִיך בּלינדערהייט אויִס⸗,(אפארט),business,line_1647513824666_514,16,https://app.transkribus.org/collection/2372172/doc/828539/detail/16
Yudale der Blinder,(אפארט) אִיך ווֶעל שׁוֹין בְּלַייבֶּען זַיין קֶעסְט קִינְד. חַ חַ חַ חַ! (אָב).,(אפארט),business,line_1647514298491_766,17,https://app.transkribus.org/collection/2372172/doc/828539/detail/17
Yudale der Blinder,(אפארט) אִיך ווֶעל שׁוֹין בְּלַייבֶּען זַיין קֶעסְט קִינְד. חַ חַ חַ חַ! (אָב).,(אָב).,exit,line_1647514298491_766,17,https://app.transkribus.org/collection/2372172/doc/828539/detail/17
Yudale der Blinder,"(אויפטריט ראזא, רופט אונטער קוליסען דאן ערשיינט).","(אויפטריט ראזא, רופט אונטער קוליסען דאן ערשיינט).",entrance,r16l37,17,https://app.transkribus.org/collection/2372172/doc/828539/detail/17
Yudale der Blinder,ראזא: פָאטֶער! פָאטֶער! (פרייליך) מֵיין פָאטֶער!,(פרייליך),business,line_1647514265313_760,17,https://app.transkribus.org/collection/2372172/doc/828539/detail/17
Yudale der Blinder,"וואלדמאן: (בּייז) אִיך פְרֵייא מִיך, אִיך פְרֵייא מִיך, אוּן דוּל מִיר נִישְט",(בּייז),business,r2l3,18,https://app.transkribus.org/collection/2372172/doc/828539/detail/18
Yudale der Blinder,וואלדמאן: (שפעטיש) זַיין אוּנְגְלִיק ווָאס פֶעהלְט אִיהם דֶען? הָאט עֶר נִישט,(שפעטיש),business,line_1647516074562_1056,18,https://app.transkribus.org/collection/2372172/doc/828539/detail/18
Yudale der Blinder,וואלדמאן: (אפארט) עֶר זָאל קורִירְט וֶוערֶען זָאגְט זִי? דַאן גֶעהֶערְט אִיהם,(אפארט),business,line_1647516166180_1086,18,https://app.transkribus.org/collection/2372172/doc/828539/detail/18
Yudale der Blinder,דָאס גַאנְצֶע פֶערְמֶעגֶען אוּן אִיך בְּלַייבּ אַ בֶּעטְלֶער (צוּ איהר) הָאסְט דוּ,(צוּ איהר),delivery,line_1647516191248_1096,18,https://app.transkribus.org/collection/2372172/doc/828539/detail/18
Yudale der Blinder,(אפארט) עֶס קָאסְט מִיך שׁוֹין גֶענוּג גֶעלד דָאס עֶס זָאל אַזוי הַייסֶען.,(אפארט),business,line_1647516236572_1106,18,https://app.transkribus.org/collection/2372172/doc/828539/detail/18
Yudale der Blinder,"וואלדמאן: אִיך וֶועל זִי שׁוֹין זֶעהן, קוּם! (אב).",(אב).,exit,r2l41,18,https://app.transkribus.org/collection/2372172/doc/828539/detail/18
Yudale der Blinder,"ראזא: (מיט א זיפץ) אַך, אָרְמער אוּנְגְלִיקְלִיכֶער יוּדַאלֶע! (אב).",(מיט א זיפץ),business,r2l42,18,https://app.transkribus.org/collection/2372172/doc/828539/detail/18
Yudale der Blinder,"ראזא: (מיט א זיפץ) אַך, אָרְמער אוּנְגְלִיקְלִיכֶער יוּדַאלֶע! (אב).",(אב).,exit,r2l42,18,https://app.transkribus.org/collection/2372172/doc/828539/detail/18
Yudale der Blinder,(אויפטריט אלטעריל מיט פריידעלע).,(אויפטריט אלטעריל מיט פריידעלע).,entrance,r2l43,18,https://app.transkribus.org/collection/2372172/doc/828539/detail/18
Yudale der Blinder,וֶועל מַיין טַאטֶען פאלֶען צוּ דִי פִיס אַזוי (קניעט פאר איהר).,(קניעט פאר איהר).,business,r_2_1l14,19,https://app.transkribus.org/collection/2372172/doc/828539/detail/19
Yudale der Blinder,קִישֶען זַיינֶע הֶענְד אַזוי (קישט איהרע הענד).,(קישט איהרע הענד).,business,r_2_1l17,19,https://app.transkribus.org/collection/2372172/doc/828539/detail/19
Yudale der Blinder,אלטעריל: אִיך וֶועל אִיהם פַאלֶען אוֹיף זַיין הַאלְז אַזוי... (אומארמט זי).,(אומארמט זי).,business,r_2_1l23,19,https://app.transkribus.org/collection/2372172/doc/828539/detail/19
Yudale der Blinder,הַאלְזֶען אוּן קִישֶען (קישט זי) אוּן וָואס מֵיינְסְטוּ וֶועט עֶר טְהון?,(קישט זי),business,r_2_1l26,19,https://app.transkribus.org/collection/2372172/doc/828539/detail/19
Yudale der Blinder,פריידעלע: עֶר וֶועט דִיךְ אויךְ קִישֶען (קישט איהם).,(קישט איהם).,business,r_2_1l27,19,https://app.transkribus.org/collection/2372172/doc/828539/detail/19
Yudale der Blinder,וֶועל אִיך מִיך נֶעהמֶען צוּ דַיין טַאטֶען (קישט זי) אוּן דָערְנְאך צוּ דַיין,(קישט זי),business,r_2_1l29,19,https://app.transkribus.org/collection/2372172/doc/828539/detail/19
Yudale der Blinder,מַאמֶען (קישט זי).,(קישט זי).,business,r_2_1l30,19,https://app.transkribus.org/collection/2372172/doc/828539/detail/19
Yudale der Blinder,אלטעריל: אוּן צוּ דַיין שְוועסְטֶער (קישט זי).,(קישט זי).,business,r_2_1l32,19,https://app.transkribus.org/collection/2372172/doc/828539/detail/19
Yudale der Blinder,אלטעריל: אוּן פִישְלֶען (קישט זי),(קישט זי),business,r_2_1l34,19,https://app.transkribus.org/collection/2372172/doc/828539/detail/19
Yudale der Blinder,אַלְטֶערִיל אוּן דִי צִיעג (קישט זי).,(קישט זי).,business,TextRegion_1648506461053_3149l2,20,https://app.transkribus.org/collection/2372172/doc/828539/detail/20
Yudale der Blinder,זַיידֶען אוּן דַיין בַּאבֶּען! (קישט זי). (דועט). (בִּיז און בִּיז),(קישט זי). (דועט). (בִּיז און בִּיז),business,TextRegion_1648506461053_3149l5,20,https://app.transkribus.org/collection/2372172/doc/828539/detail/20
Yudale der Blinder,לִיעבֶּע אִיז זָא זִיעס! יָאה זִיעס! (בּיס).,(בּיס).,business,TextRegion_1648506293321_3101l23,21,https://app.transkribus.org/collection/2372172/doc/828539/detail/21
Yudale der Blinder,(אויפטריט יודאלע דבורה זינגענדיג).,(אויפטריט יודאלע דבורה זינגענדיג).,entrance,r_1_1l2,22,https://app.transkribus.org/collection/2372172/doc/828539/detail/22
Yudale der Blinder,"הָאט עֶר אויסְגֶעוֶועהלְט אַלְס דַיין גוּטֶען שָלוחַ? (קוּמְט, פִישׁל בּלֵייבּט שְטֶעהן).","(קוּמְט, פִישׁל בּלֵייבּט שְטֶעהן).",business,TextRegion_1648505817765_2914l26,23,https://app.transkribus.org/collection/2372172/doc/828539/detail/23
Yudale der Blinder,"וִוילְסְטוּ אֶפְשֶר אַ וֶועק גֶעהן אָן אַ זֵייט גֶעזוּנְד? (שרייט) חַזָן. חַזֶנְ'טֶע,",(שרייט),business,TextRegion_1648505817765_2914l29,23,https://app.transkribus.org/collection/2372172/doc/828539/detail/23
Yudale der Blinder,"(אויפטרעטען ירוחם, פריידעלע, יאכנע, אלטעריל, בערמאן, משוררים).","(אויפטרעטען ירוחם, פריידעלע, יאכנע, אלטעריל, בערמאן, משוררים).",business,TextRegion_1648505817765_2914l31,23,https://app.transkribus.org/collection/2372172/doc/828539/detail/23
Yudale der Blinder,יודאלע: וואָס הֶער אִיך? דְבוֹרֶה'לֶע גיבּ מִיר דַיין הַאנְד! (געשיהט),(געשיהט),business,TextRegion_1648505709688_2823l10,24,https://app.transkribus.org/collection/2372172/doc/828539/detail/24
