play	page	line_id	kind	old_type	new_type	old_substring	new_substring	line_text
Yudale_der_blinder,_Emkroyt1908	18	line_1647516074562_1056	type_changed	business	delivery	(שפעטיש)	(שפעטיש)	וואלדמאן: (שפעטיש) זַיין אוּנְגְלִיק ווָאס פֶעהלְט אִיהם דֶען? הָאט עֶר נִישט
Yudale_der_blinder,_Emkroyt1908	22	r_1_1l1	added		setting		פערוואַנדלונג	פערוואַנדלונג.
Yudale_der_blinder,_Emkroyt1908	23	TextRegion_1648505817765_2914l29	type_changed	business	delivery	(שרייט)	(שרייט)	וִוילְסְטוּ אֶפְשֶר אַ וֶועק גֶעהן אָן אַ זֵייט גֶעזוּנְד? (שרייט) חַזָן. חַזֶנְ'טֶע,
Yudale_der_blinder,_Emkroyt1908	23	TextRegion_1648505817765_2914l31	type_changed	business	entrance	(אויפטרעטען ירוחם, פריידעלע, יאכנע, אלטעריל, בערמאן, משוררים).	(אויפטרעטען ירוחם, פריידעלע, יאכנע, אלטעריל, בערמאן, משוררים).	(אויפטרעטען ירוחם, פריידעלע, יאכנע, אלטעריל, בערמאן, משוררים).
Yudale_der_blinder,_Emkroyt1908	25	line_1648547840812_1271	deleted	business		(בּעסער גֶעה דִיר בּשלום		קאהר: (בּעסער גֶעה דִיר בּשלום
Yudale_der_blinder,_Emkroyt1908	25	TextRegion_1648547718722_1221l11	deleted	business		עֶס זאָל נִישְׁט זַיין קֵיין חָלוֹם).		עֶס זאָל נִישְׁט זַיין קֵיין חָלוֹם).
Yudale_der_blinder,_Emkroyt1908	25	TextRegion_1648547718722_1221l10	deleted	business		ליעבּער גָאט זעֶה אָ זעֶה		ליעבּער גָאט זעֶה אָ זעֶה
Yudale_der_blinder,_Emkroyt1908	25	TextRegion_1648547718722_1221l17	type_changed	business	trailer	(ענדע פון ערשטען אקט).	(ענדע פון ערשטען אקט).	(ענדע פון ערשטען אקט).
Di_seyder_nakht_Emkroyt_1908	6	line_1647705545484_1058	span_changed	business	business		אלע לאכען	בּעטער בּריק. (אלע לאכען).
Di_seyder_nakht_Emkroyt_1908	18	TextRegion_1647706671180_1553l31	type_changed	business	entrance	(קומט אויין)	(קומט אריין)	זלמן: (קומט אריין) וַוייסְט דִיד אִיך בּין הייַנט גֶעווֶעהְן גֶעשׁטֶערְט בּיים
Di_seyder_nakht_Emkroyt_1908	30	TextRegion_1649422669725_745l26	type_changed	business	delivery	(ברוגז)	(ברוגז)	שמש: (ברוגז) תּיכּף, וּמיד, (גיבט איהם צו פעררייכערען) דִיא כּלה אִיז נָאך
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete	3	r_2_1_tl_2	deleted	business		(בּויערען)		קאָהר (בּויערען):
AlNaharotBavel-Amkreut&Freund1909	10	r1l10	span_changed	business	business	(בעגייסטערט)	(בעגייסטערט)	נָע וְנָד אִין דֶער פְרֶעמְד ווִי בֶּעטְלֶער (בעגייסטערט) אוֹיף מַיין פָאלְק!
AlNaharotBavel-Amkreut&Freund1909	10	r1l24	deleted	business		(פאקט איהם)		אֵיין פֶערְאַכטְעֶטֶער מָסוּר (פאקט איהם) נֵיין, נֵיין! דוּ גֶעהסְט קֵיין
AlNaharotBavel-Amkreut&Freund1909	10	r1l24	added		business		(פאקט איהם)	אֵיין פֶערְאַכטְעֶטֶער מָסוּר (פאקט איהם) נֵיין, נֵיין! דוּ גֶעהסְט קֵיין
AlNaharotBavel-Amkreut&Freund1909	10	line_1649540118332_5735	span_changed	business	business	(צו זמרי)	(צו זמרי)	אליקים: (בעגייסטערט) אָמֵן! אָמֵן! אָמֵן! אוּן לְחַיִים יוּדֶען! (צו זמרי) נִישְׁט
AlNaharotBavel-Amkreut&Freund1909	11	r1l17	span_changed	business	business	(קוקט צום הימעל פערקלעהרט)	(קוקט צום הימעל פערקלעהרט)	הענד צום געזיכט) מַיין פָאלְק! (קוקט צום הימעל פערקלעהרט) דָאךְ נֵיין!
AlNaharotBavel-Amkreut&Freund1909	11	r1l13	deleted	exit		(אב)		אַ מְשוּמָד וֶועל אִיךְ אַייךְ דִיענֶען! (אב)
AlNaharotBavel-Amkreut&Freund1909	11	r1l13	added		exit		(אב)	אַ מְשוּמָד וֶועל אִיךְ אַייךְ דִיענֶען! (אב)
AlNaharotBavel-Amkreut&Freund1909	11	r1l16	span_changed	business	business	(וויינט, לעגט די	(וויינט, לעגט די	פֶערְדֶערְבֶּער אוּן דַיינֶע פֶערְנִיכְטֶער שְׁטַאמֶען אוֹיס דִיר (וויינט, לעגט די
KidushHashem	7	r3l11	span_changed	delivery	delivery	(זיגנענד)	(זיגנענד)	טאביאס (זיגנענד): עֶס לֶעבֶּע אִיזרַאעֶל, אוּנְזֶער גְרוֹיסֶער הֶעלְד!...
KidushHashem	7	r3l46	span_changed	delivery	delivery	(אפארט)	(אפארט)	טאביאס (אפארט): הֶערְסְטוּ, דָאס פְרֶעג אִיךְ טַאקִי אוֹיךְ!
