play	page	line_id	offset	mark	function	role	n	existing_tags	flag	line_text
MS_Emigration	0005	r1l9	6	קאהר	musicCue	genre		speaker		RII N קאהר דער שעהנער זאממער
MS_Emigration	0012	r1l9	0	N2	musicCue	number	2	del,stage		N2 (מען הערט מאריץ מיט ראשעל זינגען איין דועט)
MS_Emigration	0018	r1l8	0	N 3	musicCue	number	3	textStyle		N 3 (דועט)
MS_Emigration	0022	r1l1	0	N4	musicCue	number	4	stage		N4
MS_Emigration	0025	line_1653485325706_1703	0	RI	musicCue	in		stage		RI סאנו
MS_Emigration	0025	r1l11	0	RII	musicCue	out		speaker,stage		RII .אננא וועה איז מיר וויא איזט מיין קינד מיין ראשעל
MS_Emigration	0026	r1l2	0	RI	musicCue	in		stage		RI
MS_Emigration	0026	line_1653485611216_1761	0	N 5	musicCue	number	5	stage		N 5
MS_Emigration	0026	r1l7	0	RII	musicCue	out		stage		RII
MS_Emigration	0030	r1l5	44	N6	musicCue	number	6	stage		שטענדיג מיט מיר. וואלען וויר בייטען פאר דיא N6 (דועט) (אב)
MS_Emigration	0030	line_1653486216865_2179	0	N7	musicCue	number	7	speaker,stage,textStyle		N7 ירוחם לעדיג לעם
MS_Emigration	0042	r1l18	0	N8	musicCue	number	8	stage		N8
MS_Emigration	0043	r1l2	11	N9	musicCue	number	9	textStyle		זשאנדארמען N9
MS_Emigration	0046	r1l5	0	RII	musicCue	out		stage		RII
MS_Emigration	0047	r1l14	0	RII	musicCue	out		stage		RII
MS_Emigration	0048	r1l3	0	N 10	musicCue	number	10	head,stage		"N 10 (דריטטער אקט (קאפפע הויז אין קס""פל"
MS_Emigration	0057	r1l9	0	RI	musicCue	in		stage		RI
MS_Emigration	0057	r1l19	51	RII	musicCue	out		speaker,stage		קעלנער (שטיל צו שפינער) לאסט איהם פאראויס געהן (אב RII
MS_Emigration	0058	r1l4	29	RII	musicCue	out		stage		מאריץ (ליעגענד אויף דער ערד) RII
MS_Emigration	0062	r1l12	0	RI	musicCue	in		stage		RI
MS_Emigration	0062	r1l21	0	RII	musicCue	out		stage		RII אבדול פאליצייא
MS_Emigration	0080	line_1653496784610_5941	31	כער	musicCue	genre		stage		IRet דיך אונד האססע דיך צו גלייכער צייט (איך ליעבע
MS_Emigration	0080	r1l12	0	N12	musicCue	number	12	stage,textStyle		N12 II Ret. (אזוי פיעל לערם)
MS_Emigration	0094	line_1653499353424_339	0	II Returnel	musicCue	out		stage		II Returnel RII
