current_official_name,name_1945_1991,name_1918_1939,name_pre_1918,region,north_latitude,east_longitude,km_from,dir_from,nearest_major_city,yiddish_transcription,born_there_yiddish,yiddish_name,country,lat_dec,lon_dec,_parent_resolved,_match_status,_match_method,_grade,_confidence,_sound_match,_flags,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
Łódź (P),,,Lodz (R),Congress Poland,51° 45',19° 29',,,,/LODZh/,"יעקבֿ אָבאַזשאַנעק, יאַנקל אַדלער, ישׂראל אַדלער, מרים אולינאָווער, אַחינועם, וואָלף ה. איוואַן, געצל אײַזנער, שמעון אײַנהאָרן, יהושע אינפֿעלד, הירש אַלבוס, אַהרן אַלפּערין, לייבעלע אָלשאַניעצקי, מאַריאַ אָקון (גאָלדבערג), אַהרן־זאבֿ אשכּולי, שבתי באַבאַד, זישע באַגיש, זאבֿ באַומגאָלד, טובֿיה באָזשיקאָווסקי, אלי באַרוכין, י.ש. בונין, פּיניע בוקסהאָרן, חיים־יאַנקל בזשוסטאָווסקי, דוד בייגעלמאַן, שרה בירנבוים, שלמה בלאַט, משה בלייכמאַן, משה בלײַשטיפֿט, ישׂראל בעלכאַטאָווסקי, שמואל בענעט, ק. בענעק, י.־ל. בער, אַהרן בערגמאַן, ליפּמאַן בערגמאַן, יעקבֿ בערלינער, יצחק בערלינער, ל. בערנאַרד, תּנחום בערנשטיין, לייב בערקנוואַלד, שלמה בראָמבערג, יהושע ברוידע, יצחק־איטשל ברוינער, יוסף ברומבערג, חיים יעקבֿ בריסטאָווסקי, זאבֿ־וואָלף ברעסלער, אַרטור גאַביד, מרדכי־יוסף גאָטהאַרד, ווילי גאָטליב, מאַרי גאָלד, זאבֿ גאָלדבערג, משהל גאָלדבערג, פּנחס גאָלדהאַר, יוסף־שמעון גאָלדשטיין, אַבֿרהם גאָפֿלאַט, פֿײַוול (פֿעליקס) גאָרפֿינקעל, רבֿקה גווירצמאַן, מאיר־בער גוטמאַן, נאָטע גוטער, פּרץ גוטערמאַן, ישׂראל גיטעלסאָן, מאַרעק גינזבערג, שׁמחה־בונעם גליקסמאַן, רישע געדולד, אַלטער געלב, סט.?? געלבאַרד, מענדל געלבאַרט, יאָסל גערשבערג, יהודה־לייב גערשט, גרשון גראָסמאַן, ישׂראל־ברוך גרונדמאַן, הינדאַ?? גרין־נײַמאַן, בן־ציון גרינבוים, מרדכי־מענדל גרינוואַלד, משה דונקעלרויט, חנן דזשעוויעצקי, אַריה־לייב האָלענדערסקי, מאיר האַלפּערן, עמנואל האַמבורסקי, זישע האָניק, אסתּר־רויזע הײַטנער, שמעון הייליק, פּנחס וועלנער, טובֿיה העכט, משה־יהודה העלמאַן, אפֿרים־פֿישל הערצבערג, ישׂראל־יאַנקל הערשענבוים, רבֿקה וואָיסקאָווסקי (שינדער), עמנואל וואָלינסקי, רחל וואָלינסקי, משה וואָלמאַן, יחיאל וואַרענרײַך, שמואל ווהײַט, דוד ווײַנריב, שׂמחה ווײַנשטאָק, יצחק־יעקבֿ ווײַסוואָהל, יוסף ווייצמאַן, יעקבֿ ווינטער, אַהרן־דניאל ווינער, זאבֿ ווינער, ישׂראל וועלנער, פּנחס זאָנענבערג, הערש־מאיר זילבערבערג, נתן זילבערצווײַג, דוד־הערש זילבערשטיין, ישׂראל טאַבאַקסבלאט, מרדכי טאַראַדײַקע, סעמיועל?? (שמואל) טאָרנבערג, אַהרן טהאָרן, חיים טורנער, אַבֿרהם טענענבוים־אַרזי, מענדל טערקעלטויב, טשאַפּסקי, יונה בן דבֿ טשעכאַנאָווסקי, אַבֿרהם טשערכאָווסקי, אַבֿרהם יאָאַכימאָוויטש, שמעון יאַנאָווסקי, חנה יאַקובאָוויטש, יהודה יאַקובאָוויטש, פּנחס־משה כּץ (מאָריס קאַץ), יקותיאל כוואַט, אַהרן לאַנגלעבען, שמואל־דוד לאַסקי, ישׂראל־שמעון לובלינער, יוסף לוי, מלכּיאל לוסטערניק, ברוך־נתן ליבעסקינד, שלמה לידער, אַבֿרהם־מרדכי לייב, ישׂראל לייזעראָוויטש, וו. לײַכטער, שלמה ליכטענבערג, יצחק ליעקבֿ אָבאַזשאַנעק, יאַנקל אַדלער, ישׂראל אַדלער, מרים אולינאָווער, אַחינועם, וואָלף ה. איוואַן, געצל אײַזנער, שמעון אײַנהאָרן, יהושע אינפֿעלד, הירש אַלבוס, אַהרן אַלפּערין, לייבעלע אָלשאַניעצקי, מאַריאַ אָקון (גאָלדבערג), אַהרן־זאבֿ אשכּולי, שבתי באַבאַד, זישע באַגיש, זאבֿ באַומגאָלד, טובֿיה באָזשיקאָווסקי, אלי באַרוכין, י.ש. בונין, פּיניע בוקסהאָרן, חיים־יאַנקל בזשוסטאָווסקי, דוד בייגעלמאַן, שרה בירנבוים, שלמה בלאַט, משה בלייכמאַן, משה בלײַשטיפֿט, ישׂראל בעלכאַטאָווסקי, שמואל בענעט, ק. בענעק, י.־ל. בער, אַהרן בערגמאַן, ליפּמאַן בערגמאַן, יעקבֿ בערלינער, יצחק בערלינער, ל. בערנאַרד, תּנחום בערנשטיין, לייב בערקנוואַלד, שלמה בראָמבערג, יהושע ברוידע, יצחק־איטשל ברוינער, יוסף ברומבערג, חיים יעקבֿ בריסטאָווסקי, זאבֿ־וואָלף ברעסלער, אַרטור גאַביד, מרדכי־יוסף גאָטהאַרד, ווילי גאָטליב, מאַרי גאָלד, זאבֿ גאָלדבערג, משהל גאָלדבערג, פּנחס גאָלדהאַר, יוסף־שמעון גאָלדשטיין, אַבֿרהם גאָפֿלאַט, פֿײַוול (פֿעליקס) גאָרפֿינקעל, רבֿקה גווירצמאַן, מאיר־בער גוטמאַן, נאָטע גוטער, פּרץ גוטערמאַן, ישׂראל גיטעלסאָן, מאַרעק גינזבערג, שׁמחה־בונעם גליקסמאַן, רישע געדולד, אַלטער געלב, סט.?? געלבאַרד, מענדל געלבאַרט, יאָסל גערשבערג, יהודה־לייב גערשט, גרשון גראָסמאַן, ישׂראל־ברוך גרונדמאַן, הינדאַ?? גרין־נײַמאַן, בן־ציון גרינבוים, מרדכי־מענדל גרינוואַלד, משה דונקעלרויט, שמעון דזשיגאַן, חנן דזשעוויעצקי, אַריה־לייב האָלענדערסקי, מאיר האַלפּערן, עמנואל האַמבורסקי, זישע האָניק, אסתּר־רויזע הײַטנער, שמעון הייליק, פּנחס וועלנער, טובֿיה העכט, משה־יהודה העלמאַן, אפֿרים־פֿישל הערצבערג, ישׂראל־יאַנקל הערשענבוים, רבֿקה וואָיסקאָווסקי (שינדער), עמנואל וואָלינסקי, רחל וואָלינסקי, משה וואָלמאַן, יחיאל וואַרענרײַך, שמואל ווהײַט, דוד ווײַנריב, שׂמחה ווײַנשטאָק, יצחק־יעקבֿ ווײַסוואָהל, יוסף ווייצמאַן, יעקבֿ ווינטער, אַהרן־דניאל ווינער, זאבֿ ווינער, ישׂראל וועלנער, פּנחס זאָנענבערג, הערש־מאיר זילבערבערג, נתן זילבערצווײַג, דוד־הערש זילבערשטיין, ישׂראל טאַבאַקסבלאט, מרדכי טאַראַדײַקע, סעמיועל?? (שמואל) טאָרנבערג, אַהרן טהאָרן, חיים טורנער, אַבֿרהם טענענבוים־אַרזי, מענדל טערקעלטויב, טשאַפּסקי, יונה בן דבֿ טשעכאַנאָווסקי, אַבֿרהם טשערכאָווסקי, אַבֿרהם יאָאַכימאָוויטש, שמעון יאַנאָווסקי, חנה יאַקובאָוויטש, יהודה יאַקובאָוויטש, פּנחס־משה כּץ (מאָריס קאַץ), יקותיאל כוואַט, אַהרן לאַנגלעבען, שמואל־דוד לאַסקי, ישׂראל־שמעון לובלינער, יוסף לוי, מלכּיאל לוסטערניק, ברוך־נתן ליבעסקינד, שלמה לידער, אַבֿרהם־מרדכי לייב, ישׂראל לייזעראָוויטש, וו. לײַכטער, שלמה ליכטענבערג, יצחק ליפּסקי, חיה־הינדע לעווי־ליסנער, באָלעסלאַוו (ברוך) לעווין, לייזער לעווין, אַבֿרהם לעווינסאָן, ישׂראל לעווענטאַל, מאַלאַשאַ מאַלי, יעקבֿ מאַנדעלבוים, אַהרן מאַנספֿעלד, יעקבֿ מיטלער, אַבֿרהם מײַזלס, משה מײַזעל, אַהרן מייערשטיק (אַ. מיק), פּרץ מילאַקאָווסקי, שמואל מילמאַן, בנימין מינץ, רחל מינץ־ליפּשטיין, דוד מלכי, צפּורה נאָכומאָוו־קאַצענעלסאָן, יחיאל־מאיר בן־אַבֿרהם סאָכאַטשעווסקי, אַבֿרהם סקורניק, סערגיי נוטקעוויטש, אליהו נײַגאָלדבערג, משה נעלקען, משה סאַנעק, נחמן סילאַנסקי, נחמה עפּשטיין, משה עקשטיין, איטשע־מאיר פּאָזנאַנסקי, שלום פּאַטראָן, אַבֿרהם פּאַטשאָרעק, יעקבֿ פּאַלאַטיצקי, יוסף־בער פּאָפּאָווסקי, שמואל פּאַצאַנאָווסקי, י. פּאַרסקי, בער פּאָרעצקי, משה פּולאַווער, איטשע־מאיר פּליאָט, אַבֿרהם פּערלמוטער, יונה פּרוזשינאָווסקי, חיים־לייב פֿוקס, נתן פֿײַנקינד, חיים־נתן פֿישערמאַן, משה פֿלאַמבוים, פֿישל פֿלאַסקער, דוד פֿעפֿער, שלמה פֿראַנק, משה פֿריד, אַדעלע פֿרידמאַן, לייבל פֿרידמאַן, יוסף פֿרידענזאָן, וויקטאָר פֿרישמאַן, גדליה פֿרענקעל, יחיאל צווערגינסקי, (יחיאל־)משה ציטרינאָווסקי, הײַנריך (שלום־צבֿי) צימערמאַן, געצל־יונה ציעכאַנאָווסקי, אַבֿרהם־פּנחס ציקערט, יעקבֿשמואל צענדאָרף, שושנה קאַהאַן, מענדל קאָכאַנסקי, הענעך קאָן, זישע קאַץ, פּנחס קאַץ, וואָלף קאַרמיאָל, יונה קאָרקושטאַנסקי, רבֿקה קוויאַטקאָווסקי־פּנחסיק, יוחנן קיהן, יעקבֿ־מתּתיהו קירשבוים, אַלכּסנדר קלוגמאַן, יחיאל־מיכל קעניג, הערש־לייזער קרוי, חיים קרול, אַבֿרהם־מרדכי ראָגאָוו??, יעקבֿ ראָזענבערג, חוה ראָזענפֿאַרב, שמואל ראָזענשטיין, יוסף ראָטענבערג, יוליוס ראַקאָוו, לעאָן רובינשטיין, יצחק ריבֿקינד, יהודה רײַזנער, מלך שוואַרץ, ישׂראל שומאַכער, י.ד. שיניאַק, אלימלך שמולאָוויטש, אפֿרים־זעליק שמולעוויטש, חיים שמולעוויטש, פּנחס שמײַסער, צבֿי שנער, ישעיה שפּיגל, שמעון שפּיגליפּסקי, חיה־הינדע לעווי־ליסנער, באָלעסלאַוו (ברוך) לעווין, לייזער לעווין, אַבֿרהם לעווינסאָן, ישׂראל לעווענטאַל, מאַלאַשאַ מאַלי, יעקבֿ מאַנדעלבוים, אַהרן מאַנספֿעלד, יעקבֿ מיטלער, אַבֿרהם מײַזלס, משה מײַזעל, אַהרן מייערשטיק (אַ. מיק), פּרץ מילאַקאָווסקי, שמואל מילמאַן, בנימין מינץ, רחל מינץ־ליפּשטיין, דוד מלכי, צפּורה נאָכומאָוו־קאַצענעלסאָן, יחיאל־מאיר בן־אַבֿרהם סאָכאַטשעווסקי, אַבֿרהם סקורניק, סערגיי נוטקעוויטש, אליהו נײַגאָלדבערג, משה נעלקען, משה סאַנעק, נחמן סילאַנסקי, נחמה עפּשטיין, משה עקשטיין, איטשע־מאיר פּאָזנאַנסקי, שלום פּאַטראָן, אַבֿרהם פּאַטשאָרעק, יעקבֿ פּאַלאַטיצקי, יוסף־בער פּאָפּאָווסקי, שמואל פּאַצאַנאָווסקי, י. פּאַרסקי, בער פּאָרעצקי, משה פּולאַווער, איטשע־מאיר פּליאָט, אַבֿרהם פּערלמוטער, יונה פּרוזשינאָווסקי, חיים־לייב פֿוקס, נתן פֿײַנקינד, חיים־נתן פֿישערמאַן, משה פֿלאַמבוים, פֿישל פֿלאַסקער, דוד פֿעפֿער, שלמה פֿראַנק, משה פֿריד, אַדעלע פֿרידמאַן, לייבל פֿרידמאַן, יוסף פֿרידענזאָן, וויקטאָר פֿרישמאַן, גדליה פֿרענקעל, יחיאל צווערגינסקי, (יחיאל־)משה ציטרינאָווסקי, הײַנריך (שלום־צבֿי) צימערמאַן, געצל־יונה ציעכאַנאָווסקי, אַבֿרהם־פּנחס ציקערט, יעקבֿשמואל צענדאָרף, שושנה קאַהאַן, מענדל קאָכאַנסקי, הענעך קאָן, זישע קאַץ, פּנחס קאַץ, וואָלף קאַרמיאָל, יונה קאָרקושטאַנסקי, רבֿקה קוויאַטקאָווסקי־פּנחסיק, יוחנן קיהן, יעקבֿ־מתּתיהו קירשבוים, אַלכּסנדר קלוגמאַן, יחיאל־מיכל קעניג, הערש־לייזער קרוי, חיים קרול, אַבֿרהם־מרדכי ראָגאָוו??, יעקבֿ ראָזענבערג, חוה ראָזענפֿאַרב, שמואל ראָזענשטיין, יוסף ראָטענבערג, יוליוס ראַקאָוו, לעאָן רובינשטיין, יצחק ריבֿקינד, יהודה רײַזנער, מלך שוואַרץ, י.ד. שיניאַק, אלימלך שמולאָוויטש, אפֿרים־זעליק שמולעוויטש, חיים שמולעוויטש, פּנחס שמײַסער, צבֿי שנער, ישעיה שפּיגל, שמעון שפּיגל",לאָדזש,Poland,51.7500,19.4833,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,179,Łódź (Poland),לודז' (פולין),1.1,179
Lubień Kujawski (P),,,,Congress Poland,52° 24',19° 10',70,NNW,Łódź,/LIBIN/ (stress?),"אַבֿרהם וואַסערצוג, זלמן וואַסערצוג, (דוד־)שמשון ערדבערג",ליבין,Poland,52.4000,19.1667,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,10157,Liévin (France),ליבין (צרפת),1155.1,10157
Lublin (P),,,,Congress Poland,51° 14',22° 34',,,,/LUBLI:'N/,"מאָריס בלומענשטאָק, יוסף־שלמה גלאַטשטיין, יעקבֿ גלאַטשטיין, יחיאל גראַנאַטשטיין, שמואל גרינצווײַג, חיים ישעיה הכּהן האַלבערסבערג, ברוך הערמאַנאָוויטש, יוסף הערנהוט, שלמה הערשענהאָרן, שמעון וואָלצאָנעק, יעקבֿ וואַקסמאַן, הירש ווראָנע, משה יונגשטיין, בנימין לובעלסקי, גרשון לעווין, הערש לעווקאָוויטש, מרדכי לערמאַן, בעלאַ מאַנדעלסבערג, יצחק מײַסקי־צימערמאַן, שלמה־ברוך ניסענבוים, לוי ניעמצעוויטש, הענריק (הערש־וואָלף) ערליך, רוזשאַ פֿישמאַן־שנײַדמאַן, עובֿדיה פֿעלד, יזחקאל פֿעלדמאַן, אַבֿרהם פֿרידמאַן, אַבֿרהם צימערמאַן, אַבֿרהם קליינמאַן, אַבֿרהם ראָזענבערג, ישׂראל ראָזענבערג, נתן שוואַלבע, דוד שטאָקפֿיש, שלמה שטאָקפֿיש, יהושע שפּעטמאַן,",לובלין,Poland,51.2333,22.5667,,name_exact,coords,B_review,0.85,True,,7264,Lublin (Poland : Voivodeship),לובלין (פולין : מחוז),0.0,174|7264
Międzyrzec Podlaski (P),,,,Congress Poland,51° 59',22° 47',80,NNE,Lublin,/MEZRI'TSh/,"מאיר אידעלבוים, יהודה־דוד אײַזענשטיין, פּ. בנאַביב, משה בעקערמאַן, נפֿתּלי (אַנאַטאָל) געלבערג, אַבֿרהם געלמאַן, יוסף האָרן, מנשה הימעלשײַן, משה זובערמאַן, אָשר זילבערשטיין, אַבֿרהם־יצחק טריוואַקס, אַלכּסנדר־זיסקינד כּהן, לייב לעוו, בת־שבֿע מאַסטבוים, יואל מאַסטבוים, מאיר עדעלבוים, ס. פּאַלמע, משה פֿײַגענבוים, יעקבֿ פֿעלדרײַז, לייב פֿרידמאַן, ש. (ליטמאַן־געלטגסמאַן) פֿרייליך, דוד רויטענבערג, אַבֿרהם ריינווײַן",מעזריטש,Poland,51.9833,22.7833,,name_exact,coords,B_review,0.85,True,,223,Międzyrzec Podlaski (Poland),מזריץ' (פולין),1.1,223|19737
Sejny (P),,,,Congress Poland,54° 6',23° 21',110,N,Białystok,/SEyNI'?/,־־,סייני,Poland,54.1000,23.3500,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,18856,Sejny (Poland),סיני (פולין),0.0,18856
Stawiski (P),,,,Congress Poland,53° 23',22° 10',70,NW,Białystok,/STAVISK/,"זעליק ברושי־בזאָסטאָוויעצקי, מרדכי גראַניט, חיים גרענט, זלמן־לייב הירשפֿעלד, פּסח קאַפּלאַן, אַהרן־וואָלף ראַבינאָוויטש",סטאַוויסק,Poland,53.3833,22.1667,,name_exact,coords,B_review,0.85,True,,23885,Stawiski (Poland),סטויסק (פולין),0.9,20711|23885
Uherce (Mineralne) (P),,,,west Galicia,49° 28',22° 24',70,SSE,Rzeszów,/ORITs/,--,אָריץ,Poland,49.4667,22.4000,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,20568,Haṛich (Armenia),אריץ' (ארמניה),1953.3,20568
,,,,Congress Poland,,,,,near Warszawa,/PROShKE/?,שניאור וואַסערמאַן,פּראָשקע,,,,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,20945,Praszka (Poland),פראשקה (פולין),,20945
Bakshty (Br),Bakshty (R),Bakszty (P),,western Belarus,53° 56',26° 11',80,W,Minsk?,/BAKShT/,--,באַקשט,Belarus,53.9333,26.1833,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,17140,Shchuchyn (Belarus),שצ'וצ'ין (בלארוס),101.5,17140
Haradzishcha (Br),Gorodishche (R),,,eastern Belarus,?,,15,NE,Minsk?,/HORODI'ShTSh/,־־,האָראָדישטש,Belarus,,,country=Belarus,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,20620,"Horodok (Lut︠s︡ʹkyĭ raĭon, Ukraine)",האראדישטש (אוקראינה),,20620
Lida (Br),Lida (R),Lida (P),Lida (R),western Belarus,53° 53',25° 18',95,ENE,Hrodna,/LIDE/,"מיכל איווענסקי, ב. גאָרין, אב""י עפּשטיין, ס. פֿײַנשטאָון, שלמה־ז[למן?] רובין",לידע,Belarus,53.8833,25.3000,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,130,Lida (Belarus),לידה (בלארוס),1.4,130
Lyady? (Br),Lyady (R),,,eastern Belarus,54° 36',31° 10',80,SE,Vitsebsk,/LyADI'/,"ז.י. אָנכי, שניאור־זלמן אָסיפּאָוו, יצחק ברײַנין, ראובֿן ברײַנין, זלמן סאָרקין, משה ערעם, אַלכּסנדר־זיסקינד ראַבינאָוויטש",ליאַדי,Belarus,54.6000,31.1667,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,21831,Lyady (Belarus),ליאדי (בלארוס),0.2,21831
Parechcha (Br),Porech'ye (R),Porzecze (P),,western Belarus,53° 53',24° 8',25,NE,Hrodna,/PORETSh/ (stress?),לייב באָראָוויק,פּאָרעטש,Belarus,53.8833,24.1333,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,7689,Parichi (Belarus),פריצ'י (בלארוס),370.6,7689
Ula (Br),Ulla (R),,,eastern Belarus,55° 14',29° 15',55,W,Vitsebsk,/ULE/,־־,אולע,Belarus,55.2333,29.2500,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,23599,Ula (Belarus),אולע (בלארוס),1.1,23599
Luokė (Li),,,Lukniki (R),northern Lithuania,55° 53',22° 31',45,W,Šiauliai,/LUKNIK/,--,לוקניק,Lithuania,55.8833,22.5167,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,19571,Luokė (Lithuania),לוקניק (ליטא),1.3,19571
Šėta (Li),,,Shaty? (R),northern Lithuania,55° 17',24° 15',40,NNE,Kaunas,/ShAT/,"בנימין זיוו, יב""א זיוו, מרדכי מנוס מאָנאַסאָוויטש, אפֿרים קאַפּלאַן, יוסף קולטשיק (איין שטאָט)?",שאַט,Lithuania,55.2833,24.2500,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,23620,Šėta (Lithuania),שטא (ליטא),0.4,23620
Utėna? (Li),,,Utyany? (R),northern Lithuania,55° 30',25° 36',80,ESE,Panevėžys,/UTYyA'N/,"אַהרן ברעסטאָוויצקי, יעקבֿ־מאיר לערינמאַן",אוטיאַן,Lithuania,55.5000,25.6000,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,15716,Utena (Lithuania),אוטין (ליטא),0.0,15716
Bacǎu (Rm),,,,Old Romania,46° 34',26° 54',80,SSW,Iaşi,/BAKOu/,יעקבֿ סאָטעק (שותּק),באַקוי,Romania,46.5667,26.9000,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,566,Bacău (Romania),בקאו (רומניה),2.2,566
Galaţi (Rm),,,,Old Romania,45° 27',28° 3',170,NE,Bucureşti,/GALITs/,"אַבֿרהם ווערמאָנט, ישׂראל מאַרגוליעס",גאַליץ,Romania,45.4500,28.0500,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,14703,Galich (Russia),גאליץ' (רוסיה),1732.9,14703
Paşcani (Rm),,,,Old Romania,47° 15',26° 44',60,W,Iaşi,/PAShKO'?N/,אַהרן־מתּתהיו פֿרידמאַן,פּאַשקאַן,Romania,47.2500,26.7333,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,23554,"Pasichna (Kiev, Ukraine)","פאשקאן (קייב, אוקראינה)",,23554
Tăşnad (Rm),,,Tasnád (H),Transylvania,47° 29',22° 35',110,NW,Cluj-Napoca,/TOShNAD/,־־,טאָשנאַד,Romania,47.4833,22.5833,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,22774,Tasnad (Romania),טשנד (רומניה),0.7,22774
Győr (H),,,[Raab (G)],,47° 41',17° 38',95,W,Budapest,/RA:B/,--,ראַב,Hungary,47.6833,17.6333,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,8252,Győr (Hungary),גיור (הונגריה),0.1,8252
Râşcani (Rm),Ryshkany (R),Râşcani (Rm),Ryshkany (R),central Bessarabia,47° 58',27° 33',30,NW,Bălți,/RIShKO'N/,"ברוך מילער, אליעזר קראַסקאָף",רישקאַן,Romania,47.9667,27.5500,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,26721,Rîșcani (Moldova),רישקאן (מולדובה),4.5,26721
Praha (Cz) [Prague (E)],,,Prag (G),,50° 5',14° 28',,,,"/PROG, PRUG/",---,פּראָג,,50.0833,14.4667,,name_exact,coords,B_review,0.85,True,,638,Prague (Czech Republic),פראג (צ'כיה),3.3,638|22883
Třešť (Cz),,,?,,49° 18',15° 29',75,W,Brno,/TRIShT/,---,טרישט,Czech Republic,49.3000,15.4833,,name_exact,name_exact,B_review,0.95,False,phonetic_mismatch,9155,Třešt̕ (Czech Republic),טרסט (צ'כיה),1.0,9155
