attestation_id,source_corpus,source_record_id,org_db_id,source_field,context,source_value,source_value_script,link_status,qid,label_en,label_yi,place_type,category,kima_id,kima_rom,kima_heb,lat,lon,maaty_qid,maaty_qid_conflict,rejected_qid,relink_source,suggested_qid,suggested_english,is_descriptor,review_flags,link_method
P-4-facs_207_tr_1754998369#province#2,person,4-facs_207_tr_1754998369,,province,burial,קאַליפֿאָרניע,hebrew,linked,Q99,California,קאליפארניע,U.S. state,province,7652,California,קליפורניה,37.0,-120.0,,,,,,,,,
P-4-facs_249_tr_1754998575#place#1,person,4-facs_249_tr_1754998575,,place,burial,בית עולם פֿון יידישן סאָציאַליסטישן פֿאַרבאַנד,hebrew,needs_review,Q2341172,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,1692,West Bank,גדה מערבית,,,,,,,,,,place_province_mismatch,
P-4-facs_249_tr_1754998575#province#1,person,4-facs_249_tr_1754998575,,province,burial,ניו-דזשוירזי,hebrew,linked,Q1408,New Jersey,ניו זשערסי,U.S. state,province,8821,New Jersey,ניו ג'רזי,,,,,,,,,,,
P-4-facs_264_tr_1754998383#place#1,person,4-facs_264_tr_1754998383,,place,burial,פֿילאַדעלפיע,hebrew,linked,Q1345,Philadelphia,פילאדעלפיע,"city of Pennsylvania, county seat, home rule municipality of Pennsylvania, consolidated city-county",settlement,408,Philadelphia (Pa.),פילדלפיה (פנסילבניה),39.952778,-75.163611,,,,,,,,,
P-4-facs_270_tr_1754998435#place#1,person,4-facs_270_tr_1754998435,,place,burial,ניו יאָרק,hebrew,linked,Q60,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,32,New York (N.Y.),ניו יורק (נ.י.),40.712778,-74.006111,,,,,,,,,
P-4-facs_274_tr_1754998428#place#1,person,4-facs_274_tr_1754998428,,place,burial,בית עולם פֿון די יידישע טעאַטריקל עלייענס,hebrew,linked,Q2341172,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,1692,West Bank,גדה מערבית,,,,,,,,,,,
P-4-facs_274_tr_1754998431#place#1,person,4-facs_274_tr_1754998431,,place,burial,וואַשינגטאָן בית-עולם,hebrew,linked,Q7971720,Washington Cemetery,,Jewish cemetery,cemetery,,,,,,,,,,,,,,
P-4-facs_278_tr_1754998432#place#1,person,4-facs_278_tr_1754998432,,place,burial,בית עולם פון די יידישע טעאַטריקל עלייענס,hebrew,linked,Q2341172,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,1692,West Bank,גדה מערבית,,,,,,,,,,,
P-4-facs_279_tr_1754998502#place#1,person,4-facs_279_tr_1754998502,,place,burial,הר-חברון בית עולם,hebrew,linked,Q2341172,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,1692,West Bank,גדה מערבית,,,,,,,,,,,
P-4-facs_322_tr_1754998441#place#1,person,4-facs_322_tr_1754998441,,place,burial,ניו יאָרק,hebrew,linked,Q60,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,32,New York (N.Y.),ניו יורק (נ.י.),40.712778,-74.006111,,,,,,,,,
P-4-facs_323_tr_1754998450#place#1,person,4-facs_323_tr_1754998450,,place,burial,בית עולם פֿון דער מאָגעלניצער סאָסייעט אין ריטשמאַנד,hebrew,linked,Q2341172,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,1692,West Bank,גדה מערבית,,,,,,,,,,,
P-4-facs_342_tr_1754998516#place#1,person,4-facs_342_tr_1754998516,,place,burial,בית עולם פון „אַרבייטער רינג‟,hebrew,linked,Q4285547,Mount Carmel Cemetery,,Jewish cemetery,cemetery,,,,,,,,,,,,,,
P-4-facs_351_tr_1754998561#settlement#1,person,4-facs_351_tr_1754998561,,settlement,burial,ניו יאָָרק,hebrew,linked,Q60,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,32,New York (N.Y.),ניו יורק (נ.י.),40.712778,-74.006111,,,,,,,,,
P-4-facs_355_tr_1754998462#place#1,person,4-facs_355_tr_1754998462,,place,burial,בית עולם פֿון די יידישע טעאַטריקל עלייענס,hebrew,linked,Q2341172,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,1692,West Bank,גדה מערבית,,,,,,,,,,,
P-4-facs_381_r#settlement#1,person,4-facs_381_r,,settlement,burial,ניו יאָרק,hebrew,linked,Q60,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,32,New York (N.Y.),ניו יורק (נ.י.),40.712778,-74.006111,,,,,,,,,
P-4-facs_447_tr_1755029922#place#1,person,4-facs_447_tr_1755029922,,place,burial,תל-אביב,hebrew,linked,Q33935,Tel Aviv,תל אביב-יפו,"big city, city council, city",settlement,272,Tel Aviv-Yafo (Israel),תל אביב-יפו (ישראל),32.080000,34.780000,,,,,,,,,
P-4-facs_641_tr_1755030027#place#1,person,4-facs_641_tr_1755030027,,place,burial,בית עולם פון די יידישע טעאַטריקל עלייענס,hebrew,linked,Q2341172,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,1692,West Bank,גדה מערבית,,,,,,,,,,,
P-4-facs_651_tr_1755030219#settlement#1,person,4-facs_651_tr_1755030219,,settlement,burial,נ. י.,hebrew,linked,Q60,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,32,New York (N.Y.),ניו יורק (נ.י.),40.712778,-74.006111,,,,,,,,,
P-4-facs_661_tr_1755030261#country#1,person,4-facs_661_tr_1755030261,,country,burial,אַמעריקע,hebrew,linked,Q30,United States,פאראייניקטע שטאטן פון אמעריקע,"sovereign state, constitutional republic, democratic republic, federal republic, superpower, country, historical unrecognized state",country,6421,United States,ארצות הברית,39.828175,-98.5795,,,,,,,,,
P-4-facs_668_tr_1755029974#place#1,person,4-facs_668_tr_1755029974,,place,burial,לאָס אַנדזשעלעס,hebrew,linked,Q65,Los Angeles,לאס אנדזשעלעס,"charter city, city in the United States, city, global city, metropolis, megacity, business cluster, big city, LGBT sanctuary city",settlement,154,Los Angeles (Calif.),לוס אנג'לס (קליפורניה),34.052230,-118.243680,,,,,,,,,
P-4-facs_672_r_1#place#1,person,4-facs_672_r_1,,place,burial,ניו-יאָרק,hebrew,linked,Q60,New York City,ניו יארק,"global city, port city, city in the United States, city, big city, largest city, city in the state of New York, metropolis, megacity",settlement,32,New York (N.Y.),ניו יורק (נ.י.),40.712778,-74.006111,,,,,,,,,
P-1-facs_206_tr_1741260252#place#1,person,1-facs_206_tr_1741260252,,place,burial,הר-הכרמל,hebrew,linked,Q4285547,Mount Carmel Cemetery,,Jewish cemetery,cemetery,,,,,,,,,,,,,,
P-1-facs_208_tr_1741260252#place#1,person,1-facs_208_tr_1741260252,,place,burial,בית עולם פון די יידישע טעאַטריקל-עליינס,hebrew,linked,Q2341172,Mount Hebron Cemetery,,"cemetery, Jewish cemetery",cemetery,1692,West Bank,גדה מערבית,,,,,,,,,,,
