variant,script,corpora,occurrences,fields,contexts,suggested_qid,suggested_english,is_descriptor,attestation_ids
יידישן מעטראָפּאָליטאָן-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C05012_Q01#venues#1
יידישן נאַציאָנאַלן אַרבעטער-פאַרבאַנד,hebrew,org,1,venues,,,,,O-ORG-C00718_Q01#venues#1
יידישן סטודענטן-פאַראיין,hebrew,org,1,venues,,,,,O-ORG-C01247#venues#1
יידישן סענטער,hebrew,org,1,venues,,,,,O-ORG-C02577#venues#1
יידישן פּאַוויליאָן-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C04032#venues#1
יידישן פּאָוויליאָן-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C04032#venues#2
יידישן פּראָספּעקט-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C06471#venues#1
יידישן פאָלקס-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00840_Q06#venues#1
יידישן קאָמיוניט סענטער,hebrew,org,1,venues,,,,,O-ORG-C02324#venues#1
יידישן קאָמיוניטי סענטער,hebrew,org,1,venues,,,,,O-ORG-C02323#venues#1
יידישן קאָמעדיע-און אָפּערעטעס-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C04529#venues#1
יידישן קונסט טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00180_Q01#venues#4
יידישן קונסט טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00180_Q01#venues#5
יידישן קונסט-טעאטער,hebrew,org,1,venues,,,,,O-ORG-C00180_Q01#venues#7
יידישן קונסטטעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00180_Q02#venues#2
יידישן קינדער-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01333_Q01#venues#2
יידישן פֿאָלקס-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C05348#venues#1
יידישן פֿאָלקסטעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00840_Q03#venues#1
יידישע בינע,hebrew,org,1,venues,,,,,O-ORG-C05581#venues#1
יידישע דראַמאַטישע שול,hebrew,org,1,venues,,,,,O-ORG-C02576_Q02#venues#1
יידישע דרוקעריי,hebrew,org,1,venues,,,,,O-ORG-C02878#venues#1
יידישע וואַריעטע-טעאַטערס,hebrew,org,1,venues,,,,,O-ORG-C01515_Q01#venues#1
יידישע וואָדעוויל-הייזער,hebrew,org,1,venues,,,,,O-ORG-C01542_Q01#venues#1
יידישע וואָדעוויל-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C02474_Q04#venues#1
יידישע וואָרעוויל-הייזער,hebrew,org,1,venues,,,,,O-ORG-C01542_Q01#venues#2
יידישע נאַציאָנאַלע טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C07196#venues#1
יידישע פֿאָלקסשולן,hebrew,org,1,venues,,,,,O-ORG-C02254_Q03#venues#1
יידישע פאָלקס-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00840_Q01#venues#2
יידישע קולטור-געזעלשאַפט,hebrew,org,1,venues,,,,,O-ORG-C01402_Q01#venues#1
יידישע קונסט טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00195_Q01#venues#2
יידישע קונסט-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00195_Q01#venues#3
יידישע פֿאָלקס בינע,hebrew,org,1,venues,,,,,O-ORG-C00095#venues#1
יידישע פֿאָלקס-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00840_Q01#venues#3
יידישע פֿאָלקסשול,hebrew,org,1,venues,,,,,O-ORG-C02254_Q01#venues#1
יידישער אַקטיאָרן יוניאָן,hebrew,org,1,venues,,,,,O-ORG-C00591#venues#1
יידישער אַקטיאָרן-יוניע,hebrew,org,1,venues,,,,,O-ORG-C00384#venues#2
יידישער אַקטיאָרןיוניע,hebrew,org,1,venues,,,,,O-ORG-C00384#venues#3
יידישער בינע אין ווין,hebrew,org,1,venues,,,,,O-ORG-C02629#venues#1
יידישער גאָס,hebrew,org,1,addresses,,,,,O-ORG-C05191#addresses#1
יידישער טעאַטער געזעלשאַפט,hebrew,org,1,venues,,,,,O-ORG-C01326_Q01#venues#1
יידישער טעאַטערגעזעלשאַפֿט,hebrew,org,1,venues,,,,,O-ORG-C01326_Q05#venues#1
יידישער טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01387_Q07#venues#2
יידישער טרופּע,hebrew,org,1,venues,,,,,O-ORG-C05162#venues#3
יידישער טרופּע א'א פֿון מייערסאָן,hebrew,org,1,venues,,,,,O-ORG-C05053#venues#1
יידישער מלוכה-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C02849_Q04#venues#2
יידישער קהלה,hebrew,org,1,venues,,,,,O-ORG-C06284#venues#1
יידישער קונסט טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00160_Q01#venues#2
יידישער קונסט טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00160_Q01#venues#3
יידישער קינסטלער-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C02686#venues#1
יידישער ראַדיאָ,hebrew,org,1,venues,,,,,O-ORG-C01289_Q01#venues#1
יידישער רעגירונגס-שול,hebrew,org,1,venues,,,,,O-ORG-C00494#venues#1
יידישער שול,hebrew,org,1,venues,,,,,O-ORG-C04165_Q01#venues#1
יידישער שול פֿון טשאָצקי,hebrew,org,1,venues,,,,,O-ORG-C06882#venues#1
יידישער שלום-עליכם-אָוונט שול,hebrew,org,1,venues,,,,,O-ORG-C04841#venues#1
"ייוו""א",hebrew,org,1,venues,,,,,O-ORG-C01519#venues#1
ייוו'אַ,hebrew,org,1,venues,,,,,O-ORG-C00067_Q01#venues#2
ייקוט,hebrew,org,1,venues,,,,,O-ORG-C01187#venues#1
יעוורעיסקאָיע קאַזיאָנאָיע אוטשילישטשע,hebrew,org,1,venues,,,,,O-ORG-C05353#venues#1
יעוורעיסקי טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C06517#venues#1
יעל אוניווערזיטעט,hebrew,org,1,venues,,,,,O-ORG-C04606#venues#1
יעקאַטערינאָסלאַווער מוזיק-שול,hebrew,org,1,venues,,,,,O-ORG-C01999#venues#1
"ישיבה „חפץ חיים""",hebrew,org,1,venues,,,,,O-ORG-C02271#venues#1
"ישיבה „לשכת הרבנים""",hebrew,org,1,venues,,,,,O-ORG-C05317#venues#1
"ישיבה „משכן ישראל""",hebrew,org,1,venues,,,,,O-ORG-C07276#venues#1
ישיבות,hebrew,org,1,venues,,,,,O-ORG-C01605#venues#1
ישיבת רבנו יעקב יוסף,hebrew,org,1,venues,,,,,O-ORG-C05208#venues#1
"כאַרקאָוו, יעקאַטערינאָסלאָוו, יעליסאַוועטגראַד, באַקן, מאָסקווע, פּעטערבורג און ריגע",hebrew,org,1,venues,,,,,O-ORG-C04097#venues#1
כאַרקאָווער,hebrew,org,1,venues,,,,,O-ORG-C00433#venues#1
כאַרקאָווער אוניווערזיטעט,hebrew,org,1,venues,,,,,O-ORG-C03268#venues#1
כאַרקאָווער יידישן אַרבעטער-קלוב,hebrew,org,1,venues,,,,,O-ORG-C00451#venues#1
כאַרקאָווער יידישן טעאַטער פֿון אַרבעטער יוגנט,hebrew,org,1,venues,,,,,O-ORG-C03448#venues#1
כאַרקאָווער יידישן מלוכה טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00018#venues#2
כאַרקאָווער יידישן מלוכה-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00018#venues#3
כאַרקאָווער יידישער טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C03478#venues#1
כאַרקאָווער כאָר-שול,hebrew,org,1,venues,,,,,O-ORG-C00460#venues#1
כאַרקאָווער קלוב,hebrew,org,1,venues,,,,,O-ORG-C04839#venues#1
כאַרקאָווער „אונזער ווינקל“,hebrew,org,1,venues,,,,,O-ORG-C00752#venues#4
כאָראָן הירש בית-עולם אין סטעטען איילענד,hebrew,person,1,place,burial,,,,P-1-facs_57_tr_1740521103#place#3
כאָרקאָווער-ניקאָלאַיעווער באַן-ליניע,hebrew,org,1,venues,,,,,O-ORG-C06749#venues#1
כאָרשול,hebrew,org,1,venues,,,,,O-ORG-C03228#venues#1
כהנס גימנאַזיע,hebrew,org,1,venues,,,,,O-ORG-C04291#venues#1
כיטי קאָלעדזש,hebrew,org,1,venues,,,,,O-ORG-C01402_Q01#venues#2
כמיעלנע 9,hebrew,org,1,addresses,,,,,O-ORG-C00447#addresses#2
כמעלניאַ 9,hebrew,org,1,addresses,,,,,O-ORG-C01738#addresses#1
כערסאָנער טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C03606#venues#1
ל. א. יידישן קולטור-קלוב,hebrew,org,1,venues,,,,,O-ORG-C01448#venues#1
ל. א. פאָלקסבינע,hebrew,org,1,venues,,,,,O-ORG-C07430#venues#1
לאַגער,hebrew,org,1,venues,,,,,O-ORG-C01881#venues#1
לאַגער וויזעלבורג,hebrew,org,1,venues,,,,,O-ORG-C04728#venues#1
לאַגער פעלדאַפינג,hebrew,org,1,venues,,,,,O-ORG-C00840_Q01#venues#4
לאַגערן פֿאַר פליכטלינגע,hebrew,org,1,venues,,,,,O-ORG-C01387_Q01#venues#5
לאַנדאָ-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C04797#venues#1
לאַנדויס טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00769#venues#1
לאַנדייל טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C03949#venues#1
לאַנדייל-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C03949#venues#2
לאַנדייל-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00181#venues#1
לאַנדיילטעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00181#venues#2
לאַס פּאַלמאַס טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C07252#venues#1
לאָדושער גרויסן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01011#venues#3
לאָדזער סקאָלאָ-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00579#venues#2
לאָדזער פֿאָלקסבלאַט,hebrew,org,1,venues,,,,,O-ORG-C01306#venues#1
לאָדזשער 'אָפּאָלאַ'-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C02729#venues#1
לאָדזשער 'סקאַלאַ'-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00579#venues#3
לאָדזשער 'סקאָלאַ'-טעאָטער,hebrew,org,1,venues,,,,,O-ORG-C00579#venues#4
לאָדזשער 'פּוילישער טעאַטער',hebrew,org,1,venues,,,,,O-ORG-C02883#venues#1
לאָדזשער 'פילהאַרמאָניע'-זאַל,hebrew,org,1,venues,,,,,O-ORG-C02856#venues#1
לאָדזשער 'פילהאַרמאָניע-טעאַטער',hebrew,org,1,venues,,,,,O-ORG-C02857#venues#1
לאָדזשער גרויסן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01011#venues#4
לאָדזשער גרויסן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01011#venues#5
לאָדזשער גרויסעס טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01104#venues#4
לאָדזשער דייטשער סינאַגאָגע,hebrew,org,1,venues,,,,,O-ORG-C03267#venues#1
לאָדזשער דראָמאָטישן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C05700#venues#1
לאָדזשער טאָליאָ,hebrew,org,1,venues,,,,,O-ORG-C05513#venues#1
לאָדזשער יידישן אַרטיסטן-פֿאַראיין,hebrew,org,1,venues,,,,,O-ORG-C01294#venues#1
לאָדזשער יידישן בית עולם,hebrew,person,1,place,burial,,,,P-4-facs_70_r#place#3
לאָדזשער יידישן דראַמאַטישן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C03677#venues#1
לאָדזשער יידישן דראָמאָטישן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C03677#venues#2
לאָדזשער יידישן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01000#venues#1
לאָדזשער יידישע וואָרעווייל-הייזער,hebrew,org,1,venues,,,,,O-ORG-C02642#venues#1
לאָדזשער סקאָלאָ-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00579#venues#6
לאָדזשער סקאָלאָ-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00106#venues#3
לאָדזשער פּוילישן טעאָטער,hebrew,org,1,venues,,,,,O-ORG-C04356#venues#1
לאָדזשער פילהאַרמאָניע,hebrew,org,1,venues,,,,,O-ORG-C02628#venues#1
לאָדזשער פילהאַרמאָניעטעאַטער,hebrew,org,1,venues,,,,,O-ORG-C03592#venues#1
לאָדזשער צירק,hebrew,org,1,venues,,,,,O-ORG-C04098#venues#1
לאָדזשער צירקבנין,hebrew,org,1,venues,,,,,O-ORG-C05352#venues#1
לאָדזשער קאָלאָסעאום,hebrew,org,1,venues,,,,,O-ORG-C05093#venues#1
"לאָדזשער „סקאַלאַ""-טעאַטער",hebrew,org,1,venues,,,,,O-ORG-C00409_Q01#venues#2
לאָדזשער „סקאָלאַ'-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00579#venues#7
"לאָדזשער „פֿאַראייניקטע טרופּע""",hebrew,org,1,venues,,,,,O-ORG-C02731#venues#1
לאָדזשער פֿאַראייניקטער טרופּע,hebrew,org,1,venues,,,,,O-ORG-C01012#venues#1
לאָדזשער פֿאַרוואַלטונג,hebrew,org,1,venues,,,,,O-ORG-C00108#venues#3
לאָמזשער בית עולם,hebrew,person,1,place,burial,,,,P-6-facs_210_tr_1747928994#place#3
לאָמזשער ישיבה,hebrew,org,1,venues,,,,,O-ORG-C02803#venues#1
לאָנדאָנער,hebrew,org,1,venues,,,,,O-ORG-C03967#venues#1
לאָנדאָנער טעכנישע און קונסט-שול,hebrew,org,1,venues,,,,,O-ORG-C02198#venues#1
לאָנדאָנער יידישן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C04528#venues#1
לאָנדאָנער יידישן פאַווילאָן-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C03967#venues#2
לאָנדאָנער יידישן פֿאָלקס-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01362#venues#1
לאָנדאָנער יידישער טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01110#venues#1
לאָנדאָנער ליריק-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C05651#venues#1
לאָנדאָנער עמפּייר-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C05650#venues#1
לאָנדאָנער פּאַוויליאָן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00556#venues#1
לאָנדאָנער פּאַוויליאָן-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00556#venues#2
לאָנדאָנער פּאַוויליאָן-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00556#venues#3
לאָנדאָנער פּאָוויליאָן-טעאָטער,hebrew,org,1,venues,,,,,O-ORG-C00556#venues#4
לאָנדאָנער פאַוויליאָן-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00005#venues#3
לאָנדאָנער קאָליסעאום טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00978#venues#1
לאָנדיילטעאַטער,hebrew,org,1,venues,,,,,O-ORG-C03949#venues#5
לאָס אַנדזשעלעסער יידישן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C04210#venues#1
לאָקאַל פונם געוועזענעם יידישן אַרטיסטן-פאַריין,hebrew,org,1,venues,,,,,O-ORG-C03071#venues#1
לאָקאָל פון פאַריין,hebrew,org,1,venues,,,,,O-ORG-C00108#venues#4
לאָקאָל פֿון דער אינטערנעשאָנאַל,hebrew,org,1,venues,,,,,O-ORG-C07228#venues#1
לאָרענצאָס רוסישער דראָמאַטישער שול,hebrew,org,1,venues,,,,,O-ORG-C06107#venues#1
"לאדזשער ""גרויסעס טעאַטער""",hebrew,org,1,venues,,,,,O-ORG-C00597#venues#4
לאדזשער 'סקאַלאַ'-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00106#venues#4
לאדזשער גרויסן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01011#venues#6
לאדזשער וויקטאָריאַ-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C04249#venues#1
לאדזשער יידישן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01000#venues#2
לאדזשער סקאַלאַ-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00579#venues#8
לאדזשער סקאלא-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00579#venues#9
לאדזשער פילהאַרמאָניע-זאָל,hebrew,org,1,venues,,,,,O-ORG-C02856#venues#2
לאדזשער צירק-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C06829#venues#1
לאדזשער „פלאַראָטעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01633#venues#1
לבנון בית עולם פונם אַרבעטעררינג,hebrew,person,1,place,burial,,,,P-4-facs_100_r#place#3
לובין־פילם קאָמפּ.,hebrew,org,1,venues,,,,,O-ORG-C05356#venues#1
לובלינער גרויסן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C02261#venues#1
לובלינער יידישן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C03418#venues#1
לובלינער שטאָט-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C05566#venues#1
לוואָווער טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C03607#venues#1
לוואָווער יידישן מלוכה-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C03484#venues#1
לוואָווער יידישן מלוכה-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C03484#venues#2
לוואָווער ראָטהויז,hebrew,org,1,venues,,,,,O-ORG-C03440#venues#1
לוקישקער פּלאַץ,hebrew,org,1,addresses,,,,,O-ORG-C02161_Q02#addresses#1
ליאַ לאָרגמאַנס טרופּע,hebrew,org,1,venues,,,,,O-ORG-C01383#venues#1
ליבאָוויטשער הויף,hebrew,org,1,venues,,,,,O-ORG-C05675#venues#1
ליביןס סטודיע,hebrew,org,1,venues,,,,,O-ORG-C05251#venues#1
ליבערט,hebrew,org,1,venues,,,,,O-ORG-C03903_Q01#venues#1
ליבערט',hebrew,org,1,venues,,,,,O-ORG-C03903_Q01#venues#2
ליבערטי-טעאָטער,hebrew,org,1,venues,,,,,O-ORG-C00592#venues#4
ליבערטן-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00157_Q03#venues#4
לידיק טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C06441#venues#1
ליטמאַן,hebrew,org,1,venues,,,,,O-ORG-C01167_Q01#venues#1
ליטמאַנס פּיפּלס טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00666#venues#1
ליטמאַנס פּיפּלס טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00666#venues#2
ליטמאַנס פּיפּלס-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00666#venues#3
ליטמאַנ׳ס „פּיפּלס טעאַטער“,hebrew,org,1,venues,,,,,O-ORG-C00666#venues#4
ליטעראַטן-פאַריין,hebrew,org,1,venues,,,,,O-ORG-C00558#venues#1
ליטעראַטן-פֿאַריין,hebrew,org,1,venues,,,,,O-ORG-C02640_Q01#venues#2
ליטעראָטן-פֿאַריין,hebrew,org,1,venues,,,,,O-ORG-C02640_Q02#venues#1
לייבאָר טעמפּל,hebrew,org,1,venues,,,,,O-ORG-C00722_Q01#venues#2
לייבאָר לייסעום,hebrew,org,1,venues,,,,,O-ORG-C00155_Q05#venues#1
לייסעאום טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C04387_Q01#venues#1
לייפּציגער אוגיווערזיטעט,hebrew,org,1,venues,,,,,O-ORG-C05708#venues#1
ליליענס ליריק טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C07080#venues#1
ליענפילם,hebrew,org,1,venues,,,,,O-ORG-C03438#venues#1
ליפּצין טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00156#venues#1
"ליפּצין""-טעאַטער",hebrew,org,1,venues,,,,,O-ORG-C00103#venues#12
ליפּצין-טעאַַטער,hebrew,org,1,venues,,,,,O-ORG-C00156#venues#3
ליראַ,hebrew,org,1,venues,,,,,O-ORG-C01367#venues#1
ליריק טעאַַטער,hebrew,org,1,venues,,,,,O-ORG-C01053_Q02#venues#2
ליריקטעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00338_Q02#venues#4
לעאַ פֿאַרבערטס פאַטאָגראַפֿישן אַטעליע,hebrew,org,1,venues,,,,,O-ORG-C02656#venues#1
לעטישן מלוכה-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C07378#venues#1
לעיבאָר אינסטיטוט,hebrew,org,1,venues,,,,,O-ORG-C06943#venues#1
לעמבערגער גרויסן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C02967#venues#1
לעמבערגער טעאַטער-טרופּע,hebrew,org,1,venues,,,,,O-ORG-C00615#venues#1
לעמבערגער יידישן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00111#venues#1
לעמבערגער יידישע בינע,hebrew,org,1,venues,,,,,O-ORG-C00111#venues#3
לעמבערגער מושב-זקנים,hebrew,org,1,venues,,,,,O-ORG-C05920#venues#1
לעמבערגער פּוילישער אָפּערע,hebrew,org,1,venues,,,,,O-ORG-C06614#venues#1
לעמבערגער קלויז,hebrew,org,1,venues,,,,,O-ORG-C04244#venues#1
לעמבערגער רעפאַרמירטן טעמפּל,hebrew,org,1,venues,,,,,O-ORG-C02711#venues#1
לעמבערנער טעמפּל,hebrew,org,1,venues,,,,,O-ORG-C06613#venues#1
לענאַקס טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00390#venues#1
לענאָקס,hebrew,org,1,venues,,,,,O-ORG-C01721#venues#1
לענאָקס טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00390#venues#2
לענאָקס טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00390#venues#3
לענאָקס-טעאָטער,hebrew,org,1,venues,,,,,O-ORG-C00390#venues#5
לענאָקס-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00390#venues#6
לעסינג טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C04740#venues#1
לעפּהעם פּאַרק צענטער,hebrew,org,1,venues,,,,,O-ORG-C07176#venues#1
לעקסינגטאָן עוועניו און 10טע סטריט,hebrew,org,1,addresses,,,,,O-ORG-C02151#addresses#3
לערער-קורסן פֿון אַרבעטער-רינג,hebrew,org,1,venues,,,,,O-ORG-C01704#venues#1
לעש 1,hebrew,org,1,addresses,,,,,O-ORG-C03588#addresses#1
לעשנא 1,hebrew,org,1,addresses,,,,,O-ORG-C00557#addresses#1
לעשנאַ,hebrew,org,1,addresses,,,,,O-ORG-C01240#addresses#1
לעשנאַ 27,hebrew,org,1,addresses,,,,,O-ORG-C00142_Q01#addresses#1
לעשנע 1,hebrew,org,1,addresses,,,,,O-ORG-C00631_Q01#addresses#2
לעשנע 12,hebrew,org,1,addresses,,,,,O-ORG-C03314#addresses#1
לעשנע 13,hebrew,org,1,addresses,,,,,O-ORG-C02936#addresses#1
לעשנע 14,hebrew,org,1,venues,,,,,O-ORG-C03461#venues#1
לעשנע 35,hebrew,org,1,addresses,,,,,O-ORG-C03513#addresses#1
"לאָדזשער ""גרויסעס טעאַטער""",hebrew,org,1,venues,,,,,O-ORG-C01104#venues#5
"לאָדזשער ""גרויסעס טעאַטער“",hebrew,org,1,venues,,,,,O-ORG-C01104#venues#6
לאָדזשער גרויסן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01011#venues#7
לאָדזשער גרויסן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01011#venues#8
לאָדזשער יידישן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01000#venues#3
לאָדזשער סקאָלאָ-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00579#venues#10
לאָדזשער צירק-בנין,hebrew,org,1,venues,,,,,O-ORG-C04442#venues#2
מאַזאָׁוויעצקאַ גאַס,hebrew,org,1,addresses,,,,,O-ORG-C03161#addresses#1
מאַנהעטן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01131#venues#1
מאַנהעטן טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00765#venues#1
מאַנהעטן סקול און מוזיק,hebrew,org,1,venues,,,,,O-ORG-C00391#venues#1
מאַנומענט ניישאַנאל-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C06842#venues#1
מאַנומענט נעכאָנאַל טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00655#venues#1
מאַנומענט נעשאַנאַל-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C03871#venues#1
מאַנומענט-נעשאָנאַל-טעאָטער,hebrew,org,1,venues,,,,,O-ORG-C00655#venues#2
מאַנטעפיאָרע בית-עולם,hebrew,person,1,place,burial,,,,P-1-facs_101_r_4#place#2
מאַקס גאַרטן,hebrew,org,1,venues,,,,,O-ORG-C05194#venues#1
מאַקס געבילס טעאַַטער,hebrew,org,1,venues,,,,,O-ORG-C01049#venues#1
מאַקס מייזעל,hebrew,org,1,venues,,,,,O-ORG-C03997#venues#1
מאַרטין בעק טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C01262#venues#1
מאַרינסקי טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00942_Q01#venues#1
מאַריענטעאַטער,hebrew,org,1,venues,,,,,O-ORG-C05192#venues#1
מאַרקס שוויידס טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C07110#venues#1
מאָגולעסקאָס טרופּע,hebrew,org,1,venues,,,,,O-ORG-C01848#venues#1
מאָדערן טעאַטער מיט 790 זיץ-פּלעצער,hebrew,org,1,venues,,,,,O-ORG-C07258#venues#1
מאָהילעווער טעכנישער שול,hebrew,org,1,venues,,,,,O-ORG-C00519#venues#1
מאָזערס זאַל,hebrew,org,1,venues,,,,,O-ORG-C07025#venues#1
מאָלער-שול,hebrew,org,1,venues,,,,,O-ORG-C00314#venues#1
מאָנהעטן לייסעאום,hebrew,org,1,venues,,,,,O-ORG-C02956#venues#1
מאָנהעטן-לייסעאום,hebrew,org,1,venues,,,,,O-ORG-C04385#venues#1
מאָנומענט געשאָנאַל טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00655#venues#3
מאָנומענט נעשאַנאַל-טעאטער,hebrew,org,1,venues,,,,,O-ORG-C03871#venues#2
מאָנומענט נעשאָנאַל טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00655#venues#4
מאָנומענט-נעשאַנאַל-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00655#venues#5
מאָנומענט-נעשאָנאַל טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C00655#venues#6
מאָנושקאַ-טעאַטער,hebrew,org,1,venues,,,,,O-ORG-C06994#venues#1
מאָנטעפיאָראַ בית עולם,hebrew,person,1,place,burial,,,,P-4-facs_86_tr_1753938264#place#2
מאָנטעפיאָרע בית עולם,hebrew,person,1,place,burial,,,,P-4-facs_351_tr_1754998561#place#3
מאָנטעפיאָרע האָם,hebrew,org,1,venues,,,,,O-ORG-C06462#venues#1
מאָנטרעאָלער „קינדערלאַנד“,hebrew,org,1,venues,,,,,O-ORG-C01709#venues#1
מאָסאַטשוזעטס,hebrew,org,1,venues,,,,,O-ORG-C00198_Q03#venues#1
מאָסקווער אוניווערזיטעט,hebrew,org,1,venues,,,,,O-ORG-C04620#venues#1
מאָסקווער גימנאָזיע,hebrew,org,1,venues,,,,,O-ORG-C05381#venues#1
מאָסקווער גרויסן אָפּערע-הויז,hebrew,org,1,venues,,,,,O-ORG-C00696#venues#1
