variant,script,corpora,occurrences,fields,contexts,suggested_qid,suggested_english,is_descriptor,attestation_ids
אוירווינג-פלייס-טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C00353#venues#12;O-ORG-C04650#venues#1;O-ORG-C05257#venues#1
גאַליציע און עסטרייך,hebrew,org,3,venues,,,,,O-ORG-C01602#venues#2;O-ORG-C01717#venues#1;O-ORG-C06240#venues#1
גרויסן טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C01011#venues#1;O-ORG-C01316#venues#1;O-ORG-C07015#venues#1
גרויסעס טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C00597#venues#3;O-ORG-C01104#venues#2;O-ORG-C01172#venues#1
דזשעלנע גאַס,hebrew,org,3,addresses,,,,,O-ORG-C00144_Q01#addresses#2;O-ORG-C00169#addresses#1;O-ORG-C01423_Q01#addresses#1
האָפּקינסאָן,hebrew,org,3,venues,,,,,O-ORG-C00593_Q01#venues#1;O-ORG-C00593_Q02#venues#1;O-ORG-C00593_Q03#venues#1
האָפּקינסאָן טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C00360_Q01#venues#2;O-ORG-C00360_Q02#venues#1;O-ORG-C00360_Q03#venues#2
האָפּקינסאָן טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C00294#venues#4;O-ORG-C00360_Q01#venues#3;O-ORG-C00360_Q02#venues#2
ווילשייער איבעל טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C01277#venues#1;O-ORG-C01333_Q01#venues#1;O-ORG-C03809#venues#1
ווינדזאָר-טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C00089#venues#3;O-ORG-C00516#venues#2;O-ORG-C05774#venues#1
זשאָרדען ד'היווער,hebrew,org,3,venues,,,,,O-ORG-C00317#venues#1;O-ORG-C00447#venues#3;O-ORG-C01010#venues#4
זשיגניצאַ,hebrew,org,3,venues,,,,,O-ORG-C00663#venues#2;O-ORG-C03015#venues#1;O-ORG-C03539#venues#2
זשיגניצע,hebrew,org,3,venues,,,,,O-ORG-C00103#venues#11;O-ORG-C00663#venues#4;O-ORG-C03539#venues#4
טורן-האָל,hebrew,org,3,venues,,,,,O-ORG-C02222_Q01#venues#2;O-ORG-C02222_Q02#venues#1;O-ORG-C05388#venues#1
טעמפּל,hebrew,org,3,venues,,,,,O-ORG-C01278_Q02#venues#1;O-ORG-C02024#venues#1;O-ORG-C06541#venues#1
יידישן מלוכה-טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C00285#venues#4;O-ORG-C02849_Q01#venues#2;O-ORG-C02849_Q05#venues#2
ייוואָ,hebrew,org,3,venues,,,,,O-ORG-C00067_Q01#venues#3;O-ORG-C00067_Q06#venues#1;O-ORG-C04336#venues#1
כאָר-שול,hebrew,org,3,venues,,,,,O-ORG-C00707#venues#1;O-ORG-C01101#venues#2;O-ORG-C03560#venues#1
ליבערטי טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C00157_Q01#venues#2;O-ORG-C00157_Q02#venues#1;O-ORG-C00157_Q03#venues#1
ליריק,hebrew,org,3,venues,,,,,O-ORG-C01053_Q01#venues#1;O-ORG-C01053_Q02#venues#1;O-ORG-C01053_Q03#venues#1
מוראַנאָווער טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C00116#venues#4;O-ORG-C00168#venues#5;O-ORG-C01628#venues#2
מלוכה-טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C00184_Q01#venues#6;O-ORG-C01567_Q01#venues#2;O-ORG-C02849_Q02#venues#2
מעטראָפּאָליטאָן-אָפּערע,hebrew,org,3,venues,,,,,O-ORG-C03767_Q01#venues#1;O-ORG-C03767_Q02#venues#1;O-ORG-C05126#venues#1
מעטראָפּאָליטאָן-טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C01438_Q01#venues#3;O-ORG-C01438_Q02#venues#1;O-ORG-C01438_Q03#venues#1
נאָוואָשטשי-טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C00393#venues#1;O-ORG-C01284#venues#4;O-ORG-C01295#venues#1
סאָפאָלק סטריט,hebrew,org,3,addresses,,,,,O-ORG-C01694#addresses#1;O-ORG-C04156#addresses#1;O-ORG-C06081#addresses#1
סינאַגאָגע,hebrew,org,3,venues,,,,,O-ORG-C01102#venues#2;O-ORG-C01833#venues#3;O-ORG-C03533#venues#1
סעקאַנד עוועניו-טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C00682#venues#4;O-ORG-C01029#venues#1;O-ORG-C04101#venues#1
סעקאָנד עוועניו טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C00634#venues#2;O-ORG-C00682#venues#10;O-ORG-C06988#venues#1
סקאָלאָ-טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C00409_Q01#venues#8;O-ORG-C00579#venues#13;O-ORG-C06082#venues#1
עליזעאום-טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C00103#venues#15;O-ORG-C01105#venues#4;O-ORG-C04344_Q01#venues#3
עמפּייר-טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C03992#venues#1;O-ORG-C04545_Q01#venues#2;O-ORG-C04545_Q02#venues#1
פּיפּלס טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C00633_Q01#venues#3;O-ORG-C00633_Q04#venues#1;O-ORG-C01042#venues#1
קאַראָווע גאַס,hebrew,org,3,addresses,,,,,O-ORG-C00533#addresses#1;O-ORG-C01511#addresses#1;O-ORG-C03249#addresses#1
קהלה,hebrew,org,3,venues,,,,True,O-ORG-C00277#venues#1;O-ORG-C02701#venues#1;O-ORG-C07012#venues#1
קולטור-ליגע,hebrew,org,3,venues,,,,,O-ORG-C00246_Q01#venues#1;O-ORG-C00246_Q02#venues#1;O-ORG-C00246_Q03#venues#2
קונסט-ווינקל,hebrew,org,3,venues,,,,,O-ORG-C00247#venues#1;O-ORG-C03716#venues#1;O-ORG-C04016#venues#1
קרולעווסקאַ גאַס,hebrew,org,3,addresses,,,,,O-ORG-C01937_Q02#addresses#1;O-ORG-C02896#addresses#1;O-ORG-C04252#addresses#1
ראָיאַל-טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C00661_Q03#venues#1;O-ORG-C04687#venues#1;O-ORG-C05392#venues#1
ראָלאַנד טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C00161_Q01#venues#1;O-ORG-C00161_Q02#venues#1;O-ORG-C00161_Q03#venues#1
רעאַל-שול,hebrew,org,3,venues,,,,,O-ORG-C00839_Q02#venues#1;O-ORG-C00839_Q06#venues#1;O-ORG-C00839_Q07#venues#1
שול,hebrew,org,3,venues,,,,True,O-ORG-C00486#venues#2;O-ORG-C01066#venues#1;O-ORG-C02576_Q01#venues#1
פֿאָלקס-טעאַטער,hebrew,org,3,venues,,,,,O-ORG-C00096_Q01#venues#9;O-ORG-C00096_Q03#venues#1;O-ORG-C00780#venues#1
10 האַנדס-ריטש,hebrew,org,2,addresses;venues,,,,True,O-ORG-C04445#venues#1;O-ORG-C04445#addresses#1
1100 קעדזי עוועניו,hebrew,org,2,addresses,,,,True,O-ORG-C00197_Q03#addresses#1;O-ORG-C01402_Q02#addresses#1
125 סטריט,hebrew,org,2,addresses,,,,True,O-ORG-C00742_Q02#addresses#1;O-ORG-C05986#addresses#1
12טער סטריט,hebrew,org,2,addresses,,,,True,O-ORG-C05589#addresses#1;O-ORG-C05825#addresses#1
149 סטריט,hebrew,org,2,addresses;venues,,,,True,O-ORG-C00103#venues#1;O-ORG-C00103#addresses#1
14טע סטריט,hebrew,org,2,addresses,,,,True,O-ORG-C05337#addresses#1;O-ORG-C05338#addresses#1
4-טע סטריט און סעקאָנד עוועניו,hebrew,org,2,addresses;venues,,,,True,O-ORG-C00635_Q01#venues#1;O-ORG-C01092#addresses#1
57 איסט זיבעטע גאַס,hebrew,org,2,addresses;venues,,,,True,O-ORG-C06989#venues#1;O-ORG-C06989#addresses#1
8-טע סטריט,hebrew,org,2,addresses,,,,True,O-ORG-C02150_Q01#addresses#1;O-ORG-C06823#addresses#1
8-טע סטריט-טעאַטער,hebrew,org,2,venues,,,,True,O-ORG-C04545_Q01#venues#1;O-ORG-C04674#venues#1
Second Avenue,latin,org,2,addresses,,,,,O-ORG-C00634#addresses#1;O-ORG-C00682#addresses#1
אַ קליין גערטנדל מיט אַן אָפענער בינע,hebrew,org,2,venues,,,,True,O-ORG-C02725#venues#1;O-ORG-C04295#venues#1
אַמפיאָן-טעאַטער,hebrew,org,2,venues,,,,,O-ORG-C01027_Q02#venues#1;O-ORG-C03985#venues#1
אַרבעטער-היים,hebrew,org,2,venues,,,,,O-ORG-C01318_Q01#venues#1;O-ORG-C07180#venues#1
אַרטיסטן-קיך,hebrew,org,2,venues,,,,,O-ORG-C02654_Q01#venues#1;O-ORG-C02654_Q02#venues#1
אַרטיסטן-פֿאַריין,hebrew,org,2,venues,,,,,O-ORG-C00108#venues#1;O-ORG-C00727_Q01#venues#2
אַרטש סטריט,hebrew,org,2,venues,,,,,O-ORG-C00378#venues#4;O-ORG-C01229#venues#1
אַרטש-סטריט-טעאַטער,hebrew,org,2,venues,,,,,O-ORG-C00293#venues#2;O-ORG-C00378#venues#10
אָבאָזשנע גאַס,hebrew,org,2,addresses,,,,,O-ORG-C00672#addresses#2;O-ORG-C01597#addresses#1
אָדעאָן,hebrew,org,2,venues,,,,,O-ORG-C03062#venues#1;O-ORG-C07000#venues#1
אָדעסער פילהאַרמאָניע,hebrew,org,2,venues,,,,,O-ORG-C00245#venues#1;O-ORG-C00488#venues#1
אָטלאַנטיק-גאָרדען,hebrew,org,2,venues,,,,,O-ORG-C04659#venues#1;O-ORG-C04760#venues#1
אָמפיאָן-טעאַטער,hebrew,org,2,venues,,,,,O-ORG-C01027_Q01#venues#4;O-ORG-C01027_Q02#venues#2
אָרטיקן יידישן טעאַטער,hebrew,org,2,venues,,,,,O-ORG-C01275_Q03#venues#1;O-ORG-C01387_Q20#venues#1
אָרטש סטריט טעאַטער,hebrew,org,2,venues,,,,,O-ORG-C00293#venues#3;O-ORG-C00378#venues#11
אָרטש סטריט-טעאַטער,hebrew,org,2,venues,,,,,O-ORG-C00293#venues#4;O-ORG-C00378#venues#13
אָרטש סטריט-טעאַטער,hebrew,org,2,venues,,,,,O-ORG-C00293#venues#5;O-ORG-C00378#venues#14
אָרטש-סטריט,hebrew,org,2,addresses,,,,,O-ORG-C00293#addresses#2;O-ORG-C00378#addresses#2
אָרטש-סטריט-טעאַטער,hebrew,org,2,venues,,,,,O-ORG-C00293#venues#6;O-ORG-C00378#venues#17
אָרטש-סטריט-טעאַטער,hebrew,org,2,venues,,,,,O-ORG-C00293#venues#7;O-ORG-C00378#venues#18
אָריענטאָל-טעאַטער,hebrew,org,2,venues,,,,,O-ORG-C01757_Q01#venues#5;O-ORG-C06678#venues#1
אוירווינג פּלייס,hebrew,org,2,addresses,,,,,O-ORG-C00353#addresses#2;O-ORG-C01866#addresses#1
אוירווינג פלייס,hebrew,org,2,venues,,,,,O-ORG-C00353#venues#1;O-ORG-C01866#venues#2
אונזער טעאַטער,hebrew,org,2,venues,,,,,O-ORG-C00722_Q01#venues#1;O-ORG-C00722_Q02#venues#1
באַגאַטעלאַ,hebrew,org,2,venues,,,,,O-ORG-C01507#venues#1;O-ORG-C05135_Q01#venues#1
באָכענסקע-גאַס,hebrew,org,2,addresses;venues,,,,,O-ORG-C00596_Q04#venues#1;O-ORG-C00596_Q04#addresses#1
בוכהאַנדלונג,hebrew,org,2,venues,,,,,O-ORG-C05983#venues#1;O-ORG-C06976#venues#1
בוף,hebrew,org,2,venues,,,,,O-ORG-C00008#venues#1;O-ORG-C00993#venues#1
בית המדרש,hebrew,org,2,venues,,,,,O-ORG-C01832#venues#1;O-ORG-C03626#venues#1
בית-המדרש,hebrew,org,2,venues,,,,,O-ORG-C00637_Q01#venues#1;O-ORG-C00704#venues#1
בית-עולם,hebrew,person,2,place,burial,,,,P-4-facs_143_tr_1754377592#place#3;P-1-facs_395_r_10#place#3
בית-עולם באָניע,hebrew,person,2,place,burial,,,,P-2-facs_77_tr_1744131362#place#3;P-6-facs_247_tr_1747928913#place#2
ברוקלינער האָפּקינסאָן-טעאַטער,hebrew,org,2,venues,,,,,O-ORG-C00294#venues#3;O-ORG-C00360_Q01#venues#1
גאָרדען-טעאַטער,hebrew,org,2,venues,,,,,O-ORG-C00957#venues#4;O-ORG-C04498#venues#1
גימנאַזיעס,hebrew,org,2,venues,,,,,O-ORG-C01533#venues#1;O-ORG-C01534#venues#1
גימפּעל,hebrew,org,2,venues,,,,,O-ORG-C00607#venues#2;O-ORG-C01387_Q01#venues#1
גימפּעל-בינע,hebrew,org,2,venues,,,,,O-ORG-C00578_Q01#venues#1;O-ORG-C06170#venues#1
גימפּעל-טעאַטער,hebrew,org,2,venues,,,,,O-ORG-C00607#venues#3;O-ORG-C02625#venues#1
גימפּעלן,hebrew,org,2,venues,,,,,O-ORG-C00607#venues#4;O-ORG-C02172#venues#1
גימפּעלס טעאַטער,hebrew,org,2,venues,,,,,O-ORG-C00862#venues#2;O-ORG-C02767#venues#1
גלאָב-טעאַטער,hebrew,org,2,venues,,,,,O-ORG-C02435_Q01#venues#1;O-ORG-C02435_Q02#venues#1
גרויסן טעאַטער,hebrew,org,2,venues,,,,,O-ORG-C01011#venues#2;O-ORG-C01316#venues#2
גרויסעס טעאַטער,hebrew,org,2,venues,,,,,O-ORG-C00597#venues#2;O-ORG-C01104#venues#1
גרויסער שול,hebrew,org,2,venues,,,,,O-ORG-C04564_Q01#venues#1;O-ORG-C05489#venues#1
גרין און 3טע סטריט,hebrew,org,2,addresses;venues,,,,,O-ORG-C05335#venues#1;O-ORG-C05335#addresses#1
גרענד אָפּערע-הויז,hebrew,org,2,venues,,,,,O-ORG-C00322#venues#2;O-ORG-C03898#venues#2
גרענד טעאַטער,hebrew,org,2,venues,,,,,O-ORG-C00155_Q01#venues#1;O-ORG-C00684#venues#1
גרענד-אָפּערע-הויז,hebrew,org,2,venues,,,,,O-ORG-C00322#venues#3;O-ORG-C03898#venues#3
