source_value	wikidata_yi	english_name	wikidata_qid	resolved_category	kima_id	kima_rom	kima_heb	match_status	grade	flags	entry_ids	contexts	is_new_variant	source
קאָלאָמעאַ		Kolomyia		unmatched	1674	Kolomyi︠a︡ (Ukraine)	קולומיה (אוקראינה)	name_exact	A_autolink		1-facs_282_tr_1741260213|1-facs_383_tr_1739715262|1-facs_93_tr_1740521070|1-facs_134_tr_1740520966|2-facs_34_tr_1744131418	birth	yes	Zylbercweig lexicon
האָמעל		Homiel		unmatched	10963	Homelʹ (Belarus)	הומל (בלארוס)	name_exact	A_autolink		1-facs_294_tr_1741260445|1-facs_300_r_5|2-facs_178_r_5	birth	yes	Zylbercweig lexicon
טשאָרטקאָוו		Chortkiv		unmatched	18410	Chortkiv (Ukraine)	צ'ורטקוב (אוקראינה)	name_exact	A_autolink		1-facs_306_r_6|1-facs_310_tr_1741260419	birth	yes	Zylbercweig lexicon
בענדער		Bender		unmatched	622	Bender (Moldova)	בנדרי (מולדובה)	name_exact	A_autolink		1-facs_308_tr_1741260512|6-facs_196_tr_1747825036	birth	no	Zylbercweig lexicon
וולאַצלאָוועק		Włocławek		unmatched	15730	Włocławek (Poland)	ולוצלאווק (פולין)	name_exact	A_autolink		1-facs_309_r_2	birth	yes	Zylbercweig lexicon
וואָסילקאָוו		Vasylkiv		unmatched	18640	Vasylʹkiv (Ukraine)	ואסילקיב (אוקראינה)	name_exact	A_autolink		1-facs_320_tr_1741260434|1-facs_42_tr_1740520988|5-facs_400_tr_1739220489	birth	yes	Zylbercweig lexicon
בערלאָד		Bârlad		unmatched	649	Bîrlad (Romania)	בירלד (רומניה)	name_exact	A_autolink		1-facs_335_tr_1741260411	birth	yes	Zylbercweig lexicon
זשיראָרדאָוו		Żyrardów		unmatched	11623	Żyrardów (Poland)	ז'ירדוב (פולין)	name_exact	A_autolink		1-facs_335_tr_1741260385|2-facs_391_tr_1744366851|3-facs_374_tr_1755856111	birth	yes	Zylbercweig lexicon
אָנטאָפּאָל		Antopol		unmatched	659	Antopalʹ (Belarus)	אנטופול (בלארוס)	name_exact	A_autolink		1-facs_350_tr_1741260461	birth	yes	Zylbercweig lexicon
לאָוויטש		Łowicz		unmatched	13898	Łowicz (Poland)	לוביץ' (פולין)	name_exact	A_autolink		1-facs_359_TextRegion_1710852566555_178|2-facs_86_tr_1744131442|6-facs_131_r	birth	yes	Zylbercweig lexicon
גאָלדינגען		Kuldīga		unmatched	14895	Kuldīga (Latvia)	קולדיגה (לטביה)	name_exact	A_autolink		1-facs_361_TextRegion_1710853887337_347|3-facs_278_tr_1755674209|3-facs_336_tr_1756105932|5-facs_372_tr_1739222357	birth	yes	Zylbercweig lexicon
האַרבי		Harbin		unmatched	321	Harbin (China)	חרבין (סין)	name_exact	A_autolink		1-facs_391_tr_1739715056	birth	yes	Zylbercweig lexicon
קאָלאָמעא		Kolomyia		unmatched	1674	Kolomyi︠a︡ (Ukraine)	קולומיה (אוקראינה)	name_exact	A_autolink		1-facs_401_r_1	birth	yes	Zylbercweig lexicon
סקאָלע		Skole		unmatched	17382	Skole (Ukraine)	סקולה (אוקראינה)	name_exact	A_autolink		1-facs_404_r_8	birth	yes	Zylbercweig lexicon
סאַטאַנאָף		Sataniv		unmatched	23839	Sataniv (Ukraine)	סאטאניב (אוקראינה)	name_exact	A_autolink		1-facs_405_TextRegion_1710157093565_274	birth	yes	Zylbercweig lexicon
שעראָדז		Sieradz		unmatched	14700	Sieradz (Poland)	שייראדז (פולין)	name_exact	A_autolink		1-facs_411_tr_1739715050|1-facs_411_tr_1739715062|5-facs_355_r_2	birth	yes	Zylbercweig lexicon
זוועניגאָראָדקע		Zvenyhorodka		unmatched	23182	Zvenyhorodka (Ukraine)	זבניגורודקה (אוקראינה)	name_exact	A_autolink		1-facs_31_r	birth	yes	Zylbercweig lexicon
באָרשטשאָוו		Borshchiv		unmatched	19333	Borshchiv (Ternopilʹsʹka oblastʹ, Ukraine)	בורשניב (טרנופיל, אוקראינה)	name_exact	A_autolink		1-facs_36_tr_1740520951	birth	yes	Zylbercweig lexicon
טיראָספּאָל		Tiraspol		unmatched	628	Tiraspol (Moldova)	טירספול (מולדובה)	name_exact	A_autolink		1-facs_41_tr_1740521069	birth	yes	Zylbercweig lexicon
מלאָוואָ		Mława		unmatched	241	Mława (Poland)	מלוה (פולין)	name_exact	A_autolink		1-facs_57_tr_1740521100	birth	yes	Zylbercweig lexicon
קוטנאָ		Kutno		unmatched	384	Kutno (Poland)	קוטנו (פולין)	name_exact	A_autolink		1-facs_69_tr_1740521066	birth	yes	Zylbercweig lexicon
ליבאָוויטש		Lyubavichi		unmatched	18092	Li︠u︡bavichi (Russia)	ליובויץ' (רוסיה)	name_exact	A_autolink		1-facs_74_tr_1740521143|3-facs_91_tr_1753268279	birth	yes	Zylbercweig lexicon
זעמבין		Zembin		unmatched	27064	Zembin (Belarus)	זמבין (בלארוס)	name_exact	A_autolink		1-facs_84_tr_1740520959	birth	yes	Zylbercweig lexicon
זוואָלין		Zwoleń		unmatched	14072	Zwoleń (Radom, Poland)	זוואלין (ראדום, פולין)	name_exact	A_autolink		1-facs_101_tr_1740521155|2-facs_275_tr_1744280807	birth	yes	Zylbercweig lexicon
סאַראַקי		Soroca		unmatched	63	Soroca (Moldova)	סורוקה (מולדובה)	name_exact	A_autolink		1-facs_113_tr_1740521027	birth	yes	Zylbercweig lexicon
מאָהילעוו		Mahilyow		unmatched	10965	Mahili︠o︡ŭ (Belarus)	מוהילב (בלארוס)	name_exact	A_autolink		1-facs_136_tr_1740521121	birth	yes	Zylbercweig lexicon
אָלט-קאָנסטאָנטיין		Starokostiantyniv		unmatched	19134	Starokosti︠a︡ntyniv (Ukraine)	סטארוקוסטיאנטיניב (אוקראינה)	name_exact	A_autolink		1-facs_142_tr_1740521055	birth	yes	Zylbercweig lexicon
קאָלבושאָוו		Kolbuszowa		unmatched	17514	Kolbuszowa (Poland)	קולבושובה (פולין)	name_exact	A_autolink		1-facs_150_tr_1740521117	birth	yes	Zylbercweig lexicon
וולאצלאַוועק		Włocławek		unmatched	15730	Włocławek (Poland)	ולוצלאווק (פולין)	name_exact	A_autolink		2-facs_108_tr_1744279182	birth	yes	Zylbercweig lexicon
הוש		Huși		unmatched	15302	Huși (Romania)	חוש (רומניה)	name_exact	A_autolink		2-facs_129_tr_1744279180|5-facs_86_tr_1733059453	birth	yes	Zylbercweig lexicon
זלאטשעוו		Zolochiv		unmatched	18969	Zolochiv (Kharkivsʹka oblastʹ, Ukraine)	זולוצ'יב (מחוז חרקיב, אוקראינה)	name_exact	A_autolink		2-facs_135_tr_1744279211|3-facs_130_r	birth	yes	Zylbercweig lexicon
וולאָצלאַוועק		Włocławek		unmatched	15730	Włocławek (Poland)	ולוצלאווק (פולין)	name_exact	A_autolink		2-facs_188_tr_1744279095|5-facs_136_tr_1733832804|6-facs_78_tr_1747746117	birth	yes	Zylbercweig lexicon
זוועניגראָדקאָ		Zvenyhorodka		unmatched	23182	Zvenyhorodka (Ukraine)	זבניגורודקה (אוקראינה)	name_exact	A_autolink		2-facs_273_tr_1744280704	birth	yes	Zylbercweig lexicon
זלאָ טשעוו		Zolochiv		unmatched	18969	Zolochiv (Kharkivsʹka oblastʹ, Ukraine)	זולוצ'יב (מחוז חרקיב, אוקראינה)	name_exact	A_autolink		2-facs_295_tr_1744280772	birth	yes	Zylbercweig lexicon
איזשביץ		Izyaslav		unmatched	15851	Izi︠a︡slav (Ukraine)	איזיאסלב (אוקראינה)	name_exact	A_autolink		2-facs_317_r_3|5-facs_112_tr_1733832831	birth	yes	Zylbercweig lexicon
זשמערינקע		Zhmerynka		unmatched	20827	Zhmerynka (Ukraine)	ז'מרינקה (אוקראינה)	name_exact	A_autolink		2-facs_336_r_2|5-facs_593_r_14	birth	yes	Zylbercweig lexicon
זלאַטאָפּאָל		Zlatopol		unmatched	26112	Novomyrhorod (Ukraine)	נובומירהורוד (אוקראינה)	name_exact	A_autolink		2-facs_377_tr_1744366868|5-facs_606_r	birth	yes	Zylbercweig lexicon
קאָידענאָוו		Dzyarzhynsk		unmatched	14894	Dzi︠a︡rzhynsk (Belarus)	דזיארזינסק (בלארוס)	name_exact	A_autolink		3-facs_355_tr_1755856094|6-facs_408_tr_1747930566	birth	yes	Zylbercweig lexicon
סאָכאַטשאָוו		Sochaczew		unmatched	18416	Sochaczew (Poland)	סוכטשוב (פולין)	name_exact	A_autolink		5-facs_43_tr_1733050580|6-facs_53_r_13	birth	yes	Zylbercweig lexicon
ראַדזימין		Radzymin		unmatched	18483	Radzymin (Poland)	רדזימין (פולין)	name_exact	A_autolink		5-facs_548_tr_1739220547	birth	yes	Zylbercweig lexicon
קאַלושין		Kałuszyn		unmatched	18019	Kałuszyn (Warsaw, Poland)	קאלושין (ורשה, פולין)	name_exact	A_autolink		5-facs_557_tr_1739222013	birth	yes	Zylbercweig lexicon
טיראַספּאָל		Tiraspol		unmatched	628	Tiraspol (Moldova)	טירספול (מולדובה)	name_exact	A_autolink		5-facs_569_r	birth	yes	Zylbercweig lexicon
וולאַצלאַוועק		Włocławek		unmatched	15730	Włocławek (Poland)	ולוצלאווק (פולין)	name_exact	A_autolink		6-facs_70_tr_1747746125	birth	yes	Zylbercweig lexicon
קאַידענאָוו		Dzyarzhynsk		unmatched	14894	Dzi︠a︡rzhynsk (Belarus)	דזיארזינסק (בלארוס)	name_exact	A_autolink		6-facs_290_tr_1747928961	birth	yes	Zylbercweig lexicon
זשירארדאָוו		Żyrardów		unmatched	11623	Żyrardów (Poland)	ז'ירדוב (פולין)	name_exact	A_autolink		6-facs_651_r	birth	yes	Zylbercweig lexicon
