current_official_name,name_1945_1991,name_1918_1939,name_pre_1918,region,north_latitude,east_longitude,km_from,dir_from,nearest_major_city,yiddish_transcription,born_there_yiddish,yiddish_name
Mysłaków (P),,,,Congress Poland,52° 6',20° 1',50,NE,Łódź,/MISLKEV/?,--,מיסלקעוו?
Mysłowice (P),,,Myslowitz (G),east Silesia,50° 13',19° 8',55,WNW,Kraków,/MI'SLEVITs/,--,מיסלעוויץ
Myszyniec (P),,,,Congress Poland,53° 23',21° 21',115,N,Warszawa,/MIShNITs/,פֿישל טאָביאַש,מישניץ
Nadarzyn (P),,,,Congress Poland,52° 6',20° 49',15,SW,Warszawa,/(N)ADEZhI:'N/,־־,(נ)אַדעזשין
Nadułki-Majdany? (P),,,,Congress Poland,52° 34',20° 5',70,NW,Warszawa?,/MAJDA'N/?,מאיר בערנהאָלץ,מײַדאַן?
Nałęczów (Zdrój) (P),,,,Congress Poland,51° 17',22° 13',20,WNW,Lublin,/NALAyNTShEV/,־־,נאַלײַנטשעוו
Narew (P),,,,Grodno,52° 55',23° 31',35,SE,Białystok,/NAREV/,־־,נאַרעוו
Narewka (P),,,,Grodno,52° 50',23° 45',50,SE,Białystok,/NA'?REFKE/,אײַזיק גראַיעווסקי?,נאַרעווקע
Narol (P),,,,west Galicia,50° 21',23° 20',100,ENE,Rzeszów,/NROL/,שמעון פֿעדערבוש,נ(אַ)ראָל
Naruszewo (P),,,,Congress Poland,52° 32',20° 21',55,NW,Warszawa,/NARUShEV/?,־־,נאַרושעוו?
Nasielsk (P),,,,Congress Poland,52° 35',20° 48',40,NNW,Warszawa,/NAShE'LTsK/,דוד אײַזענשטאַט,נאַשעלצק
Niekłań (P),,,,Congress Poland,51° 11',20° 37',35,N,Kielce,/NyIKLyA:'/,־־,ניקלאַן?
Niemirów (P),,,,Grodno,52° 17',23° 10',95,S,Białystok,/NEMIROVE/,־־,נעמיראָווע
Niepołomice (P),,,,west Galicia,50° 2',20° 13',20,E,Kraków,/EPLMITs/,־־,עפּלמיץ
Nieporęt (P),,,,Congress Poland,52° 25',21° 2',20,N,Warszawa,/NyEPORENT/,־־,ניעפּאָרענט
Nieprowice (P),,,,Congress Poland,50° 24',20° 35',50,S,Kielce,/NyE'PREVITs/,־־,ניעפּרעוויץ
Nieszawa (P),,,,Congress Poland,52° 50',18° 54',25,SE,Toruń,/NyE'ShEVE/,"ישׂראל ברזילי (אײַזענבערג), כּתריאל־פֿישל טכורש",ניעשעווע
Nisko (P),,,,west Galicia,50° 31',22° 8',50,NNE,Rzeszów,/NINTsK/,־־,נינצק
Niwiska (P),,,,west Galicia,50° 13',21° 37',30,NW,Rzeszów,/NIVISK/ (short I),־־,ניוויסק
Niwka (P),,,,Congress Poland,,,,,part of Sosnowiec,/ALT-NIFKE/,--,אַלט־ניווקע
Nowa Wieś (P),,,,Congress Poland,,,35,S,Kielce?,/S'NAyE DORF/,־־,ס'נײַע דאָרף
Nowe Bródno (P),,,,Congress Poland,,,,,part of Warszawa,/NAy-BRUDNE/?,משה לעסטני,נײַ־ברודנע
Nowe Miasto nad Pilicą (P),,,,Congress Poland,51° 37',20° 35',70,SSW,Warszawa,/NA:'ShTEyTL/,"אַהרן יאַבלאָנקע, יצחק פּליוואַצקי",נײַשטעטל
Nowogród (P),,,,Congress Poland,53° 14',21° 53',85,WNW,Białystok,/NO'VEGROD/,־־,נאָוועגראָד
Nowopole (P),,,,west Galicia,50° 14',20° 44',60,NE,Kraków,/SDEKhU:DESh/?,־־,שׂדה־חדש
Nowy Dwór Mazowiecki (P),,,,Congress Poland,52° 25',20° 44',25,NW,Warszawa,/NO'VEDVOR/,"אַבֿרהם גוטערמאַן, הערשל (שמואל־הירש) הימלפֿאַרב, שמואל־חיים טאָפּ, בועז יאָנג (יונגוויץ??), משה לאָקעטש, ניסן־אלימלך נײַפֿעלד, משה־לייב פּאָלין, אַהרן־אליעזר קאַרטוזינסקי, אַבֿרבם ראָזענשטיין, חיים ראָזענשטיין",נאָווידוואָר
Nowy Korczyn (P),[formerly Nowe Miasto Korczyn],,,Congress Poland,50° 18',20° 48',65,NE,Kraków,/NA:ShTU:T/,־־,נײַשטאָט
Nowy Sącz (P),,,,west Galicia,49° 37',20° 42',75,SE,Kraków,/(NA:-)TsANDZ/,"אַהרן אײַזענבאַך, גרשון ווײַנבערגער, שלמה טענצער, דובֿ יוספֿי, רפֿאל מאַהלער, מענדל נײַגרעשל, שמעון־אַריה שוואַרץ",(נײַ־)צאַנדז
Nowy Targ (P),,,,west Galicia,49° 29',20° 1',65,S,Kraków,/NA:MARK/,משה פּאַפּיער,נײַמאַרק
"Nowy Żmigród, Żmigród Nowy (P)",,,,west Galicia,49° 36',21° 32',55,SW,Rzeszów,/ZMIGRED/,־־,זמיגרעד
Nur (P),,,,Congress Poland,52° 40',22° 19',75,SW,Białystok,/NIRES/,מענדל פֿײַנצײַג,"נורעס, נירעס"
Ochota (P),,,,Congress Poland,,,,,part of Warszawa,/OKhOTE/,--,אָכאָטע
Odrzechowa (P),,,,west Galicia,49° 33',21° 59',55,S,Rzeszów,/O'DERKhEV/,--,אָדערכעוו
Odrzywół (P),,,,Congress Poland,51° 31',20° 33',75,N,Kielce,/O'DZhIVIL/,--,אָדזשיוויל
Okuniew (P),,,,Congress Poland,52° 16',21° 18',20,E,Warszawa,/OKUNyEV/ (stress?),--,אָקוניעוו
Oleszyce (P),,,,west Galicia,50° 10',23° 2',75,ENE,Rzeszów,/O'LEShITs/,--,אָלעשיץ
Olkusz (P),,,,Congress Poland,50° 17',19° 34',35,NW,Kraków,/ELKISh/,־־,עלקיש
Ołpiny (P),,,,west Galicia,49° 48',21° 12',60,WSW,Rzeszów,/OLPI:'N/,--,אָלפּין
Olszowice (P),,,,west Galicia,49° 55',19° 56',10,S,Kraków,/O'LShEVITs/,--,אָלשעוויץ
Opatów (P),,,,Congress Poland,50° 48',21° 25',55,ESE,Kielce,/APT/,"שמשון אַפּטער, איטשע גאָלדבערג, יחיאל וואָרטמאַן, משה זאַלצמאַן, לייזער טרייסטער, חיים לאַזער, דוד לעדערמאַן, מאיר קירשנבלאַט??",אַפּט
Opatówek (P),,,,Congress Poland,51° 44',18° 13',85,W,Łódź,/A'PTIFKE/,--,אַפּטיווקע
Opatówek Kielecki? (P),,,,Congress Poland?,,,,?,?,/APT/,--,אַפּט
Opatowice (P),,,,Congress Poland,52° 36',18° 34',45,S,Toruń,/A'PTEVITs/,--,אַפּטעוויץ
Opatowiec (P),,,,Congress Poland,,,55,NE,Kraków,/APT/,--,אַפּט
Opatowiec (P),,,,Congress Poland,52° 37',19° 58',85,NW,Warszawa,/LOPA'TEVITs/?,--,לאָפּאַטעוויץ?
Opoczno (P),,,,Congress Poland,51° 23',20° 17',60,NNW,Kielce,/OPOTShNE/,אליעזר געלער,אָפּאָטשנע
"Opole (Nowe, Stare, Świerczyna) (P)",,,,Congress Poland,50° 40',17° 55',75,E,Warszawa,/O'PELE/,--,אָפּעלע
Opole (P),,,,Congress Poland,51° 41',23° 13',60,NE,Lublin,/OPILE/?,--,אָפּעלע
Opole Lubelskie? (P),,,,Congress Poland,51° 9',21° 58',45,WSW,Lublin,/O'PALE/?,"באָנטשע, גיטל ציטרין","אָפּאַלע, אָפּעלע"
Orla (P),,,,Grodno,52° 42',23° 20',50,SSE,Białystok,/ORL(y?)E/,"?, זע אַרלאָווע, בעלאַרוס",אָרלע
Osięciny (P),,,,Congress Poland,52° 38',18° 43',40,SSE,Toruń,/OShNTShI:'N/,--,אָשנטשין
Osieck (P),,,,Congress Poland,51° 58',21° 25',40,SSE,Warszawa,/OShE'TsK/,--,אָשעצק
Osiek (P),,,,Congress Poland,50° 31',21° 27',65,NW,Rzeszów,/OShIK/,--,אָשיק
Osjaków (P),,,,Congress Poland,51° 17',18° 48',70,SW,Łódź,"/ShU:KEV/, /SyU:KIV/",מאַליע ביילין?,סיאָקעוו
Osmolice (P),,,,Congress Poland,51° 7',22° 28',15,SW,Lublin,/O'?SMALITs/,--,אָסמאַליץ
Osmolin (P),,,,Congress Poland,52° 18',19° 50',60,NNE,Łódź,/OSMOLI:'?N/,--,אָסמאָלין
Osmólsk (P),,,,Congress Poland,52° 18',19°51',60,NNE,Łódź,?,יחיאל־ישעיה טרונק,אָסמולסק
Ostrołęka (P),,,,Congress Poland,53° 4',21° 35',100,NNE,Warszawa,"/OSTRELENKE/, /ESTERLENKE/","נטע גראַביע, גרשון הענדעל, יצחק עבֿרי, מנחם פֿלאַסקער","אָסטרעלענקע, עסטערלענקע, אָסטראָלענקע??"
Ostrów Lubelski? (P),,,,Congress Poland,51° 29',22° 51',35,NE,Lublin,/KLAyN-O'STREVE/,שמואל אַברבנאל,קליין־אָסטראָווע?
Ostrów Mazowiecka (P),,,,Congress Poland,52° 48',21° 54',80,NE,Warszawa,/O'STREVE/,"ישעיה אוסטרי־דן (אויסטריאַק), אַהרן אַלבעק, אַבֿרהם־יצחק בראָמבערג, יצחק־אײַזיק גאָנשער, שׂמחה גראַניעוויטש, חיים גרושקין, מאיר וושעבאָר, הענעך זאַטאָרסקי, משה־מאיר ישר, יחיאל לעשטש, מנחם מאָרגענשטערן, נתן סטאָלניץ, ישׂראל עמיאָט, אַבֿרהם פּרץ, יחזקאל פֿרייליך, יואל־נפֿתּלי קאַמיעניץ, אליעזר־פּנחס קופּערמאַן, וואָלף־לייב ריבקאָ","אָסטרעווע, אָסטראָווע"
Ostrów Wielkopolski? (P),,,Ostrowo? (G),Poznan-West Prussia,51° 38',17° 49',80,NE,Wrocław,/OSTREV/,--,אָסטרעוו
Ostrowiec Świętokrzyski (P),,,,Congress Poland,50° 56',21° 24',55,ENE,Kielce,/O'STREFTsE/,"מלכּה אַפּעלבוים, אַהרן בראָמבערג, חיים גאָלדזאַץ, יצחק־מרדכי ווילינבערג, יחיאל־ישׂראל זשאַבנער, אלקנה חרמץ","אָסטרעווצע, אָסטראָווצע"
Oświęcim (P),,,Auschwitz (G),west Galicia,50° 1',19° 15',50,W,Kraków,/OShPITsI:'N/,־־,אָשפּיצין
Otfinów (P),,,,west Galicia,50° 11',20° 49',65,ENE,Kraków,/O'?TFINEV/,חיים נײַגער,אָטפֿינעוו?
Otwock (P),,,,Congress Poland,52° 7',21° 16',20,SE,Warszawa,/OTFO'TsK/,--,אָטוואָצק
Owczary (P),,,,Congress Poland,50° 27',20° 45',45,SSE,Kielce,/OFTShE/,--,אָווטשע
Ożarów (P),,,,Congress Poland,50° 53',21° 40',70,E,Kielce,/OZhREV/,--,אָזשרעוו
Ożenna (P),,,,west Galicia,49° 26',21° 27',75,SSW,Rzeszów,/O'ZhENE/?,--,אָזשענע?
Ozorków (P),,,,Congress Poland,51° 58',19° 17',25,NNW,Łódź,/O'ZERKEV/,"דוד ברוין, וואָלף געלבאַרט, ישׂראל־שיִע געלבאַרט, מיכל געלבאַרט, משה־שמעון וואַלדמאַן, נחמן ווינער, זלמן זילבערצווײַג, צבֿי־הירש זילבערצווײַג",אָזערקעוו
Pabianice (P),,,,Congress Poland,51° 39',19° 22',10,SSW,Łódź,/PA'BENITs/,"משה גערשט, שאָול ראָטקאָפּ",פּאַבעניץ
Pacanów (P),,,,Congress Poland,50° 24',21° 3',80,NW,Rzeszów,/PA'TShENEV/,"אַבֿרהם הערשקאָוויץ, יצחק פֿרידמאַן",פּאַטשענעוו
Pająków? (P),,,,Congress Poland,51° 23',21° 48',55,WNW,Lublin,/PAyNKEF?/,־־,פּײַנקעוו
Pajęczno (P),,,,Congress Poland,51° 9',19° 0',75,SSW,Łódź,/PAyENTShNE/,־־,פּאַיענטשנע
Paradyż (P),,,,Congress Poland,51° 18',20° 7',60,NW,Kielce,/PARADIZh/ (stress?),־־,פּאַראַדיזש
Parczew (P),,,,Congress Poland,51° 38',22° 54',50,NNE,Lublin,/PA'RTsEVE/,־־,פּאַרצעווע
Parysów (P),,,,Congress Poland,51° 59',21° 41',50,SE,Warszawa,/PU:'R(I)SEV/,"שלמה אַשכּנזי, יעקבֿ (בצלאל) סטאָדאָלסקי",פּאָר(י)סעוו
Pawłów (P),,,,Congress Poland,51° 9',23° 13',,,,?,־־,פּאַוולאָוו?
Pęcice (P),,,,Congress Poland,52° 9',20° 51',10,SW,Warszawa,/PETShA'TSh/,־־,פּעטשאַטש
Pęczniew (P),,,,Congress Poland,51° 48',18° 43',50,W,Łódź,/PENTShNyEV/,־־,פּענטשניעוו
Pętkowice? (P),,,,Congress Poland,51° 1',21° 37',70,E,Kielce,/PETKOVITsE/?,יוסף חריף־אָסטרי,פּעטקאָוויצע
Piaseczno (P),,,,Congress Poland,52° 4',21° 1',15,S,Warszawa,/PISETsNE/,־־,פּיסעצנע
Piaski (Lubelskie) (P),,,,Congress Poland,51° 8',22° 51',20,SE,Lublin,/PYU:(E)SK/,"מרדכי־מאיר בערק, משה בערשלינג, אַבֿרהם־שלמה עמיאל","פּיאָסק, פּיוסק"
Piątek (P),,,,Congress Poland,52° 4',19° 29',30,N,Łódź,/PYONTKE/,־־,פּיאָנטקע
Piątnica (Poduchowna) (P),,,,Congress Poland,53° 12',22° 6'',70,W,Białystok,/PYO'NTNITsE/,־־,פּיאָנטניצע
Pichlice (P),,,,Congress Poland,51° 20',18° 24',90,SW,Łódź,/PIKhLyITs/,־־,פּיכליץ
Pilawa,,,,Congress Poland,51° 58',21° 32',45,SE,Warszawa,/PILAVE/,־־,פּילאַווע
Pilica (P),,,,Congress Poland,50° 28',19° 40',45,NW,Kraków,/PILTs/,דוד מיצמאַכער,פּילץ
Pilzno (P),,,,west Galicia,49° 59',21° 17',50,W,Rzeszów,/PILZNE/,־־,פּילזנע
Pińczów (P),,,,Congress Poland,50° 31',20° 32',40,S,Kielce,/PINTShEV/,"שמואל־אליעזר אַבעללאָ, שבתי קשבֿ?",פּינטשעוו
Pionki (P),,,,Congress Poland,51° 28',21° 27',80,WNW,Lublin,?,־־,פּיאָנקע?
Piotrków (Trybunalski) (P),,,,Congress Poland,51° 25',19° 41',40,SSE,Łódź,"/PE'TRIKEV (TRIBUNALER)/, /PE'TERKEV/","אַהרן־אלימלך גאָלדבערג, חיים גוטמאַן (דער לעבעדיקער), אַבֿרהם ווײַסהאָף, הינדע זאַרעצקי, יעקבֿ לעווקאָוויטש, יעקבֿ מאָרגענשטערן, א. מגן, הערש נאָוואַק, שלמה־בער פֿײַנקינד, י. קעניגשטיין","פּעטריקעוו, פּעטערקעוו, פּיעטריקאָוו? (טריבונאַלער)"
Piotrków Kujawski (P),,,,Congress Poland,52° 33',18° 30',50,SSW,Toruń,/PYE'TERKEV DEKI'/?,־־,פּיעטערקאָוו דעקי
Piotrowice (P),,,,Congress Poland,51° 6'',22° 29',20,SSW?,Lublin?,/PE'TREVITs/,־־,פּעטרעוויץ
Piszczac (P),,,,Congress Poland,51° 59',23° 23',90,NNE,Lublin,/PTShATSh/,־־,פּטשאַטש
Piwniczna Zdrój (P),,,,west Galicia,49° 26',20° 43',90,SE,Kraków,/PIVNITShNE/,־־,פּיווניטשנע
Płaszów (P),,,,west Galicia,,,,,part Kraków,/PLAShEV/,־־,פּלאַשעוו
Pławno (P),,,,Congress Poland,50° 59',19° 27',85,S,Łódź?,/PLAVNE/,־־,פּלאַוונע
Płazów? (P),,,,west Galicia,50° 19',23° 14',90,ENE,Rzeszów,/PLU:ZEV/?,רפֿאל ראַפּאָפּאָרט,פּלאָזעוו?
Płock (P),,,,Congress Poland,52° 33',19° 41',80,SE,Toruń,/PLOTsK/,"יהודע אַבֿידע, = זלאָטניק?, י.ט. אַלטמאַן, ליעוו אָסטראָוויער, אַבֿרהם אָסטראָווער, יצחק בערנשטיין, יוליוס גאָלדע, שלמה גרינשפּאַן, פֿאַביאַן ש. הלוי, יעקבֿ וואַסערמאַן, ראובֿן־מיכל זיסקינד, אַבֿרהם־זעליג כאַנאַכאָוויטש, ישראל־גרשון כאַנאַכאָוויטש, זישע לאַנדוי [אַרויסגערעדט /LANDE/], שׂמחה מינץ, יחיאל־מאיר פּאָזנער, חיים פֿלאַקס, משה קאָוואַדלאָ, הערמאַן קרוק, פּנחס שוואַרץ",פּלאָצק
Płońsk (P),,,,Congress Poland,52° 37',20° 22',60,NW,Warszawa,/PLINTsK/,"דוד (יוסף) בן־גוריון, אליהו הירשין, יצחק ליכטענשטיין, יעקבֿ לעוו, מענדל מאַן, מרדכי־וואָלף מיכעלסאָן, יעקבֿ־שמואל סיגעל, שמואל פֿאַקס, שמואל־לייב שווערדשאַרף, משה־אַבֿיגדור שולוואַס",פּלינצק
Pniewo (P),,,,Congress Poland,52° 13',19° 37',50,N,Łódź,/PNyEVE/?,־־,פּניעווע?
Poddębice (P),,,,Congress Poland,51° 54',18° 57',35,WNW,Łódź,/PODEMBITs/,־־,פּאָדעמביץ
Podedwórze (P),,,,Congress Poland,51° 42',23° 12',65,NE,Lublin,/PODEDVOZhE/?,־־,פּאָדעדוואָזשע
Podgórze (P),,,,Congress Poland,53° 7',22° 8',65,W,Białystok?,/PO'DGEZhE/,־־,פּאָדגעזשע
Podgórze (P),,,,west Galicia,,,,,part Kraków,/PODGUZh/,־־,פּאָדגוזש
Podlasie (P),,,,region,,,,,centered on Białystok,/PODLAShE/,־־,פּאָדלאַשע
Pojezierze (P),,,,Congress Poland,,,95,N,Białystok?,/POyZER/,כתריאל־צבֿי שׂרהזאָן,פּויזער
Połaniec (P),,,,Congress Poland,50° 26',21° 17',70,SE,Kielce,/PLANTSh/,אַלטער ראָזען,פּלאַנטש
Policzna (P),,,,Congress Poland,51° 27',21° 37',70,WNW,Lublin,/POLITShNE/,־־,פּאָליטשנע
Pomiechowo (P),,,,Congress Poland,52° 28',20° 44',30,NW,Warszawa,/PO'NEKhEV/,־־,פּאָנעכעוו
Poświętne (P),,,,Congress Poland,52° 20',21° 25',30,ENE,Warszawa?,/POSVENTE/,--,פּאָסווענטע
Powązki (P),,,,Congress Poland,52° 16',20° 32',30,W,Warszawa,/POVONZEK/?,"יהודה־לייב קאָוואַלסקי, שלמה קאָרנבלום",פּאָוואָנזעק
Powsin (P),,,,Congress Poland,,,,,part of Warszawa,/POFShIN/,־־,פּאָוושין
Poznań (P),,,Posen (G),Poznan-West Prussia,52° 23',16° 54',,,,/POyZN/,ליפּמאַן־מרדכי לעשטשינסקי,פּויזן
Praga (P),,,,Congress Poland,,,,,part of Warszawa,/PRAGE/,"יחיאל־מאיר ברוין, פּ. וואַסערמאַן, יעקבֿ מושקאַט, מנשה מושקאַט, ש,?? משה פּ(י)עטרושקאַ, שׂמחה־בונים פּיעטרושקאַ, משה פּראַגער",פּראַגע
Praszka (P),,,,Congress Poland,50° 57',18° 44',100,E,Wrocław,/PRAShKE/?,־־,פּראַשקע?
Prostyń (P),,,,Congress Poland,52° 39',21° 59',80,NE,Warszawa,/PROSTI'?N/,־־,"פּראָסטין, פּראָסלין?"
Proszowice (P),,,,Congress Poland,50° 11',20° 18',30,NE,Kraków,/PRO'ShEVITs/,"יוסף מלאָטעק, דניאל קוקיעלקאָ",פּראָשעוויץ
Pruchnik (P),,,,west Galicia,49° 55',22° 31',40,ESE,Rzeszów,/PRUKhNIK/?,־־,פּרוכניק
Pruszków (P),,,,Congress Poland,52° 10',20° 48',15,WSW,Warszawa,?,פּאַול רובינשטיין,פּרושקעוו?
Przasnysz (P),,,,Congress Poland,53° 1',20° 53',90,N,Warszawa,/PRU:ShNITs/,"שלמה באַכראַך, ראָזע יאַקובאָוויטש, צבֿי־הערש רוזשאַנער","פּרושניץ, פּראָשניץ?"
Przedbórz (P),,,,Congress Poland,51° 5',19° 52',50,NW,Kielce,/PShEDBOZh/,איטשע וואַגמאַן,פּשעדבאָזש
Przedecz (P),,,,Congress Poland,52° 20',18° 54',70,NNW,Łódź,/PShAyTSh/,־־,פּשייטש
Przekopane (P),,,,west Galicia,,,,,part of Przemyśl,?,שלום פֿרײַנד,?
Przemyśl (P),,,,west Galicia,49° 47',22° 47',65,SE,Rzeszów,/P(E)RE'MISLE/,"משה אַלטבויער, משה דאָרנבוש, זאבֿ האַרינג, מרדכי וואָפֿסהויט־ דינקעס, אַנשעל וואַלקער, מענדל לאַנדוי, מתּתיהו (מאַטעס) מיזעס, שמואל־דבֿ מײַזליש, שמואל מײַזלש, בירך (ביירעך) שאַפֿיר, אליהו שוועבער",פּ(ע)רעמיסלע
Przeworsk (P),,,,west Galicia,50° 3',22° 30',35,E,Rzeszów,/ShEVERSK/,אַבֿרהם פֿעלזן־שטיין,שעווערסק
Przybyszew? (P),,,,Congress Poland,51° 40',20° 51',65,WSW,Warszawa,/PShI'?BIShEV/,־־,פּשיבישעוו
Przysucha (P),,,,Congress Poland,51° 21',20° 38',50,N,Kielce,/PShISKhE/,מאָטל קאָזלאָווסקי,פּשיסכע
Przytyk (P),,,,Congress Poland,51° 28',20° 54',70,NNE,Kielce,/PShITIK/,־־,פּשיטיק
Puchaczów (P),,,,Congress Poland,51° 19',22° 59',30,ENE,Lublin,/PUKhATShEV/,־־,פּוכאַטשעוו
Puławy (P),,,,Congress Poland,51° 26',21° 57',45,NW,Lublin,/PI'LEV/,"שמואל ווײַס, משה מינקוס, שׂמחה־יצחק סנה, ראָזע פּרץ־לאַקס, מענדל ראָזען, צבֿי שובער, דוד שיינבערג, שלמה שיינבערג",פּילעוו
Pułtusk (P),,,,Congress Poland,52° 42',21° 5',50,N,Warszawa,/P(I)LTI'SK/,"אַבֿרהם־בער בירנבוים, שׂמחה דאָן, שמואל דן, דער?? חסיד, מאיר־וואָלף ניעסטעמפּאָווער, מענדל פּיעקאַזש, אפֿרים צעלניק, מאַקס קלאַס","פּ(ו)לטוסק?, פּ(י)לטיסק"
Puńsk (P),,,,Congress Poland,54° 15',23° 11',125,N,Białystok,/PUNT?SK/,רבֿקה קאָגוט,פּונסק
Pustelnik (P),,,,Congress Poland,52° 16',21° 28',30,E,Warszawa,/PUSTELyNIK/,־־,פּוסטעלניק
Pustków (P),,,,west Galicia,50° 8',21° 29',35,WNW,Rzeszów,/PUSTKEV/?,־־,פּוסטקעוו?
Pysznica (P),,,,west Galicia,50° 34',22° 8',55,N,Rzeszów,/PI'?ShNITsE/,־־,פּישניצע
Pyzdry (P),,,Peisern (G),Congress Poland,52° 10',17° 41',55,ESE,Poznań,/PA:ZER/,־־,"פּײַזער, פּאַזער?"
Rabka-Zdrój (P),,,,west Galicia,49° 37',19° 58',50,S,Kraków,/ROPKE/,־־,ראָבקע
Raciąż (P),,,,Congress Poland,52° 47',20° 7',80,NW,Warszawa,"/RATShO'YNDZ/, /RETShO'YNDZ/?","יוסף־חיים כּהן־לאַסק, יעקבֿ נאַכבין","ראַטשוינדז, רעטשוינדז?"
Radłów (P),,,,west Galicia,50° 5',20° 50',55,E,Kraków,/RADLEV/,־־,ראַדלעוו
Radom (P),,,,Congress Poland,51° 24',21° 9',70,NNE,Kielce,/RU:DEM/,"יוסף אַפּאַטאָווסקי, עלים?? באָרנשטיין, איתמר־יוסף בענעט, דוד גאָלדבלאַט, שמריהו גוטמאַן, משנ־דוד גיסער, גבֿריאל גראַפֿשטיין, גרשון גראַפֿשטיין, משה־יעקבֿ דאַווידזאָהן, יצחק דײַטשער, י. דעמבעס, (שיר??, מרים) וואָהלמאַן־שעראַטשעק, שמאַי וואַקס, יעקבֿ וואַרשאַווסקי, תּנחום ווײַנטרויב, אַנשל ווײַנמאַן, גדליה ווײַסבאַרד, גבֿריאל ווײַסמאַן, א.וו. ווערטהיים, משה טײַכמאַן, שחמה ליפּשיץ, יחזקאל ליפֿשיץ, נפֿתּלי לעווי, יהושע לענדער, אליהו לערמאַן, שׂרה לערמאַן, נײַסטעמפּל?? (נאָסטעמל), אַהרן סאָקאָלאָווסקי, יוסף סאָקאָלאָווסקי, שאָול סאָקאָלאָווסקי, בנימין עליס, אליעזר־ליפּמאַן פּערל, משה פּערלמוטער, יהושע פּערלע, א. פּשעדבאָרסקי, מרדכי (מאָריס) פֿינקעל, לעאָ פֿינקעלשטיין, מאָטל פֿראַנקענטאַל, יחיאל פֿרענקעל, בונעם צוקער, נתן־דוד קאָרמאַן",ראָדעם
Radomsko (P),,,,Congress Poland,51° 4',19° 26',75,S,Łódź,/RIDO'MSK/,"שׂרה דזשאַקלין (האַמער), נחום האָכערמאַן, אַבֿרהם־בער צעראַטאַ",רידאָמסק?
Radomyśl Wielki (P),,,,west Galicia,50° 12',21° 17',55,WNW,Rzeszów,/GROyS-RADOMIShL/,"ראובֿן אײַזלאַנד, משה גאָלד, מלך נוי־נײַשטאַדט",גרויס־ראַדאָמישל
Radoszyce (P),,,,Congress Poland,51° 4',20° 16',35,NW,Kielce,/RA'DIShITs/,יצחק־הערש ראָדאָשיצק,ראַדישיץ
Radymno (P),,,,west Galicia,49° 57',22° 50',60,ESE,Rzeszów,/REyDIM/,"הינדע בערגנער, הערץ בערגנער, מלך ראַוויטש, אַריה־לייב שוסהיים",רעדים
Radzanów (P),,,,Congress Poland,52° 57',20° 6',100,NW,Warszawa,/RADZENOVE/,־־,ראַדזענאָווע
Radzanowo (P),,,,Congress Poland,52° 34',19° 54',80,WNW,Warszawa,/RA'DZENEV/,־־,ראַדזענעוו?
Radziejów (P),,,,Congress Poland,52° 37',18° 32',40,S,Toruń,"/RADZE'YEVE/, /RA'DZhEVE/?",־־,"ראַדזייעווע, ראַדזשעווע?"
Radziłów (P),,,,Congress Poland,53° 25',22° 25',60,NW,Białystok,"/RA'DZhILEV/ , /RADZhI'LEVE/",יעקבֿ פֿישמאַן,ראַדזשילעוו(ע)?
Radzymin (P),,,,Congress Poland,52° 25',21° 11',20,NE,Warszawa,/RAZMI:'N/,"אליעזר בערגמאַן, נטע־ירוחם, בערלינער, ש. בר־עוזי, אַבֿרהם גילבערט, שלמה גילבערט",ראַ(ד)זמין
Radzyń Podlaski (P),,,,Congress Poland,51° 47',22° 38',60,N,Lublin,/RADZI:'N/,"יוסף דאַנילאַק??, ישׂראל ליכטענשטיין, משה סנה, מאיר סעגאַל, מאָטל פּשעניצאַ, יאָסל צוקער, יחיאל־פֿײַוול ראָטשטיין",ראַד(ז?)ין
Rajec (P),,,,Congress Poland,51° 25',21° 15',75,NNE,Kielce,/RO:?ITs/,־־,ראָיִץ
Rajgród (P),,,,Congress Poland,53° 44',22° 42',70,NNW,Białystok,/RAyNGRAD/? /RAyGROD/?,"א. באָראָוויטש, אליהו דאָמעראַצקי, בערל לעווינסקי, נחמיה לעווינסקי",רײַנגראַד? רײַגראָד?
Raków (P),,,,Congress Poland,50° 40',21° 3',35,SE,Kielce,/RAKEV/,־־,ראַקעוו
Rawa Mazowiecka (P),,,,Congress Poland,51° 46',20° 15',55,E,Łódź,/RAVE/,היושה? ביעטש,ראַווע
Rawicz (P),,,Rawitsch (G),Poznan-West Prussia,51° 37',16° 52',55,N,Wrocław,/RAVITSh/,־־,ראַוויטש
Redecz (P),,,,Congress Poland,52° 34',18° 49',50,SSE,Toruń,/RAyTSh/?,־־,רייטש
Rędziny (P),,,,Congress Poland,50° 51',19° 13',100,SSW,Łódź,/RENDZhI:'N/,־־,רענדזשין
Rejowiec (Fabriczny?) (P),,,,Congress Poland,51° 7',23° 15',50,ESE,Lublin,/RAyVITs/,"אַבֿרהם־משה דובעלמאַן, שמואל דרעליכמאַן",רייוויץ
Rembertów (P),,,,Congress Poland,51° 57',20° 51',30,SSW,Warszawa,/RE'?MBERTEV/,־־,רעמבערטעוו?
Rochmanówka (P),,,,Congress Poland,,,30,ESE,Warszawa?,/RAKhMANIFKE/ (stress?),־־,ראַכמאַניווקע?
Rodaki (P),,,,Congress Poland,50° 24',19° 32',50,NW,Kraków,/RAyDIK/?,־־,ריידיק
Rogów? (P),,,,Congress Poland,there are several,,,,,/ROGOV/?,־־,ראָגאָוו
