current_official_name,name_1945_1991,name_1918_1939,name_pre_1918,region,north_latitude,east_longitude,km_from,dir_from,nearest_major_city,yiddish_transcription,born_there_yiddish,yiddish_name
Bila Krynytsya (U),Belaya Krinitsa (R),Făntana? Albă (Rm),,north Bukovina,47° 58',25° 53',30,S,Chernivtsi,/BILE-KERNETsE/,־־,בילע־קערנעצע
Bila Tserkva (U),Belaya Tserkov' (R),,[meaning: 'white church'],eastern Ukraine,49° 47',30° 7',60,SSW,Kyiv,/ShVA'RTs-TIME/ [meaning: 'black church (pejorative)'],"א. אגני, אַבֿרהם ביזנאָ, יצחק בענעקוויט, זרח גרינבערג, יונה גרינפֿעלד, משה ליפֿשיץ (ליוושיץ), דוד מאָנין, פּנחס מינקאָווסקי, מימי פּינזאָן, יוסף פּעטריקאָווסקי, מאיר (מאַקס) פֿיליפּס, צמח־דוד קאַלטהאָן, לאָלאַ קויפֿמאַן, שלום י. קופּערשמיד, יוסף רויטבערג, מאָטל שטורמאַן, יעקבֿ שטיינבערג, ישעיה שקאַראָווסקי",שוואַרץ־טומאה
Bila Tserkva (U),Belaya Tserkov' (R),Biserica Albă (Rm)?,Tiszafejéregyház (H),Transcarpathia,47° 57',23° 56',100,SE,Mukacheve,/ShVA'RTS־TIME/,---,שוואַרץ־טומאה
Bilhorod-Dnistrovs'kyy (U),Belgorod-Dnestrovskiy (R),,,south Bessarabia,46° 12',30° 21',35,SW,Odesa,/A'KERMAN/,־־,אַקערמאַן
Bilka? (U),Belka (R),Białka? (P),,Volhynia,50° 56',26° 45',44,NE,Rivne,/BYELKO/?,יוסף דערעטשין,ביעלקאָ?
Bilky (U),"Bilki, Belki (R)",Bílky (Cz),Bilke (H),Transcarpathia,48° 19',23° 8',30,SE,Mukacheve,/BILKE/,־־,בילקע
Bilohorodka (U),Belogorodka (R),,,eastern Ukraine,,,,,,/BELEROTKE/,־־,בעלעראָדקע?
Bilokorovychi (U),Belokorovichi (R),,,eastern Ukraine,51° 7',28° 2',45,NNW,Korosten'?,/BELOKOROVITSh/?,--,בעלאָקאָראָוויטש?
Bilopillya (U),Belopol'ye (R),,,eastern Ukraine,49° 51',28° 52',50,SSE,Zhytomyr,/BILEPILyE/,־־,בילעפּיליע
Bilousivka (U),Belousovka (R),,,north Bessarabia,48° 32',27° 21',35,NNW,Mohyliv,/BELEU'SEFKE/,־־,בעלעוסעווקע
Bilovartsi (U),Belovartsy? (R),Alba-Cetat? (Rm)?,Kiskirva (H),Transcarpathia,48° 2',23° 42',80,SE,Mukacheve,/BILVARITs/,---,בילוואַריץ
Bilozir'ya (U),Belozyor'ye (R),,,eastern Ukraine,49° 19',31° 55',15,SW,Cherkasy,"/BELAZER/, /BELOZE(R)/?",־־,בעלאַזער
Bilozirka (U),Belozyorka (R),Białozórka (P),,Volhynia,49° 46',26° 11',45,ENE,Ternopil',/BILEZERKE/,־־,בילעזערקע
Bilylivka (U),Belilovka (R),,,eastern Ukraine,49° 41',29° 2',80,SSE,Zhytomyr,/BELI'LEFKE/,שלמה לאָפּאַטין,בעלילעווקע
Bilyn (U),Belin (R),?,Bilin (H),Transcarpathia,48° 7',24° 15',90,SW,Ivano-Frankivs'k,/BILIN/,---,בילין
Bilyy Kamin' (U),Belyy Kamen' (R),Biały Kamień (P),,east Galicia,49° 54',24° 50',50,E,L'viv,/BILKAMIN/,אורי־צבֿי גרינבערג,בילקאַמין
Blyshchanka (U),Blishchanka (R),Błyszczanka (P),,east Galicia,48° 44',25° 48',50,N,Chernivtsi,/BLI'ShTShENKE/,--,בלישטשענקע
Bobovyshche (U),Bobovishche? (R),Bobovištĕ? (Cz),Borhalom (H),Transcarpathia,48° 32',22° 41',10,NNW,Mukacheve,/BO'BEVITSh/,---,באָבעוויטש
Bobrovytsya (U),Bobrovitsa (R),,,eastern Ukraine,50° 45',31° 23',60,NE,Kyiv,/BO'BREVITs/,יעקבֿ מאַזין,"באָברעוויץ, באָבראָוויץ?"
Bobrovyy Kut (U),Bobrovyy Kut (R),,,eastern Ukraine,47° 6',32° 57',50,NNE,Kherson,/BOBRO'VIKUT/,שמעון־שמואל פֿרוג,באָבראָווי־קוט
"Bobryk (Pershyy, Druhyy) (U)",Bobrik (R),,,eastern Ukraine,47° 54',30° 11',40,E,Balta,/BOBRIK/,--,באָבריק
Bobrynets' (U),Bobrinets (R),,,eastern Ukraine,48° 3',32° 12',45,SSE,Kirovohrad,/BOBRINITs/ (stress?),אַבֿרהם גערבאָוואָי,באָבריניץ
Boharevytsya (U),Bogarevitsa? (R),Bohorovice? (Cz),Falucska (H),Transcarpathia,48° 17',22° 55',20,SE,Mukacheve,/BO'GERVITs/,---,באָגערוויץ
Bohdan (U),Bogdan (R),?,Tiszabogdány (H),Transcarpathia,48° 2',24° 22',90,SW,Ivano-Frankivs'k,/BOGDAN/ (stress?),---,באָגדאַן
Bohodukhiv (U),Bogodukhov (R),,,eastern Ukraine,50° 10',35° 32',40,WNW,Kharkiv,?,־־,באָהאָדוכאָוו?
Bohopil' (U),Bogopol' (R),,,eastern Ukraine,48° 3',30° 50',,,part of Pervomays'k,/BAPOLyE/,"אליהו ביעלי, בער־לייב פּעטשעני",באַפּאָליע
Bohorodchany (U),Bogorodchany (R),Bohorodczany (P),,east Galicia,48° 48',24° 32',15,SW,Ivano-Frankivs'k,"/BRETShI:'N/?, /BROTShN/",הירש (הערי) סעקלער,"ברעטשין, בראָטש(י)ן?"
Bohuslav (U),Boguslav (R),,,eastern Ukraine,49° 33',30° 53',95,NNW,Cherkasy,/BOSLEV/,"הערש גרינבלאַט, מרים גרינבערג, סאָניע טוטשינסקי, משה מאַראַכאָווסקי, יצחק פּערקאָוו",באָסלעוו
Bokove (U),Bokovo (R),,,eastern Ukraine,47° 45',30° 11',50,ESE,Balta,?,־־,באָקאָוואָיע?
Bolekhiv (U),Bolekhov (R),Bolechów (P),,east Galicia,49° 4',23° 52',60,NW,Ivano-Frankivs'k,/BO'LEKhEV/,"מיכאל הענדעל, שמעון על(ל)ענדמאַן, נתן פֿרוכטער","באָלעכעוו, באָלעכאָוו"
Bolhrad (U),Bolgrad (R),,,south Bessarabia,45° 41',28° 37',165,SW,Odesa,/BOLGRAD/,־־,באָלגראַד
Bolotnytsya (U),Bolotnitsa (R),,,eastern Ukraine,50° 49',32° 56',130,SE,Chernihiv,/BLO'TNITsE/,דוד־שלמה אָרלאָווסקי,בלאָטניצע
Boremel' (U),Baremel' (R),Boremel (P),,Volhynia,50° 28',25° 12',25,SSW,Luts'k,/BAREMLyE/ (stress?),מויני שולמאַן??,באַרעמליע
Borivka (U),Borovka (R),,,eastern Ukraine,48° 31',28° 15',30,E,Mohyliv,/BO'?RIFKE/?,־־,באָריווקע
Borivtsi (U),Borovtsy (R),Bărăuţi (Rm),,north Bukovina,48° 35',25° 38',35,NW,Chernivtsi,/BOREVE'Ts/,־־,באָרעוועץ
Borodyanka (U),Borodyanka (R),,,eastern Ukraine,50° 39',29° 56',35,NW,Kyiv,/BOREDYANKE/,־־,באָרעדיאַנקע
Borshchahivka (U),Borshchagovka (R),,,eastern Ukraine,49° 29',29° 32',75,NE,Vinnytsya,/BORShTShIFKE/,־־,באָרשטשיווקע
Borshchi (U),Borshchi (R),,,eastern Ukraine,47° 50',29° 29',15,SW,Balta,/BARShTSh/?,־־ (איין שטאָט?),באַרשטש?
Borshchiv (U),Borshchyov (R),Borszczów (P),,east Galicia,48° 48',26° 3',45,NNE,Chernivtsi,/BORShTShEV/,"מענדל בלומענטאַל, נחמן בלומענטאַל, יהודית בלומענטאַל־מײַזיל",באָרשטשעוו
Borshchivka (U),Borshchyovka (R),,,eastern Ukraine,,,,,?,/BO'RShTShIFKE/,יעקבֿ ווײַנבערג?,באָרשטשיווקע
Boryslav (U),Borislav (R),Borysław (P),,east Galicia,49° 17',23° 25',70,SW,L'viv,/BO'RISLEV/,"ט. אַדלער, מיכל בערקאָוויטש, משה גראָס, שמואל גרייץ, אַדאָלף העלד, יעקבֿ עגיט",באָריסלעוו
Boryspil' (U),Borispol' (R),,,eastern Ukraine,50° 21',30° 57',20,ESE,Kyiv,/BERIShPOLyE/?,אַבא בראַסלאַווסקי,בערישפּאָליע?
Borzna (U),Borzna (R),,,eastern Ukraine,51° 15',32° 26',80,ESE,Chernihiv,/BORZNE/,־־,באָרזנע
Boyany (U),Boyany (R),Boiani? (Rm),,north Bukovina,48° 17',26° 8',10,E,Chernivtsi,/B(E)YA'N/,־־,"ב(ע)יאַן, באָיאַן"
Boyarka (U),Boyarka (R),,,eastern Ukraine,50° 19',30° 19',10,SW,Kyiv,"/BO'YERKE/, /BO'YBERIK/?",יעקבֿ גרינפֿעלד,"בויערקע, בויבעריק?"
Bratolyubivka (U),Bratolyubovka (R),,,eastern Ukraine,48° 13',32° 58',55,SE,Kirovohrad?,/BRATOLU'BEFKE/?,־־,בראַטאָלובעווקע?
Brats'ke (U),? (R),,,eastern Ukraine,48° 17',33° 10',65,SE,Kirovohrad?,/BRA'?TsKOyE/,־־,בראַטסקאָיע?
Bratslav (U),Bratslav (R),,,eastern Ukraine,48° 50',28° 57',50,SE,Vinnytsya,/BROSLEV/ [the widespread spelling /BRESLOV/ is an error!],בערל כאַריטאָנסקי,בראָסלעוו
Brayiliv (U),Brailov (R),,,eastern Ukraine,49° 6',28° 10',15,SW,Vinnytsya,/BRALEV/,־־,בראַלעוו
Brid (U),Brod? (R),Brod? (Cz),Boród (H),Transcarpathia,48° 21',23° 01',20,SE,Mukacheve,/BROD/,---,בראָד
Brody (U),Brody (R),Brody (P),Brody (R),east Galicia,50° 5',25° 9',75,ENE,L'viv,/BROD/,"יעקבֿ־שמואל ביק, בערל בראָדער, אַבא־יוסף זוסמאַן, מענדל זינגער, שאָול חיות, אַריה טאַרטאַקאָווער, אַלפֿרעד לאַנדוי, דבֿ סדן??, מרדכי סוכאָסטאַווער, ישׂראל פֿאָגעל",בראָד
