source_value	wikidata_yi	english_name	wikidata_qid	resolved_category	match_status	fuzzy_candidates	fuzzy_confidence	entry_ids	contexts
לעמבערגער געטאָ	לעמבערגער געטא	Lvov Ghetto	Q707561	death_site	NO_MATCH	[]		5-facs_24_r_159|5-facs_96_tr_1733059348|5-facs_240_tr_1739222483	death
טויטןלאַגער בּעלזשעץ	בעלזשיץ פארטיליקונג לאגער	Belzec extermination camp	Q160143	death_site	NO_MATCH	[]		5-facs_25_r_6	death
טרעבלינקע גאַז אויוונס	טרעבלינקע	Treblinka extermination camp	Q152010	death_site	NO_MATCH	[]		5-facs_69_tr_1733059503	death
בעלזשעץ	בעלזשיץ פארטיליקונג לאגער	Belzec extermination camp	Q160143	death_site	NO_MATCH	[]		5-facs_89_tr_1733059485|5-facs_174_tr_1736589025	death
טרעבלינקע אָדער מאַידאַנעק	מיידאנעק	Lublin-Majdanek concentration camp	Q160135	death_site	NO_MATCH	[]		5-facs_160_tr_1735652649	death
בעלזשעק	בעלזשיץ פארטיליקונג לאגער	Belzec extermination camp	Q160143	death_site	NO_MATCH	[]		5-facs_169_tr_1735652581	death
ריגער געטאָ	ריגע געטא	Riga Ghetto	Q698342	death_site	NO_MATCH	[]		5-facs_263_tr_1739220950|5-facs_347_r_1|5-facs_351_r_13|5-facs_360_tr_1739221935|5-facs_371_r_6|5-facs_548_r_3|5-facs_548_r_10|5-facs_593_tr_1739221062	death
מינסקער געטאָ		Minsk Ghetto	Q153336	death_site	NO_MATCH	[]		5-facs_358_tr_1739221613|5-facs_360_tr_1739221925|5-facs_367_tr_1739222548|5-facs_421_tr_1739222376|5-facs_438_r_2|5-facs_547_tr_1739222037|5-facs_592_r_36|5-facs_593_r_11	death
קאָנצענטראַציע-לאַגער קלאָאַגע		Klooga concentration camp	Q693998	death_site	NO_MATCH	[]		5-facs_484_tr_1739220531	death
אַ דאָרף נעבן לעכעוויץ	לעכעוויטש	Liachavičy	Q956607	settlement	NO_MATCH	[]		4-facs_64_r_3	birth
אָפּט (אָפּאַטאָוו)		Opatów	Q981742	settlement	FUZZY	"[{""kima_id"": 552, ""rom"": ""Opatów (Tarnobrzeg, Poland)"", ""heb"": ""אפטה (פולין)""}, {""kima_id"": 77262, ""rom"": ""Opatów (Województwo Świętokrzyskie, Poland)"", ""heb"": ""אפטה (מחוז שוויינקוטז'יסקיה, פולין)""}, {""kima_id"": 83, ""rom"": ""Padua (Italy)"", ""heb"": ""פדובה (איטליה)""}]"	1.0	4-facs_613_tr_1755030200	birth
קאַשאַוואַטע		Kashavate	Q1022902	settlement	NO_MATCH	[]		4-facs_654_tr_1755029982	birth
קיטייגאָראָד		Kitayhorod	Q4222383	settlement	NO_MATCH	[]		1-facs_255_tr_1741260331	birth
יאָבלאָניצע		Yablunytsia	Q1022786	settlement	FUZZY	"[{""kima_id"": 75464, ""rom"": ""Yablunytsia (Ukraine)"", ""heb"": ""יבלוניציאה (אוקראינה)""}]"	1.0	1-facs_266_tr_1741260244	birth
וויעזשכאָווצע		Wierzbowce	Q990682	settlement	NO_MATCH	[]		1-facs_275_tr_1741260245	birth
שיקאָנאָ		Shykono	Q1023022	settlement	NO_MATCH	[]		1-facs_294_tr_1741260438	birth
ביטשקיף		Bishkiv	Q4101340	settlement	NO_MATCH	[]		1-facs_305_tr_1741260395	birth
באָריסלאָוו		Bohyslav	Q849427	settlement	NO_MATCH	[]		1-facs_338_tr_1741260418	birth
קעלנאָוויץ		Kelnivtsi	Q1022915	settlement	NO_MATCH	[]		1-facs_347_TextRegion_1710166971671_511	birth
יאגעלניצא		Yahilnytsia	Q1022819	settlement	NO_MATCH	[]		1-facs_361_r_6	birth
ניעסוויזש	נעזשוויז	Niasviž	Q201230	settlement	FUZZY	"[{""kima_id"": 8141, ""rom"": ""Ni︠a︡sviz︠h︡ (Belarus)"", ""heb"": ""נסויז' (בלארוס)""}]"	0.8333333333333334	1-facs_379_r_2	birth
סלאָוויטע		Slavuta	Q1023004	settlement	FUZZY	"[{""kima_id"": 846, ""rom"": ""Slavuta (Ukraine)"", ""heb"": ""סלוויטה (אוקראינה)""}, {""kima_id"": 23702, ""rom"": ""Khislavichi (Russia)"", ""heb"": ""חסלאוויטש (רוסיה)""}]"	1.0	1-facs_383_tr_1739715273	birth
אַלעסקאָ		Olesko	Q1026069	settlement	FUZZY	"[{""kima_id"": 11393, ""rom"": ""Lesko (Poland)"", ""heb"": ""לסקו (פולין)""}]"	0.75	1-facs_35_tr_1740520980	birth
ליאָכאָוויטש	לעכעוויטש	Liachavičy	Q956607	settlement	NO_MATCH	[]		1-facs_136_tr_1740521135	birth
אַלמיץ		Ulmetz	Q1063019	settlement	NO_MATCH	[]		1-facs_140_tr_1740521122	birth
אָזיראן	אזיראן געטא	Jezierzany Ghetto	Q30007506	death_site	NO_MATCH	[]		2-facs_51_tr_1744131372	birth
קאָרנין		Kornyn	Q2980432	settlement	FUZZY	"[{""kima_id"": 1663, ""rom"": ""Kearny (N.J.)"", ""heb"": ""קרני (ניו ג'רזי)""}, {""kima_id"": 15725, ""rom"": ""Kórnik (Poland)"", ""heb"": ""קורניק (פולין)""}, {""kima_id"": 15394, ""rom"": ""Környe (Hungary)"", ""heb"": ""קורנ'ה (הונגריה)""}]"	0.75	2-facs_65_tr_1744131350	birth
סאָקילען		Sokil	Q762209	settlement	FUZZY	"[{""kima_id"": 84142, ""rom"": ""Sokil (Ukraine)"", ""heb"": ""סוקיל (אוקראינה)""}]"	1.0	2-facs_70_tr_1744131390	birth
