kima_id	kima_rom	variant	source	attestations	contexts	wikidata_qid	notes
76965	Tokmak (Ukraine)	גרויס טאָקמאַק	Zylbercweig lexicon (Maaty reconciliation)	2-facs_185_r_8	birth	Q760235	match_status:WIKIDATA
656	Bucharest (Romania)	בוקאַ⸗ רעסט	Zylbercweig lexicon (Maaty reconciliation)	2-facs_198_TextRegion_1709396169380_251	birth	Q19660	match_status:WIKIDATA
16556	Rėchytsa (Belarus)	רעטשיצע	Zylbercweig lexicon (Maaty reconciliation)	2-facs_213_r_10	birth	Q909612	match_status:WIKIDATA
523	Białystok (Poland)	ביאַליסטאַק	Zylbercweig lexicon (Maaty reconciliation)	2-facs_215_tr_1744280690	birth	Q761	match_status:WIKIDATA
20619	Ashmi︠a︡ny (Belarus)	אָשמינע	Zylbercweig lexicon (Maaty reconciliation)	2-facs_215_tr_1744280695	birth	Q722836	match_status:WIKIDATA
76395	Snitkiv (Ukraine)	סניטקאָוו	Zylbercweig lexicon (Maaty reconciliation)	2-facs_217_tr_1744280764	birth	Q4425605	match_status:WIKIDATA
22157	Šeduva (Lithuania)	שאדאָווע	Zylbercweig lexicon (Maaty reconciliation)	2-facs_221_r_16	birth	Q2356396	match_status:NAME_EXACT
953	Warsaw (Poland)	וואָרשע	Zylbercweig lexicon (Maaty reconciliation)	2-facs_228_tr_1744280784|2-facs_273_tr_1744280708|2-facs_306_tr_1744365745	birth	Q270	match_status:WIKIDATA
8760	Focsani (Romania)	פֿאָקשאַן	Zylbercweig lexicon (Maaty reconciliation)	2-facs_231_tr_1744280783	birth	Q192265	match_status:WIKIDATA
13292	Łuków (Siedlce, Poland)	לוקאָוו	Zylbercweig lexicon (Maaty reconciliation)	2-facs_251_r_13|3-facs_314_tr_1756043870|7-facs_42_tr_1756359776	birth	Q384244	match_status:WIKIDATA
250	Piotrkow Trybunalski (Poland)	פּיעטריקאָוו	Zylbercweig lexicon (Maaty reconciliation)	2-facs_254_tr_1744280771|3-facs_115_tr_1753726015|3-facs_396_r_1|6-facs_162_tr_1747825124	birth	Q158004	match_status:WIKIDATA
75861	Dessau-Rosslau (Germany)	דעסוי	Zylbercweig lexicon (Maaty reconciliation)	2-facs_257_tr_1744280823	birth	Q3828	match_status:WIKIDATA
898	Daugavpils (Latvia)	דינאַבורג	Zylbercweig lexicon (Maaty reconciliation)	2-facs_258_tr_1744280734	birth	Q80021	match_status:WIKIDATA
26881	Rokytne (Rivnensʹka oblastʹ, Ukraine)	ראַקיטנאָ	Zylbercweig lexicon (Maaty reconciliation)	2-facs_269_tr_1744280807	birth	Q2162658	match_status:WIKIDATA
576	Brest (Belarus)	ברעסט ליטאָווסק	Zylbercweig lexicon (Maaty reconciliation)	2-facs_271_tr_1744280771|6-facs_648_tr_1747930316	birth	Q140147	match_status:WIKIDATA
8777	Puławy (Poland)	פּולאוו	Zylbercweig lexicon (Maaty reconciliation)	2-facs_273_r_4	birth	Q320007	match_status:NAME_EXACT
15533	Ungheni (Moldova)	אונגעני	Zylbercweig lexicon (Maaty reconciliation)	2-facs_277_tr_1744280835	birth	Q858713	match_status:WIKIDATA
576	Brest (Belarus)	ברעסטליטאָווסק	Zylbercweig lexicon (Maaty reconciliation)	2-facs_285_tr_1744280833	birth	Q140147	match_status:WIKIDATA
10765	Zaporiz︠h︡z︠h︡i︠a︡ (Ukraine)	אַלעקסאַנדראָווסק (איצט — זאַפּאָראָזשיע)	Zylbercweig lexicon (Maaty reconciliation)	2-facs_302_tr_1744365754	birth	Q157835	match_status:WIKIDATA
10603	Naraïv (Ukraine)	נאַראַיעוו	Zylbercweig lexicon (Maaty reconciliation)	2-facs_303_tr_1744365806	birth	Q4313044	match_status:NAME_EXACT
9159	Chernihiv (Ukraine)	טשערניכאָוו	Zylbercweig lexicon (Maaty reconciliation)	2-facs_316_tr_1744365726	birth	Q157053	match_status:NAME_EXACT
9163	Szczecin (Poland)	שטשעזשעץ	Zylbercweig lexicon (Maaty reconciliation)	2-facs_319_tr_1744365790	birth	Q393	match_status:WIKIDATA
175	Końskowola (Poland)	קאָנסקאָוואָליע	Zylbercweig lexicon (Maaty reconciliation)	2-facs_320_tr_1744365794	birth	Q1959	match_status:WIKIDATA
13145	Staszów (Tarnobrzeg, Poland)	סטאַשעוו	Zylbercweig lexicon (Maaty reconciliation)	2-facs_320_tr_1744365787	birth	Q324892	match_status:WIKIDATA
20519	Anykščiai (Lithuania)	אַנעשישאָק	Zylbercweig lexicon (Maaty reconciliation)	2-facs_322_tr_1744365731	birth	Q505416	match_status:WIKIDATA
