current_official_name,name_1945_1991,name_1918_1939,name_pre_1918,region,north_latitude,east_longitude,km_from,dir_from,nearest_major_city,yiddish_transcription,born_there_yiddish,yiddish_name,country,lat_dec,lon_dec,country,lat_dec,lon_dec
Bobrovyy Kut (U),Bobrovyy Kut (R),,,eastern Ukraine,47° 6',32° 57',50,NNE,Kherson,/BOBRO'VIKUT/,שמעון־שמואל פֿרוג,באָבראָווי־קוט,Ukraine,47.1000,32.9500,Ukraine,47.1000,32.9500
"Bobryk (Pershyy, Druhyy) (U)",Bobrik (R),,,eastern Ukraine,47° 54',30° 11',40,E,Balta,/BOBRIK/,--,באָבריק,Ukraine,47.9000,30.1833,Ukraine,47.9000,30.1833
Bobrynets' (U),Bobrinets (R),,,eastern Ukraine,48° 3',32° 12',45,SSE,Kirovohrad,/BOBRINITs/ (stress?),אַבֿרהם גערבאָוואָי,באָבריניץ,Ukraine,48.0500,32.2000,Ukraine,48.0500,32.2000
Boharevytsya (U),Bogarevitsa? (R),Bohorovice? (Cz),Falucska (H),Transcarpathia,48° 17',22° 55',20,SE,Mukacheve,/BO'GERVITs/,---,באָגערוויץ,Ukraine,48.2833,22.9167,Ukraine,48.2833,22.9167
Bohdan (U),Bogdan (R),?,Tiszabogdány (H),Transcarpathia,48° 2',24° 22',90,SW,Ivano-Frankivs'k,/BOGDAN/ (stress?),---,באָגדאַן,Ukraine,48.0333,24.3667,Ukraine,48.0333,24.3667
Bohodukhiv (U),Bogodukhov (R),,,eastern Ukraine,50° 10',35° 32',40,WNW,Kharkiv,?,־־,באָהאָדוכאָוו?,Ukraine,50.1667,35.5333,Ukraine,50.1667,35.5333
Bohopil' (U),Bogopol' (R),,,eastern Ukraine,48° 3',30° 50',,,part of Pervomays'k,/BAPOLyE/,"אליהו ביעלי, בער־לייב פּעטשעני",באַפּאָליע,Ukraine,48.0500,30.8333,Ukraine,48.0500,30.8333
Bohorodchany (U),Bogorodchany (R),Bohorodczany (P),,east Galicia,48° 48',24° 32',15,SW,Ivano-Frankivs'k,"/BRETShI:'N/?, /BROTShN/",הירש (הערי) סעקלער,"ברעטשין, בראָטש(י)ן?",Ukraine,48.8000,24.5333,Ukraine,48.8000,24.5333
Bohuslav (U),Boguslav (R),,,eastern Ukraine,49° 33',30° 53',95,NNW,Cherkasy,/BOSLEV/,"הערש גרינבלאַט, מרים גרינבערג, סאָניע טוטשינסקי, משה מאַראַכאָווסקי, יצחק פּערקאָוו",באָסלעוו,Ukraine,49.5500,30.8833,Ukraine,49.5500,30.8833
Bokove (U),Bokovo (R),,,eastern Ukraine,47° 45',30° 11',50,ESE,Balta,?,־־,באָקאָוואָיע?,Ukraine,47.7500,30.1833,Ukraine,47.7500,30.1833
