qid,label_en,label_yi,place_type,category,kima_id,kima_rom,kima_heb,lat,lon,n_attestations,n_person,n_org,n_flagged_mentions,fields,n_variants,variants,corpora,external_sources
Q239490,Ushomir,,village of Ukraine,settlement,,,,,,1,1,0,0,place,1,אושאָמיר,person,wikidata
Q241,Cuba,,,settlement,,,,41.365277777778,48.526388888889,5,0,5,0,countries;venues,2,קובא;קובאַ,org,wikidata
Q241475,Lida,,,settlement,130,Lida (Belarus),לידה (בלארוס),53.8955555555556,25.2958333333333,3,0,3,0,settlements,1,לידע,org,wikidata;kima
Q242149,Brakel,,"Hanseatic city, urban municipality in Germany",settlement,,,,,,1,1,0,1,place,1,בראָק,person,wikidata
Q2422842,Janowska concentration camp,,Q328468;Q152081,settlement,,,,,,4,3,1,0,place;venues,1,יאַנאָווער לאַגער,org;person,wikidata
Q2438640,Pașcani,,Q532;Q4413925,settlement,,,,,,1,1,0,0,place,1,פּאַשקאַן,person,wikidata
Q2439514,Narol,נאראל,city,settlement,23815,Narol (Poland),נראל (פולין),,,7,7,0,0,place,1,גאַליציע,person,wikidata;kima
Q2439578,Zgurița,,"commune of Moldova, village",settlement,20224,Zguriţa (Moldova),זגוריצה (מולדובה),,,1,1,0,1,place,1,זגוריצאַ,person,wikidata;kima
Q24483159,Orekhov,,"khutor, village",settlement,,,,,,1,1,0,0,place,1,אָרעיעוו,person,wikidata
Q2451032,Hirișeni,,"commune of Moldova, village",settlement,,,,,,1,1,0,1,place,1,הירש,person,wikidata
Q2453477,Kryve Ozero,,urban-type settlement in Ukraine,other,,,,,,1,1,0,1,place,1,קריוואָיע אָזערע,person,wikidata
Q2473433,Teplyk,טעפליק,"urban-type settlement in Ukraine, human settlement",settlement,89923,Teplyk (Ukraine),טפליק (אוקראינה),,,2,2,0,0,place,2,טעפּליק;טעפּליקי,person,wikidata;kima
Q2473698,Siedlce Governorate,,,settlement,,,,,,7,7,0,0,province,3,שעדלעצער גוב;שעדלעצער גוב.;שעדלעצער געגנט,person,wikidata
Q2479621,Łomża Governorate,,,settlement,,,,,,8,8,0,0,province,3,לאָמזשער גוב.;לאָמזשער גובערניע;לאָמזשער געגנט,person,wikidata
Q24879,Bremen,ברעמען,"college town, big city, Hanseatic city, urban municipality in Germany, urban district of Bremen",neighborhood,580,Bremen (Germany),ברמן (גרמניה),,,1,1,0,0,place,1,20 מייל פֿון ברעמען,person,wikidata;kima
Q249259,Jędrzejów,יענדזשעוו,city,settlement,,,,,,1,1,0,0,place,1,יענדזשעוו,person,wikidata
Q2500789,Rakaŭ,ראקאוויי,"agrotown, village in Belarus, miasteczko, urban settlement in Belarus",settlement,20754,Rakaŭ (Belarus),ראקוב (בלארוס),53.967222,27.056667,3,1,2,0,place;settlements,2,ראַקאָוו;ראָקאָוו,org;person,wikidata;kima
Q250485,Sochaczew (Poland),,,settlement,18416,Sochaczew (Poland),סוכטשוב (פולין),52.225,20.2333333333333,4,2,2,0,place;settlements,1,סאָכאַטשאָוו,org;person,wikidata;kima
Q250591,Klevan,,urban-type settlement in Ukraine,other,,,,,,1,1,0,1,place,1,קלעוואן,person,wikidata
Q2509983,Pidkamin,,"urban-type settlement in Ukraine, human settlement",settlement,71242,Pidkamin (Ukraine),פידקאמין (אוקראינה),,,1,1,0,0,place,1,פּאָדקאָמיין,person,wikidata;kima
Q2511152,Makhnivka,מאכניווקא,village of Ukraine,settlement,69933,Mokhnivka (Ukraine),מאכניווקא (אוקראינה),,,1,1,0,0,place,1,מאַכנאָווקע,person,wikidata;kima
Q2520566,Warsaw Governorate,,,settlement,,,,,,16,16,0,0,province,3,וואַרש. גוב.;וואַרשעווער גובערניע;וואַרשעווער געגנט,person,wikidata
Q2529,April 24,24סטן אפריל,point in time with respect to recurrent timeframe,other,,,,,,2,2,0,2,place,2,טשאַרנאָבאָל;טשערנאָבאָל,person,wikidata
Q2531968,Kalisz Governorate,,,settlement,,,,,,5,5,0,0,province,3,קאַלישער גוב.;קאָלישער גוב.;קאלישער גוב.,person,wikidata
