source_value	english_name	wikidata_qid	kima_id	kima_rom	kima_heb	match_status	entry_ids	contexts	is_new_variant	source
ביעלאָצערקאָוו	Bila Tserkva	Q33342	350	Bila T︠S︡erkva (Ukraine)	בילה צרקווה (אוקראינה)	WIKIDATA	5-facs_548_r_4|7-facs_25_tr_1756895087|2-facs_173_tr_1744279070|2-facs_365_tr_1744366824|4-facs_670_tr_1755030252|6-facs_35_tr_1747746200	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
זשיראַרדאָוו	Żyrardów	Q393251	11623	Żyrardów (Poland)	ז'ירדוב (פולין)	WIKIDATA	5-facs_600_r_77|4-facs_662_tr_1755029946	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
פּאָראָזאָווע	Porozovo	Q957234	22429	Porazava (Belarus)	פורוזוב (בלארוס)	NAME_EXACT	5-facs_86_tr_1733059457|6-facs_300_tr_1747928891|6-facs_327_tr_1747930566	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
סט. פאַולאָ	São Paulo	Q174	25	São Paulo (Brazil)	סאו פאולו (ברזיל)	WIKIDATA	6-facs_160_tr_1747825040	death	yes	Zylbercweig lexicon (Maaty reconciliation)
לאָמזשע	Łomża	Q215633	156	Łomża (Poland)	לומזה (פולין)	WIKIDATA	6-facs_210_tr_1747928994|1-facs_254_tr_1741260243|1-facs_277_tr_1741260247|4-facs_668_tr_1755029974	death|birth	yes	Zylbercweig lexicon (Maaty reconciliation)
זאַלודאָוואַ	Zabłudów	Q1906311	18112	Zabłudów (Poland)	זבלודוב (פולין)	WIKIDATA	6-facs_245_tr_1747928875	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
מלאַווע	Mława	Q983868	241	Mława (Poland)	מלוה (פולין)	WIKIDATA	6-facs_24_r_2|4-facs_656_r	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
מעזשיבעזש	Medzhybizh	Q1022485	17325	Medz︠h︡ybiz︠h︡ (Ukraine)	מז'יבוז' (אוקראינה)	WIKIDATA	6-facs_392_r|6-facs_392_r	burial|death	yes	Zylbercweig lexicon (Maaty reconciliation)
באָפֿאַלע	Buffalo	Q40435	361	Buffalo (N.Y.)	באפלו (ניו יורק)	WIKIDATA	6-facs_62_tr_1747746110	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
ווישקאָוו	Wyszków	Q910997	6883	Wyszków (Poland)	וישקוב (פולין)	WIKIDATA	6-facs_661_r	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
ליסינקע	Lysianka	Q1879003	20251	Lysi︠a︡nka (Ukraine)	ליסיאנקה (אוקראינה)	WIKIDATA	7-facs_24_r_5	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
קיביץ דגניה ב'	Degania Bet	Q1022506	893	Deganya Bet (Israel)	דגניה ב' (ישראל)	WIKIDATA	7-facs_56_r	death	yes	Zylbercweig lexicon (Maaty reconciliation)
וואָלקאָוויניעץ	Vovkovyntsi	Q1973699	70470	Vovkovyntsi (Ukraine)	וובקובינצי (אוקראינה)	WIKIDATA	7-facs_59_tr_1756359795	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
