UID	HebName	EngClean	engine_pick_id	engine_pick_rom	pick_dist_km	verdict	nearest_id	nearest_rom	nearest_dist_km
HU-00504	און	Úny	1267	Heliopolis (Egypt : Extinct city)	2223.3	REJECT	1267	Heliopolis (Egypt : Extinct city)	2223.3
HU-00560	ביק	Bük	7794	Vich (Spain)	1295.0	REJECT	7794	Vich (Spain)	1295.0
HU-00595	ביל	Paszab	14366	Bühl (Rastatt, Germany)	999.1	REJECT	14366	Bühl (Rastatt, Germany)	999.1
LV-00015	שקלאו	Shklow	638	Prague (Czech Republic)	1173.3	REJECT	638	Prague (Czech Republic)	1173.3
MD-00023	ראשקוב	Vadul-Rașcov	18725	Raszków (Kalisz, Poland)	898.7	REJECT	18725	Raszków (Kalisz, Poland)	898.7
PL-00037	פריישטאט	Frysztak	18752	Freistadt (Austria)	536.9	REJECT	18752	Freistadt (Austria)	536.9
PL-00084	מאידאן	Majdan Królewski	20895	Majdan (Serbia)	489.8	REJECT	20895	Majdan (Serbia)	489.8
PL-00097	ווישניצא	Nowy Wiśnicz	13465	Vyz︠h︡nyt︠s︡i︠a︡ (Ukraine)	391.0	REJECT	13465	Vyz︠h︡nyt︠s︡i︠a︡ (Ukraine)	391.0
PL-00136	סוקולוב	Sokołów Małopolski	12488	Sokolov (Czech Republic)	674.2	REJECT	12488	Sokolov (Czech Republic)	674.2
PL-00168	גור	Góra Kalwaria	15106	Ghowr (Afghanistan)	4216.0	REJECT	15106	Ghowr (Afghanistan)	4216.0
PL-00246	אפט	Opatów	10855	Apt (France)	1428.2	REJECT	10855	Apt (France)	1428.2
PL-00426	לוביין	Lubień Kujawski	176	Louvain (Belgium)	1010.5	REJECT	176	Louvain (Belgium)	1010.5
PL-00426	ליבין	Lubień Kujawski	10157	Liévin (France)	1155.1	REJECT	10157	Liévin (France)	1155.1
PL-00490	מאגלינצא	Mogielnica	18625	Mohelnice (Czech Republic)	488.9	REJECT	18625	Mohelnice (Czech Republic)	488.9
PL-00733	סקאלה	Skała	14522	Scala (Cyprus)	1140.5	REJECT	14522	Scala (Cyprus)	1140.5
PL-00763	נור	Nur	13536	Nord (France : Dept.)	1345.7	REJECT	13536	Nord (France : Dept.)	1345.7
PL-00834	מאקאוו	Maków Podhalański	8052	Macau (China)	8414.5	REJECT	8052	Macau (China)	8414.5
PL-01005	טאסט	Toszek	23166	Toczek (Poland)	426.8	REJECT	23166	Toczek (Poland)	426.8
PL-01458	דופין	Dębina	9376	Dauphiné (France)	8432.7	REJECT	9376	Dauphiné (France)	8432.7
RO-00078	וואשארהעל	Târgu Mureș	8938	Hódmezővásárhely (Hungary)	324.2	REJECT	8938	Hódmezővásárhely (Hungary)	324.2
RO-00144	טור	Tur	9695	Tours (France)	1695.3	REJECT	9695	Tours (France)	1695.3
RO-00201	ראווע	Roua	20695	Rava-Rusʹka (Ukraine)	439.0	REJECT	20695	Rava-Rusʹka (Ukraine)	439.0
RO-00498	רומאן	Roman	17319	Romano di Lombardia (Italy)	1327.2	REJECT	17319	Romano di Lombardia (Italy)	1327.2
RO-00657	ווייסקירכן	Albeștii Bistriței	14125	Hranice (Olomoucky kraj, Czech Republic)	572.2	REJECT	14125	Hranice (Olomoucky kraj, Czech Republic)	572.2
RO-00828	בון	Boiu	7708	Bonn (Germany)	1395.8	REJECT	7708	Bonn (Germany)	1395.8
RU-00020	טילזיט	Sovetsk	14550	Tilsit (Germany)	7869.4	REJECT	14550	Tilsit (Germany)	7869.4
SK-00019	קובין	Dolný Kubín	390	Copenhagen (Denmark)	850.3	REJECT	390	Copenhagen (Denmark)	850.3
SK-00019	קובנא	Dolný Kubín	382	Kaunas (Lithuania)	707.0	REJECT	382	Kaunas (Lithuania)	707.0
SK-00028	יאקא	Jelka	7948	Jaca (Spain)	1537.3	REJECT	7948	Jaca (Spain)	1537.3
SK-00137	גליל עליון	Upper Hungary (region)	21521	Galilee, Upper (Israel)	2232.8	REJECT	21521	Galilee, Upper (Israel)	2232.8
SK-00193	איגלוי	Spišská Nová Ves	1659	Jihlava (Czech Republic)	365.1	REJECT	1659	Jihlava (Czech Republic)	365.1
SK-00364	סלאפקאוויץ	Slavkovce	22233	Solobkivtsi (Ukraine)	369.6	REJECT	22233	Solobkivtsi (Ukraine)	369.6
TN-00059	נפטה	Nefta	3515	Napata (Extinct city)	2921.2	REJECT	3515	Napata (Extinct city)	2921.2
UA-00102	סאקלוב	Lany-Sokolivs'ki	17745	Sokołów Podlaski (Poland)	379.9	REJECT	17745	Sokołów Podlaski (Poland)	379.9
UA-00102	סוקולוב	Lany-Sokolivs'ki	12488	Sokolov (Czech Republic)	827.3	REJECT	12488	Sokolov (Czech Republic)	827.3
UA-00108	מאידאן	Maidan	20895	Majdan (Serbia)	369.1	REJECT	20895	Majdan (Serbia)	369.1
UA-00163	סקאלה	Skala-Podilska	14522	Scala (Cyprus)	1288.4	REJECT	14522	Scala (Cyprus)	1288.4
UA-00237	פוטוק זלוטי	Zolotyi Potik	21659	Potok Złoty (Poland)	749.5	REJECT	21659	Potok Złoty (Poland)	749.5
UA-00289	אורשיווא	Irshava	1646	Orsova (Romania)	401.8	REJECT	1646	Orsova (Romania)	401.8
UA-00289	ארשיווא	Irshava	1646	Orsova (Romania)	401.8	REJECT	1646	Orsova (Romania)	401.8
UA-00331	ריינא	Reni	11047	Rheine (Germany)	1695.5	REJECT	11047	Rheine (Germany)	1695.5
UA-00374	יאנאווא	Ivaniv	17163	Jonava (Lithuania)	679.6	REJECT	17163	Jonava (Lithuania)	679.6
UA-00374	יאנוב	Ivaniv	769	Janów Lubelski (Poland)	444.7	REJECT	769	Janów Lubelski (Poland)	444.7
UA-00501	טורן	Torun	22483	Trnovany (Teplice, Czech Republic)	732.5	REJECT	22483	Trnovany (Teplice, Czech Republic)	732.5
UA-00533	דובראוויץ	Dubrovytsia	22305	Dobrovice (Czech Republic)	822.9	REJECT	22305	Dobrovice (Czech Republic)	822.9
UA-01184	פולין	Chervonoarmiys’k	7313	Poland	666.8	REJECT	7313	Poland	666.8
UA-01566	ברודא	Brody	14455	Uherský Brod (Czech Republic)	553.4	REJECT	14455	Uherský Brod (Czech Republic)	553.4
