UID,EngName,Latitude,Longitude,HebName,blank5,Rishon,YS_id,IsWord,Notes,Sourcing,KaganID,JGenID,AltEng,USBGN,EngClean,_match_status,_match_method,_grade,_confidence,_sound_match,_flags,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
HU-00484,"Gölle, Hungary",46.4366176,18.0112682,געלע,,,,,,Kagan,1732,,,,Gölle,fuzzy,fuzzy,C_review,1.0,,,,,,,87507|7281|14752|21202|70981
HU-00485,"Hangács, Hungary",48.2896948999999,20.8314625,האנגאטש,,,,,,Kagan,2324,,,,Hangács,no_match,,C_review,0.0,,,,,,,
HU-00486,"Nábrád, Hungary",48.0057936,22.4489893,נאבראד,,,,,,Kagan,5082,,,,Nábrád,no_match,,C_review,0.0,,,,,,,
HU-00487,"Hidvégardó, Hungary",48.5598883,20.8395348,ארדאף,,,,,,Prenum - Tehila LeDavid,2419,,,,Hidvégardó,no_match,,C_review,0.0,,,,,,,
HU-00487,"Hidvégardó, Hungary",48.5598883,20.8395348,הידוועגארדא,,,,,,Kagan,2419,,,,Hidvégardó,no_match,,C_review,0.0,,,,,,,
HU-00488,"Martonyi, Hungary",48.4702378999999,20.7660532,מארטאן,,,,,,Kagan,4774,,,,Martonyi,fuzzy,fuzzy,C_review,1.0,,,,,,,84226|79134|11309|82775|80472
HU-00488,"Martonyi, Hungary",48.4702378999999,20.7660532,מארטאני,,,,,,Kagan,4774,,,,Martonyi,fuzzy,fuzzy,C_review,1.0,,,,,,,84226|79134|11309|82775|80472
HU-00489,"Tiszanána, Hungary",47.562039,20.522157,ט' נאנא,,,,,,Kagan,3559,,,,Tiszanána,fuzzy,fuzzy,C_review,1.0,,,,,,,82017|2348|11515
HU-00489,"Tiszanána, Hungary",47.562039,20.522157,טיסאנאנא,,,,,,Kagan,3559,,,,Tiszanána,no_match,,C_review,0.0,,,,,,,
HU-00490,"Sajókaza, Hungary",48.2864119,20.5851277,קאזא,,,,,,Kagan,7057,,,,Sajókaza,fuzzy,fuzzy,C_review,0.667,,,,,,,8178|10740
HU-00490,"Sajókaza, Hungary",48.2864119,20.5851277,ש' קאזא,,,,,,Kagan,8355,,,,Sajókaza,no_match,,C_review,0.0,,,,,,,
