UID,EngName,Latitude,Longitude,HebName,blank5,Rishon,YS_id,IsWord,Notes,Sourcing,KaganID,JGenID,AltEng,USBGN,EngClean,_match_status,_match_method,_grade,_confidence,_sound_match,_flags,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
AT-00012,Deutschkreutz,47.6016309,16.6234423,צלם,,,,YES,,JGen,7005,2512,"Deutschkreutz [Ger], Sopronkeresztúr [Hun], Németkeresztúr [Hun, until 1899], Tseylem [Yid], Kerestur [Croa], Zelem",-1975556,Deutschkreutz,name_exact,name_exact,A_autolink,0.95,True,,18516,Deutschkreutz (Austria),דויטש קרויץ (אוסטריה),0.3,18516
AT-00012,Deutschkreutz,47.6016309,16.6234423,צע לעם,,,,,,Kagan,7005,2512,"Deutschkreutz [Ger], Sopronkeresztúr [Hun], Németkeresztúr [Hun, until 1899], Tseylem [Yid], Kerestur [Croa], Zelem",-1975556,Deutschkreutz,name_exact,name_exact,A_autolink,0.95,True,,18516,Deutschkreutz (Austria),דויטש קרויץ (אוסטריה),0.3,18516
AT-00012,Deutschkreutz,47.6016309,16.6234423,צעהלים,,,,,,,7005,2512,"Deutschkreutz [Ger], Sopronkeresztúr [Hun], Németkeresztúr [Hun, until 1899], Tseylem [Yid], Kerestur [Croa], Zelem",-1975556,Deutschkreutz,name_exact,name_exact,A_autolink,0.95,True,,18516,Deutschkreutz (Austria),דויטש קרויץ (אוסטריה),0.3,18516
AT-00012,Deutschkreutz,47.6016309,16.6234423,צעהלם,,,,,,Kagan,7005,2512,"Deutschkreutz [Ger], Sopronkeresztúr [Hun], Németkeresztúr [Hun, until 1899], Tseylem [Yid], Kerestur [Croa], Zelem",-1975556,Deutschkreutz,name_exact,name_exact,A_autolink,0.95,True,,18516,Deutschkreutz (Austria),דויטש קרויץ (אוסטריה),0.3,18516
AT-00012,Deutschkreutz,47.6016309,16.6234423,צעהלעם,,,,,,JGen,7005,2512,"Deutschkreutz [Ger], Sopronkeresztúr [Hun], Németkeresztúr [Hun, until 1899], Tseylem [Yid], Kerestur [Croa], Zelem",-1975556,Deutschkreutz,name_exact,name_exact,A_autolink,0.95,True,,18516,Deutschkreutz (Austria),דויטש קרויץ (אוסטריה),0.3,18516
AT-00012,Deutschkreutz,47.6016309,16.6234423,צעלים,,,,,,Kagan,7005,2512,"Deutschkreutz [Ger], Sopronkeresztúr [Hun], Németkeresztúr [Hun, until 1899], Tseylem [Yid], Kerestur [Croa], Zelem",-1975556,Deutschkreutz,name_exact,name_exact,A_autolink,0.95,True,,18516,Deutschkreutz (Austria),דויטש קרויץ (אוסטריה),0.3,18516
AT-00012,Deutschkreutz,47.6016309,16.6234423,צעלם,,,,,,NBY,7005,2512,"Deutschkreutz [Ger], Sopronkeresztúr [Hun], Németkeresztúr [Hun, until 1899], Tseylem [Yid], Kerestur [Croa], Zelem",-1975556,Deutschkreutz,name_exact,name_exact,A_autolink,0.95,True,,18516,Deutschkreutz (Austria),דויטש קרויץ (אוסטריה),0.3,18516
AT-00012,Deutschkreutz,47.6016309,16.6234423,צעלעם,,,,,,JGen,7005,2512,"Deutschkreutz [Ger], Sopronkeresztúr [Hun], Németkeresztúr [Hun, until 1899], Tseylem [Yid], Kerestur [Croa], Zelem",-1975556,Deutschkreutz,name_exact,name_exact,A_autolink,0.95,True,,18516,Deutschkreutz (Austria),דויטש קרויץ (אוסטריה),0.3,18516
AT-00013,Eisenstadt,47.84637,16.52796,אייזענשטאדט,,,,,,BZ,309,2504,"Eisenstadt [Ger], Kismarton [Hun], Ayznshtot [Yid], Željezno [Croa], Stadt Eisenstadt",-1976400,Eisenstadt,name_exact,name_exact,A_autolink,0.95,True,,654,Eisenstadt (Austria),איזנשטט (אוסטריה),0.4,654
AT-00014,Frauenkirchen,47.8357583,16.9261022,"פ""ק",,,,YES,,,6928,2510,"Frauenkirchen [Ger], Boldogasszony [Hun], Fertőboldogasszony",-1977276,Frauenkirchen,name_exact,name_exact,A_autolink,0.95,True,,20277,Frauenkirchen (Austria),פראואנקירכן (אוסטריה),0.8,20277
AT-00014,Frauenkirchen,47.8357583,16.9261022,פרויא קירכען,,,,,,Added to Kagan,6928,2510,"Frauenkirchen [Ger], Boldogasszony [Hun], Fertőboldogasszony",-1977276,Frauenkirchen,name_exact,name_exact,A_autolink,0.95,True,,20277,Frauenkirchen (Austria),פראואנקירכן (אוסטריה),0.8,20277
AT-00014,Frauenkirchen,47.8357583,16.9261022,פרויענקירכן,,,,,,LM/SS,6928,2510,"Frauenkirchen [Ger], Boldogasszony [Hun], Fertőboldogasszony",-1977276,Frauenkirchen,name_exact,name_exact,A_autolink,0.95,True,,20277,Frauenkirchen (Austria),פראואנקירכן (אוסטריה),0.8,20277
AT-00014,Frauenkirchen,47.8357583,16.9261022,פרויענקירכען,,,,,,LM/SS,6928,2510,"Frauenkirchen [Ger], Boldogasszony [Hun], Fertőboldogasszony",-1977276,Frauenkirchen,name_exact,name_exact,A_autolink,0.95,True,,20277,Frauenkirchen (Austria),פראואנקירכן (אוסטריה),0.8,20277
AT-00014,Frauenkirchen,47.8357583,16.9261022,פרויקירכען,,,,,,Prenum 1027,6928,2510,"Frauenkirchen [Ger], Boldogasszony [Hun], Fertőboldogasszony",-1977276,Frauenkirchen,name_exact,name_exact,A_autolink,0.95,True,,20277,Frauenkirchen (Austria),פראואנקירכן (אוסטריה),0.8,20277
AT-00014,Frauenkirchen,47.8357583,16.9261022,פרונקירכן,,,,,,LM/SS,6928,2510,"Frauenkirchen [Ger], Boldogasszony [Hun], Fertőboldogasszony",-1977276,Frauenkirchen,name_exact,name_exact,A_autolink,0.95,True,,20277,Frauenkirchen (Austria),פראואנקירכן (אוסטריה),0.8,20277
AT-00015,"Güssing, Austria",47.05932,16.32449,גיסונג,,,,,,,1682,2515,"Güssing [Ger], Németújvár [Hun], Gising [Yid], Guessing",-1979410,Güssing,name_exact,name_exact,A_autolink,0.95,True,,17715,Güssing (Austria),גוסינג (אוסטריה),0.1,17715
AT-00016,"Kittsee, Austria",48.0927458,17.0587371,קוצע,,,,,,Kagan,7538,2526,"Kittsee [Ger], Köpcsény [Hun], Kopčany [Slov], Gijeca [Croa], Gieca",-1982332,Kittsee,name_exact,name_exact,A_autolink,0.95,True,,22424,Kittsee (Austria),קיטזה (אוסטריה),3.0,22424
AT-00016,"Kittsee, Austria",48.0927458,17.0587371,קיטטזעע,,,,,,Kagan,7538,2526,"Kittsee [Ger], Köpcsény [Hun], Kopčany [Slov], Gijeca [Croa], Gieca",-1982332,Kittsee,name_exact,name_exact,A_autolink,0.95,True,,22424,Kittsee (Austria),קיטזה (אוסטריה),3.0,22424
AT-00016,"Kittsee, Austria",48.0927458,17.0587371,קיטצע,,,,,,,7538,2526,"Kittsee [Ger], Köpcsény [Hun], Kopčany [Slov], Gijeca [Croa], Gieca",-1982332,Kittsee,name_exact,name_exact,A_autolink,0.95,True,,22424,Kittsee (Austria),קיטזה (אוסטריה),3.0,22424
AT-00016,"Kittsee, Austria",48.0927458,17.0587371,קיצע,,,,,,,7538,2526,"Kittsee [Ger], Köpcsény [Hun], Kopčany [Slov], Gijeca [Croa], Gieca",-1982332,Kittsee,name_exact,name_exact,A_autolink,0.95,True,,22424,Kittsee (Austria),קיטזה (אוסטריה),3.0,22424
