UID,EngName,Latitude,Longitude,HebName,blank5,Rishon,YS_id,IsWord,Notes,Sourcing,KaganID,JGenID,AltEng,USBGN,EngClean,_match_status,_match_method,_grade,_confidence,_sound_match,_flags,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
US-00159,"Lawrence, MA",42.7070354,-71.1631137,לארענץ,,,,,,Prenum - Torat Yisrael,,,,,Lawrence,name_exact,coords,B_review,0.85,True,,6388,Lawrence (Mass.),לורנס (מסצ'וסטס),0.0,6388|9438|19129
US-00161,"Canton, MA",42.1584324,-71.1447732,קענטען,,,,,,Prenum - Torat Yisrael,,,,,Canton,name_exact,coords,B_review,0.85,True,,13620,Canton (Mass.),קנטון (מסצ'וסטס),0.0,6841|7405|13620|20392
US-00166,"Clinton, MA",42.4167634999999,-71.6829080999999,קלינטאן,,,,,,Prenum - Torat Yisrael,,,,,Clinton,name_exact,coords,B_review,0.85,True,,12761,Clinton (Mass.),קלינטון (מסצ'וסטס),0.0,6873|12761|12913
US-00168,"Portland, ME",43.6590993,-70.2568189,פארטלאנד,,,,,,Prenum - Torat Yisrael,,,,,Portland,name_exact,coords,B_review,0.85,True,,10750,Portland (Me.),פורטלנד (מיין),0.2,6482|10750|11273|16179
US-00170,"Montgomery, AL",32.3792233,-86.3077368,מאנטגאמרי,,,,,,Prenum - Torat Yisrael,,,,,Montgomery,name_exact,coords,B_review,0.85,True,,6987,Montgomery (Ala.),מונטגומרי (אלבמה),1.5,6987|13496
US-00171,"Auburn, ME",44.0978509,-70.2311655,אבערין,,,,,,Prenum - Minhat Yaakov,,,,,Auburn,name_exact,coords,B_review,0.85,True,,12042,Auburn (Me.),אובורן (מיין),1.3,8347|12042
US-00171,"Auburn, ME",44.0978509,-70.2311655,אבערן,,,,,,Prenum - Torat Yisrael,,,,,Auburn,name_exact,coords,B_review,0.85,True,,12042,Auburn (Me.),אובורן (מיין),1.3,8347|12042
US-00176,"Quincy, MA",42.2528772,-71.0022705,קווינסי,,,,,,https://hebrewbooks.org/pdfpager.aspx?req=2946&st=&pgnum=1&hilite=,,,,,Quincy,name_exact,coords,B_review,0.85,True,,10505,Quincy (Mass.),קווינסי (מסצ'וסטס),0.4,9475|10505
US-00181,"Camden, NJ",39.94,-75.105,קעמדאן,,,,,,רץ כצבי,,,,,Camden,name_exact,coords,B_review,0.85,True,,8619,Camden (N.J.),קמדן (ניו ג'רזי),0.4,7090|8619|9102|13999|14109
US-00181,"Camden, NJ",39.94,-75.105,קעמדין,,,,,,Prenum - Haruzei Margaliyot,,,,,Camden,name_exact,coords,B_review,0.85,True,,8619,Camden (N.J.),קמדן (ניו ג'רזי),0.4,7090|8619|9102|13999|14109
US-00181,"Camden, NJ",39.94,-75.105,קעמדען,,,,,,Prenum - Hemdat Yisrael,,,,,Camden,name_exact,coords,B_review,0.85,True,,8619,Camden (N.J.),קמדן (ניו ג'רזי),0.4,7090|8619|9102|13999|14109
US-00183,"Birmingham, AL",33.518611,-86.810278,בירמינגהאם,,,,,,Prenum - Hemdat Yisrael,,,,,Birmingham,name_exact,coords,B_review,0.85,True,,7730,Birmingham (Ala.),בירמינגהם (אלבמה),0.1,7171|7730
US-00183,"Birmingham, AL",33.518611,-86.810278,בירמינגהעם,,,,,,פרחי אהרן,,,,,Birmingham,name_exact,coords,B_review,0.85,True,,7730,Birmingham (Ala.),בירמינגהם (אלבמה),0.1,7171|7730
US-00183,"Birmingham, AL",33.518611,-86.810278,בירמינגטאן,,,,,,Prenum - Pri Yerucham,,,,,Birmingham,name_exact,coords,B_review,0.85,True,,7730,Birmingham (Ala.),בירמינגהם (אלבמה),0.1,7171|7730
US-00184,"Portland, OR",45.5051064,-122.6750261,פארטלאנד,,,,,,Prenum - Divrei Radakh,,,,,Portland,name_exact,coords,B_review,0.85,True,,6482,Portland (Or.),פורטלנד (אורגון),1.4,6482|10750|11273|16179
US-00184,"Portland, OR",45.5051064,-122.6750261,פורטלאנד,,,,,Rabbi Yosef Dov Fain,Prenum - Hemdat Yisrael,,,,,Portland,name_exact,coords,B_review,0.85,True,,6482,Portland (Or.),פורטלנד (אורגון),1.4,6482|10750|11273|16179
US-00188,"Springfield, MA",42.1014831,-72.589811,ספרינגהעלדמאס,,,,,Rabbi Shmuel Rapoport,Prenum - Hemdat Yisrael,,,,,Springfield,name_exact,coords,B_review,0.85,True,,7968,Springfield (Mass.),ספרינגפילד (מסצ'וסטס),3.7,6033|7720|7968|8224|10092|10706|12701|13894|25370
US-00188,"Springfield, MA",42.1014831,-72.589811,ספרינגפילד,,,,,,Prenum - Novardok Harkavy,,,,,Springfield,name_exact,coords,B_review,0.85,True,,7968,Springfield (Mass.),ספרינגפילד (מסצ'וסטס),3.7,6033|7720|7968|8224|10092|10706|12701|13894|25370
