kima_id	kima_rom	variant	source	fischer_uid	method	orig_status	dist_km	sourcing
18100	Simleul-Silvaniei (Romania)	שימלויא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00075	exact_geoverified	name_exact	0.5	
18100	Simleul-Silvaniei (Romania)	שימלעאל סילוואניע	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00075	exact_geoverified	name_exact	0.5	Prenum 0032
18100	Simleul-Silvaniei (Romania)	שימלעאל סילוואניעף	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00075	exact_geoverified	name_exact	0.5	Kagan
17933	Huedin (Romania)	ב' - הוניאד	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00076	exact_geoverified	name_exact	1.1	LM/SS
17933	Huedin (Romania)	ב' הוניאד	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00076	exact_geoverified	name_exact	1.1	LM/SS
17933	Huedin (Romania)	באנהייד	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00076	exact_geoverified	name_exact	1.1	"SHU""M"
17933	Huedin (Romania)	באנפי הוניאד	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00076	exact_geoverified	name_exact	1.1	
17933	Huedin (Romania)	באנפיהוניאד	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00076	exact_geoverified	name_exact	1.6	JGen
17933	Huedin (Romania)	האניאד	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00076	exact_geoverified	name_exact	1.1	Kagan
17933	Huedin (Romania)	האניאט	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00076	exact_geoverified	name_exact	1.1	Added to Kagan
17933	Huedin (Romania)	הועדין	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00076	exact_geoverified	name_exact	1.1	Kagan
9575	Tirgu-Mures (Romania)	מ' וואשארהעלי	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00078	coord_rearbitrated	fuzzy	1.4	Kagan
9575	Tirgu-Mures (Romania)	מאראשוואשארהעלי	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00078	coord_rearbitrated	fuzzy	1.4	Kagan
75115	Pungești (Romania)	פאנזעייש	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00080	coord_rearbitrated	fuzzy	3.1	"SHU""M"
75115	Pungești (Romania)	פאנזעשט	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00080	coord_rearbitrated	fuzzy	3.1	HareiBesamim
75115	Pungești (Romania)	פאניאטש	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00080	coord_rearbitrated	fuzzy	3.1	RSK
75115	Pungești (Romania)	פאניעשט	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00080	coord_rearbitrated	fuzzy	3.1	RSK
75115	Pungești (Romania)	פאנעטש	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00080	coord_rearbitrated	fuzzy	3.1	RSK
26109	Tîrgu Neamţ (Romania)	טרגו נאמץ	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00083	coord_rearbitrated	fuzzy	1.3	JGen
26109	Tîrgu Neamţ (Romania)	נאמיץ	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00083	coord_rearbitrated	fuzzy	1.3	Kagan
26109	Tîrgu Neamţ (Romania)	נעמיץ	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00083	coord_rearbitrated	fuzzy	1.3	RSK
23721	Bucecea (Romania)	באטשעטשויא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00084	exact_geoverified	name_exact	1.3	DivreiHayim
23721	Bucecea (Romania)	בוטשעטע	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00084	exact_geoverified	name_exact	1.3	Kagan
23721	Bucecea (Romania)	בוטשעטש	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00084	exact_geoverified	name_exact	1.3	JGen
23721	Bucecea (Romania)	בוטשעטשויא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00084	exact_geoverified	name_exact	1.3	DivreiHayim
23721	Bucecea (Romania)	בוטשעטשי	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00084	exact_geoverified	name_exact	1.3	HareiBesamim
23721	Bucecea (Romania)	בוטשעטשע	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00084	exact_geoverified	name_exact	1.3	BeitYitzchak
23721	Bucecea (Romania)	בוצעטשט	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00084	exact_geoverified	name_exact	1.3	RSK
23721	Bucecea (Romania)	בעטשאטש	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00084	exact_geoverified	name_exact	1.3	RSK
22774	Tasnad (Romania)	טאשנד	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00088	exact_geoverified	name_exact	0.2	Added to Kagan
14439	Odorheiu Secuiesc (Romania)	אדארהיי	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00092	exact_geoverified	name_exact	1.2	Kagan
14439	Odorheiu Secuiesc (Romania)	אודווארהעלי	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00092	exact_geoverified	name_exact	1.2	Kagan
14439	Odorheiu Secuiesc (Romania)	ס' אודווארהעלי	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00092	exact_geoverified	name_exact	1.2	Kagan
14439	Odorheiu Secuiesc (Romania)	סעקעלאודווארהעלי	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00092	exact_geoverified	name_exact	1.2	Kagan
14439	Odorheiu Secuiesc (Romania)	סעקעלי אודווארהעלי	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00092	exact_geoverified	name_exact	1.2	Dor4
81035	Ileanda (Sălaj, Romania)	אילאנא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00093	coord_rearbitrated	fuzzy	2.4	ZY
81035	Ileanda (Sălaj, Romania)	אילאנדא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00093	coord_rearbitrated	fuzzy	2.4	Kagan
81035	Ileanda (Sălaj, Romania)	אילאנדע	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00093	coord_rearbitrated	fuzzy	2.4	Kagan
81035	Ileanda (Sălaj, Romania)	איללאנדא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00093	coord_rearbitrated	fuzzy	2.4	ZY
81035	Ileanda (Sălaj, Romania)	אליאנדא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00093	coord_rearbitrated	fuzzy	2.4	Kagan
81035	Ileanda (Sălaj, Romania)	מ' אילאנדע	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00093	coord_rearbitrated	fuzzy	2.4	Hungarian Yeshivot
81035	Ileanda (Sălaj, Romania)	נאדיאילאנדא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00093	coord_rearbitrated	fuzzy	2.4	Kagan
13057	Reghin (Romania)	ס' רעגען	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00094	exact_geoverified	name_exact	0.8	Kagan
13057	Reghin (Romania)	סאס רעגע	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00094	exact_geoverified	name_exact	0.8	Katzav3
13057	Reghin (Romania)	סאס-רעגען	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00094	exact_geoverified	name_exact	0.8	
13057	Reghin (Romania)	סאסרעגין	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00094	exact_geoverified	name_exact	0.8	Prenum 946
13057	Reghin (Romania)	סאסרעגען	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00094	exact_geoverified	name_exact	0.8	Kagan
13057	Reghin (Romania)	רעגהין	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00094	exact_geoverified	name_exact	0.8	Kagan
1726	Reteag (Romania)	רטיאק	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00098	coord_rearbitrated	fuzzy	0.2	Kagan
1726	Reteag (Romania)	ריטאג	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00098	coord_rearbitrated	fuzzy	0.2	Prenum 946
1726	Reteag (Romania)	רעטטעג	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00098	coord_rearbitrated	fuzzy	0.2	Kagan
1726	Reteag (Romania)	רעטיאק	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00098	coord_rearbitrated	fuzzy	0.2	Kagan
1726	Reteag (Romania)	רעטיאש	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00098	coord_rearbitrated	fuzzy	0.2	Hungarian Yeshivot
1726	Reteag (Romania)	רעטיג	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00098	coord_rearbitrated	fuzzy	0.2	Kagan
1726	Reteag (Romania)	רעטעג	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00098	coord_rearbitrated	fuzzy	0.2	Kagan
1726	Reteag (Romania)	רעיטאג	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00098	coord_rearbitrated	fuzzy	0.2	Kagan
73180	Hida (Romania : Comună)	הידאל - מאש	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00100	coord_rearbitrated	fuzzy	2.5	LM/SS
73180	Hida (Romania : Comună)	הידאלמאש	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00100	coord_rearbitrated	fuzzy	2.5	Dor4
23737	Copalnic-Mănăştur (Romania)	מאנאשטאר	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00101	exact_geoverified	name_exact	0.0	Kagan
23737	Copalnic-Mănăştur (Romania)	מאנאשטוהר	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00101	exact_geoverified	name_exact	0.0	Kagan
23737	Copalnic-Mănăştur (Romania)	מאנאשטור	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00101	exact_geoverified	name_exact	0.0	Kagan
23737	Copalnic-Mănăştur (Romania)	מאנאשסטאר	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00101	exact_geoverified	name_exact	0.0	Dor4
23737	Copalnic-Mănăştur (Romania)	מאנישטיר	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00101	exact_geoverified	name_exact	0.0	Prenum 946
23737	Copalnic-Mănăştur (Romania)	מאנשטור	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00101	exact_geoverified	name_exact	0.0	Dor4
23737	Copalnic-Mănăştur (Romania)	מנש מאהר	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00101	exact_geoverified	name_exact	0.0	Kagan
23737	Copalnic-Mănăştur (Romania)	קאפאלנאקמאנאשטאר	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00101	exact_geoverified	name_exact	0.0	Kagan
23737	Copalnic-Mănăştur (Romania)	קאפאלניק מאנאשטאר	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00101	exact_geoverified	name_exact	0.0	Added to Kagan
23737	Copalnic-Mănăştur (Romania)	קפולנוק מונושטור	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00101	exact_geoverified	name_exact	0.0	JGen
23528	Tileagd (Romania)	מ. טעלעגעט	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00103	exact_geoverified	name_exact	5.0	LM/SS
23528	Tileagd (Romania)	מ’ טעלעגד	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00103	exact_geoverified	name_exact	5.0	Kagan
23528	Tileagd (Romania)	מעזעטעליג	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00103	exact_geoverified	name_exact	5.0	Kagan
23528	Tileagd (Romania)	מעזעטעליק	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00103	exact_geoverified	name_exact	5.0	Kagan
23528	Tileagd (Romania)	מעזעטעלעגד	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00103	exact_geoverified	name_exact	5.0	Kagan
85794	Apahida (Romania)	אפא הידיא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00105	coord_rearbitrated	fuzzy	1.7	Added to Kagan
85794	Apahida (Romania)	אפאהידא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00105	coord_rearbitrated	fuzzy	1.7	Dor4
12662	Bihor (Romania)	בוהר	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00112	exact_geoverified	name_exact	8.9	MASZ
23732	Cehu Silvaniei (Romania)	טשעה	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00126	exact_geoverified	name_exact	0.1	ZY
23732	Cehu Silvaniei (Romania)	ס' טשעה	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00126	exact_geoverified	name_exact	0.1	ZY
23732	Cehu Silvaniei (Romania)	סילאג' טעשה	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00126	exact_geoverified	name_exact	0.1	LM/SS
23732	Cehu Silvaniei (Romania)	סילאג' טשעה	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00126	exact_geoverified	name_exact	0.1	LM/SS
23732	Cehu Silvaniei (Romania)	סילאדיטשע	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00126	exact_geoverified	name_exact	0.1	Kagan
75196	Panticeu (Romania)	פאנטצעלטשוער	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00133	coord_rearbitrated	fuzzy	0.3	ZY
75196	Panticeu (Romania)	פאנטצעלטשעה	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00133	coord_rearbitrated	fuzzy	0.3	ZY
75196	Panticeu (Romania)	פאנצעלטשע	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00133	coord_rearbitrated	fuzzy	0.3	Kagan
18074	Telciu (Romania)	טעלטש	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00146	exact_geoverified	name_exact	10.0	Prenum 946
18074	Telciu (Romania)	טעלש	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00146	exact_geoverified	name_exact	10.0	Prenum - Divrei David 1912
1646	Orsova (Romania)	ג' ארשיעווע	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00190	coord_rearbitrated	fuzzy	297.9	Prenum - Shoresh Yishai
6200	Lupeni (Romania)	לופען	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00206	exact_geoverified	name_exact	190.9	Kagan
6200	Lupeni (Romania)	לופעני	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00206	exact_geoverified	name_exact	190.9	Kagan
6200	Lupeni (Romania)	ליפיענע	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00206	exact_geoverified	name_exact	190.9	Kagan
6200	Lupeni (Romania)	פאסקאשלאקא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00206	exact_geoverified	name_exact	190.9	Prenum - Shoresh Yishai
76547	Florești (Moldova)	פאלאטשין	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00218	coord_rearbitrated	fuzzy	336.5	Prenum - Shoresh Yishai
26077	Mihăileni (Botoşani, Romania)	סענטמיהאלי	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00224	exact_geoverified	name_exact	193.5	Prenum - Shoresh Yishai
20890	Bezidu Nou (Romania)	אויפאלא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00225	exact_geoverified	name_exact	0.0	Shaarei Tzedek
20890	Bezidu Nou (Romania)	באזאד אויפאלא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00225	exact_geoverified	name_exact	0.0	Binat Ysaskhar
20890	Bezidu Nou (Romania)	ביזידאויפלו	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00225	exact_geoverified	name_exact	0.0	Other
6919	Bivolari (Iasi, Romania)	ביוואלאר	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00231	exact_geoverified	name_exact	2.2	Rabaz
6919	Bivolari (Iasi, Romania)	גיולאר	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00231	exact_geoverified	name_exact	2.2	JGen
19295	Borșa (Cluj, Romania)	בארשע	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00232	exact_geoverified	name_exact	0.0	Added to Kagan
19295	Borșa (Cluj, Romania)	בורשא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00232	exact_geoverified	name_exact	0.0	JGen
19295	Borșa (Cluj, Romania)	קאלאזשבארשא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00232	exact_geoverified	name_exact	0.0	Kagan
15173	Hîrlău (Romania)	הארלוי	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00233	exact_geoverified	name_exact	1.1	JGen
89446	Ruscova (Romania)	ווישא אראס	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00235	coord_rearbitrated	fuzzy	1.3	Kagan
89446	Ruscova (Romania)	רוסקווע	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00235	coord_rearbitrated	fuzzy	1.3	Kagan
89446	Ruscova (Romania)	רוסקייווע	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00235	coord_rearbitrated	fuzzy	1.3	Kagan
89446	Ruscova (Romania)	ריסקאווי	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00235	coord_rearbitrated	fuzzy	1.3	Kagan
89446	Ruscova (Romania)	ריסקאווע	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00235	coord_rearbitrated	fuzzy	1.3	Kagan
89446	Ruscova (Romania)	ריסקווה	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00235	coord_rearbitrated	fuzzy	1.3	JGen
89446	Ruscova (Romania)	ריסקווע	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00235	coord_rearbitrated	fuzzy	1.3	Kagan
89446	Ruscova (Romania)	ריסקיווא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00235	coord_rearbitrated	fuzzy	1.3	Kagan
89446	Ruscova (Romania)	ריסקיוויא	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00235	coord_rearbitrated	fuzzy	1.3	Kagan
89446	Ruscova (Romania)	ריסקיווע	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00235	coord_rearbitrated	fuzzy	1.3	Added to Kagan
16230	Strîmtura (Maramureș, Romania)	סארדאק	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00236	exact_geoverified	name_exact	4.8	Kagan
16230	Strîmtura (Maramureș, Romania)	סורדאק	Fischer gazetteer (Expanded-Gaz-TENTATIVE)	RO-00236	exact_geoverified	name_exact	4.8	Kagan
