yiddish	occ	fields	proposed_qid	proposed_label	wikidata_desc	kima_fuzzy	recommendation
מאַרמאַראָש סיגעט	1	settlements				|cand:99	CHECK Kima fuzzy
מאָלדאַוויע	1	province				|cand:9587|4747|17740	CHECK Kima fuzzy
מאונט זייאָן	1	place				|cand:5920	CHECK Kima fuzzy
מינעאָפּאָליס	1	settlements				|cand:232	CHECK Kima fuzzy
מינעאפּאָליס	1	settlements				|cand:232	CHECK Kima fuzzy
נאָוואָסעלץ	1	settlements				|cand:11673|20123	CHECK Kima fuzzy
נאָווגאָראָד	1	settlements				|cand:26915|87076|80796|15084|10479	CHECK Kima fuzzy
סאָקאָלאָוו	1	settlements				|cand:12488|71981|17745	CHECK Kima fuzzy
סאוט העיווען	1	settlements				|cand:70319	CHECK Kima fuzzy
סואַוואָלק	1	settlements				|cand:30	CHECK Kima fuzzy
סווערדלאָווסק	1	settlements				|cand:23164|11869|25231	CHECK Kima fuzzy
סוילן	1	country				|cand:80384|26883|3080|23617|103	CHECK Kima fuzzy
סט. לואיז	1	settlements				|cand:109	CHECK Kima fuzzy
פּאָדהייצע	1	settlements				|cand:13064|19432	CHECK Kima fuzzy
פּאָלן	1	countries				|cand:18688|72975|82988|13380|13905	CHECK Kima fuzzy
פּיילן	1	country				|cand:18688|72975|82988|13380|13905	CHECK Kima fuzzy
פּענזע	1	settlements				|cand:8610|11087|7803	CHECK Kima fuzzy
פּערם	1	settlements				|cand:90125|16402|8753|6261|80263	CHECK Kima fuzzy
פאָמאָרען	1	province				|cand:18915|71243|2230|20889	CHECK Kima fuzzy
פולאדעלפיע	1	settlements				|cand:408	CHECK Kima fuzzy
פילאדלפיע	1	settlements				|cand:408	CHECK Kima fuzzy
קאַליינע	1	place				|cand:71953|88338|90149|6501|13492	CHECK Kima fuzzy
קאַרסען	1	settlements				|cand:78336|27161|11867|87704|720	CHECK Kima fuzzy
קאָלאָמעע	1	settlements				|cand:1674|6915|19460|12194|14264	CHECK Kima fuzzy
קאָקאַנד	1	settlements				|cand:85784	CHECK Kima fuzzy
קאָקאנד	1	settlements				|cand:85784	CHECK Kima fuzzy
קלייוולאַנד	1	settlements				|cand:402|85655	CHECK Kima fuzzy
קראַקאָווע	1	settlements				|cand:489|87089	CHECK Kima fuzzy
קראָסנאַדאַרער געגנט	1	province				|cand:10131	CHECK Kima fuzzy
קראָקאַווע	1	settlements				|cand:489|87089	CHECK Kima fuzzy
רעשע	1	settlements				|cand:444|451|9562|13422	CHECK Kima fuzzy
פֿאָרזען	1	place				|cand:12553|12554|418	CHECK Kima fuzzy
פֿהילאָדעלפהיאַ	1	settlements				|cand:408	CHECK Kima fuzzy
