kima_id	kima_rom	variant	variant_norm	n_datasets	datasets	sources	provenance
20538	Tryškiai (Lithuania)	טרישק	טרישק	1	Fischer	Fischer:LT-00194	exact_geoverified
20545	Oster (Ukraine)	אסטער	אסטער	1	Fischer	Fischer:UA-00769	exact_geoverified
20550	Bučovice (Jihomoravský kraj, Czech Republic)	בודישפיץ	בודישפיץ	1	Fischer	Fischer:CZ-00048	exact_geoverified
20550	Bučovice (Jihomoravský kraj, Czech Republic)	בודעשפיץ	בודעשפיץ	1	Fischer	Fischer:CZ-00048	exact_geoverified
20550	Bučovice (Jihomoravský kraj, Czech Republic)	בודשפיץ	בודשפיץ	1	Fischer	Fischer:CZ-00048	exact_geoverified
20550	Bučovice (Jihomoravský kraj, Czech Republic)	בוטשאוויץ	בוטשאוויץ	1	Fischer	Fischer:CZ-00048	exact_geoverified
20551	Radziejów (Poland)	ראדזיווע	ראדזיווע	1	Fischer	Fischer:PL-00330	exact_geoverified
20551	Radziejów (Poland)	ראדזייעון	ראדזייעון	1	Fischer	Fischer:PL-00330	exact_geoverified
20551	Radziejów (Poland)	ראדזיעווע	ראדזיעווע	1	Fischer	Fischer:PL-00330	exact_geoverified
20551	Radziejów (Poland)	ראדזעווע	ראדזעווע	1	Fischer	Fischer:PL-00330	exact_geoverified
20551	Radziejów (Poland)	ראדזעיעוו	ראדזעיעוו	1	Fischer	Fischer:PL-00330	exact_geoverified
20551	Radziejów (Poland)	יוליוסבורג	יוליוסבורג	1	Fischer	Fischer:PL-01483	exact_geoverified
20559	Pilisvörösvár (Hungary)	וואראשוואר	וואראשוואר	1	Fischer	Fischer:HU-00099	exact_geoverified
20559	Pilisvörösvár (Hungary)	ווערעשוואהר	ווערעשוואהר	1	Fischer	Fischer:HU-00099	exact_geoverified
20559	Pilisvörösvár (Hungary)	ווערשוואר	ווערשוואר	1	Fischer	Fischer:HU-00099	exact_geoverified
20581	Forth (Scotland)	פארטה	פארטה	1	Fischer	Fischer:DE-00459	exact_geoverified
20591	Bleicherode (Germany)	בלאכרויט	בלאכרויט	1	Fischer	Fischer:DE-00128	exact_geoverified
20591	Bleicherode (Germany)	בלייכעראדע	בלייכעראדע	1	Fischer	Fischer:DE-00128	exact_geoverified
20591	Bleicherode (Germany)	בלייכראדי	בלייכראדי	1	Fischer	Fischer:DE-00128	exact_geoverified
20596	Burshtyn (Ukraine)	בארשטיין	בארשטיין	1	Fischer	Fischer:UA-00035	exact_geoverified
20596	Burshtyn (Ukraine)	בארשטין	בארשטין	1	Fischer	Fischer:UA-00035	exact_geoverified
20596	Burshtyn (Ukraine)	בארשטיען	בארשטיען	1	Fischer	Fischer:UA-00035	exact_geoverified
20596	Burshtyn (Ukraine)	בורשטיין	בורשטיין	1	Fischer	Fischer:UA-00035	exact_geoverified
20596	Burshtyn (Ukraine)	בירשטין	בירשטין	1	Fischer	Fischer:UA-00035	exact_geoverified
20596	Burshtyn (Ukraine)	בערשטיין	בערשטיין	1	Fischer	Fischer:UA-00035	exact_geoverified
20596	Burshtyn (Ukraine)	בערשטין	בערשטין	1	Fischer	Fischer:UA-00035	exact_geoverified
20596	Burshtyn (Ukraine)	ברשטין	ברשטין	1	Fischer	Fischer:UA-00035	exact_geoverified
20611	Pochep (Russia)	פאצעב	פאצעב	1	Fischer	Fischer:RU-00040	exact_geoverified
20619	Ashmi︠a︡ny (Belarus)	אָשמיאַנאַ	אשמיאנא	1	Zylbercweig	Zylbercweig:Q722836	4-facs_47_r_2
20619	Ashmi︠a︡ny (Belarus)	אושמיאני	אושמיאני	1	Fischer	Fischer:BY-00409	exact_geoverified
20619	Ashmi︠a︡ny (Belarus)	אסמאנא	אסמאנא	1	Fischer	Fischer:BY-00409	exact_geoverified
20619	Ashmi︠a︡ny (Belarus)	אסמינא	אסמינא	1	Fischer	Fischer:BY-00409	exact_geoverified
20619	Ashmi︠a︡ny (Belarus)	אסמינע	אסמינע	1	Fischer	Fischer:BY-00409	exact_geoverified
20619	Ashmi︠a︡ny (Belarus)	אסמענא	אסמענא	1	Fischer	Fischer:BY-00409	exact_geoverified
20619	Ashmi︠a︡ny (Belarus)	אסמענע	אסמענע	1	Fischer	Fischer:BY-00409	exact_geoverified
20619	Ashmi︠a︡ny (Belarus)	אשמינא	אשמינא	1	Fischer	Fischer:BY-00409	exact_geoverified
20623	Šamorín (Slovakia)	סאמאריאן	סאמאריאן	1	Fischer	Fischer:SK-00230	exact_geoverified
20623	Šamorín (Slovakia)	סאמאריין	סאמאריין	1	Fischer	Fischer:SK-00230	exact_geoverified
20623	Šamorín (Slovakia)	סאמארין	סאמארין	1	Fischer	Fischer:SK-00230	exact_geoverified
20623	Šamorín (Slovakia)	סעמעריין	סעמעריין	1	Fischer	Fischer:SK-00230	exact_geoverified
20623	Šamorín (Slovakia)	שאמאריא	שאמאריא	1	Fischer	Fischer:SK-00230	exact_geoverified
20629	Creglingen (Germany)	קרעגלינגען	קרעגלינגען	1	Fischer	Fischer:DE-00301	exact_geoverified
20629	Creglingen (Germany)	קרעהלינגען	קרעהלינגען	1	Fischer	Fischer:DE-00301	exact_geoverified
20655	Tire (Turkey)	טיריא	טיריא	1	Fischer	Fischer:TR-00016	exact_geoverified
