verdict	occ	yiddish	kima_qid	kima_rom	wd_top_place	wd_top_desc
AGREE	1	בן-שמן	Q2777009	Kefar ha-Noar Ben Shemen (Israel)	Q2895304	human settlement in Israel
AGREE	1	קראקא	Q31487	Krakow (Poland)	Q31487	capital city of Lesser Poland Voivodeship in sou
AGREE	1	נירנבערג	Q2090	Nuremberg (Germany)	Q2090	city in the German state of Bavaria
AGREE	1	בראָזיל	Q155	Brazil	Q155	country in South America
AGREE	1	באָזעל	Q78	Basel (Switzerland)	Q78	city on the Rhine in Switzerland
AGREE	1	ראָדין	Q2995176	Radunʹ (Belarus)	Q2995176	urban-type settlement in Belarus
AGREE	1	פּאָריז	Q90	Paris (France)	Q90	capital and most populous city in France
AGREE	1	סטאָמבול	Q406	Istanbul (Turkey)	Q406	largest city in Turkey
AGREE	1	פּראָווידענס	Q18383	Providence (R.I.)	Q18383	capital city of Rhode Island, United States
AGREE	1	פאָריז	Q90	Paris (France)	Q90	capital and most populous city in France
AGREE	1	ראַדין	Q2995176	Radunʹ (Belarus)	Q2995176	urban-type settlement in Belarus
AGREE	1	האַנאָווער	Q1715	Hannover (Germany)	Q1715	capital city of the German federated state of Lo
AGREE	1	האַמבורג	Q1055	Hamburg (Germany)	Q1055	city and state in the North of Germany
AGREE	1	טאראנטא	Q172	Toronto (Ont.)	Q172	capital and largest city of the province of Onta
AGREE	1	טאָראָׁנטאָ	Q172	Toronto (Ont.)	Q172	capital and largest city of the province of Onta
AGREE	1	צפת	Q188336	Tsefat (Israel)	Q188336	city in northern Israel
