qid,label_en,label_yi,place_type,category,variants,lat,lon,n_attestations,_match_status,_match_method,_confidence,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
Q1027527,Vengeance,,album,other,זשאָרקי,,,1,no_match,,0.0,,,,,
Q1029455,Platystemon,,taxon,other,באָבט,,,1,no_match,,0.0,,,,,
Q1033609,Canossa,,Wikimedia disambiguation page,other,באָבין,,,1,name_exact,name_exact,0.95,17348,Canossa (Italy),קאנוסה (איטליה),,
Q1043050,Polygala tenuifolia,,taxon,other,סטאָוויסק,,,2,no_match,,0.0,,,,,
Q1048117,NGC 2309,,"star cluster, open cluster",other,וויטקאָוו,,,1,no_match,,0.0,,,,,
Q1048143,Casper Norrild,,human,other,קאָזיאַטיין,,,3,no_match,,0.0,,,,,
Q1048172,Yarmolynetsi,,,other,יאָרמעלינעץ,,,1,fuzzy,fuzzy,1.0,,,,,723
Q1048182,Cass Ballenger,,human,other,סקאָלאַ;סקאָלאָ;סקאָלע,,,3,no_match,,0.0,,,,,
Q1049024,Casten,,Wikimedia disambiguation page,other,איזשביץ,,,2,fuzzy,fuzzy,1.0,,,,,10152|84679
Q1049050,Yenikeyevo,,hamlet,other,יאַנאָווע,,,2,no_match,,0.0,,,,,
Q1049168,Xeon Phi,,"computer architecture, model series",other,ליביוונע,,,1,no_match,,0.0,,,,,
Q1049177,,,"active galactic nucleus, spiral galaxy",other,לויוויטש,,,2,no_match,,0.0,,,,,
Q1049200,Ságat,,"periodical, newspaper",other,מאָטעלע,,,2,fuzzy,fuzzy,1.0,,,,,73473|99|20326
Q1049242,DiskImageMounter,,software,other,אָפּאָליע;אָפּאָלע,,,2,no_match,,0.0,,,,,
Q1049253,cel shading,,"animation technique, type of graphics",other,פּאָדעמביץ,,,1,no_match,,0.0,,,,,
Q1049260,Sádaba Castle,,castle,other,פּשעראָסלע,,,1,no_match,,0.0,,,,,
Q1049284,Castillo y Guzmán,,Wikimedia disambiguation page,other,ראַדאָמיסל,,,2,no_match,,0.0,,,,,
Q1049285,Kikyō Station,,"railway station, railway station above ground, contracted station, Q123094976",other,ראָהאַטשאָוו;ראָהאָטשאָוו,,,2,no_match,,0.0,,,,,
Q1049288,Wilson Airport,,"airport, commercial traffic aerodrome",other,ראָגאָווא;ראָגאָוואַ,,,2,no_match,,0.0,,,,,
Q1049332,NGC 2488,,"galaxy, astronomical radio source, astrophysical X-ray source, lenticular galaxy",other,סטרזשיזשאָוו,,,1,no_match,,0.0,,,,,
Q105206,Bukovina,בוקאווינא,"region, military district, historical administrative division, Ukrainian historical regions, Historical regions of Romania",province,בוקאָווינע,,,1,name_exact,wikidata,0.99,3056,Bukovina (Romania and Ukraine),בוקובינה (רומניה-אוקראינה),,
Q1055082,Yermotayevo,,hamlet,other,לוזשנאַ,,,1,no_match,,0.0,,,,,
Q1063019,La Pernelle,,commune of France,settlement,אַלמיץ,,,1,no_match,,0.0,,,,,
Q1077905,Aștileu,,commune of Romania,settlement,אָסטיליע,,,1,fuzzy,fuzzy,1.0,,,,,69985|12736|1135
Q108476,David Chotjewitz,,human,other,גאָרליצע,,,1,no_match,,0.0,,,,,
Q108493,Emily Wood,,human,other,קוטנאָ;קוטנע,,,4,no_match,,0.0,,,,,
Q108497,Bernd Dost,,human,other,טאַרנאָוו;טאָרנאָוו,,,4,no_match,,0.0,,,,,
Q1086702,20371 Ekladyous,,asteroid,other,דובראָווע,,,1,no_match,,0.0,,,,,
Q1092069,Cimbria,,Wikimedia disambiguation page,other,זוואָניעץ,,,1,fuzzy,fuzzy,1.0,,,,,8580|17724|10954|7759|6896
Q1094527,Olivuccio di Ciccarello,,human,other,בעכעווע,,,1,no_match,,0.0,,,,,
Q10958,Neunkirchen,,municipality without town privileges in Germany,settlement,פּיאַטערגאָרי,,,1,name_exact,name_exact,0.95,15141,Neunkirchen am Sand (Germany),נוינקירכן אם זנד (גרמניה),,
Q1097636,Inó,,Wikimedia disambiguation page,other,ביאָלאַ-צערקאָוו;ביעלאַ צערקאָוו;ביעלאַ-צערקאָוו;ביעלאָצערקאָוו;בעלאַ צערקאָוו,,,10,no_match,,0.0,,,,,
Q109917219,Rare-earth mineralization in late carbonatites of the Novopoltavsk Massif,,scholarly article,other,נאָוואַפּאָלטאָווסק,,,1,no_match,,0.0,,,,,
Q1111390,Schlayer,,Wikimedia disambiguation page,other,מעזשיבעזש;מעזשירעוו,,,3,no_match,,0.0,,,,,
Q1116456,badminton at the 1990 Commonwealth Games,,badminton at the Commonwealth Games,other,מיאָדל,,,1,no_match,,0.0,,,,,
Q1116483,Daniel Flores,,human,other,ביניאַקאָני,,,1,no_match,,0.0,,,,,
Q1122237,Donati,,Wikimedia disambiguation page,other,רואיזנא,,,1,fuzzy,fuzzy,1.0,,,,,20969
Q112707,House of Romanov,,"dynasty, royal family",other,ראָמאַנאָוו,,,1,no_match,,0.0,,,,,
Q1128219,Men's FIH Hockey World Cup,,recurring tournament,other,בערשאָן,,,1,no_match,,0.0,,,,,
Q1134849,Corps Franconia Hamburg,,German Student Corps,other,באָלטאָ,,,1,no_match,,0.0,,,,,
Q114591,geomagnetism,,branch of physics,other,וולאַצלאַוועק;וולאַצלאָוועק;וולאָצלאַוועק;וולאצלאַוועק,,,6,no_match,,0.0,,,,,
Q11555839,Horado,,dissolved municipality of Japan,settlement,גאָרוד,,,1,fuzzy,fuzzy,1.0,,,,,9109|86832
Q11780346,Mielnica,,river,other,מיעלניץ,,,1,fuzzy,fuzzy,1.0,,,,,1656|18792
Q118995,Muş,,"city, big city, district of Turkey, municipality",neighborhood,מוש,,,1,name_exact,wikidata,0.99,16753,Muş (Turkey),מוס (טורקיה),,
Q1210789,Ramanantsoavana's woolly lemur,,taxon,other,גראָדעק;גרודעק,,,2,no_match,,0.0,,,,,
Q1221977,Silesian Parliament,,"parliament, unicameral legislature",other,דראָהייטשין,,,1,no_match,,0.0,,,,,
Q123038,Maserati GranTurismo,,automobile model,other,גראָכאָוו,,,2,no_match,,0.0,,,,,
Q12407577,Vasloi,,,other,וואָסלוי;וואסלוי,,,2,fuzzy,fuzzy,1.0,,,,,17027|14928|10259|77366|10168
Q1241960,Béla Pál,,human,other,זעמבין,,,1,no_match,,0.0,,,,,
Q124419,Henning Wolff,,human,other,קאַנאַטאָפּ;קאָנאַטאָפּ,,,3,no_match,,0.0,,,,,
Q1244558,Dorfkirche Neu Schadow,,aisleless church,other,לובאָר,,,1,no_match,,0.0,,,,,
Q1247685,Corpse,,Wikimedia disambiguation page,other,קאָדימאַ,,,2,no_match,,0.0,,,,,
Q124807223,Sagaidak,,rural area,other,קאָלאָניע סאגיידאק,,,1,no_match,,0.0,,,,,
Q1251,Cottian Alps,,alpine section,other,אַדזוד,,,1,no_match,,0.0,,,,,
Q125286,Poltava,,,,פּאָלטאַווע,,,1,name_exact,name_exact,0.95,511,Poltava (Ukraine),פולטבה (אוקראינה),,
Q125413,Hrubieszów County,,powiat,other,הרובישעוו,,,1,no_match,,0.0,,,,,
Q1260143,Megalaima asiatica,,taxon,other,טאוסט,,,1,no_match,,0.0,,,,,
Q126099,Ostrołęka,,,other,אָסטראָלענקאַ;אָסטראָלענקאָ,,,3,name_exact,name_exact,0.95,11651,"Ostrołęka (Ostrołęka, Poland)","אוסטרולקה (אוסטרולקה, פולין)",,
Q1261285,Drummeholm,,islet,other,אַדימאָוו,,,1,no_match,,0.0,,,,,
Q1264978,Dumfries,,Wikimedia disambiguation page,other,זוואָנטשיק,,,1,name_exact,name_exact,0.95,15163,Dumfries (Scotland),דומפריס (סקוטלנד),,
Q1268613,Holger Dieckmann,,human,other,דיקאַווקע,,,1,no_match,,0.0,,,,,
Q1283396,Myrddin Wyllt,,fictional human,other,כאָטין,,,3,no_match,,0.0,,,,,
Q128390,FC Oleksandriya,,association football club,other,אַלעקסאַנדיאָ,,,1,fuzzy,fuzzy,0.769,,,,,18391|667
Q1309,Maastricht,,"municipality of the Netherlands, cadastral populated place in the Netherlands, municipality seat, border city, big city, Roman city, place with town rights and privileges",settlement,מאָסט,,,1,name_exact,wikidata,0.99,6899,Maastricht (Netherlands),מסטריכט (הולנד),,
Q132854,(1048) Feodosia,,asteroid,other,פֿעאָדאָסיאָ,,,1,no_match,,0.0,,,,,
Q1343217,Cheremosh River,טשערעמאש טייך,river,other,טשערעמאַש,,,1,no_match,,0.0,,,,,
Q135309067,Vukina,,family name,other,"וואוקיין, נעבן ראָדזין",,,1,no_match,,0.0,,,,,
Q1384,New York,ניו יארק,U.S. state,province,נ. י.,,,1,name_exact,wikidata,0.99,9561,New York (State),ניו יורק (מדינה),,
Q138473535,,,human,other,אַלעיאָוו,,,1,no_match,,0.0,,,,,
Q1400,Pennsylvania,פענסילוועניע,U.S. state,province,פֿילאָדעלפיע,,,1,name_exact,wikidata,0.99,6280,Pennsylvania,פנסילבניה,,
Q1408,New Jersey,ניו זשערסי,U.S. state,province,ניו דזשוירזי;ניו-דזשוירזי;פאַרק ריטש,,,4,name_exact,wikidata,0.99,8821,New Jersey,ניו ג'רזי,,
Q141796,Türi,,"city, alev",settlement,טורגעל,,,1,name_exact,name_exact,0.95,18357,Turi (Italy),טורי (איטליה),,
Q142,France,פראנקרייך,"sovereign state, colonial power, Mediterranean country, republic, country",country,פֿראַנקרייך,,,3,name_exact,wikidata,0.99,6399,France,צרפת,,
Q146521,Włocławek,,,,וולאַצלאָוועק,,,1,name_exact,name_exact,0.95,15730,Włocławek (Poland),ולוצלאווק (פולין),,
Q146663,Monastyryska Raion,,former raion of Ukraine,other,מאַנאַסטעזשיסק,,,1,no_match,,0.0,,,,,
Q148,People's Republic of China,כינע,"sovereign state, socialist state, secular state, constitutional republic, people's republic, dictatorship of the proletariat, state with limited recognition, communist state, country",country,כינע,,,1,name_exact,wikidata,0.99,7218,China,סין,,
Q148015,Zarnow,,river,other,זשאַרנישטש,,,1,fuzzy,fuzzy,0.6,,,,,765|85391
Q148966,Solomon Islands,,"archipelago, island group",other,"זשעשאָוו;רזשעשאָוו (ריישע);רזשעשאָוו, (ריישע)",,,3,name_exact,name_exact,0.95,6419,Solomon Islands,איי שלמה,,
Q149201,Ichnia,,city in Ukraine,settlement,איטשנע,,,1,fuzzy,fuzzy,1.0,,,,,19202|90676|90704|8833|77959
Q15180,Soviet Union,סאוועטן פארבאנד,"federal republic, socialist state, historical country, sovereign state, communist state, transcontinental country, supranational union, member states of the United Nations, permanent members of the United Nations Security Council, cratonym, state, counterintelligence state, country",country,סאָוויעט רוסלאַנד;סאָוויעט-רוסלאַנד;סאָוויעטנפֿאַרבאַנד,,,3,name_exact,wikidata,0.99,9562,Soviet Union,ברית המועצות,,
Q152010,Treblinka extermination camp,טרעבלינקע,"extermination camp, Nazi concentration camp, architectural heritage monument",death_site,טרעבלינקע;טרעבלינקע גאַז אויוונס,,,31,no_match,,0.0,,,,,
Q152406,Kiryat Gat,קרית גת,"city, city council",settlement,אָסוויע,31.606111,34.771667,1,name_exact,wikidata,0.99,478,Kiryat Gat (Israel),קרית גת (ישראל),0.0,
Q152978,,,asteroid,other,שטוטהאָף,,,2,no_match,,0.0,,,,,
Q153324,Condor Legion,,military unit,other,מאַידאַנעק;מאידאַנעק;מיידאַנעק,,,10,no_match,,0.0,,,,,
Q153336,Minsk Ghetto,,"ghetto in Nazi-occupied Europe, Jewish ghetto",death_site,מינסקער געטאָ,,,8,no_match,,0.0,,,,,
Q153715,Klintsy,,city or town,settlement,קלינצי,,,1,name_exact,wikidata,0.99,19618,"Klint︠s︡y (Bri︠a︡nskai︠a︡ oblastʹ, Russia)",קלינצי (רוסיה),,
Q154607,Warsaw Ghetto,וואַרשע געטא,"ghetto in Nazi-occupied Europe, Jewish ghetto",death_site,וואַרשעווער געטאָ,,,34,no_match,,0.0,,,,,
Q155,Brazil,בראזיל,"sovereign state, secular state, country, federal republic",country,בראַזיל;בראָזיל;בראָזיליע,,,5,name_exact,wikidata,0.99,7255,Brazil,ברזיל,,
Q155321,Land of Israel,ארץ ישראל,"region, historical region, biblical concept, term, endonym",province,אַרץ ישראל;ארץ ישראל;ארץ-ישראל,,,5,name_exact,wikidata,0.99,2501,Eretz Israel,ארץ ישראל,,
Q156593,Sambir,סאמבאר,"city of regional significance of Ukraine, human settlement",settlement,סאַמבאָר,,,1,name_exact,name_exact,0.95,12414,"Sambir (Sambirsʹkyĭ raĭon, Ukraine)",סמבור (אוקראינה),,
Q156731,Claes Oldenburg,,human,other,אָסטראָג,,,2,no_match,,0.0,,,,,
Q156733,Landsknecht,,,other,טשערקאַס;טשערקאָס,,,2,no_match,,0.0,,,,,
Q156737,Kiel University,,"public university, local Internet registry, comprehensive university",other,מיקאָלייווע;ניקאָלאַיעוו;ניקאָלאָיעוו,,,10,no_match,,0.0,,,,,
Q156758,,,asteroid,other,קאָלאָמעא;קאָלאָמעאַ;קאָלאָמעאָ,,,7,no_match,,0.0,,,,,
Q156812,Uhniv,,city in Ukraine,settlement,אָוהאַנאָוו (היבינעוו);אוהאַנאָוו,,,2,name_exact,wikidata,0.99,13189,Uhniv (Ukraine),היבניב (אוקראינה),,
Q156818,Sniatyn,סניאטין,city in Ukraine,settlement,סניאטין,,,1,name_exact,wikidata,0.99,1738,Sni︠a︡tyn (Ukraine),שניאטין (אוקראינה),,
Q156825,Sheptytskyi,קריסניפאליע,city in Ukraine,settlement,קריסטאָפּאָל,,,1,name_exact,wikidata,0.99,19848,Chervonohrad (Ukraine),קריסנפוליו (אוקראינה),,
Q157472,Dolyna,דאלינע,city in Ukraine,settlement,דאָלינע,,,1,name_exact,name_exact,0.95,18220,"Vesela Dolyna (Odesʹka oblastʹ, Ukraine)",דאלינע (אוקראינה),,
Q157645,Deutsche Post AG,,"postal service, business, public company, enterprise",other,אַטלאַנטיק סיטי,,,2,no_match,,0.0,,,,,
Q157720,Capoliveri,,comune of Italy,other,פלינסק,,,1,no_match,,0.0,,,,,
Q157992,Bełchatów,,"city or town, urban municipality of Poland",settlement,באַלטרעמאַנץ,,,1,name_exact,wikidata,0.99,15758,Bełchatów (Poland),בלכטוב (פולין),,
Q158068,Lobelia dortmanna,,taxon,other,דיבנע,,,1,no_match,,0.0,,,,,
Q158923,Stryi,סטרי,"city of regional significance of Ukraine, human settlement",settlement,סטרי,,,1,name_exact,wikidata,0.99,1743,Stryĭ (Ukraine),סטריי (אוקראינה),,
Q159,Russia,רוסלאנד,"sovereign state, secular state, country, transcontinental country, federation, successor state",country,רוס לאַנד;רוסלאַנד;רוסלאנד,,,45,name_exact,name_exact,0.95,6817,"Russia (Territory under White armies, 1918-1920)","רוסיה (טריטוריה תחת צבאות לבנים, 1918-1920)",,
Q159288,Santa Barbara,,"city in the United States, charter city, county seat",settlement,האַנטינגטאָן,,,1,name_exact,wikidata,0.99,7837,Santa Barbara (Calif.),סנטה ברברה (קליפורניה),,
Q159289,Anthericum ramosum,,taxon,other,לעלציץ;לענטשיץ,,,2,no_match,,0.0,,,,,
Q159301,Chrysosplenium oppositifolium,,taxon,other,שעראָדז,,,3,no_match,,0.0,,,,,
Q16,Canada,קאנאדע,"dominion of the British Empire, Commonwealth realm, sovereign state, country, federation",country,קאַנאַדע;קאָנאַדע;קאָנאָדע;קאנאַדע,,,6,name_exact,wikidata,0.99,6476,Canada,קנדה,,
Q160135,Lublin-Majdanek concentration camp,מיידאנעק,"military museum, extermination camp, Nazi concentration camp, architectural heritage monument",death_site,טרעבלינקע אָדער מאַידאַנעק,,,1,no_match,,0.0,,,,,
Q160143,Belzec extermination camp,בעלזשיץ פארטיליקונג לאגער,"extermination camp, concentration camp",death_site,בעלזשעץ;בעלזשעק;טויטןלאַגער בּעלזשעץ,,,4,no_match,,0.0,,,,,
Q160317,Aleksandrów,,village of Poland,settlement,ראַוואַ-ביאַלאַ,,,1,fuzzy,fuzzy,0.8,,,,,667|80502|18106|18391|10765
Q165843,Audi Type K,,automobile model,other,ראַכאָוו,,,1,no_match,,0.0,,,,,
Q165940,typhlosole,,anatomical structure,other,נאָוואָ ראַדאָמסק;נאָוואָראַדאָמסק,,,2,no_match,,0.0,,,,,
Q1669868,Kozelets,,urban-type settlement in Ukraine,other,קאָזעלעץ,,,1,no_match,,0.0,,,,,
Q169603,,,Ortsteil,other,ניי-זאָגער,,,1,no_match,,0.0,,,,,
Q170249,Imaginations from the Other Side,,album,other,האַמעל;האָמעל,,,7,no_match,,0.0,,,,,
Q172107,Polish–Lithuanian Commonwealth,פויליש-ליטווישע קאמאנוועלט,"sovereign state, historical country, rump state",country,"פּוי, ליש-ליטע;פּויליש-ליטע;פּוילישליטע;פּוילישלליטע",,,65,no_match,,0.0,,,,,
Q173280,Ronnie Peterson,,human,other,מעזריטש,,,2,no_match,,0.0,,,,,
Q173451,transistor–transistor logic,,"logic circuit technology family, technical standard",other,הרובישאָוו;הרובעשאָוו,,,3,no_match,,0.0,,,,,
Q174994,Bessarabia,בעסאראביע,"historical region, Ukrainian historical regions, interfluve",province,בעסאַראַביע;בעסאַראָביע,,,2,name_exact,wikidata,0.99,1775,Bessarabia (Moldova and Ukraine),בסרביה (מולדובה-אוקראינה),,
Q175,São Paulo,,federative unit of Brazil,other,סט. פאַולאָ,,,1,name_exact,name_exact,0.95,7156,São Paulo (Brazil : State),סאו פאולו (ברזיל : מדינה),,
Q17700,mink,,"organisms known by a particular common name, taxon",other,וויזון,,,1,fuzzy,fuzzy,1.0,,,,,87572|71191|10297|69694|15320
Q1776710,Kläy,,Wikimedia disambiguation page,other,מאָהילעוו,,,1,no_match,,0.0,,,,,
Q178090,Partizansk,,city or town,settlement,פעאָדאַסיע,,,1,no_match,,0.0,,,,,
Q179779,Bacău County,,county of Romania,province,באַקווי,,,1,fuzzy,fuzzy,1.0,,,,,86828
Q180086,Galicia,גאליציע,"historical region, Ukrainian historical regions",province,אַליציע;גאַליצוע;גאַליציע;גאליציע,,,199,name_exact,wikidata,0.99,1473,Galicia (Poland and Ukraine),גליציה (פולין-אוקראינה),,
Q180294,Jaffa,יפו,"city, quarter",neighborhood,יפֿו,32.052222,34.753056,2,name_exact,wikidata,0.99,629,"Jaffa (Tel Aviv-Yafo, Israel)","יפו (תל אביב-יפו, ישראל)",0.0,
Q1808793,Lavagna,,frazione,other,וואסלואי,,,1,no_match,,0.0,,,,,
Q18099,Bison,,taxon,other,באָפֿאַלע,,,1,fuzzy,fuzzy,1.0,,,,,613|8573
Q182563,Ciechanów,,,other,טשעכאַנאָוו,,,3,name_exact,name_exact,0.95,11445,Ciechanów (Poland : Voivodeship),צ'חאנוב (פולין : מחוז),,
Q183,Germany,דייטשלאנד,"sovereign state, social state, Rechtsstaat, country bordering the Baltic Sea, country",country,דייטשלאַנד,,,11,name_exact,wikidata,0.99,87828,Germany,גרמניה,,
Q183048,The Beach Boys,,musical group,other,קאַידענאָוו;קאָידענאָוו,,,3,no_match,,0.0,,,,,
Q183151,Adam Brodecki,,human,other,לאָמזשע,,,4,no_match,,0.0,,,,,
Q184,Belarus,בעלארוס,"sovereign state, unitary state, social state, country, landlocked country, republic",country,ווייס-רוסלאַנד;ווייסרוּסלאַנד;ווייסרוסלאַנד,,,105,name_exact,wikidata,0.99,17986,Belarus,בלארוס,,
Q18426,Bronx,,,,בראַנקס;בראַנקסער;בראָנקס,,,7,name_exact,name_exact,0.95,10787,"Bronx (New York, N.Y.)","ברונקס (ניו יורק, ניו יורק)",,
Q185018,Franz Josef Land,,archipelago,other,טוקום,,,3,name_exact,wikidata,0.99,1400,Franz Josef Land (Russia),ארץ פרנץ יוזף (רוסיה),,
Q185072,Courland,,historical region,province,קורלאַנד,,,1,name_exact,name_exact,0.95,3418,Courland (Latvia),קורלנד (לטביה),,
Q185146,plasma display,,,other,אינשעסט,,,1,no_match,,0.0,,,,,
Q18554,protection racket,,,other,קאָנסטאַנצאַ;קאָנסטאָנצאַ,,,2,no_match,,0.0,,,,,
Q1879003,Lysianka,,urban-type settlement in Ukraine,other,ליסינקע,,,1,name_exact,wikidata,0.99,20251,Lysi︠a︡nka (Ukraine),ליסיאנקה (אוקראינה),,
Q1882,berkelium,,"chemical element, synthetic element",other,לוואָווער געטאָ,,,2,no_match,,0.0,,,,,
Q1882547,Ciechanowice,,village of Poland,settlement,טשעכאַנאָוויצע,,,1,fuzzy,fuzzy,1.0,,,,,16555|674|11445
Q1892074,Simnas,,city,settlement,סימני,,,1,name_exact,name_exact,0.95,26419,Simnas (Lithuania),סימנס (ליטא),,
Q189399,Zempow,,Ortsteil,other,אָקערמאָן,,,1,no_match,,0.0,,,,,
Q189603,Łomża,,,,לאָמזשע,,,1,fuzzy,fuzzy,1.0,,,,,156|21188|72559|18363
Q190756,William Daniel Phillips,,human,other,נאָווידוואָר,,,2,no_match,,0.0,,,,,
Q191,Estonia,עסטלאנד,"country, sovereign state, unitary state, republic, country bordering the Baltic Sea",country,עסטאָניע;עסטלאַנד,,,11,name_exact,wikidata,0.99,13665,Estonia,אסטוניה,,
Q1915040,McConnell's Mill Covered Bridge,,"covered bridge, wooden bridge, road bridge",other,ריישער געטאָ,,,2,no_match,,0.0,,,,,
