source_value	qid	kima_id	kima_rom	kima_heb
זוועניגראָדקאָ	Q219836	23182	Zvenyhorodka (Ukraine)	זבניגורודקה (אוקראינה)
זלאָ טשעוו	Q2010577	18969	Zolochiv (Kharkivsʹka oblastʹ, Ukraine)	זולוצ'יב (מחוז חרקיב, אוקראינה)
איזשביץ	Q841029	15851	Izi︠a︡slav (Ukraine)	איזיאסלב (אוקראינה)
זלאַטאָפּאָל	Q997478	26112	Novomyrhorod (Ukraine)	נובומירהורוד (אוקראינה)
קאָידענאָוו	Q921447	14894	Dzi︠a︡rzhynsk (Belarus)	דזיארזינסק (בלארוס)
סאָכאַטשאָוו	Q250485	18416	Sochaczew (Poland)	סוכטשוב (פולין)
ראַדזימין	Q609246	18483	Radzymin (Poland)	רדזימין (פולין)
קאַלושין	Q987160	18019	Kałuszyn (Warsaw, Poland)	קאלושין (ורשה, פולין)
טיראַספּאָל	Q132572	628	Tiraspol (Moldova)	טירספול (מולדובה)
וולאַצלאַוועק	Q106681	15730	Włocławek (Poland)	ולוצלאווק (פולין)
קאַידענאָוו	Q921447	14894	Dzi︠a︡rzhynsk (Belarus)	דזיארזינסק (בלארוס)
זשירארדאָוו	Q393251	11623	Żyrardów (Poland)	ז'ירדוב (פולין)
