verdict	occ	severity	yiddish	linked_qid	linked_label	wd_top_place	wd_top_desc
NO_WD_PLACE	1	STRONG	מזרח-פּוילן	Q145972	Zamość (Poland)		
NO_WD_PLACE	1	STRONG	ווילנער	Q707539	Žydų gatvė (Vilnius, Lithuania)		
NO_WD_PLACE	1	STRONG	רעמניקו	Q617624	Rîmnicu Sărat (Romania)		
NO_WD_PLACE	1	STRONG	בריסק ליטאָווסק	Q12193	Brest (France)		
NO_WD_PLACE	1	STRONG	פֿאַרייניקטע שטאָטן פֿון אַמעריקע	Q30	United States		
NO_WD_PLACE	1	STRONG	לאַנגאיילאַנד	Q60	New York (N.Y.)		
NO_WD_PLACE	1	STRONG	לאנג איילאַנד	Q60	New York (N.Y.)		
NO_WD_PLACE	1	STRONG	מזרח גאַליציע	Q3573883	Eastern Galicia		
NO_WD_PLACE	1	STRONG	מזרח-גאליציע	Q3573883	Eastern Galicia		
NO_WD_PLACE	1	STRONG	קרעמענטשוגער אויעזד, כערסאָנער גוב.	Q1540289	Kherson Governorate		
NO_WD_PLACE	1	STRONG	קאַוונער	Q4115712	Kaunas (Lithuania)		
NO_WD_PLACE	1	STRONG	מזרח-גאָליציע	Q3573883	Eastern Galicia		
NO_WD_PLACE	1	STRONG	מאַהיל. גוב.	Q586369	Mogilevskaya gubernīi︠a︡ (Russia)		
NO_WD_PLACE	1	STRONG	ב'א	Q1486	Buenos Aires (Argentina)		
NO_WD_PLACE	1	STRONG	ב'אַ	Q1486	Buenos Aires (Argentina)		
NO_WD_PLACE	1	STRONG	בראָנזווייל	Q991279	Brownsville (New York, N.Y.)		
NO_WD_PLACE	1	STRONG	פֿרונזער	Q9361	Bishkek (Kyrgyzstan)		
NO_WD_PLACE	1	STRONG	בראַנזווייל	Q991279	Brownsville (New York, N.Y.)		
NO_WD_PLACE	1	STRONG	קעשענעווער	Q21197	Chișinău (Moldova)		
NO_WD_PLACE	1	STRONG	לעמבערנ	Q36036	Lʹviv (Ukraine)		
NO_WD_PLACE	1	STRONG	ב. א.	Q1486	Buenos Aires (Argentina)		
NO_WD_PLACE	1	STRONG	ל. א.	Q65	Los Angeles (Calif.)		
AGREE	76	STRONG	דייטשלאַנד	Q183	Germany	Q183	country in Central Europe
AGREE	21	STRONG	מדינת ישראל	Q801	Israel	Q801	country in West Asia
AGREE	13	STRONG	מעקסיקאָ	Q1489	Mexico City (Mexico)	Q96	country in North America
AGREE	9	STRONG	דייטשלאנד	Q183	Germany	Q183	country in Central Europe
AGREE	6	STRONG	גאָלדינגען	Q155281	Kuldīga (Latvia)	Q155281	city and capital of Kuldīga Municipality, Latvia
AGREE	5	STRONG	מערב-דייטשלאַנד	Q713750	Germany (West)	Q713750	Federal Republic of Germany in the period between its format
AGREE	3	STRONG	פֿאַראייניקטע שטאָטן	Q30	United States	Q30	country located primarily in North America
AGREE	1	STRONG	טשאַן	Q2637331	Teofipolʹ (Ukraine)	Q2637331	urban-type settlement in Khmelnytskyi Oblast, Ukraine
AGREE	1	STRONG	ביאַלע	Q209932	Biała Podlaska (Poland)	Q209932	city with powiat rights in the Lublin Voivodeship in eastern
AGREE	1	STRONG	ניישטאָט	Q5266	Novo mesto (Slovenia)	Q5266	town in Lower Carniola, Slovenia
AGREE	1	STRONG	רימאַ	Q2588425	Rymanów (Poland)	Q2588425	city of Poland
AGREE	1	STRONG	פּאַהאַסט	Q3917727	Pogost-Zagorodskiy (Belarus)	Q3917727	village in Belarus
AGREE	1	STRONG	גער	Q985642	Góra Kalwaria (Poland)	Q985642	city of Poland
AGREE	1	STRONG	פֿאַראייניקטע שטאָטן פֿון אַמעריקע	Q30	United States	Q30	country located primarily in North America
AGREE	1	STRONG	פֿאַראייניקטע שטאָטן פֿון אַמעריקע	Q30	United States	Q30	country located primarily in North America
AGREE	1	STRONG	סאָוועטן-פאַרבאַנד	Q15180	Soviet Union	Q15180	former country in Eurasia (1922–1991)
AGREE	1	STRONG	גריכנלאַנד	Q41	Greece	Q41	country in Southeast Europe
AGREE	1	STRONG	דייטשלאַנד	Q183	Germany	Q183	country in Central Europe
AGREE	1	STRONG	פאַראייניקטע שטאָטן	Q30	United States	Q30	country located primarily in North America
