maaty_qid	label_en	label_yi	place_type	kima_id	kima_rom	kima_heb	basis
Q853785	Soroca (Moldova)			63	Soroca (Moldova)	סורוקה (מולדובה)	kima_wikidata
Q889573	Kodyma (Ukraine)			80299	Kodyma (Ukraine)	קודימה (אוקראינה)	kima_wikidata
Q889579	Zlatopil		Q5123999;Q486972				wikidata_p31_place
Q898212	Lyubavichi, Rudnyansky District, Smolensk Oblast	ליובאוויטש	Q5084				wikidata_p31_place
Q913143	Olevsk (Ukraine)			26120	Olevsk (Ukraine)	אולבסק (אוקראינה)	kima_wikidata
Q913962	Skole (Ukraine)			17382	Skole (Ukraine)	סקולה (אוקראינה)	kima_wikidata
Q932184	Dubno (Ukraine)			895	Dubno (Ukraine)	דובנו (אוקראינה)	kima_wikidata
Q947521	Gorlice (Poland)			923	Gorlice (Poland)	גורליץ (פולין)	kima_wikidata
Q952457	Niz︠h︡yn (Ukraine)			1644	Niz︠h︡yn (Ukraine)	ניזהין (אוקראינה)	kima_wikidata
Q958747	Szczuczyn	סטוטשין	Q515				wikidata_p31_place
Q987160	Kałuszyn (Warsaw, Poland)			18019	Kałuszyn (Warsaw, Poland)	קאלושין (ורשה, פולין)	kima_wikidata
Q991797	Kolbuszowa (Poland)			17514	Kolbuszowa (Poland)	קולבושובה (פולין)	kima_wikidata
Q997429	Starokosti︠a︡ntyniv (Ukraine)			19134	Starokosti︠a︡ntyniv (Ukraine)	סטארוקוסטיאנטיניב (אוקראינה)	kima_wikidata
