unlinked_id,label_yi,label_en,qid,lat,lon,occurrences,fields
U168,פּאָדאָליע,,,,,7,province
U169,קאָלאָמיי,,,,,7,settlements
U170,קיעווער גובערניע,,,,,7,province
U171,רוסיש-פּוילן,,,,,7,country;province
U172,שווייץ,,,,,7,countries;venues
U173,אוניווערזיטעט,,,,,6,venues
U174,ביי וואַרשע,,,,,6,province
U175,בעסאָראָביע,,,,,6,province
U176,בראָדי,,,,,6,province;settlements
U177,גימנאַזיע,,,,,6,venues
U178,האָמעל,Homel,Q66263,,,6,settlements
U179,האָפּקינסאָן-טעאַטער,,,,,6,venues
U180,וואַרש. גוב.,,,,,6,province
U181,וואַרשאַ,Warsaw,Q270,,,6,settlements
U182,טראַנסניסטריע,,,,,6,place;province
U183,טשערניגאָווער גוב.,,,,,6,place;province
U184,יאַסי,,,,,6,settlements
U185,יעקאַטערינאָסלאַוו,,,,,6,settlements
U186,ליריק טעאַטער,,,,,6,venues
U187,ליריק-טעאַטער,,,,,6,venues
U188,מיאמי,,,,,6,settlements
U189,מינסקער געגנט,,,,,6,province
U190,מלוכה-טעאַטער,,,,,6,venues
U191,מעץ,Metz,Q22690,,,6,settlements
U192,מערב-אייראָפּע,,,,,6,countries;venues
U193,ניו יאָרקער,,,,,6,province;venues
U194,ניויאָרק,,,,,6,settlements
U195,סינסינעטי,,,,,6,settlements
U196,עגיפּטען,,,,,6,countries;venues
U197,פּוילישן טעאַטער,,,,,6,venues
U198,פוילן,,,,,6,countries
U199,קיעוו. גוב.,,,,,6,province
U200,ראַדאָמער גוב.,,,,,6,province
U201,ריישע,,,,,6,settlements
U202,שטאָט-טעאַטער,,,,,6,venues
U203,שיקאָנאַ,,,,,6,settlements
U204,אַנטווערפן,Antwerp,Q12892,,,5,settlements
U205,אויסטראַליע,,,,,5,countries
U206,אונגאַרן,,,,,5,countries
U207,אוקראָאינע,,,,,5,countries
U208,ארגענטינע,Argentina,Q414,,,5,countries;settlements
U209,ביי לאָדזש,,,,,5,province
U210,ביי לעמבערג,,,,,5,country;province
U211,בית עולם,,,,,5,place;venues
U212,גאליציע,,,,,5,province
U213,גימפּעלס טעאַטער,,,,,5,venues
U214,גענשער בית עולם,,,,,5,place
U215,ווינער,,,,,5,settlements;venues
U216,טאַרנאָפּאָל,,,,,5,settlements
U217,טאַשקענט,,,,,5,settlements
U218,טאָראָנטאָ,,,,,5,settlements
U219,טשעכאָסלאָוואַקיי,,,,,5,countries
U220,טשעכיע,,,,,5,countries;venues
U221,יו עס עי,,,,,5,countries
U222,יפו,,,,,5,settlements
U223,ישיבה,,,,,5,venues
U224,כערסאָנער גובערניע,,,,,5,province
U225,לאָמזשער געגנט,,,,,5,province
U226,לאָס אַנדזשעלאָס,,,,,5,settlements
U227,לאָס אָנדזשעלעס,,,,,5,settlements
U228,לוואָוו,,,,,5,province;settlements
U229,ליבערטי-טעאַטער,,,,,5,venues
U230,ליבערטי-טעאַטער,,,,,5,venues
U231,לענינגראָד,,,,,5,settlements
U232,לעשנא 2,,,,,5,addresses
U233,מעליטאָפּאָל,Melitopol,Q156915,,,5,settlements
U234,מערבגאַליציע,,,,,5,country;province
U235,ניו יאָָרק,,,,,5,province;settlements
U236,סלאָנים,,,,,5,settlements
U237,ענגלאנד,,,,,5,countries
U238,פּאָד. גוב.,,,,,5,province
U239,פּאָלטאַווע,Poltava,Q125286,,,5,settlements
U240,פּאָלטאָווע,Poltava,Q125286,,,5,settlements
U241,פאַראייניקטע שטאַטן,,,,,5,countries
U242,קאַמינסקי-טעאַטער,,,,,5,venues
U243,קאָוונער געגנט,,,,,5,province
U244,קאָליפֿאָרניע,California,Q99,,,5,province;settlements
U245,קעניגסבערג,,,,,5,province;settlements
U246,ראַדאָם,,,,,5,settlements
U247,רעדאַקציע,,,,,5,venues
U248,פֿילאָדעלפֿיער,,,,,5,settlements
U249,USA,,,,,4,countries
U250,אַרץ ישראל,,,,,4,countries
U251,אייראָפּע,,,,,4,countries;venues
U252,ארץ ישראל,,,,,4,countries
U253,באָלטימאַר,,,,,4,settlements
U254,באָקו,Baku,Q9248,,,4,settlements
U255,בויערי,,,,,4,addresses;venues
U256,בוקאָרעסט,,,,,4,settlements
U257,בענדין,,,,,4,settlements
U258,בעסאַראביע,,,,,4,province
U259,בראָד,,,,,4,settlements
U260,בראָדוועי,,,,,4,addresses;venues
U261,בראנקס,Bronx,Q18426,,,4,settlements;venues
U262,גרענד סטריט,,,,,4,addresses
U263,דרום-אָפריקע,,,,,4,countries;venues
U264,וואַשינגטאָן,"Washington, D.C.",Q61,,,4,settlements
U265,וואָלינער געגנט,,,,,4,province
U266,וויטעבסקער גוב.,,,,,4,province
U267,זשיגניצא,,,,,4,venues
U268,טאַליאַ טעאַטער,,,,,4,venues
U269,טלאָמאַצקע,,,,,4,addresses
U270,טעאַטער,,,,,4,venues
U271,טשילע,,,,,4,countries;venues
U272,יאסי,,,,,4,settlements
U273,יידישן קונסט-טעאַטער,,,,,4,venues
U274,יעליסאַוועטגראָד,,,,,4,settlements;venues
U275,כעלם,,,,,4,settlements
U276,ליבערטי,,,,,4,place;venues
U277,לייפּציג,,,,,4,settlements
U278,ליריק-טעאַטער,,,,,4,venues
U279,מאָהילעוו,Mogilev,Q193581,,,4,settlements
U280,מוראַנאָווער טעאַטער,,,,,4,venues
U281,מילוואַקיי,Milwaukee,Q37836,,,4,settlements
U282,מעלבורן,,,,,4,settlements
U283,מעקסיקע סיטי,,,,,4,settlements
U284,נאָליציע,,,,,4,province
U285,ניו-יאָרקער,,,,,4,venues
U286,נייער יידישער טעאַטער,,,,,4,venues
