severity	occ	yiddish	yi_proxy	qid	kima_rom	dice_rom	n_kima_variants	methods
WEAK	9	מאָסקווער	moskver	Q649	Moscow (Russia)	0.36	12	adjectival_er_strip:9
WEAK	8	וואַרשעווער	varshever	Q270	Warsaw (Poland)	0.31	28	kima_name_exact:8
WEAK	7	אונגאָרן	ungorn	Q28	Hungary	0.36	1	(blank):6|qid_map:1
WEAK	7	כערסאָנער גוב.	khersoner gub	Q1540289	Kherson Governorate	0.46	1	guberniya_governorate:7
WEAK	7	גראָדנער געגנט	grodner gegnt	Q2294422	Grodno Governorate	0.38	1	guberniya_governorate:7
WEAK	6	מינסקער געגנט	minsker gegnt	Q593230	Minsk Governorate	0.38	1	guberniya_governorate:6
WEAK	6	עגיפּטען	egipten	Q79	Egypt	0.4	1	qid_map:6
WEAK	5	קאָוונער געגנט	kovner gegnt	Q1540300	Kovno Governorate	0.35	1	guberniya_governorate:5
WEAK	5	כערסאָנער גובערניע	khersoner gubernie	Q1540289	Kherson Governorate	0.47	1	guberniya_governorate:5
WEAK	5	פאַראייניקטע שטאַטן	fareynikte shtatn	Q30	United States	0.4	2	qid_map:5
WEAK	5	פֿילאָדעלפֿיער	filodelfier	Q1345	Philadelphia (Pa.)	0.33	10	adjectival_er_strip:5
WEAK	3	סאָוויעט-רוסלאַנד	sovietrusland	Q15180	Soviet Union	0.45	1	qid_map:2|(blank):1
WEAK	3	דניעפּראָפּיעטראָווסק	dniepropietrovsk	Q48256	Dnipro (Ukraine)	0.44	1	audit_corrected:3
WEAK	3	סאָוויעטרוסלאַנד	sovietrusland	Q15180	Soviet Union	0.45	1	qid_map:3
WEAK	3	פֿראַנקרייך	frankreykh	Q142	France	0.43	1	qid_map:3
WEAK	3	שיקאַגער	shikager	Q1297	Chicago (Ill.)	0.31	11	adjectival_er_strip:3
WEAK	2	סאָוויעטנפֿאַרבאַנד	sovietnfarband	Q15180	Soviet Union	0.43	1	(blank):1|qid_map:1
WEAK	2	אַליציע	alitsie	Q180086	Galicia (Poland and Ukraine)	0.33	3	(blank):2
WEAK	2	קאָלאָראָדאָ	kolorodo	Q49258	Colorado Springs (Colo.)	0.38	2	qid_map:2
WEAK	2	קאָוונער גובערניע	kovner gubernie	Q1540300	Kovno Governorate	0.4	1	guberniya_governorate:2
WEAK	2	גראָדנער גובערניע	grodner gubernie	Q2294422	Grodno Governorate	0.43	1	guberniya_governorate:2
WEAK	2	מינסק. גוב.	minsk gub	Q593230	Minsk Governorate	0.45	1	guberniya_governorate:2
WEAK	2	טשערניג. גוב.	tchernig gub	Q545958	Chernigov Governorate	0.48	1	guberniya_governorate:2
WEAK	2	כערסאָנער גוב	khersoner gub	Q1540289	Kherson Governorate	0.46	1	guberniya_governorate:2
WEAK	2	כערסאַנער גוב.	khersaner gub	Q1540289	Kherson Governorate	0.31	1	guberniya_governorate:2
WEAK	1	משוגעים-הויז לאָנדאָן	mshugeimhoyz london	Q84	London (England)	0.4	12	(blank):1
WEAK	1	א קליינער שטאָט ביי בוקאַרעסט	a kleyner shtot bey bukarest	Q19660	Bucharest (Romania)	0.33	14	(blank):1
WEAK	1	ווילנער הקדש	vilner hkdsh	Q216	Vilnius (Lithuania)	0.38	11	(blank):1
WEAK	1	סאָוויעט רוסלאַנד	soviet rusland	Q15180	Soviet Union	0.45	1	(blank):1
WEAK	1	וואָלין	volin	Q11874	Zvolen (Slovakia)	0.44	2	(blank):1
WEAK	1	ווילנע (אין ביראָוו?)	vilne in birov	Q216	Vilnius (Lithuania)	0.35	11	(blank):1
WEAK	1	סיגעט-מאָרמאַראָש	sigetmormarosh	Q334874	Sighet (Romania)	0.33	13	(blank):1
WEAK	1	אַלט-קאָנסטאַנטינאָוו	altkonstantinov	Q997429	Starokosti︠a︡ntyniv (Ukraine)	0.41	8	(blank):1
WEAK	1	ווייסרוּסלאַנד	veysrusland	Q184	Belarus	0.38	4	(blank):1
WEAK	1	באריסאָוו	barisov	Q207294	Babruĭsk (Belarus)	0.31	6	(blank):1
WEAK	1	דעסוי	desoy	Q3828	Dessau-Rosslau (Germany)	0.43	1	(blank):1
WEAK	1	אַלעקסאַנדראָווסק (איצט — זאַפּאָראָזשיע)	aleksandrovsk itst zaporozhie	Q157835	Zaporiz︠h︡z︠h︡i︠a︡ (Ukraine)	0.34	2	(blank):1
WEAK	1	פּיטשאַיעוו	pitchaiev	Q149060	Pochaïv (Ukraine)	0.43	2	(blank):1
WEAK	1	אַלטסווענציאַן	altsventsian	Q137863	Švenčionys (Lithuania)	0.32	3	(blank):1
WEAK	1	עסטרייך	estreykh	Q260320	Steyr (Austria)	0.36	2	(blank):1
WEAK	1	אַלט-קאָנסטאַנטין	altkonstantin	Q997429	Starokosti︠a︡ntyniv (Ukraine)	0.44	8	(blank):1
WEAK	1	ניי-קאָנסטאַנטין	neykonstantin	Q997429	Starokosti︠a︡ntyniv (Ukraine)	0.44	8	(blank):1
WEAK	1	קראָלעווצער באַצירק, טשערניגאָווער גוב.	krolevtser batsirk tchernigover gub	Q545958	Chernigov Governorate	0.47	1	guberniya_governorate:1
WEAK	1	מאָהילעווער געגנט	mohilever gegnt	Q586369	Mogilevskaya gubernīi︠a︡ (Russia)	0.3	1	guberniya_governorate:1
WEAK	1	מאַהילעווער גוב.	mahilever gub	Q586369	Mogilevskaya gubernīi︠a︡ (Russia)	0.39	1	guberniya_governorate:1
WEAK	1	מינסקער גוּבּ	minsker gub	Q593230	Minsk Governorate	0.42	1	guberniya_governorate:1
WEAK	1	מינסקער גוב	minsker gub	Q593230	Minsk Governorate	0.42	1	guberniya_governorate:1
WEAK	1	מינסקעגוב.	minskegub	Q593230	Minsk Governorate	0.35	1	guberniya_governorate:1
WEAK	1	מינסקער, שפּעטער פּאָלעסיער געגנט	minsker shpeter polesier gegnt	Q593230	Minsk Governorate	0.31	1	guberniya_governorate:1
WEAK	1	וואָלקאָוויסקער קרייז, גראָדנער גובערניע	volkovisker kreyz grodner gubernie	Q2294422	Grodno Governorate	0.33	1	guberniya_governorate:1
WEAK	1	מינסקער גובערניע	minsker gubernie	Q593230	Minsk Governorate	0.43	1	guberniya_governorate:1
WEAK	1	פֿאַראייניקטע שטאטן	fareynikte shtatn	Q30	United States	0.4	2	qid_map:1
WEAK	1	בּראָנז וויל	bronz vil	Q991279	Brownsville (New York, N.Y.)	0.47	2	(blank):1
WEAK	1	פֿאַראייניקטע שטאַטן	fareynikte shtatn	Q30	United States	0.4	2	qid_map:1
WEAK	1	בראָנזוויל	bronzvil	Q991279	Brownsville (New York, N.Y.)	0.47	2	qid_map:1
WEAK	1	פֿאַראייניקטע שטאטן פֿון אַמעריקע	fareynikte shtatn fun amerike	Q30	United States	0.35	2	qid_map:1
WEAK	1	רזשעשאָוו	rzheshov	Q598	Rzeszów (Poland)	0.31	6	qid_map:1
WEAK	1	פאַריזער	farizer	Q90	Paris (France)	0.4	9	adjectival_er_strip:1
